resp;x1
1,461;1,35
1,407;1,4
1,452;1,45
1,3;1,5
1,351;1,55
1,9;1,9
1,913;1,91
1,927;1,93
1,947;1,95
1,969;1,97
1,99;1,99
1,999;2
2,009;2,01
2,038;2,03
2,046;2,03
2,067;2,07
2,108;2,1
2,199;2,2
2,301;2,3
2,358;2,35
2,4;2,4
2,453;2,45
2,502;2,5
2,399;2,6
2,696;2,7
2,751;2,75
2,8;2,8
2,851;2,85
2,9;2,9
3;3
2,021;1,35
2,013;1,4
2,028;1,45
2,008;1,5
2,027;1,55
1,928;1,9
1,939;1,91
1,977;1,93
1,9;1,95
1,976;1,97
2,008;1,99
1,906;2
2,005;2,01
2,018;2,03
2,041;2,05
2,057;2,07
2,095;2,1
2,066;2,2
2,014;2,3
2,019;2,35
2;2,4
2,033;2,45
2,506;2,5
2,042;2,6
2,701;2,7
2,414;2,75
2,704;2,8
2,035;2,85
2,07;2,9
3,494;3
1,846;1,35
1,97;1,4
1,971;1,45
1,97;1,5
2,046;1,55
1,904;1,9
1,915;1,91
1,925;1,93
1,749;1,95
1,972;1,97
1,996;1,99
2,003;2
2,007;2,01
2,027;2,03
2,053;2,05
2,047;2,07
2,094;2,1
2,171;2,2
2,29;2,3
1,906;2,35
2,001;2,4
2,008;2,45
1,993;2,5
2,009;2,6
2,363;2,7
2,105;2,75
1,979;2,8
1,937;2,85
2,068;2,9
2,03;3
2,018;1,35
2,036;1,4
2,025;1,45
1,994;1,5
2,01;1,55
1,901;1,9
1,911;1,91
1,923;1,93
1,95;1,95
1,978;1,97
1,97;1,99
2,001;2
2,01;2,01
2,031;2,03
2,035;2,05
2,071;2,07
2,108;2,1
2,011;2,2
2,026;2,3
2,023;2,35
1,974;2,4
2;2,45
2,01;2,5
2,015;2,6
2,054;2,7
2,061;2,75
2,015;2,8
2,036;2,85
2,028;2,9
2,014;3
1,997;1,35
1,905;1,4
1,997;1,45
1,964;1,5
2,008;1,55
1,941;1,9
1,96;1,91
1,968;1,93
1,976;1,95
1,903;1,97
1,997;1,99
2,007;2
2,006;2,01
2,037;2,03
2,091;2,05
2,073;2,07
2,096;2,1
1,904;2,2
2,007;2,3
2,025;2,35
2,037;2,4
2,038;2,45
2,047;2,5
2,023;2,6
2,076;2,7
2,066;2,75
2,426;2,8
2,117;2,85
2,097;2,9
2,91;3
