"beta1_1" "beta2_1" "beta1_2" "beta2_2"
1.938431 0.03111552 -0.02082406 0.9990815
1.909919 0.04762698 -0.06001371 1.001358
1.912613 0.04391027 -0.03152602 0.9926279
1.937087 0.02908712 0.08217485 0.9650758
1.979458 0.01187158 0.1147036 0.9181087
1.952895 0.02800117 0.1471818 0.9029874
1.902027 0.04561525 -0.05831169 0.9961072
1.91554 0.041672 0.1669168 0.8971567
1.915472 0.04230458 0.03123345 0.9704618
1.908123 0.04022888 -0.06266522 1.007307
1.908724 0.04590056 0.0536483 0.9488001
1.880986 0.05824578 0.0008620915 0.9713967
1.901292 0.04896744 -0.1922343 1.071701
1.970669 0.02432152 0.08398642 0.9503725
1.866382 0.06512623 0.05904863 0.9644014
1.956032 0.02860333 -0.00842052 0.9888099
1.922058 0.03738195 -0.1005179 1.017111
1.916419 0.03520226 -0.09890894 1.034449
1.921424 0.0382411 -0.1725053 1.048881
1.966309 0.01306003 -0.1503403 1.036082
1.865524 0.06919282 -0.1582471 1.047051
1.917105 0.04163006 -0.0935324 1.016935
1.918088 0.04560683 -0.05020669 1.024978
1.867334 0.05893324 0.07797875 0.9547579
1.928802 0.04046708 -0.04835299 1.004152
1.945014 0.02303705 -0.02542338 1.003404
1.922192 0.04070706 -0.02675669 0.9843292
1.910866 0.04646946 -0.04611317 0.9948863
1.938173 0.03146354 -0.2635942 1.094418
1.898246 0.05117248 -0.06173976 0.9850414
1.913145 0.03337323 -0.1072612 1.034867
1.907209 0.04279147 0.1029422 0.9401356
1.87069 0.06404231 -0.02775504 0.9712046
1.916345 0.04396202 0.06936429 0.9454503
1.959031 0.02246981 0.03658694 0.9764094
1.888787 0.05583792 -0.2888332 1.131315
1.955668 0.02695354 -0.07241957 1.0132
1.918832 0.04631486 0.02968858 0.9788948
1.914727 0.04448992 -0.02210011 0.9992282
1.914824 0.04177496 0.1631103 0.9062263
1.961529 0.02271504 -0.2763226 1.099817
1.898574 0.04620691 -0.05917873 1.012171
1.932486 0.03610942 -0.01190496 0.9771361
1.916563 0.04553033 -0.119905 1.029737
1.946246 0.02927647 -0.1103423 1.034412
1.892266 0.05362847 -0.05270671 1.003568
1.901585 0.04960726 -0.04106604 0.9928001
1.911822 0.04791894 -0.1519352 1.052366
1.891115 0.05512925 -0.05420214 1.001135
1.886268 0.05363995 -0.0140009 0.9876964
1.953795 0.02691407 -0.01582654 0.9875833
1.896776 0.05171717 0.02966622 0.9832221
1.965924 0.02043782 0.004958446 0.9767659
1.938356 0.03136111 0.0134388 0.9718517
1.92667 0.03678989 0.05498061 0.9574809
1.8843 0.0583921 0.04780807 0.9672851
1.889782 0.05297671 -0.001881234 0.9690295
1.941647 0.03244771 -0.009254224 0.9845437
1.9149 0.04565022 0.02464318 0.9810408
1.905118 0.05280375 -0.04386736 1.008879
1.940543 0.03471725 0.05625259 0.95292
1.952329 0.02138333 -0.07541956 1.033888
1.955788 0.02477995 0.04029464 0.9737536
1.914678 0.04781768 0.00136017 0.9816319
1.902368 0.05095229 0.04430044 0.9630352
1.881977 0.05901392 -0.109719 1.043632
1.943769 0.03210501 0.1462941 0.9222077
1.921198 0.03836375 0.2526851 0.8666271
1.921359 0.04385478 -0.03213934 1.024054
1.937872 0.03684458 -0.007941309 0.9909562
1.934172 0.03492458 0.1237104 0.9258412
2.001303 0.005671437 0.06954105 0.9591198
1.918476 0.04700597 -0.1821989 1.049735
1.949583 0.02575058 0.1456177 0.9238739
1.94029 0.03756786 -0.08338386 1.023484
1.943779 0.02700232 -0.1083295 1.023479
1.933133 0.03355913 -0.05562209 0.9976141
1.936698 0.03127472 0.004804373 0.9970472
1.922767 0.03701403 -0.117891 1.043404
1.931755 0.03776089 0.1638155 0.9207632
1.950181 0.02481329 0.07473545 0.9559278
1.928215 0.03983074 0.08681238 0.9597296
1.918575 0.04424817 -0.00946675 0.9815465
1.886395 0.05803405 0.0898506 0.9456066
1.902581 0.05265454 -0.002910907 0.9883552
1.875778 0.06491432 -0.1695368 1.052514
1.902355 0.04809527 0.1418358 0.9276505
1.935278 0.03831479 0.03531468 0.9656274
1.988916 0.01208497 0.1503323 0.9321431
1.93204 0.03448985 0.1779207 0.9080803
1.937676 0.03529119 -0.006293898 0.9809674
1.949521 0.02688657 -0.02027332 0.9833624
1.900722 0.04667633 -0.07568831 1.014452
1.954797 0.02453825 -0.08717844 1.029182
1.935945 0.03741704 0.001660141 0.9895043
1.869689 0.06809728 0.007477211 0.996543
1.933024 0.03995087 0.02713107 0.9650563
1.887432 0.05058674 0.09628923 0.9446308
1.93023 0.03778909 0.1160569 0.9384832
1.871565 0.06705593 0.03993638 0.9689551
1.905097 0.04857194 0.01183569 0.9626377
1.91757 0.04148384 0.01510233 0.9723631
1.958325 0.02775128 -0.1547956 1.039437
1.902178 0.05061825 -0.1106793 1.025542
1.912356 0.04399472 0.02190002 0.9874344
1.935191 0.03485915 0.150984 0.920093
1.930703 0.03471673 0.08778655 0.9454098
1.91575 0.04486923 0.1215752 0.920087
1.906536 0.05032668 -0.09844605 1.045162
1.935485 0.03181969 -0.05757107 0.9956974
1.912725 0.04445279 -0.09929212 1.032233
1.94955 0.02884227 -0.07866505 1.028101
1.937394 0.03445214 -0.02818276 1.005412
1.972485 0.0180948 -0.01273498 0.9903176
1.881021 0.06037679 -0.01502699 1.00009
1.920154 0.04565847 -0.05340496 1.020291
1.940788 0.03587214 0.04974221 0.936573
1.976875 0.02028947 -0.04410581 1.01684
1.911101 0.04947804 0.06419227 0.969606
1.939869 0.03678854 -0.01782871 0.9995861
1.923246 0.03889806 -0.0003273416 1.000052
1.929271 0.03275668 0.1729545 0.8990832
1.900971 0.0533175 -0.06617881 1.022156
1.909061 0.04504684 -0.09507844 1.027513
1.93382 0.0361317 0.01628433 0.9909221
1.97423 0.02077919 0.06749832 0.9562442
1.908423 0.04910156 0.3516673 0.8183587
1.883398 0.05747659 -0.1761244 1.047227
1.881127 0.05962703 -0.004163207 0.9867306
1.982643 0.01382988 0.1017001 0.9605848
1.902836 0.05146904 0.06386481 0.9610841
1.93177 0.03788085 0.1079975 0.9357897
1.923799 0.03732795 -0.02731696 0.9895763
1.94549 0.03766312 0.01299294 0.9846771
1.843524 0.08183169 -0.02904175 1.003785
1.908149 0.0454572 -0.01775169 1.009257
1.886297 0.05444714 0.002557396 0.9944878
1.905761 0.0471726 0.08663705 0.9517218
1.881849 0.0574569 0.1480063 0.9229158
1.934213 0.04084224 -0.005759646 0.9948991
1.962961 0.02138815 -0.08666579 1.021809
1.938677 0.03445213 0.1017587 0.9406192
1.873155 0.06156094 -0.1693067 1.039843
1.886405 0.05887312 -0.006403079 0.977215
1.921206 0.03775278 -0.2172307 1.044298
1.978618 0.01676016 0.0104798 0.9837355
1.948974 0.02877617 -0.06354215 1.011105
1.878944 0.05980343 0.05724048 0.9595742
1.920174 0.04009512 0.1031869 0.9482526
1.903601 0.04558228 -0.01149682 0.9789057
1.90573 0.04623487 0.09362836 0.937763
1.891247 0.05579144 -0.0480947 1.002347
1.872373 0.06692413 -0.02617644 1.004273
1.926407 0.03791412 0.03725557 0.9759554
1.957471 0.02181634 0.1959253 0.900884
1.92752 0.04352272 -0.001075818 0.975622
1.93225 0.03903759 -0.1139496 1.017879
1.927167 0.03640287 -0.0003210877 0.9909025
1.869192 0.07012738 0.117095 0.9455204
1.973425 0.02383363 0.04187275 0.9667168
1.926958 0.03737286 -0.07015692 1.036248
1.932738 0.03793826 -0.05364581 1.016818
