"nu" "alpha"
14.30848 0.2401473
8.898101 0.3194886
12.01311 0.1656804
16.79706 0.05953787
17.09578 0.2179412
4.456396 0.1541731
3.802535 0.3547844
7.977626 0.4044879
2.816548 0.4972386
8.690229 0.09923227
20.05227 0.02389907
29.51472 0.151091
8.235735 0.328874
34.792 0.1181288
7.723582 0.2453434
10.57804 0.2416683
2.362794 0.2560612
18.86919 0.05177138
8.715654 0.2425692
7.196109 0.3033704
25.56373 0.0242848
18.34884 0.1500832
18.41957 0.05328571
15.8466 0.05839545
5.114496 0.340027
5.191693 0.4335442
7.488826 0.02978753
6.378521 0.2195715
3.959288 0.3121623
4.605914 0.03011911
6.1984 0.446059
3.366469 0.1062868
9.119962 0.04911829
4.092613 0.0792517
5.777477 0.1643718
3.607563 0.4183713
10.13865 0.09387303
6.802709 0.2075759
10.04456 0.06546364
13.85329 0.02643141
18.64331 0.04260087
6.509412 0.1384764
6.066133 0.09227397
8.742959 0.2577165
13.63823 0.132463
3.339073 0.05354575
4.863383 0.1782039
13.94025 0.4222731
8.054799 0.2233785
4.237764 0.2777263
7.149684 0.1724257
4.474008 0.3214152
32.6331 0.06872073
6.960572 0.189013
37.51063 0.03616265
9.081137 0.3353136
6.936306 0.06494397
4.863236 0.2700767
10.4722 0.2166158
29.73922 0.0336353
15.4418 0.2173093
40.67337 0.03643947
4.389762 0.2453694
15.17785 0.2890197
6.112161 0.2041254
11.04004 0.1943925
4.813164 0.3543165
13.45154 0.245118
12.77739 0.2286241
3.925785 0.08071249
3.474226 0.1820015
67.37143 0.04211349
7.766933 0.1855135
2.502611 0.04054424
2.884461 0.4349784
5.845584 0.2829214
10.14793 0.3891883
11.85505 0.1880427
5.375175 0.4263086
26.84139 0.1986206
18.35409 0.02105862
14.73974 0.3303813
4.026199 0.4164419
3.030099 0.3907321
7.342018 0.07833686
12.41539 0.06687631
6.280869 0.1054408
8.538133 0.2667707
11.37129 0.2222449
6.394733 0.4825884
12.40269 0.1109602
4.254292 0.4379236
13.37189 0.1766738
12.8645 0.2708515
6.36102 0.2057242
14.34731 0.08364685
9.351867 0.3843054
3.820269 0.2629819
8.314164 0.1703827
8.124207 0.09417962
22.12267 0.0579584
8.117941 0.1330744
14.24501 0.06426577
36.04175 0.150866
15.22341 0.08545579
15.16829 0.1548575
3.899683 0.09957122
19.83318 0.04874016
18.33006 0.1710478
7.415589 0.1954564
20.30125 0.1702197
8.287699 0.1927976
23.98677 0.08781989
9.689529 0.1122375
15.02872 0.07736782
12.42527 0.1176976
6.315048 0.4011744
11.96863 0.1891968
2.96363 0.2333085
14.49461 0.02554208
21.05502 0.07598696
3.88873 0.2024056
4.784864 0.0936451
6.911442 0.1778619
21.36941 0.09134766
74.41639 0.02536238
10.86135 0.2454162
6.249252 0.3869641
2.384151 0.06818448
6.988655 0.03415333
4.164216 0.4581294
9.213699 0.07217167
5.958249 0.08708845
12.66261 0.2758284
38.09402 0.05267585
51.28437 0.04239265
148.7312 0.04248173
21.82407 0.1047833
9.024968 0.4113699
2.414576 0.1490082
7.239211 0.2571969
8.999316 0.319476
5.476653 0.4007949
3.497753 0.2794174
14.40962 0.05829903
11.82131 0.473481
2.852803 0.4152816
10.11402 0.1685422
6.421323 0.1884956
35.50117 0.08031211
3.375753 0.2557519
8.803248 0.05977612
8.772472 0.1563588
19.32692 0.0691565
5.265728 0.2841789
8.197235 0.4331866
57.46319 0.06105244
