u.bar t.bar 
1.064716 0.7733132 
1.0878 0.859827 
1.029857 0.8533419 
1.036462 0.808952 
1.065707 0.8976842 
1.02551 0.9337714 
1.098247 0.9191004 
1.072055 0.8761089 
1.162479 0.9085077 
1.052964 0.8492407 
1.033796 0.8114554 
1.000862 0.8635007 
1.00543 0.9036903 
1.021179 0.8034928 
1.002226 0.8872203 
1.028361 0.8402007 
1.181338 1.046417 
1.006008 0.8166726 
1.053959 0.8077353 
1.057068 0.9213814 
1.029765 0.8187692 
0.990429 0.7623917 
0.9767246 0.9022947 
1.022493 0.9567827 
1.017462 0.9025277 
1.038885 0.7731495 
1.029821 0.8009317 
0.961823 1.001566 
1.048929 0.9801951 
1.011191 1.046076 
1.0039 0.9742244 
1.031767 0.8617157 
1.017506 0.8685525 
1.076674 0.8797915 
1.042737 0.8218001 
1.085356 0.943354 
1.051241 0.8740011 
1.00975 0.8317579 
1.014925 0.8228998 
0.9889644 0.8284027 
1.042662 0.8821015 
0.9955405 0.8887072 
1.057942 0.9167548 
1.0833 0.8428171 
1.049345 0.776087 
0.9765753 1.052288 
1.054673 1.056963 
0.951304 0.9050654 
1.041226 0.8930049 
1.012621 0.9018677 
0.9613378 0.8219447 
1.171801 0.9986966 
1.019177 0.7528072 
1.017232 0.861394 
1.00416 0.9226098 
1.006527 0.9691904 
0.9826551 0.8587365 
1.023288 1.018978 
1.077133 0.8539312 
1.008705 0.8033877 
1.02864 0.7604056 
1.025008 0.7916781 
1.066954 0.9127716 
1.005012 0.8738322 
1.053133 0.8427851 
1.002667 0.80932 
1.136779 0.8881623 
1.032227 0.8497223 
1.045506 0.9174529 
1.072379 0.8975638 
1.069803 0.885298 
1.01159 0.8069217 
1.006727 0.7955823 
1.236214 0.848474 
1.313884 0.9417391 
1.087057 0.8244224 
1.021519 0.8611647 
0.9893746 0.8969592 
1.064037 0.8764168 
1.007679 0.7998085 
1.01298 0.8643527 
1.0089 0.8226767 
0.9798395 1.120571 
1.164295 1.012656 
1.049833 0.8710446 
1.004023 0.886212 
1.014732 0.7744643 
1.105324 0.7949471 
1.046108 0.7938182 
1.050812 0.9958422 
1.008967 0.8592308 
0.9658352 0.906949 
1.085909 0.9266473 
0.9925172 0.8241697 
1.031881 0.9057678 
0.998832 0.9672466 
1.057179 0.9006769 
1.113201 1.01268 
