p_1 p_2 
0.7052791 0.2947209 
0.5905743 0.4094257 
0.663161 0.336839 
0.6772 0.3228 
0.7663871 0.2336129 
0.7779185 0.2220815 
0.7905201 0.2094799 
0.6335712 0.3664288 
0.6899256 0.3100744 
0.6532606 0.3467394 
0.6504916 0.3495084 
0.6915704 0.3084296 
0.6731303 0.3268697 
0.7461946 0.2538054 
0.7319224 0.2680776 
0.6198145 0.3801855 
0.6434181 0.3565819 
0.705144 0.294856 
0.6936297 0.3063703 
0.7536087 0.2463913 
0.692734 0.307266 
0.6153316 0.3846684 
0.7014011 0.2985989 
0.6617968 0.3382032 
0.7475107 0.2524893 
0.661958 0.338042 
0.7364772 0.2635228 
0.6441341 0.3558659 
0.7813187 0.2186813 
0.5771517 0.4228483 
0.6770507 0.3229493 
0.6323976 0.3676024 
0.7020609 0.2979391 
0.6232578 0.3767422 
0.7434982 0.2565018 
0.6252619 0.3747381 
0.6786766 0.3213234 
0.7481584 0.2518416 
0.6739831 0.3260169 
0.7348746 0.2651254 
0.6550036 0.3449964 
0.6956834 0.3043166 
0.6724777 0.3275223 
0.7594189 0.2405811 
0.6769597 0.3230403 
0.6871708 0.3128292 
0.6201045 0.3798955 
0.6783367 0.3216633 
0.7534244 0.2465756 
0.6615948 0.3384052 
0.6002377 0.3997623 
0.6776273 0.3223727 
0.6461702 0.3538298 
0.615236 0.384764 
0.6250481 0.3749519 
0.7018567 0.2981433 
0.6871304 0.3128696 
0.7822687 0.2177313 
0.656869 0.343131 
0.7194781 0.2805219 
0.6722933 0.3277067 
0.7991524 0.2008476 
0.6971402 0.3028598 
0.5796359 0.4203641 
0.6421943 0.3578057 
0.7035881 0.2964119 
0.7455289 0.2544711 
0.7630969 0.2369031 
0.6425939 0.3574061 
0.7562468 0.2437532 
0.69117 0.30883 
0.6442806 0.3557194 
0.7143325 0.2856675 
0.6176234 0.3823766 
0.6486456 0.3513544 
0.7149049 0.2850951 
0.7310519 0.2689481 
0.7795952 0.2204048 
0.6453081 0.3546919 
0.7322399 0.2677601 
0.5758619 0.4241381 
0.6239903 0.3760097 
0.7934304 0.2065696 
0.7519966 0.2480034 
0.7690494 0.2309506 
0.8056751 0.1943249 
0.6706892 0.3293108 
0.6487921 0.3512079 
0.6643704 0.3356296 
