beta1_1 beta2_1 beta1_2 beta2_2 
1.942398 0.03144127 0.01315399 1.006033 
1.954015 0.02434283 -0.114883 1.023475 
1.921751 0.03914375 0.09265653 0.9588181 
1.967243 0.01789831 -0.02744341 1.005118 
1.922457 0.04217087 -0.2210189 1.060427 
1.920247 0.03817325 0.02001088 0.9690036 
1.936208 0.03540989 0.09384133 0.9354198 
1.953049 0.02546708 -0.06684707 1.039565 
1.929344 0.03617511 0.1208921 0.9432766 
1.959328 0.02491716 0.1279224 0.9403073 
1.961927 0.01722379 0.1966962 0.891029 
1.902782 0.0468863 0.04029415 0.9693925 
1.858889 0.07281078 0.2073886 0.8982648 
1.91397 0.04225261 0.132263 0.9286427 
1.956788 0.02393819 0.1318187 0.9159159 
1.842191 0.07685235 0.1792704 0.9172103 
1.948982 0.02600804 0.1091445 0.9316265 
1.95257 0.02769864 -0.1632677 1.061823 
1.904993 0.05269676 0.1008841 0.9264102 
1.9559 0.02614248 0.137889 0.9307648 
1.877972 0.05895188 0.10841 0.9529663 
1.901813 0.0495276 -0.04170476 1.00362 
1.94408 0.0331319 -0.01714758 0.9885054 
1.866526 0.06564362 -0.06389591 1.016564 
1.876281 0.06616404 -0.05204213 1.011865 
1.893338 0.05068626 0.0681226 0.9606202 
1.917277 0.03913066 -0.05015386 1.000314 
1.923938 0.04118082 -0.03937007 1.005267 
1.918783 0.03900492 -0.07152296 0.990186 
1.912781 0.04735535 -0.01152511 0.9821505 
1.927368 0.04504096 0.07073263 0.955645 
1.970018 0.02437254 0.02930472 0.983608 
1.968093 0.01555555 -0.06533344 1.018207 
1.919337 0.04396237 -0.0002617505 0.9876081 
1.92146 0.04179361 0.02006369 0.9883791 
1.962645 0.02888131 -0.007638024 0.9983003 
1.948895 0.02643094 -0.03637018 0.9813624 
1.871357 0.06089282 -0.07488816 1.003759 
1.89837 0.04999312 -0.1712422 1.069441 
1.898381 0.04851218 -0.2892933 1.105358 
1.883845 0.05520386 0.009610831 0.9730185 
1.937211 0.03215438 0.006862156 0.9587923 
1.898479 0.0561556 0.08389825 0.9515701 
1.909134 0.04664013 -0.002289836 0.985821 
1.956512 0.02318513 0.09928974 0.9475403 
1.950403 0.02777477 0.03772546 0.9792597 
1.948567 0.03307456 0.03088105 0.9832714 
1.925708 0.04164792 -0.005204487 0.9933512 
1.908909 0.04725249 0.00148285 0.9942983 
1.94639 0.02896475 0.007032271 0.9766962 
1.961384 0.01812643 -0.1161802 1.036586 
1.91994 0.03670411 0.002432432 0.9803434 
1.964008 0.02401174 0.1385458 0.9275891 
