tau2_1 tau2_2 
0.00394302 0.01855583 
0.003740849 0.02192033 
0.004202434 0.004549046 
0.003484279 0.009710763 
0.003511279 0.02381833 
0.004353082 0.0134617 
0.002964163 0.008711197 
0.002790763 0.007407641 
0.0031357 0.006291744 
0.00289197 0.006860064 
0.002593711 0.008722282 
0.002921147 0.01156131 
0.003199547 0.01266001 
0.003692371 0.004886323 
0.002297106 0.01663384 
0.003380691 0.01537479 
0.002894408 0.01398784 
0.002440453 0.01412674 
0.002325911 0.02392875 
0.003172854 0.01045568 
0.003577828 0.006066701 
0.002911988 0.004325362 
0.003020845 0.008161859 
0.003512087 0.004386151 
0.003311392 0.01893816 
0.002850472 0.01430184 
0.002820128 0.01800813 
0.002992207 0.01459566 
0.003305663 0.02847413 
0.002582692 0.03101821 
0.003762254 0.01520406 
0.003779967 0.003934271 
0.003152838 0.006872439 
0.002884021 0.008382071 
0.00385494 0.005479107 
0.004042918 0.009526871 
0.003642116 0.01437455 
0.004030555 0.02015007 
0.003137864 0.01347867 
0.003487127 0.02798825 
0.003043286 0.03298922 
0.003483588 0.01728391 
0.003500615 0.008309711 
0.003165088 0.008242199 
0.002523792 0.006189055 
0.002540672 0.01051088 
0.003214536 0.004478347 
0.002693313 0.007196493 
0.003284957 0.004602713 
0.003110647 0.01702345 
0.00318188 0.01195658 
0.002563938 0.008523999 
0.002899044 0.004967601 
0.003083775 0.01653229 
0.003118312 0.005925906 
0.003057153 0.01310816 
0.003757439 0.005389145 
0.002762981 0.003541063 
0.002728127 0.01578722 
0.003465678 0.009667302 
0.003382352 0.01587948 
0.003382748 0.03530544 
0.002971611 0.01499193 
0.003072018 0.01492805 
0.00291185 0.0206893 
0.003742063 0.02330169 
0.003183746 0.03638488 
0.003227102 0.01462805 
0.002730914 0.009501846 
0.002672633 0.005529368 
0.003698172 0.01577705 
0.002608303 0.006012505 
0.002928997 0.006462573 
0.002831922 0.008980785 
0.002938814 0.003964113 
0.003591217 0.01304331 
0.003053754 0.006221427 
0.003892485 0.01192128 
0.002317847 0.01102711 
0.002849188 0.01583414 
0.003828506 0.0146199 
0.003277034 0.01004477 
0.002527112 0.00914344 
0.003086194 0.00723134 
0.002410633 0.009839647 
0.002455243 0.02277079 
0.003037358 0.01546432 
0.003157566 0.01241937 
0.003146227 0.02144881 
0.003202941 0.01293845 
0.003378564 0.01878484 
0.003529791 0.008932328 
0.00247424 0.01915642 
0.002402148 0.01120141 
0.002783051 0.00741227 
0.003609771 0.008182399 
0.00318631 0.01265702 
0.00387245 0.01362666 
0.003225918 0.00822951 
0.003777643 0.008844889 
0.002368022 0.01433161 
0.003392697 0.004673822 
0.002454694 0.01682436 
0.003155797 0.01317697 
0.003990008 0.02155955 
0.002788353 0.01254203 
0.002861199 0.02135875 
0.003558245 0.006460998 
0.003322774 0.004075014 
0.002441291 0.0120022 
0.004997473 0.01336421 
0.003953666 0.004145154 
0.00293849 0.009554718 
0.002643928 0.004580937 
0.003096039 0.007413326 
0.002924147 0.009878757 
0.003454308 0.02336523 
0.003097878 0.01653443 
0.002870713 0.01971435 
0.003039639 0.02911948 
0.003389849 0.02341705 
0.003153053 0.01597349 
0.002827892 0.007924095 
0.00345164 0.006795356 
0.00321166 0.00638962 
0.003359011 0.008578838 
0.002445942 0.009805851 
0.004487076 0.02187144 
0.003847852 0.01819953 
0.003165245 0.02060397 
0.003688106 0.01439274 
0.003573248 0.02922245 
0.002597544 0.01314447 
0.002946827 0.009857334 
