"p_1" "p_2"
0.3386526 0.6613474
0.2298823 0.7701177
0.2832928 0.7167072
0.3425998 0.6574002
0.349017 0.650983
0.4180945 0.5819055
0.2926531 0.7073469
0.3203607 0.6796393
0.3764911 0.6235089
0.3665059 0.6334941
0.3675997 0.6324003
0.3310839 0.6689161
0.3024599 0.6975401
0.3686992 0.6313008
0.2169431 0.7830569
0.2363136 0.7636864
0.3746968 0.6253032
0.3098195 0.6901805
0.2801702 0.7198298
0.2856384 0.7143616
0.2026429 0.7973571
0.3394475 0.6605525
0.3664341 0.6335659
0.2882373 0.7117627
0.2991272 0.7008728
0.2590344 0.7409656
0.2742732 0.7257268
0.3799007 0.6200993
0.2777428 0.7222572
0.2672122 0.7327878
0.3187579 0.6812421
0.2897235 0.7102765
0.2701741 0.7298259
0.4575691 0.5424309
0.3419981 0.6580019
0.3287501 0.6712499
0.3050335 0.6949665
0.3133932 0.6866068
0.3533762 0.6466238
0.2585003 0.7414997
0.3495424 0.6504576
0.2724745 0.7275255
0.258208 0.741792
0.3546997 0.6453003
0.2952981 0.7047019
0.3770862 0.6229138
0.2051479 0.7948521
0.3422272 0.6577728
0.3194103 0.6805897
0.2983175 0.7016825
0.2980111 0.7019889
0.2352331 0.7647669
0.2027108 0.7972892
0.3025792 0.6974208
0.3197979 0.6802021
0.2693172 0.7306828
0.3911696 0.6088304
0.3089018 0.6910982
0.3116173 0.6883827
0.3035013 0.6964987
0.3109909 0.6890091
0.3001872 0.6998128
0.3026991 0.6973009
0.2625509 0.7374491
0.3519849 0.6480151
0.3762122 0.6237878
0.3344838 0.6655162
0.2877213 0.7122787
0.2484776 0.7515224
0.2648753 0.7351247
0.2336673 0.7663327
0.2845757 0.7154243
0.3144388 0.6855612
0.2858414 0.7141586
0.243434 0.756566
0.3485239 0.6514761
0.3187554 0.6812446
0.4011301 0.5988699
0.2315949 0.7684051
0.2532738 0.7467262
0.3425998 0.6574002
0.2767817 0.7232183
0.3297784 0.6702216
0.274815 0.725185
0.2599172 0.7400828
0.2667416 0.7332584
0.3213714 0.6786286
0.3002312 0.6997688
0.3917435 0.6082565
0.3018987 0.6981013
0.2412824 0.7587176
0.4063403 0.5936597
0.2367312 0.7632688
0.2944537 0.7055463
0.2650987 0.7349013
0.2171668 0.7828332
0.2325172 0.7674828
0.3569896 0.6430104
0.3207844 0.6792156
0.3224234 0.6775766
0.3391106 0.6608894
0.2946472 0.7053528
0.3561473 0.6438527
0.2326083 0.7673917
0.2697792 0.7302208
0.3213299 0.6786701
0.4236298 0.5763702
0.2237697 0.7762303
0.2605867 0.7394133
0.3051325 0.6948675
0.3484947 0.6515053
0.2715303 0.7284697
0.3406449 0.6593551
0.3226918 0.6773082
0.3070625 0.6929375
0.3442397 0.6557603
0.2766434 0.7233566
0.3038397 0.6961603
0.3720631 0.6279369
0.3029837 0.6970163
0.3006286 0.6993714
0.3130268 0.6869732
0.3316156 0.6683844
0.2539634 0.7460366
0.2771408 0.7228592
0.2882122 0.7117878
0.3105516 0.6894484
0.2535337 0.7464663
0.238712 0.761288
0.2758434 0.7241566
0.2919664 0.7080336
0.2537439 0.7462561
0.2295991 0.7704009
0.2839078 0.7160922
0.2979495 0.7020505
0.2879731 0.7120269
0.3929125 0.6070875
0.3606728 0.6393272
0.2807206 0.7192794
0.2725164 0.7274836
0.29015 0.70985
0.2852754 0.7147246
0.2841333 0.7158667
0.2722152 0.7277848
0.3059092 0.6940908
0.3118898 0.6881102
0.2035026 0.7964974
0.2557118 0.7442882
0.2836334 0.7163666
0.3213373 0.6786627
0.3447177 0.6552823
0.288592 0.711408
0.3280735 0.6719265
0.3863006 0.6136994
0.3687474 0.6312526
0.3111371 0.6888629
0.264192 0.735808
0.3300618 0.6699382
0.3027258 0.6972742
0.2452614 0.7547386
0.3699107 0.6300893
0.3007014 0.6992986
0.3997049 0.6002951
0.3122209 0.6877791
0.4467853 0.5532147
