"u.bar" "t.bar"
1.063965 0.9205125
1.013862 0.8748635
0.997594 0.8270847
0.9983434 0.9036317
1.011559 0.7959307
1.016478 0.9152289
1.043649 0.7572889
1.003118 0.7871224
0.9906648 0.8053899
1.017781 0.7363749
0.971336 0.8484268
1.03529 0.7466715
1.039216 0.8768526
1.002465 0.8814896
1.046103 0.9419055
1.004202 0.7884978
1.026256 0.8730536
1.01015 0.8200731
1.031349 0.8757265
1.107018 0.8330203
1.04882 0.8384413
0.9882937 1.098483
1.166644 0.8678366
1.073157 0.9365606
1.060528 0.8501012
1.09031 0.8553497
1.02254 0.7987291
1.017791 1.00492
1.081287 0.9327937
1.020106 0.7926338
0.9637286 0.992747
0.9608054 0.7724276
1.059563 0.8678383
1.129713 1.001119
1.033025 0.8386295
0.9950418 0.8894804
1.055845 0.9832707
1.190091 1.014724
1.001746 0.8583982
1.047807 0.8554175
0.9570386 0.7881924
1.08427 0.7938964
1.03052 0.8488535
1.004298 0.755228
1.025726 0.7908917
1.030119 0.789311
1.029496 0.9156139
1.011128 0.8432248
1.087926 1.086508
1.019299 0.8202479
1.033069 0.8336661
1.061735 0.8195708
1.050097 0.8071983
1.013747 0.8670802
1.063026 0.903891
1.031487 0.9485712
1.04599 0.7949113
1.032255 0.7803385
0.9681006 0.8495163
1.013896 0.8050086
0.9989994 0.890448
0.9970083 0.8789028
1.023802 0.8638109
1.029845 0.8410915
1.06462 0.8665042
1.121211 0.8343386
1.086554 0.923454
0.9518668 0.8640812
0.9640684 0.8257504
1.010626 0.7879705
1.037669 0.7968616
1.056654 0.9495245
1.02921 0.9174742
1.105543 1.103811
1.021144 0.8993168
0.9802464 0.7769978
1.067612 0.8422108
0.9620513 0.7739268
1.081822 0.7237992
1.164011 0.8322718
1.107538 0.8153891
1.173195 0.8818407
1.028659 0.8871011
1.034417 0.7335338
1.009516 0.8730405
0.9981386 0.722726
1.024808 0.8465101
1.021937 0.7683471
1.020634 0.7588667
1.014908 0.8829513
1.052218 0.8045142
1.025671 0.8335612
0.9871936 0.9404222
1.005374 0.9012679
1.073912 0.8924704
0.9982713 0.8501547
1.077064 0.7837445
1.262999 0.8235188
0.9614962 0.834034
1.026159 0.886326
1.041119 0.8289005
0.9902691 0.7315443
1.146138 0.9952115
1.14728 0.8531521
1.013924 0.8217343
1.039703 0.8498273
0.9832404 0.8424237
1.026921 0.7883763
1.013649 0.8988634
1.017006 0.9185519
1.097173 0.8487632
1.018227 0.7743023
0.9649164 0.9265026
1.048618 0.9155133
1.139274 0.9040045
1.095948 0.8737492
1.151513 0.9488681
1.11281 0.8544971
1.085187 0.926284
1.033032 0.7625055
1.024467 0.8117875
1.061284 0.760214
1.080636 0.8297237
1.018465 0.871583
1.05487 0.8339836
1.089561 0.9221038
1.11361 1.096737
1.029269 0.9260378
1.140075 0.9767126
1.07591 0.831233
1.035867 1.143893
1.041714 0.8017612
1.04448 0.8659597
0.9917966 0.9903385
0.9979075 0.8964385
1.063895 0.9820899
1.008898 0.8024416
0.96685 0.9757087
1.081684 0.9441247
0.9909882 0.8936713
1.046762 0.8560595
1.113397 0.8603245
1.072466 0.8505214
0.9972535 0.7570391
1.092867 0.9196618
1.072345 1.069249
0.9908471 0.7965031
1.078363 0.9044758
1.063377 0.9398286
1.191495 1.143922
1.032416 0.8796104
1.002545 0.8850961
1.013488 0.7715502
1.003474 0.7969164
1.066023 0.8962618
1.081771 0.9563904
1.033404 0.9836487
1.052257 0.8357553
1.081412 0.8818703
1.00119 0.8449828
0.9654344 0.8027861
1.071489 0.8773442
1.007704 0.8825078
1.095967 0.9287763
1.102716 0.894214
1.004899 0.8814254
1.02394 0.8941272
0.9291626 1.203511
1.05044 0.9141543
1.056809 0.9251057
1.04973 0.8253058
1.007858 0.8722919
1.005715 0.7670339
1.057736 0.8945901
1.049178 0.8054461
1.049431 1.060053
1.088017 0.770297
0.9842134 0.9778846
0.9835405 0.8453157
1.133142 0.7893133
1.022833 0.8888282
1.155961 0.8856894
0.9989166 0.8109883
1.077654 0.8757957
1.003442 0.7333539
1.026069 1.004514
1.042902 0.7731919
1.046769 0.902371
1.038954 0.876892
1.030477 0.9111362
0.9914331 0.7722682
1.01212 0.7868402
1.000211 0.8352726
1.018673 0.7745456
1.006785 0.9119529
1.009874 0.8740374
1.043958 0.9388877
1.068863 1.113015
1.023526 0.9272114
1.042062 0.8058286
0.9893451 1.017889
1.09667 0.8614157
1.033037 0.7487735
1.087133 0.8615995
1.040243 0.7854929
0.9744728 0.8422728
1.008808 0.8093203
1.084233 1.040516
1.028321 0.9433894
1.080773 0.7642794
1.011682 0.8174316
1.023333 0.8971013
1.012138 0.7974211
1.009916 0.8853526
1.07361 0.7880737
1.068899 0.7692489
1.014442 0.7113637
1.055522 0.7825883
1.052254 0.7454357
1.02376 0.8899533
1.06643 0.8803676
1.039284 0.8224957
0.9846158 0.7966181
1.016891 0.8726865
0.9988502 0.752804
1.125654 1.060547
1.102241 0.89155
1.045876 0.9767434
1.094118 0.7419287
1.103583 0.8858774
1.007871 0.8249023
1.03038 0.8226339
1.052578 0.8534051
1.176698 0.8172655
1.099994 0.8824547
1.041944 0.889834
1.022772 0.8150531
1.005803 0.8012871
1.053801 0.8606919
1.191775 0.9047039
1.018785 0.8874471
0.9979465 0.7306956
0.9826324 1.087513
1.027777 0.9392915
1.020269 0.9338503
1.064617 0.9920311
0.9961442 0.8264428
1.038695 0.7475224
0.9532593 0.8182041
0.9768654 0.7590619
1.004062 0.7720825
1.155649 0.9202532
1.09562 0.8481158
0.9747189 0.7758535
1.062405 0.873362
1.109327 0.9673697
1.036208 0.9057169
0.9925212 0.9160841
1.053298 0.8054542
1.144479 0.9427146
1.026177 0.8647642
0.9838292 0.874704
0.9905982 0.8856262
1.041992 0.8065601
0.9819669 0.7964784
1.088311 0.85403
0.9968597 0.7866177
0.9944615 0.9440411
1.09812 0.9950128
1.258454 0.9042062
0.9995654 0.7995033
0.9729201 0.946782
0.9958738 0.875012
0.9988167 0.8260649
