"res" "LCI" "UCI"
-2.09628010292559 -2.56707258214881 -1.73517740473073
-2.05827514108068 -2.54373375530389 -1.67975901174671
-1.95804408224806 -2.3648634321091 -1.58214192378358
-1.78698757886746 -2.07544807132374 -1.48558693612927
-1.72598188509345 -2.02121729764345 -1.41804567429217
-1.65903325942205 -1.95188912444993 -1.35181711913365
-1.24188765273249 -1.51198530664395 -1.00495983702441
-1.14473302713449 -1.39293505168979 -0.936469138902221
-1.08842409667682 -1.31271525222692 -0.888277111481943
-1.04450019076127 -1.26212059335734 -0.845550815932996
-1.00821507103545 -1.22659110231797 -0.811498523090935
-0.964685657725496 -1.17284759101377 -0.764148939489488
-0.923633830026412 -1.11353462628828 -0.731152845824581
-0.864010496919971 -1.0655545121001 -0.683184423894921
-0.839279055853648 -1.03406386184781 -0.659926251692619
-0.811489886939945 -1.00596714028435 -0.637668450246825
-0.794541477822056 -0.989115642118974 -0.624398980789636
-0.778599973595563 -0.969812879008417 -0.609215707378744
-0.764416629194407 -0.951568498812779 -0.594506794725332
-0.751960136364135 -0.937934202214518 -0.584349677228839
-0.73806384712023 -0.921529372712977 -0.570780802222068
-0.726377915786886 -0.906469402623633 -0.560747093924
-0.707615249648384 -0.877872469791367 -0.547139696589253
-0.688657829467964 -0.857096115521188 -0.530144866118318
-0.667576961139351 -0.839279951606761 -0.509339837832391
-0.650166882075879 -0.820315783635862 -0.490335155710039
-0.636141712144804 -0.806553087887092 -0.471445804286095
-0.624604542115996 -0.793345063054554 -0.456674630551117
-0.613614148830081 -0.782926408731334 -0.444998692371333
-0.598172430811024 -0.764179138327655 -0.431735569674945
-0.585501575456434 -0.752327533473677 -0.414609684924347
-0.572962245962895 -0.740039294987731 -0.399474767223426
-0.563157428839653 -0.731503243593691 -0.388635313159515
-0.551974218586214 -0.722581503962315 -0.37663954793787
-0.535063585550532 -0.699787272091587 -0.364621253020099
-0.520246602215505 -0.683686783338679 -0.35353865827936
-0.505879474514932 -0.670594980825886 -0.33537214257521
-0.493276729390756 -0.654307382249671 -0.324837098540379
-0.476118243880688 -0.633171684187562 -0.309649986371265
-0.461735653657818 -0.617581423619239 -0.296515125824768
-0.442313140941037 -0.598361645278999 -0.280980834605091
-0.426829633705491 -0.583475118348668 -0.257968762702781
-0.412693145899844 -0.568116670344644 -0.246999801490698
-0.397482241712414 -0.550575156028642 -0.233808663678804
-0.378313181727062 -0.529846391661304 -0.215999815666069
-0.363622857227847 -0.515838057347575 -0.201263626060809
-0.348432597911133 -0.503406330416257 -0.185948976000491
-0.33523727708553 -0.489429411664765 -0.175452241581874
-0.321511356592238 -0.476312860998729 -0.160525043772793
-0.309525953608071 -0.460306896821675 -0.149360602997245
-0.296918047343563 -0.447929356920567 -0.1339111409635
-0.284321977506632 -0.436647756642836 -0.119489024856603
-0.272156785885264 -0.423166144481751 -0.109938598864002
-0.259970200568107 -0.410957231531511 -0.0978520404212115
-0.248471998097732 -0.398977569628775 -0.087129768788588
-0.236862546306928 -0.386978481148619 -0.0751671744418964
-0.224600556960323 -0.376247599940416 -0.0615722051283764
-0.212354747777007 -0.362389291133832 -0.0480807182023801
-0.198984139625205 -0.348955798453368 -0.0353892139045735
-0.186379728827892 -0.338680774988499 -0.0209796645145422
-0.172321905312663 -0.325302739277725 -0.00358350927964662
-0.159137184786598 -0.309582057067723 0.0103774902099887
-0.144167735186029 -0.295671078394201 0.0253070951429193
-0.128167392911352 -0.279481085783892 0.0408627739870684
