Delta_1 Delta_2 
-0.004154395 -0.01372743 
0.03107658 -0.03875301 
-0.04372653 -0.01539612 
-0.003481612 -0.01141931 
-0.09466312 -0.01983222 
-0.0135261 0.01671229 
-0.08556947 -0.01082755 
0.04599146 0.01170948 
-0.05617873 -0.01623892 
0.06681656 -0.04177073 
-0.05281891 0.01366133 
0.03400691 -0.007806032 
0.0428553 -0.02086346 
0.09528457 -0.002394996 
-0.05335115 -0.02617926 
-0.01770544 0.006611396 
-0.08025338 0.00303499 
0.08603949 0.01150459 
0.07400468 0.008621596 
0.1039966 0.004808423 
0.01954775 0.01432873 
-0.02445233 0.01474768 
-0.02582941 0.001900721 
-0.1160407 -0.03608782 
-0.03137969 -0.0003338089 
-0.04792808 -0.007222096 
0.1064947 0.01049929 
-0.04498937 0.02417532 
-0.04843185 0.01150914 
-0.02567687 0.03099858 
0.008563558 0.01654047 
-0.01138914 -0.02543758 
0.1942203 0.02598332 
0.0804768 0.03915172 
0.02789424 0.01083046 
0.07157705 -0.006855325 
-0.02333526 -0.01596958 
-0.01213839 0.02038663 
-0.01778375 -0.01150483 
0.04043575 0.01668565 
-0.1172043 -0.01494566 
-0.01824705 -0.008831111 
-0.08982021 0.02149956 
-0.02426308 -0.00426052 
-0.05029378 0.001478608 
-0.02127846 0.01130549 
-0.02881669 -0.003196033 
0.07256344 0.01074985 
-0.1232313 -0.01207205 
-0.04457722 -0.03729609 
0.040347 -0.02480441 
0.1003675 0.01750656 
0.02845189 0.01238343 
-0.01279859 0.009794757 
-0.1186617 -0.03870096 
-0.1010196 -0.003701381 
-0.1029155 -0.01076457 
-0.05129518 -0.0007875433 
0.06442025 0.01189717 
-0.06031848 0.00855031 
-0.07635099 -0.01409577 
-0.0404722 -0.0008761638 
-0.04773898 0.009976263 
0.01594291 -0.03596855 
0.02405756 0.009209503 
0.04932207 0.000108096 
-0.05964723 -0.0269697 
-0.05574917 0.003300406 
-0.01636381 -0.04947803 
0.0034144 -0.03528559 
-0.02614833 -0.01879202 
0.01242903 -0.003287373 
-0.02006706 0.002767538 
-0.05696265 -0.02298704 
-0.03091131 -0.01045863 
0.04260813 0.007648655 
-0.04665988 -0.01429489 
0.04372178 0.02581496 
0.04858768 -0.002596852 
-0.01356515 -0.009300052 
-0.03021615 -0.002162081 
0.007910763 -0.03791182 
0.05576528 -0.006631283 
0.09906972 0.007592706 
0.09449212 -5.951118e-05 
0.04235758 -0.004766485 
-0.04440628 -0.003294583 
-0.01906345 -0.006320997 
-0.05551643 -0.01235993 
-0.002675679 0.02244503 
0.004982735 -0.01326972 
-0.01010257 0.0258178 
-0.03294172 -0.01844066 
-0.007421242 -0.004744136 
0.02819154 0.01758561 
-0.03285703 -0.006759655 
-0.03016488 -0.02871758 
0.09803501 0.008040248 
-0.02614026 0.005130373 
-0.0008331345 0.03543416 
-0.04433254 -0.007387633 
0.05135414 0.03925454 
0.07368602 -0.01886592 
-0.1863528 0.007745796 
0.2022301 0.007320886 
-0.04776891 0.02107995 
0.09158469 -0.01645759 
0.09530332 0.01533797 
0.01928205 0.03195929 
-0.04737389 -0.01529567 
0.07751882 0.01064309 
-0.004758859 0.004831416 
0.04198258 -0.02640557 
-0.1044857 0.007254069 
-0.0297958 -0.0003929073 
-0.03577594 -0.02116555 
-0.04737435 0.003480765 
-0.01977812 -0.007782652 
0.003246799 -0.02117816 
-0.03567097 -0.01374986 
0.03217656 0.004145913 
-0.1045573 -0.01366237 
-0.04334194 -0.01864197 
0.03002563 -0.03190479 
-0.09669534 -0.01176771 
-0.01021073 0.01369068 
-0.01598909 -0.01537013 
0.01825729 0.0002607293 
0.1286728 -0.007441987 
-0.0810538 -0.007250782 
-0.09005976 -0.02503568 
-0.09121689 -0.01919965 
-0.004346439 0.0002808913 
-0.05157385 -0.003563001 
-0.06235206 -0.01272542 
-0.09285524 0.02239576 
-0.009047262 0.005780228 
0.03085305 -0.003233173 
0.02133834 0.02410923 
-0.05898937 0.007835197 
-0.05456658 -0.02016345 
0.07879061 0.008200438 
0.003885395 -0.0001815413 
0.0202435 -0.02128174 
0.1037043 0.01532319 
-0.07920357 -0.01646154 
-0.039519 -0.03252784 
0.006895155 -0.008418203 
0.02732875 -0.000850433 
0.001582292 -0.03306351 
-0.02547659 -0.009262474 
-0.04835531 -0.01180447 
0.03275247 0.01804751 
-0.02145178 -0.008991118 
-0.03149149 0.02137642 
-0.009435816 -0.03507979 
-0.0114739 -0.01443739 
-0.02276774 -0.01733288 
-0.07992674 0.009481409 
0.0115506 0.03060412 
-0.01291603 -0.01468922 
0.129136 -0.01272555 
-0.02536822 -0.008460221 
-0.006932385 -0.01961213 
0.1703302 -0.0148609 
0.09676 -0.01775222 
-0.06401773 0.01410517 
0.065797 -0.001673181 
-0.05651675 0.01775706 
0.05743279 0.01277351 
-0.02708279 -0.003421098 
-0.001562815 -0.009736434 
-0.02341972 -0.02937712 
-0.08748798 -0.01553923 
-0.0158096 -0.01484646 
-0.06866859 0.001392092 
0.01853763 -0.01116897 
0.00663214 0.006321262 
-0.04312167 -0.0110893 
-0.04952507 -0.02237005 
0.01405999 0.0005879676 
-0.01343735 -0.01228336 
-0.03149315 -0.03288749 
0.08610267 -0.01686283 
-0.02793553 -0.01103607 
-0.01247189 0.01071208 
0.02144845 0.002494222 
-0.02848944 0.01148237 
0.007874103 0.01122877 
0.002865317 -0.007600647 
-0.02000652 -0.03900551 
0.01594383 0.02041898 
-0.01509662 -0.02233586 
-0.02807573 0.007163463 
0.03448309 0.02938334 
0.01048289 -0.01739586 
-0.01317827 -0.0191021 
-0.032272 0.008949462 
-0.09828505 -0.0005503534 
0.0285564 -0.007782114 
0.004918824 -0.01076472 
-0.008027671 0.03684152 
0.05624688 -0.01345976 
-0.03192827 0.0005569829 
-0.005328172 0.00111524 
