tau2_1 tau2_2 tau2_3 
0.004492001 0.008954849 644.2509 
0.003255836 0.00737516 1.846745 
0.00306189 0.01202856 0.06594863 
0.003375321 0.01078258 24566.35 
0.003525474 0.00466001 24376433006 
0.003325128 0.004506345 73.33635 
0.003263812 0.01148729 1.148258 
0.00351189 0.003089874 179178311 
0.004065061 0.0162201 0.7327171 
0.002528918 0.01949337 511436055461 
0.003765117 0.005279401 0.6142884 
0.003656224 0.005520463 3.161793 
0.002654665 0.01839349 1.852637 
0.003555473 0.01841449 0.01827838 
0.002834294 0.004859285 16440.48 
0.003776489 0.009246961 0.03406483 
0.0036027 0.01024189 228.4632 
0.004187772 0.01646498 35652.32 
0.002814019 0.01524143 1.338095 
0.00261961 0.0174527 1.12827 
0.003164324 0.01052549 0.9548371 
0.003036567 0.02750116 108194993 
0.003280588 0.0145561 554896483405 
0.002469373 0.01544917 2.839086 
0.002748419 0.009662914 20.58174 
0.002737407 0.01623621 0.1675191 
0.002386577 0.005953426 9.243435 
0.003484956 0.004553181 1.615982e+17 
0.003484065 0.0220776 0.574189 
0.002774717 0.0101764 6437.395 
0.003504046 0.00774121 11.41613 
0.003045637 0.015669 13.51488 
0.003334334 0.005230203 0.2233805 
0.002344205 0.005609373 1.648649e+13 
0.003849512 0.008440815 1.124653 
0.0032794 0.008307669 21.1532 
0.002690613 0.01230845 0.5267387 
0.002944949 0.006833448 0.1498081 
0.003872966 0.0150572 21419.51 
0.002132907 0.008597317 0.04697655 
0.003685476 0.01030399 10.78872 
0.00296796 0.01072744 1370.558 
0.002257144 0.007784357 16453.81 
0.004829201 0.02234481 2.916113 
0.002782365 0.01030547 2.495962e+12 
0.002148394 0.005900404 4.189594e+14 
0.003045938 0.007253653 13865.09 
0.003279335 0.007338665 98498197 
0.003087395 0.01400566 1.40595e+13 
0.00275472 0.01055957 0.2741788 
0.002316974 0.0158276 0.8075931 
0.003407492 0.01036527 0.189145 
0.002911708 0.008978935 11.35054 
0.003191443 0.005826883 746.9357 
0.003074817 0.01183753 0.2612909 
0.002544734 0.01260513 23.33313 
0.00274505 0.01162246 588988767560 
0.003072712 0.01729203 200.9908 
0.003874797 0.01427674 2690.532 
0.003923913 0.01403652 0.236502 
0.003724396 0.02078943 122412.1 
0.00250109 0.005033432 736.6916 
0.002911222 0.006882913 1349.384 
0.002727258 0.01352167 0.7148692 
0.003528285 0.01224388 9.890875 
0.003752036 0.0110326 820.7916 
0.003381485 0.009373123 770806 
0.002666276 0.02054397 181.6564 
0.003473652 0.01236091 0.1595234 
0.002899009 0.01494106 10.57969 
0.002592993 0.01565871 1.303546 
0.003198404 0.02154243 8.962227 
0.003036013 0.01567349 42.23603 
0.003310245 0.01058647 10.68556 
0.003848487 0.0295656 2.807578 
0.003967555 0.01431212 44.18903 
0.00260721 0.0274276 276.1143 
