Delta_1 Delta_2 Delta_3 
0.0945925 3.432419 -0.0476403 
-0.1064042 7.642126 -0.00196315 
0.04067854 12.1799 0.01122667 
-0.02286721 15.5111 -0.02303834 
0.06515132 -4.477325 -0.0139227 
0.01003153 8.204391 0.007602931 
-0.0562968 3.449192 -0.01200566 
0.04615419 -12.83417 0.01788059 
-0.01629097 -4.273837 0.01102409 
-0.007181486 -20.42284 -0.01341354 
-0.01955214 -0.6765387 -0.007974609 
-0.05386046 1.408043 0.01149386 
-0.02415145 -2.397179 -0.02170469 
-0.02714988 -0.8307713 0.004343881 
-0.03968797 -5.702428 0.007406241 
-0.04982937 7.74412 0.00081405 
-0.04073616 1.943704 -0.009489173 
0.01521455 9.466543 0.007618306 
-0.01858006 -27.50669 0.007785449 
-0.05207504 6.018696 0.002146132 
-0.03329061 4.472785 0.0261671 
-0.04343744 -12.26842 -0.02990358 
0.05814685 17.08242 0.01155559 
-0.08930455 0.2282392 0.03425818 
-0.06784056 14.31717 0.01592353 
0.008204013 -2.855352 0.01011716 
-0.04921591 0.803342 -0.02487757 
-0.04499384 -10.08715 0.03225888 
-0.03077834 0.4059235 -0.01574545 
-0.04869636 -8.828628 -0.01280127 
0.05300698 2.862543 -0.01861202 
0.007877605 14.74956 -0.00899095 
-0.07055861 -6.760142 -0.001622564 
-0.09320958 -1.088383 -0.01472941 
-0.05419466 -12.16242 -0.01839832 
0.05280471 2.717052 -0.03659151 
0.05858475 6.001705 -0.0209791 
-0.2018182 10.11293 -0.009206599 
-0.1139129 -12.15979 0.01411799 
0.03481426 5.870876 -0.01085302 
-0.0358003 17.73994 -0.01327203 
0.04994781 -8.373293 -0.02698614 
0.01569686 -1.391097 -0.006583767 
0.1005707 8.922019 0.01607987 
-0.04669175 13.99606 0.03411699 
-0.01258824 -7.299606 -0.008479518 
0.0616735 6.072829 -0.01625244 
-0.04211114 4.828124 0.0004289416 
0.07531378 -12.57247 -0.004200222 
-0.068045 -0.7871616 -0.001150008 
-0.01593135 13.87381 0.0227561 
-0.07788554 3.886993 0.006381625 
-0.1381333 -19.84679 -0.008331606 
0.02429553 14.12489 -0.01638519 
0.02486339 -4.670659 -0.0176205 
-0.1461807 -18.61557 -0.00828704 
-0.06630915 -19.89958 -0.004543477 
-0.06491398 13.04842 0.01287442 
-0.1344798 0.1461555 0.01477549 
0.06888851 6.809515 -0.003481848 
-0.03983209 -4.521986 -0.02309307 
0.02469688 9.956232 0.03129038 
-0.03298937 0.8981346 0.0005247715 
0.02691752 -12.6669 0.003797026 
0.05198411 -6.218994 0.01441331 
-0.05938741 12.142 0.001720936 
0.2258379 -5.034204 -0.03050529 
-0.02766286 8.713093 -0.02037675 
-0.03770799 -6.275896 0.0046788 
-0.004264038 -1.936858 -0.00299641 
-0.1120329 -7.284548 -0.008346609 
0.1306306 -8.360131 -0.0102907 
-0.03776329 -1.124783 0.007436258 
-0.114752 -14.65156 -0.01442547 
-0.03165864 3.64162 -0.03623335 
0.09137582 2.452979 0.01613818 
-0.1029399 -6.004577 -0.03405123 
-0.0003539783 -3.871917 0.003134059 
-0.06438296 -1.499433 -0.0246981 
0.03800448 -2.20356 -0.03510826 
-0.02595491 -4.338721 -0.01038363 
-0.04617423 0.5440531 -0.002009237 
-0.01175882 -0.1544734 0.02353462 
-0.0909181 -11.17086 -0.01521831 
0.0001271384 -4.119804 0.01507832 
-0.04124603 2.600701 0.01213279 
-0.05079713 -1.590691 0.001043716 
-0.02918072 2.371999 -0.002829814 
0.01501325 -4.671091 -0.003684726 
-0.1614479 -0.9169448 -0.03106045 
-0.08662994 6.668625 0.002449675 
-0.04967723 4.528012 -0.01408542 
0.04634855 22.93124 0.01629604 
-0.03700876 -5.716314 -0.007449904 
-0.01686381 -12.14584 -0.003444917 
-0.007686773 7.282278 -0.01377592 
-0.0387421 -0.08147969 0.02138574 
-0.007150052 3.575559 -0.02225094 
0.001237128 -14.12427 0.01120945 
-0.02233807 -8.382565 0.01578497 
-0.04382902 2.156918 -0.0255906 
-0.04623886 -17.89239 0.003512848 
-0.06543392 -6.848673 0.01640395 
-0.05274824 -16.19256 0.01135126 
-0.06535642 -10.85298 0.001710915 
-0.04040922 10.80205 -0.01527553 
-0.01124185 -14.02877 -0.006183351 
0.01943345 -12.96623 -0.01866363 
0.003996791 -0.7812004 0.007052093 
-0.04466287 2.832445 -0.002023064 
-0.005691339 19.56214 -0.01747122 
-0.03534462 10.10056 -0.002628099 
-0.113878 -7.617649 0.01654153 
0.02079894 -6.23905 -0.01732849 
0.164639 -6.66224 -0.01213082 
-0.1080762 10.27675 -0.01052291 
-0.007963667 6.549878 -0.001794262 
-0.07846434 -2.331785 -0.006868228 
-0.03093262 -4.401924 0.02029334 
-0.03212249 3.437381 -0.04112385 
-0.03138219 2.239385 0.005157873 
0.1103805 6.648046 -0.007802801 
-0.05823829 -5.120261 0.000307174 
-0.03346944 -4.397915 -0.01788319 
0.007647383 -16.03394 -0.003777504 
-0.04629881 -16.94165 -0.001509945 
-0.0768845 -17.76861 -0.01280147 
0.02082854 2.58573 0.01235404 
-0.05903185 6.726208 0.02799322 
0.01494875 -16.75872 0.01694633 
-0.05458692 13.4581 -0.0001228318 
-0.01810286 -20.47238 0.004130343 
-0.08529634 19.1913 0.00878591 
-0.09894528 -5.686741 -0.02172744 
-0.1104689 13.7741 -0.02453533 
-0.03783415 3.686283 -0.00357475 
-0.07404839 2.253805 -0.0101553 
-0.04767388 -4.378703 0.01020328 
-0.03808229 -0.9380655 -0.01937389 
-0.02550298 -5.710602 0.005512458 
0.002418493 -15.92885 -0.00759671 
0.0809328 18.89341 -0.008591036 
-0.03513491 -26.52503 -0.01603868 
-0.02519079 2.283708 -0.01788634 
-0.05352075 1.053925 4.883721e-05 
-0.006997394 -1.514712 0.005815264 
-0.1761979 -8.032964 -0.008065457 
-0.09175789 3.359811 0.01355652 
0.03473 -6.269925 0.01727099 
0.0493025 3.060271 -0.008041466 
-0.01937761 -14.42788 0.01044201 
-0.0008883357 4.313529 -0.006153299 
0.008119886 10.89927 0.00277678 
-0.04218775 10.92617 -0.03669385 
-0.04926891 -13.31543 0.001652432 
