beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
-0.02827518 0.9919182 -7.262204 -2.51287 1.958014 0.02583081 
-0.003457465 0.9933443 0.3779269 -10.49916 1.915512 0.04109714 
-0.004700088 0.9790559 7.520916 10.73615 1.950349 0.02449931 
-0.1081518 1.019817 18.07654 -5.802296 1.913452 0.04548153 
-0.120353 1.016847 -3.257733 -14.54703 1.901483 0.04799937 
-0.02708373 0.996862 -0.5278016 4.049786 1.946853 0.02812971 
-0.2788941 1.089648 -8.672811 -7.321315 1.901633 0.04974665 
0.1260255 0.937784 -2.863571 9.129704 1.894994 0.04950417 
0.1535618 0.9269495 -18.94475 -13.19035 1.953198 0.02329322 
0.03931095 0.9766951 -2.403972 2.559184 1.858817 0.06976771 
0.01605111 0.9677143 -5.023818 -2.303362 1.894204 0.05714998 
0.1008134 0.9364173 6.096796 -4.483019 1.860254 0.0658107 
0.1332625 0.9336698 -12.47805 -8.108012 1.90961 0.04594689 
-0.00774928 0.9969823 -1.667717 -9.275928 1.904264 0.04448803 
0.1987283 0.8915871 8.938198 -1.925297 1.936496 0.03431297 
-0.1570087 1.05832 -6.393936 -3.105815 1.883505 0.05871213 
0.07464896 0.9566105 4.870662 -9.554341 1.937412 0.03021584 
0.09793389 0.9466597 -17.72029 -0.8017422 1.905819 0.04588503 
-0.09222657 1.030763 -7.901341 16.60196 1.892286 0.0480438 
0.007200829 0.9733264 -15.93728 2.003436 1.938204 0.03266644 
0.06829247 0.9483903 -13.39463 -1.718674 1.86329 0.06221908 
0.02208108 0.9758014 8.527742 -10.03381 1.954682 0.02860594 
0.0088882 0.9786098 0.9090674 2.205574 1.943894 0.03245685 
0.06804022 0.9545979 12.64491 -3.151647 1.929409 0.0344258 
-0.02818351 0.9912318 -1.809643 -4.510213 1.9021 0.041126 
-0.1128298 1.042513 -2.667947 -12.95267 1.943893 0.03449042 
0.04553208 0.9727172 -13.35786 -0.04807387 1.914725 0.0495536 
-0.07073599 1.01165 -18.60952 17.11505 1.859491 0.06631329 
0.04660648 0.9758445 -8.224037 -12.11552 1.939855 0.03206894 
0.00170539 0.9821104 -9.843149 7.769579 1.965365 0.02327572 
0.124681 0.935089 -0.9496104 -3.194115 1.946272 0.02829114 
0.1548871 0.9222338 -2.36959 5.941091 1.895908 0.05357713 
