p_1 p_2 p_3 
0.732114 0.2556634 0.01222257 
0.6843002 0.3060742 0.009625567 
0.7375759 0.2621999 0.0002242115 
0.6774292 0.3137029 0.008867947 
0.7211467 0.2779044 0.0009488101 
0.6684203 0.3290202 0.00255955 
0.7145289 0.2796262 0.005844887 
0.6496531 0.3383171 0.01202977 
0.5764326 0.3945598 0.02900767 
0.6749235 0.3089983 0.01607817 
0.6574675 0.3413648 0.001167688 
0.739597 0.2498651 0.01053792 
0.7212942 0.2703541 0.008351691 
0.6785655 0.3177705 0.003663957 
0.6359195 0.3460392 0.01804126 
0.6368609 0.3561684 0.006970713 
0.7186583 0.2768237 0.004518024 
0.736634 0.2616282 0.0017378 
0.7203543 0.2785319 0.001113882 
0.6470802 0.3491135 0.003806267 
0.732729 0.2560098 0.0112612 
0.6560704 0.341241 0.002688652 
0.7125382 0.2748923 0.01256956 
0.7133841 0.283028 0.00358783 
0.7012394 0.298186 0.0005745915 
0.5665791 0.4317208 0.00170011 
0.7781299 0.2213404 0.0005297818 
0.6635026 0.3174804 0.01901699 
0.6489019 0.3373829 0.01371512 
0.7588113 0.2323023 0.00888635 
0.7396808 0.2534404 0.006878868 
0.7507516 0.2445507 0.00469777 
0.6192373 0.3372212 0.04354157 
0.6833799 0.3140164 0.002603698 
0.7452483 0.2342315 0.0205202 
0.7186638 0.266153 0.01518319 
0.780226 0.2161488 0.003625164 
0.6633577 0.3233007 0.01334156 
0.6832757 0.2841625 0.03256173 
0.6923757 0.3046482 0.002976094 
0.7418497 0.2535241 0.004626161 
0.7285381 0.2643371 0.00712481 
0.6721985 0.3277097 9.181166e-05 
0.7371949 0.2615017 0.001303356 
0.6611696 0.3348648 0.003965615 
0.6723172 0.3236688 0.004013976 
0.6895224 0.3092768 0.001200849 
0.6721296 0.3260482 0.001822197 
0.6709363 0.3235368 0.005526909 
0.6304233 0.3408555 0.02872115 
0.7038804 0.2947379 0.001381714 
0.5975376 0.3983836 0.004078789 
0.6969721 0.2973646 0.005663227 
0.691251 0.3061907 0.002558338 
0.6949281 0.3024769 0.002594973 
0.6277658 0.3650517 0.007182536 
0.7307815 0.268328 0.0008904899 
0.7322005 0.2657639 0.002035613 
0.6853156 0.3127263 0.001958077 
0.6934462 0.3025277 0.004026027 
0.6442273 0.3505428 0.005229832 
0.651438 0.3174249 0.03113715 
0.7056498 0.2879412 0.006409049 
0.7333455 0.2512927 0.01536183 
0.7257369 0.2691168 0.005146352 
0.7050616 0.2870403 0.007898097 
0.7576148 0.2284797 0.01390551 
0.6188047 0.364584 0.01661131 
0.6644548 0.3306747 0.004870524 
0.7501774 0.2465821 0.003240427 
0.6926823 0.3045681 0.002749636 
0.7163531 0.2831482 0.0004987193 
0.7170503 0.2643099 0.01863978 
0.7516105 0.2420728 0.006316759 
0.7663665 0.2320341 0.001599427 
0.5916146 0.4006893 0.007696104 
0.7368582 0.261898 0.00124388 
0.6563329 0.3435799 8.724194e-05 
0.7047289 0.2940323 0.001238786 
0.625686 0.3661801 0.008133862 
0.5809585 0.4136377 0.005403806 
0.6670726 0.3290952 0.00383215 
0.6730882 0.3204126 0.006499258 
0.758659 0.2197315 0.02160947 
0.6892325 0.294713 0.01605451 
0.687598 0.3039176 0.008484323 
0.7408058 0.2482469 0.01094737 
0.6940375 0.3053705 0.000592057 
0.6499328 0.3453681 0.004699055 
0.6705598 0.3270502 0.002390019 
0.6789189 0.3205304 0.0005507434 
0.7413797 0.2575705 0.001049729 
0.6923367 0.2983608 0.009302486 
0.65488 0.3386305 0.006489545 
0.7537925 0.236765 0.009442501 
0.6253192 0.3663302 0.008350557 
0.5896721 0.4090736 0.00125427 
0.6560998 0.3406526 0.003247517 
0.6786322 0.305029 0.01633879 
0.7088709 0.285488 0.005641106 
0.6952352 0.3000659 0.004698922 
0.7619336 0.2360544 0.002012072 
0.6330737 0.3663828 0.0005435492 
0.7182857 0.2773971 0.004317235 
0.7764086 0.2153559 0.008235528 
0.655772 0.3377275 0.006500434 
0.6880896 0.3089422 0.002968261 
0.681588 0.3089963 0.009415623 
0.6558026 0.3213533 0.02284402 
0.7053398 0.2737792 0.02088105 
0.6578767 0.3328277 0.009295585 
0.7769181 0.2167722 0.006309768 
0.6929552 0.3032236 0.003821293 
0.7452734 0.2460152 0.008711471 
0.6580485 0.3104603 0.0314912 
0.7133011 0.2708145 0.01588442 
0.7829085 0.2072081 0.009883353 
0.6588502 0.3395033 0.001646547 
0.7449861 0.2507168 0.004297117 
0.6694381 0.3305368 2.507466e-05 
0.7576419 0.2353895 0.006968561 
0.7848246 0.2076037 0.007571672 
0.6349493 0.3561735 0.008877183 
0.737473 0.260625 0.001902 
0.5601589 0.4195088 0.0203323 
0.6437274 0.3494989 0.006773629 
0.7070445 0.2920781 0.0008774073 
0.7306742 0.2653112 0.004014623 
0.7325311 0.2671059 0.0003630056 
0.6303658 0.3634329 0.006201229 
0.6543528 0.3421994 0.003447841 
0.722524 0.2479201 0.02955591 
0.7083437 0.2905549 0.0011014 
0.7420827 0.2469547 0.01096264 
0.6814546 0.3108364 0.007708971 
0.8117639 0.1810595 0.007176636 
0.7806707 0.2124925 0.006836802 
0.8009525 0.1923612 0.006686311 
0.6500387 0.3462521 0.003709186 
0.7239152 0.2621869 0.0138979 
0.7425749 0.2557452 0.001679875 
0.7649698 0.2212009 0.0138293 
0.6233131 0.3633204 0.01336659 
0.6897092 0.3004393 0.009851468 
0.6689725 0.3283272 0.002700315 
0.7096778 0.2888438 0.00147845 
0.6641474 0.325598 0.01025455 
0.7083823 0.289633 0.001984707 
0.6045064 0.3897442 0.005749419 
0.7248789 0.2685342 0.006586855 
0.7170099 0.2813903 0.001599792 
0.645709 0.3348112 0.01947984 
0.639515 0.3371589 0.02332611 
0.7728669 0.2216794 0.005453755 
0.7530514 0.2461381 0.0008104936 
0.6759396 0.3133333 0.01072703 
0.756491 0.235676 0.007832936 
0.7308271 0.2677919 0.001381076 
0.7313531 0.2557891 0.01285774 
0.7613111 0.2368432 0.001845702 
0.7020541 0.2867972 0.01114865 
0.6688773 0.3269054 0.004217236 
0.6959009 0.2938165 0.01028265 
0.5996681 0.3767378 0.02359407 
0.6554517 0.3310169 0.01353138 
0.6339688 0.3604355 0.005595702 
0.7600111 0.234123 0.005865873 
0.7591877 0.2406771 0.0001351573 
0.7267054 0.2658019 0.007492788 
0.7457141 0.2514484 0.002837445 
0.8131463 0.1845673 0.002286333 
0.6863525 0.3028425 0.01080507 
0.7365675 0.2484134 0.01501906 
0.7011037 0.2898949 0.009001361 
0.7161589 0.2819675 0.001873617 
0.6821028 0.3053786 0.01251856 
0.7589076 0.236065 0.005027359 
0.6989866 0.2961772 0.004836182 
0.691186 0.3074815 0.001332435 
0.7964424 0.1976954 0.005862179 
0.6596243 0.3366724 0.003703306 
0.724664 0.254691 0.02064499 
0.721395 0.2758879 0.002717121 
0.7248667 0.2646994 0.01043392 
0.6510764 0.3339498 0.01497378 
0.6729403 0.3191685 0.007891211 
0.712518 0.2862653 0.001216696 
0.6557702 0.3409813 0.00324849 
0.6218548 0.3754301 0.00271513 
0.6185422 0.3805755 0.0008822428 
0.6220268 0.3757753 0.002197895 
0.7140089 0.2812902 0.004700946 
0.7018312 0.2917625 0.00640628 
0.6790035 0.3163032 0.004693261 
0.5544461 0.4448805 0.0006734178 
0.6883988 0.3085995 0.00300166 
0.6814828 0.3134528 0.005064447 
0.7888404 0.204377 0.006782633 
0.5430176 0.4538601 0.003122345 
0.7510846 0.2342209 0.01469457 
0.6772249 0.3094063 0.01336884 
0.5998685 0.393359 0.006772553 
0.6780565 0.3169389 0.005004656 
0.6666923 0.3039289 0.02937881 
0.6563085 0.340013 0.003678516 
0.6903479 0.305153 0.004499015 
0.6159787 0.3785009 0.005520461 
0.7971747 0.1893812 0.01344415 
0.7477254 0.2377063 0.01456827 
0.7249111 0.2723369 0.002751954 
0.6252605 0.3691052 0.005634389 
0.7714807 0.2249927 0.003526659 
0.7236433 0.2673368 0.009019945 
0.6229901 0.3687691 0.008240789 
0.7174022 0.2541636 0.02843419 
0.6575614 0.3344422 0.007996368 
0.6787732 0.3065197 0.01470709 
0.7292612 0.2598694 0.01086938 
0.7299213 0.2689062 0.001172469 
0.6651135 0.3277889 0.007097578 
0.6041611 0.3784021 0.0174368 
0.7652272 0.2325621 0.002210684 
0.7496944 0.2487643 0.001541344 
0.7203013 0.2725056 0.007193117 
0.7223152 0.2695801 0.008104739 
0.7101574 0.2813698 0.008472803 
0.7571007 0.2400088 0.002890488 
0.7529818 0.2399254 0.007092749 
0.6679746 0.3302902 0.001735166 
0.6506388 0.3443374 0.005023867 
0.7736472 0.2251955 0.001157366 
0.6904011 0.2977592 0.01183969 
0.5768428 0.4192466 0.003910596 
0.7269319 0.2719523 0.001115765 
0.6972441 0.2966936 0.006062349 
0.6758899 0.3116116 0.0124985 
0.6973593 0.2784135 0.02422714 
0.6056764 0.3888651 0.00545849 
0.7105191 0.2884878 0.0009931075 
0.6104081 0.3796555 0.009936452 
0.6996418 0.2843018 0.0160564 
0.7162395 0.2806284 0.003132063 
0.6849498 0.3068309 0.008219278 
0.6137207 0.3670731 0.01920626 
0.6903862 0.2993647 0.01024912 
0.654168 0.336775 0.009057018 
0.7730389 0.2267803 0.0001808068 
0.7108974 0.2886832 0.0004193585 
0.6465193 0.3436334 0.009847279 
0.7785339 0.2178206 0.003645521 
0.6981535 0.2986302 0.003216304 
0.6780238 0.3149941 0.00698213 
0.6290688 0.3229765 0.04795467 
0.7309403 0.2594561 0.009603622 
0.6304951 0.3676385 0.001866479 
0.7062876 0.2899936 0.003718778 
0.6405114 0.3511963 0.00829232 
0.5827312 0.3953168 0.02195193 
0.6989612 0.3004478 0.0005909618 
0.7785254 0.2155709 0.005903645 
0.7203838 0.2747993 0.004816917 
0.6844084 0.31341 0.002181591 
0.6116339 0.3837762 0.004589936 
0.6290566 0.3683872 0.002556211 
0.7210604 0.2609063 0.01803324 
0.628797 0.3705144 0.0006886057 
0.714553 0.2852274 0.000219579 
0.6600926 0.3368232 0.003084219 
0.5582436 0.4252664 0.01649 
0.6320371 0.3611022 0.006860658 
0.6375197 0.3562303 0.006250019 
0.6556191 0.3269594 0.01742153 
0.6283408 0.3675636 0.004095568 
0.6685519 0.327509 0.003939104 
0.6715984 0.3235661 0.004835495 
0.6896271 0.3085363 0.001836598 
0.6469074 0.3506046 0.002487985 
0.7314464 0.2639712 0.004582423 
0.7266495 0.2721473 0.001203201 
0.6628918 0.335804 0.001304165 
0.6568819 0.3379412 0.005176964 
0.6580704 0.3400915 0.001838093 
0.7152789 0.2839786 0.0007425375 
0.8032113 0.1966554 0.0001333728 
0.6441554 0.3487696 0.007074997 
0.6680006 0.3212101 0.0107893 
0.6906792 0.3083398 0.0009809664 
0.5985652 0.3888221 0.01261271 
0.6721572 0.3265828 0.001259985 
0.7888511 0.2102748 0.0008741425 
0.7613469 0.2366679 0.001985225 
0.6637915 0.3354691 0.0007394393 
0.7398656 0.2507825 0.009351956 
0.7164347 0.2765448 0.007020454 
0.7567876 0.2370064 0.006205982 
0.6715729 0.311025 0.01740215 
0.7041779 0.2926745 0.003147618 
0.7640577 0.2313881 0.004554277 
0.6305782 0.3688892 0.0005326421 
0.7647717 0.2338807 0.001347674 
0.7530143 0.2409971 0.005988636 
0.6521901 0.3460937 0.001716256 
0.7829298 0.2156625 0.001407673 
0.7558629 0.2352102 0.008926943 
0.6898889 0.2936233 0.01648778 
0.7724484 0.2254329 0.002118742 
0.6801711 0.3115104 0.008318555 
0.7481462 0.2506348 0.001218947 
0.6440851 0.3368663 0.01904865 
0.645394 0.3539356 0.0006703388 
0.7217425 0.2732734 0.004984083 
0.7578747 0.236398 0.005727285 
0.8217529 0.1709588 0.007288275 
0.6794828 0.319034 0.001483142 
0.6709223 0.3121993 0.01687842 
0.7095297 0.2765561 0.01391417 
0.7303588 0.2661943 0.003446869 
0.7706054 0.2241152 0.00527938 
0.6984311 0.2784175 0.02315143 
0.6807515 0.3161107 0.003137751 
0.6309848 0.3518054 0.01720978 
0.6374632 0.3394581 0.02307869 
0.7754195 0.2202942 0.004286297 
0.6922816 0.3022855 0.005432904 
0.6983136 0.2974734 0.004213007 
0.6751541 0.3151589 0.009686924 
0.6688448 0.3180977 0.0130575 
0.7387396 0.2551542 0.006106266 
0.7403154 0.2567375 0.002947083 
0.7084349 0.2786153 0.01294989 
0.6112368 0.3521964 0.0365668 
0.6115209 0.3873138 0.001165297 
0.6955214 0.3006545 0.003824159 
0.7095548 0.2877471 0.002698193 
0.6831076 0.3107552 0.006137154 
0.7719726 0.2265242 0.001503235 
0.6673637 0.3131148 0.01952149 
0.6817017 0.2961986 0.02209971 
0.7256618 0.2721116 0.002226597 
0.6647917 0.3339586 0.001249774 
0.7061083 0.2901432 0.003748537 
0.7495003 0.2491714 0.001328256 
0.6684554 0.319412 0.01213259 
0.6755918 0.3090598 0.0153484 
0.6732707 0.3063711 0.02035819 
0.7017593 0.2922222 0.006018498 
0.6556551 0.3261708 0.01817414 
0.5750143 0.4246008 0.0003849404 
0.6916589 0.3032777 0.005063437 
0.7009584 0.2987489 0.0002927214 
0.7047181 0.2934692 0.001812717 
0.6701038 0.3255878 0.004308373 
0.7145323 0.2811963 0.004271417 
0.6948927 0.2992894 0.005817921 
0.6286388 0.3665743 0.004786871 
0.5544579 0.4354293 0.01011285 
0.7881688 0.1980126 0.01381859 
0.6522191 0.3313015 0.01647943 
0.7241827 0.2753564 0.0004609048 
0.7416443 0.2485148 0.009840882 
0.712696 0.2865888 0.0007151148 
0.5969516 0.3938436 0.009204865 
0.5626843 0.4368966 0.0004191827 
0.7467093 0.2493907 0.003900025 
0.6468817 0.3506577 0.002460602 
0.6524416 0.3316041 0.01595438 
0.7351636 0.2538418 0.01099461 
0.7537117 0.2384334 0.00785492 
0.7401356 0.2536485 0.006215912 
0.6167137 0.3780136 0.005272701 
