Delta_1 Delta_2 Delta_3 Delta_4 
-0.0476947 3.365349 0.01440812 -0.0370422 
-10.40935 6.804391 -0.003399455 -0.03702233 
-9.034508 12.38671 -0.006514054 -0.04836486 
-12.07102 1.39187 -0.02185042 -0.04788569 
-0.0346378 -3.651126 -0.009373004 -0.1309993 
-2.442456 -1.493637 -0.02742068 0.02723892 
6.425701 -6.565398 -0.02328387 0.06785218 
1.373044 6.545842 -0.001374375 -0.02641727 
5.537255 -1.334114 -0.01375391 -0.06348132 
10.77919 4.30003 0.0096704 -0.08097267 
1.777584 6.665149 0.006828174 -0.0421376 
12.753 -3.422769 -0.03589667 -0.1061555 
-14.6772 -0.6403199 -0.01423849 0.03018648 
3.893232 -2.257332 -0.01909035 -0.097049 
-7.853344 -6.824569 -0.005832954 0.009778329 
-0.5996726 7.114666 0.005983114 -0.05377664 
-14.30599 15.07658 -0.006534393 -0.04209513 
3.252728 -6.169093 -0.003228771 0.01916735 
-15.74514 8.426762 -0.0007084839 -0.03924453 
1.288955 -2.369206 0.01724536 -0.01278793 
7.559393 6.943673 -0.0004256875 0.05676925 
2.533153 -8.713692 -0.01269794 -0.06857285 
3.486432 -6.448061 -0.0281051 -0.08468437 
28.97749 -0.9687417 -0.04297387 -0.02868683 
1.130237 14.00617 0.009716926 -0.06190321 
12.49897 -4.306006 -0.008410242 -0.02736501 
-7.8437 10.09319 -0.007445503 -0.07468161 
-6.142564 0.6518938 0.0250495 -0.02417634 
9.358751 -10.6743 0.001771064 0.1150384 
-1.590783 19.35729 0.005761914 -0.02582735 
-9.378016 -12.41817 -0.01708838 -0.03424875 
-6.781391 -4.597396 0.006173496 0.02259095 
-9.253256 -7.191322 -0.004973056 -0.115988 
-23.38704 5.774981 0.00425706 -0.07779275 
7.109069 14.91652 0.004921818 -0.04594857 
12.95654 0.02894622 0.007527496 0.05010942 
3.57232 0.1899588 -0.006343942 0.00297994 
-4.861217 5.43778 0.002439551 -0.04694656 
-3.618795 6.006668 0.002113406 -0.03261661 
-12.7717 -5.452778 0.009658615 -0.02710923 
-6.847672 2.897585 0.01426064 -0.05039111 
-7.875198 -7.529177 -0.02844433 0.1618302 
2.996954 7.925269 -0.01791482 -0.01661871 
-3.927406 -12.66999 0.01202599 -0.03927024 
-3.102563 1.28361 0.007604852 -0.07490333 
-12.37433 -31.68396 0.009825227 -0.008249583 
3.113012 6.516264 -0.01642458 0.125537 
-1.183321 11.11412 -0.003668493 -0.1049393 
-14.32543 16.05822 -0.008022936 -0.0449801 
-6.415095 -9.574949 0.005010037 -0.1064548 
-9.634394 -25.6777 -0.003350297 0.1536512 
-16.046 -1.227119 0.00545391 -0.003398911 
2.2005 -11.19138 0.009155863 -0.01257446 
-16.08586 2.92111 -0.01809448 -0.08203514 
0.04040181 -3.189339 0.00160977 -0.0628224 
-9.773965 -3.640141 0.002333734 -0.0487486 
14.41943 11.00194 -0.0106295 0.07277924 
2.269547 6.501795 -0.0002373121 0.03880048 
13.79266 -10.08707 0.02089885 -0.06547806 
-1.007044 5.08263 0.001954489 0.1365847 
18.2496 -8.008022 0.02380939 0.08330151 
7.715077 0.253259 -0.001150981 0.04179688 
-0.2411004 1.596125 -0.004989022 -0.1616504 
2.00585 7.308482 -0.01641067 -0.1085058 
-4.987172 -3.033816 -0.005005436 -0.07026067 
-14.55185 3.275913 0.01427336 0.002948416 
-3.467106 3.578029 -0.01670576 -0.06839986 
8.198566 -20.71835 0.0002765153 -0.01308806 
-9.663274 -7.420582 -0.004081021 0.04223105 
13.71738 -8.449281 0.006763702 -0.04872372 
-7.767528 -3.852676 0.002119869 0.01137739 
-8.851766 -17.58054 0.01119491 0.1401214 
-20.40203 1.23018 -0.00168901 0.01680391 
6.272922 -11.6527 0.01605595 0.09230964 
-16.12086 5.639561 -0.02121412 -0.01502128 
3.861566 9.166163 -0.01696073 -0.01614043 
6.885461 17.09262 -0.01415446 -0.1154271 
-6.102816 -2.743928 -0.02842202 -0.007163192 
-8.285733 -3.51703 -0.01564321 -0.02923696 
2.810195 -11.37027 -0.02366755 0.019246 
-1.657964 -1.686383 -0.02203573 -0.03189179 
-9.825648 5.092027 0.001751588 -0.01994571 
3.122278 -6.663993 -0.01484719 0.001740289 
-4.291155 2.183746 0.01455985 -0.1324221 
2.346576 0.706223 -0.02646459 0.0340873 
-18.90298 8.542278 0.00726585 -0.1147406 
7.861704 -4.574787 0.00121967 0.0001555592 
3.063032 14.51473 -0.003660732 -0.044888 
6.708104 -7.714281 -0.0292123 0.02312948 
10.14006 -5.73447 -0.01549901 0.06242271 
29.45924 -15.92737 0.009385613 -0.01184588 
1.939544 6.173849 -0.01759263 0.01186352 
1.090349 4.683563 -0.03074703 -0.05250135 
12.41474 7.555775 -0.01434246 -0.01894864 
2.784151 -6.397287 -0.001938953 0.04528575 
-4.790189 -3.41536 0.02798983 -0.01722672 
18.43548 -0.5488127 0.01343769 -0.105276 
1.845305 -0.6409638 0.01142038 -0.03144235 
11.20471 0.1488802 0.02107233 -0.03037361 
12.00176 1.298948 0.03575892 -0.0211291 
1.634044 2.548729 -0.006730226 -0.09790314 
2.939131 0.01890103 0.006834109 -0.04528443 
0.3512622 -3.277529 0.006890483 -0.03809575 
-6.686396 -1.466128 -0.005574996 -0.1525797 
13.05404 -8.91023 -0.003716914 -0.1006554 
11.18878 13.52627 0.01090606 0.0122773 
8.30476 -16.52374 0.005527141 -0.01568172 
-4.593071 -0.08972037 -0.01367832 -0.03278222 
19.13844 -3.496791 0.003280698 -0.007977918 
5.73914 12.22418 0.01602984 -0.05337311 
-20.57714 -7.83789 -0.01104184 -0.06820395 
-1.481326 -2.071953 -0.001951647 0.03161151 
-6.575772 9.571 -0.03025816 0.117628 
10.07748 -12.75872 -0.005758321 -0.03897482 
-4.086949 7.807781 -0.02367119 0.0771874 
12.28863 -2.365551 -0.00595705 -0.08057973 
-10.56014 15.95763 0.0180817 -0.04028392 
2.595042 -12.16447 0.02278031 -0.01811888 
15.10811 -3.041062 -0.03252179 0.002433487 
-4.494918 -3.283863 -0.01405861 -0.0729304 
-0.9068904 -13.83997 0.0159282 0.03455075 
17.82477 3.21726 0.01493885 -0.06702039 
-8.808147 -7.457561 0.003461452 -0.05589728 
-5.406257 -6.619703 -0.02372614 -0.04605913 
-17.56081 -3.915383 -0.03652007 0.03314367 
-9.322144 -2.688361 0.0214355 -0.07882807 
3.72076 14.32122 -0.01819446 0.01786141 
0.2728436 -11.32706 0.009768944 0.1021537 
5.590684 6.273703 -0.005157716 0.04266664 
-4.893031 14.99062 -0.005989997 -0.07733948 
2.226525 3.717414 -0.01272067 -0.08939143 
0.937892 -10.14497 -0.0007130663 -0.0476389 
-1.135038 6.118705 -0.01300417 0.01938518 
0.7265223 -3.496154 0.005111741 -0.07713438 
-0.2428563 -25.79986 0.01589612 -0.1000423 
0.04431716 1.593247 0.05128841 0.1131505 
14.19572 -21.09945 -0.009287962 -0.0008799227 
17.37768 -0.6189995 -0.00143337 0.03266037 
-0.0003936806 21.48172 0.02361691 -0.0311447 
5.996629 -26.09729 -0.008120693 0.06929431 
-5.623773 -11.85919 -0.001415024 -0.1258306 
4.131926 2.052279 0.02433227 0.1854658 
7.603637 2.656597 -0.02057169 0.05487011 
-16.04592 -6.001713 -0.02166624 -0.0312491 
-0.2323127 5.867013 0.01364082 0.001749795 
-3.195751 4.589032 -0.003440462 0.004176141 
0.3881225 -2.196666 -0.02150505 -0.03886329 
1.086899 6.447259 -0.0002205817 -0.05124547 
10.7272 7.932417 -0.004269841 -0.05649937 
22.45928 15.71468 -0.02142861 0.02192297 
-14.93124 -7.150124 -0.037954 0.01875514 
2.272007 19.87123 0.01434551 0.08670711 
6.966794 -1.684107 -0.02775035 -0.06462814 
-10.02136 1.215572 -0.002085085 -0.01638737 
-2.649161 -11.2635 -0.02604257 -0.09160994 
-12.24893 10.83182 -0.0168108 -0.00718696 
-7.134077 -5.852211 0.0117933 -0.02937395 
1.953722 0.8952041 -0.02224404 0.04900219 
-16.71218 2.414471 -0.004190937 -0.02577979 
5.901367 -8.511114 -0.005765496 -0.03189508 
-16.67071 -10.4705 -0.01192015 -0.0656003 
-9.005958 -4.413171 -0.01396952 0.1596717 
-4.695607 4.211258 -0.006544468 0.02775989 
-18.04124 -6.083475 -0.001539255 0.02318453 
-0.1080166 -12.97452 0.01180975 0.03737467 
10.5354 0.2320602 -0.02763224 -0.0509121 
-17.7663 2.935841 -0.02224576 -0.01950947 
-4.334711 13.26529 -0.01374126 0.0316081 
-2.623813 -4.62545 -0.002499169 0.002385458 
-9.924778 0.817531 0.03263308 -0.01444053 
12.85732 -18.68199 -0.0184365 -0.08464487 
-10.97371 6.197196 -0.001951784 -0.003525132 
-13.81714 14.1767 0.03081432 0.005302746 
-23.42714 -14.57915 -0.0069825 0.04885454 
-15.44851 0.8509082 -0.008512262 0.02635484 
9.131184 -25.54779 -0.03371125 0.06781095 
-13.55518 -12.07801 -0.008488189 -0.06623105 
4.243014 -2.849532 -0.01327221 -0.021906 
-31.29885 -1.869781 -0.01289976 -0.0448348 
4.75523 -4.96473 -0.004465442 -0.007613788 
2.945538 -2.635517 -0.01573483 -0.002133172 
-16.86991 8.268298 -0.008085771 0.01897706 
6.373034 6.134331 -0.02647423 -0.04147086 
9.449415 -11.84977 -0.007439863 -0.06556018 
-11.9333 3.86666 -0.04456635 -0.06936445 
-9.473384 -22.26466 0.01063623 -0.00382673 
-12.72278 -7.909965 -0.02588613 -0.02557876 
-0.3270793 9.79478 -0.01714119 0.00992086 
1.309473 10.71567 -0.002551456 0.03755301 
1.108296 1.525095 0.003569012 0.004619835 
-4.610969 16.63217 -0.004706166 0.00722508 
-2.307797 -2.452069 0.0027759 -0.05489089 
9.210306 13.73265 0.001046572 -0.1260685 
-17.95686 10.14747 0.001751804 -0.09450549 
-2.284753 12.39305 0.006658165 0.003528837 
3.774923 4.437818 -0.02384997 -0.07940842 
6.386305 7.93409 0.0001828247 0.004549239 
8.218588 -2.883004 -0.00523472 3.24955e-05 
6.728791 5.563409 -0.005886926 0.00475373 
3.578216 -7.593092 0.01536905 0.01485855 
-26.42598 -2.289077 0.02660869 -0.06716005 
-0.2314072 -14.99676 -0.01579417 -0.02768578 
-22.31342 -21.32297 -0.01567726 -0.01813129 
14.26003 8.472172 -0.01818514 -0.06246492 
5.098803 1.160022 -0.004828407 -0.004264964 
