beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
-11.88289 -5.673998 0.08743372 0.934043 10.38683 -2.676621 1.932245 0.03325117 
-0.9461432 0.3967006 -0.03556049 1.011504 -12.17278 25.07635 1.877576 0.05987258 
3.193674 -15.85886 0.08389558 0.9511212 14.48925 -2.787895 1.963411 0.02372638 
5.943929 -4.755245 -0.04998752 1.001259 -7.555565 13.96303 1.874597 0.06162229 
6.226345 -2.975043 0.006477959 0.9812227 -6.883028 5.336097 1.925571 0.04099016 
-0.6721451 5.481066 -0.07222758 1.017097 -7.490298 -1.416869 1.954267 0.02895298 
1.20117 -12.45211 -0.04653324 1.021121 1.726237 -11.63675 1.935357 0.03416906 
-5.425585 -10.51925 0.05181162 0.9910498 29.77914 1.087156 1.890319 0.053991 
8.10227 -19.63014 -0.02217415 0.9917257 -17.47081 -2.437639 1.915436 0.0468165 
-16.44196 4.907677 0.05085519 0.9680984 9.419108 -5.411861 1.87687 0.05719804 
6.310394 -6.17737 0.2545178 0.8764951 -6.610613 8.30624 1.951749 0.03377676 
8.119949 -9.207598 0.2151893 0.890046 -3.253168 -7.764124 1.910598 0.049624 
-2.667884 7.547126 0.001497994 0.9938222 0.2100871 -10.54856 1.912796 0.04924934 
9.102533 -16.82198 -0.02212174 1.001559 -4.056172 -5.861995 1.91392 0.04606175 
-0.5680249 7.26114 -0.06522682 0.9986625 -3.184007 7.374906 1.922091 0.04184169 
8.500983 -0.03605666 0.05043551 0.9629543 -0.5171568 -1.046971 1.965023 0.01894052 
-8.086855 10.11249 -0.07217045 1.018325 -5.283204 8.557322 1.920016 0.03591907 
-0.2040151 5.207818 0.1107603 0.9384522 4.607549 -0.3232662 2.006465 0.00438447 
-6.751835 -8.324219 -0.1195324 1.036292 -5.404762 -20.92017 1.927844 0.03838785 
12.56061 2.804115 0.05926452 0.9671436 -11.97845 3.054361 1.910716 0.04203586 
-13.52472 -12.75961 -0.04990415 1.013224 0.7301883 -7.487904 1.922604 0.03351084 
-1.516831 18.85278 0.1237878 0.9524587 -0.8456298 -8.311506 1.894095 0.05465507 
15.72203 -29.46551 -0.01470738 0.9980467 -8.686196 -6.861156 1.936198 0.03352999 
1.915902 6.704301 -0.07979166 1.009567 5.448454 9.889995 1.91333 0.04787634 
-4.926011 1.235799 -0.0362703 0.994621 11.45995 -0.4033946 1.935602 0.03524336 
7.926245 6.431831 -0.05532478 1.014505 9.749781 -7.611452 1.933792 0.03191497 
1.141648 -3.970044 0.02209079 0.963618 7.668839 -15.92159 1.951187 0.02574217 
4.767545 -10.87847 0.05160541 0.9661685 11.67776 -4.778631 1.976059 0.01977521 
8.243294 5.112004 0.00228879 0.9808409 10.29458 12.01464 1.890125 0.05848798 
5.358937 -2.739943 0.03495393 0.962257 -13.7416 20.08739 1.917122 0.0407459 
-8.105621 0.961461 -0.07166263 1.019189 -7.120474 2.296679 1.930055 0.04022024 
18.44185 -17.00803 -0.07012002 1.015843 0.6183748 5.089847 1.945083 0.03261146 
-16.95071 3.028377 -0.002190083 0.9901276 -8.108169 6.949315 1.934735 0.03314988 
-11.49877 -2.035793 0.0114442 0.9824817 0.1357119 -16.95511 1.896173 0.05197434 
-20.53995 -2.07542 0.02793214 0.9735052 -11.15287 -2.003207 1.929051 0.03296169 
11.9671 3.570342 -0.03023375 1.001704 3.098901 -10.06468 1.862135 0.06834844 
2.347073 16.16352 -0.001252678 0.9935529 -4.584702 -5.665296 1.939012 0.03075847 
4.810342 -0.9227801 -0.09871686 1.046893 11.17883 19.31791 1.872091 0.06660894 
0.7868293 18.20124 -0.0141898 0.9840289 5.09742 -0.5042128 1.88717 0.05707644 
8.554306 5.626396 0.0793577 0.9612236 5.483558 -2.587223 1.913688 0.04458615 
3.485034 -7.626072 0.1176077 0.9385472 -1.41991 0.5182919 1.874749 0.06562333 
4.778059 -21.48786 0.05731074 0.9579538 -7.585143 -9.514155 1.931084 0.04122246 
-0.8937272 -5.186756 0.02751767 0.9629235 6.50565 2.536668 1.900619 0.05328483 
10.91378 1.9904 0.1805334 0.9129563 -3.433927 -8.497146 1.921384 0.03826551 
10.82858 9.876457 0.05265328 0.9671145 11.77114 -7.168552 1.916731 0.04163515 
-4.1256 6.616899 0.08479017 0.9539692 -1.756424 1.767342 1.907213 0.04601435 
-8.602829 2.708724 0.07331624 0.9428783 15.74366 -11.46436 1.913006 0.03984071 
3.769622 0.9578835 -0.07484456 1.017269 9.265684 9.410914 1.937065 0.03424953 
1.276828 7.803254 -0.00458109 0.9909877 -8.057243 -5.803659 1.928011 0.03744432 
6.62867 6.098104 -0.006487729 0.9794095 -9.199087 -19.29498 1.972557 0.02410909 
-9.424025 3.406802 0.05841058 0.9497095 -1.640465 -12.94831 1.945151 0.0284546 
-2.062626 9.479863 0.102559 0.9408083 2.029536 -15.68858 1.911096 0.04397006 
6.980988 -0.4557983 0.132809 0.9217005 12.26804 -6.378053 1.918093 0.04247643 
-1.097907 -2.28127 -0.0473746 0.9954653 -9.043706 -1.948896 1.891653 0.05378208 
6.828977 -10.19705 -0.1411869 1.050586 -15.38767 -6.039798 1.904033 0.04717266 
10.20602 -6.678164 0.155275 0.9069331 -4.92723 -11.70601 1.896766 0.05167571 
-12.33627 -8.302887 0.009001894 0.980971 4.236435 -15.36202 1.916237 0.03938729 
19.99772 -5.39939 0.1521695 0.9216086 5.802543 10.1493 1.89185 0.0536099 
4.403282 -16.76283 -0.04062862 0.9967984 1.886745 -2.525632 1.923742 0.04065585 
0.5835116 4.431284 -0.1184422 1.036369 18.34392 -9.741039 1.89552 0.0499605 
-1.507478 12.20634 0.04135651 0.9492571 0.3736198 -4.473957 1.87934 0.06102658 
17.29217 -0.8905984 -0.008620142 1.005666 2.792463 19.01009 1.903741 0.04385478 
2.656184 -0.2714735 0.03099005 0.9649665 3.061767 0.6851243 1.916291 0.03828131 
-19.97333 9.320359 0.1349572 0.9394745 7.118821 -1.949699 1.912358 0.0443811 
6.246961 -0.3566019 0.01763988 0.9489068 0.9199374 1.95382 1.854572 0.07013762 
-9.201246 14.40163 0.07206515 0.9457614 -5.835551 0.8623104 1.91046 0.04689601 
1.627166 7.024932 0.07305157 0.9657071 -1.512081 -11.07501 1.943011 0.03588154 
-4.384352 -7.394888 0.0006782265 0.9861343 5.888372 13.46179 1.916743 0.04586012 
-9.609314 14.98878 -0.1136075 1.023476 19.65713 3.858929 1.89539 0.05240315 
6.010294 5.891007 -0.1000162 1.029208 -4.059634 10.40636 1.892044 0.05120601 
21.20781 10.26606 0.1240192 0.923757 7.00646 7.79077 1.917637 0.04460924 
-4.703869 -7.830186 0.04220823 0.9607864 10.38883 3.700639 1.955552 0.02271165 
27.60071 18.69239 0.05943533 0.9641831 7.169377 10.26668 1.939095 0.02881492 
-5.599371 11.0775 -0.01512654 1.002829 9.56327 -2.591066 1.868879 0.05810439 
8.195324 -2.19375 -0.1708057 1.050699 0.5358689 -4.512975 1.910983 0.04198381 
-12.37165 4.74122 0.08523794 0.9620684 0.6597952 -2.028304 1.90347 0.04804886 
10.72265 -0.4898279 0.08825218 0.9523729 -1.978257 13.78747 1.925791 0.0373209 
-16.81431 -4.996638 0.07112178 0.9473913 2.972882 2.113556 1.88942 0.05583529 
0.07329752 2.692752 0.0006399463 0.9852073 0.4709315 2.629355 1.947526 0.02653124 
1.260845 17.6781 0.02700456 0.9735441 -12.08743 -4.505236 1.930564 0.04043185 
-6.442472 -12.74451 0.1421401 0.9278298 -0.7658074 1.401331 1.964653 0.0195104 
11.70787 2.797283 0.2081163 0.9100986 0.8589313 -9.431715 1.881285 0.05709413 
-2.411313 -9.654913 -0.05905746 0.9880658 26.68524 -0.6325896 1.970084 0.01706869 
6.031024 -4.647965 -0.08418307 1.025944 -12.56798 -9.376807 1.869057 0.06572312 
7.948584 25.75554 -0.000466352 1.00052 -9.638027 6.031396 1.93482 0.04121571 
-7.303847 2.728661 0.04264016 0.9744781 -5.852099 0.2593356 1.952887 0.02920021 
-6.690485 -0.5620085 0.04626714 0.963482 7.926088 12.10984 1.935119 0.03437157 
5.924874 -25.41471 0.2841135 0.8621993 -1.290585 -1.184235 1.895662 0.04759906 
7.292112 1.61856 -0.04142821 1.005879 -10.44496 -2.674041 1.920623 0.04063186 
14.64291 4.112104 0.09284877 0.9217888 1.71061 4.734484 1.876319 0.06122836 
-15.11357 -4.58111 0.1702007 0.9138725 13.41434 13.49297 1.890198 0.05237174 
-4.55414 1.98014 -0.009935733 1.000593 7.806407 20.50063 1.945518 0.03390637 
-10.84381 -11.77257 0.04875513 0.9650265 -9.997639 -3.452639 1.987376 0.01053405 
1.640649 2.303909 0.1005827 0.9331241 0.04292211 0.2731624 1.930586 0.03573119 
8.56568 -1.670678 0.004345508 0.9937258 3.640637 -4.747017 1.938235 0.03330871 
