nu alpha 
30.72043 0.03048222 
19.13862 0.2742776 
4.551 0.325427 
19.2501 0.2909735 
32.28183 0.06254081 
31.77851 0.1835084 
10.86837 0.117033 
8.897039 0.4353268 
10.1753 0.03617885 
6.652384 0.1079116 
9.329912 0.1654105 
16.3216 0.1183485 
3.813753 0.3540006 
8.144454 0.1420666 
23.46198 0.08046421 
12.74749 0.04615543 
8.143891 0.02018015 
3.110196 0.1087709 
6.655535 0.1826493 
17.95886 0.1549148 
8.94497 0.3706688 
6.804059 0.2495976 
7.225497 0.2938829 
22.31669 0.0925053 
6.164105 0.2037225 
28.31002 0.09873001 
79.47597 0.02120742 
9.323879 0.191508 
5.780204 0.3172498 
16.85424 0.2350024 
23.72712 0.04064022 
5.453027 0.3347999 
5.209018 0.09204054 
3.090418 0.1854211 
4.579233 0.06978312 
3.493395 0.1309737 
5.48313 0.1918481 
14.27036 0.1247689 
32.84091 0.06250115 
5.671902 0.04403922 
10.89219 0.1178895 
7.741242 0.328081 
11.76046 0.03848278 
40.4603 0.03988035 
35.55694 0.05738934 
7.910558 0.3193206 
11.78246 0.09389274 
6.099715 0.3419309 
7.152936 0.134847 
14.58759 0.08132433 
14.92839 0.3164559 
8.214259 0.02806174 
45.79228 0.04201749 
46.79128 0.1109245 
9.099099 0.06928769 
4.203947 0.1972549 
6.039929 0.1587156 
33.00721 0.08292222 
8.760554 0.1537719 
34.47322 0.03171965 
19.12042 0.02385665 
3.156674 0.2339894 
10.92375 0.08433564 
5.952393 0.4348712 
50.40787 0.07569633 
74.0742 0.03245326 
5.279324 0.1616622 
9.378362 0.09445543 
6.170122 0.04446772 
19.34619 0.07411902 
15.3204 0.1511672 
6.184073 0.08008397 
6.386792 0.1114193 
3.741783 0.2365677 
10.24586 0.2990164 
2.091469 0.3643895 
6.419133 0.3644403 
7.329514 0.1711242 
41.30546 0.06312615 
4.239905 0.3625876 
11.38949 0.1278433 
15.19617 0.2462102 
11.56669 0.05762303 
7.689124 0.1382722 
2.600627 0.09308357 
2.859987 0.2982326 
6.15914 0.05920936 
14.01014 0.07584871 
27.90896 0.06566676 
9.222175 0.06552643 
4.154256 0.171599 
3.437403 0.4614739 
7.313897 0.4127965 
16.21456 0.1669516 
7.270865 0.2861609 
8.461804 0.1605912 
11.03698 0.1076412 
8.407434 0.09981472 
20.60284 0.04984625 
8.172433 0.1403184 
18.78068 0.2784661 
7.066946 0.1645382 
14.62263 0.1536512 
7.169391 0.0506588 
17.1229 0.0310981 
4.817743 0.07772412 
3.785249 0.199259 
2.725188 0.4043744 
17.60871 0.07838937 
55.52277 0.02345911 
12.36661 0.2095822 
9.523778 0.1248588 
31.95612 0.05305008 
5.154582 0.1131538 
14.34059 0.2987294 
8.993498 0.1687662 
11.3735 0.08895252 
9.047092 0.2538071 
8.042378 0.08556313 
7.482812 0.350189 
5.279798 0.06270411 
8.919707 0.1192561 
7.198471 0.1326282 
5.5789 0.1295043 
5.482047 0.3898077 
7.389563 0.2466779 
30.74256 0.1185341 
11.87027 0.1913499 
7.194534 0.1253727 
4.294268 0.4349552 
4.111191 0.2861024 
2.691672 0.3538685 
2.280905 0.1226305 
5.548034 0.04197332 
10.05357 0.4362808 
10.83197 0.2019619 
5.062786 0.2779516 
4.502051 0.2812834 
5.44742 0.2599633 
15.44793 0.08441609 
10.96226 0.1652963 
3.873226 0.327482 
3.218035 0.2812044 
74.3662 0.04749619 
5.563847 0.1390033 
14.98239 0.06690083 
10.71858 0.314918 
7.093208 0.1983846 
63.03433 0.08604193 
6.436091 0.4783144 
8.823106 0.278655 
8.741476 0.4989348 
3.566853 0.316577 
20.75773 0.03243809 
7.607912 0.1873686 
26.26799 0.03854265 
22.56562 0.02561991 
4.989506 0.3341263 
4.791668 0.1539193 
4.578262 0.407278 
7.883937 0.2884712 
5.200643 0.4280254 
3.495879 0.2586889 
36.45417 0.02127152 
2.521862 0.3788504 
13.43688 0.1781699 
15.23889 0.1383173 
3.785163 0.3182807 
3.770732 0.3646724 
9.207182 0.09287631 
20.00672 0.2158404 
17.30132 0.03409432 
4.217685 0.1001314 
11.57845 0.3458841 
