p_1 p_2 p_3 p_4 
0.003127821 0.2654861 0.03180607 0.69958 
0.00754218 0.2988026 0.01564801 0.6780072 
1.184709e-05 0.3845025 0.0005148443 0.6149708 
0.001239325 0.2202687 0.01044042 0.7680516 
0.01080284 0.3529563 0.009814208 0.6264266 
0.01642764 0.2715215 0.01040721 0.7016437 
0.006260115 0.3296449 0.001244399 0.6628506 
0.002853344 0.3667074 0.008270012 0.6221692 
0.003829582 0.2689751 0.0006715169 0.7265238 
0.0005150818 0.316612 0.006922993 0.67595 
0.00114605 0.2489041 0.00527332 0.7446765 
0.005226292 0.2376284 0.0001683315 0.756977 
0.003598084 0.2643543 0.004540866 0.7275068 
0.004748414 0.3062934 0.01631259 0.6726456 
0.0006095574 0.3227812 0.01432497 0.6622843 
0.02354877 0.2820962 0.03903931 0.6553157 
0.01746032 0.3111165 0.0332956 0.6381276 
0.004896931 0.3801291 0.0007340788 0.6142399 
0.007281719 0.23587 0.01358037 0.7432679 
0.01538961 0.2504323 0.00149983 0.7326783 
0.001051522 0.2990411 0.0002318433 0.6996756 
0.009307947 0.3407242 0.00729324 0.6426747 
0.008219371 0.2909859 0.002907346 0.6978874 
0.002389211 0.2668087 0.004644043 0.7261581 
0.01110731 0.2757705 0.01542504 0.6976971 
0.006871245 0.2843882 0.01865815 0.6900824 
0.01236838 0.2642871 0.003001072 0.7203434 
0.002165063 0.3673873 0.009288071 0.6211596 
0.008292208 0.3043402 0.001402421 0.6859652 
0.007975987 0.2781505 0.0002695962 0.7136039 
0.004017489 0.3335794 0.005202043 0.6572011 
0.0006671528 0.270775 0.001647815 0.7269101 
0.001323392 0.3290232 0.002816342 0.6668371 
0.0005289079 0.354523 0.006402006 0.6385461 
0.005887556 0.3865937 0.01029159 0.5972271 
0.006884462 0.2955132 0.006101054 0.6915013 
0.0007708667 0.2936136 0.002354479 0.703261 
0.003763109 0.1947439 0.001373585 0.8001194 
0.003979181 0.3201676 0.001105738 0.6747474 
0.005533998 0.2980537 0.00428024 0.692132 
0.01248868 0.3292027 0.01898763 0.639321 
4.457963e-05 0.2699679 0.007270371 0.7227172 
0.005704812 0.2354904 0.007738942 0.7510659 
0.01133156 0.3002389 0.009337981 0.6790916 
0.001219795 0.3523558 0.01160953 0.6348149 
0.002493532 0.2716541 0.01854987 0.7073025 
0.003458696 0.3356555 0.004239849 0.6566459 
0.006109856 0.2446954 0.0003568912 0.7488378 
0.002549465 0.4402768 0.01201594 0.5451578 
0.003921694 0.2991625 0.02806689 0.6688489 
0.01225376 0.2493366 0.007782736 0.7306269 
0.0071987 0.2655067 5.287377e-05 0.7272417 
0.0170437 0.2807624 0.003043864 0.6991501 
0.01120843 0.2466508 0.001213298 0.7409275 
0.01440616 0.2507936 0.007785559 0.7270147 
0.003100596 0.2476522 0.006475357 0.7427719 
0.004591399 0.3883076 0.005610979 0.60149 
0.03529923 0.3219092 0.007735289 0.6350563 
0.0007150882 0.3325891 0.0187617 0.6479341 
0.002630069 0.3447586 7.259976e-05 0.6525388 
0.0006074111 0.3072706 0.001490165 0.6906318 
0.005780224 0.328951 0.0007060103 0.6645627 
0.002605531 0.2475766 0.008441572 0.7413763 
0.005382478 0.3628788 0.01486448 0.6168742 
0.01084808 0.2736616 0.001828189 0.7136622 
0.02139562 0.3496071 0.0169952 0.6120021 
0.002432391 0.3321362 0.002578777 0.6628527 
0.007945353 0.211183 0.0005959751 0.7802757 
0.00169411 0.346156 0.004879787 0.6472701 
0.0004837394 0.2992944 0.005482386 0.6947395 
0.003371925 0.3476735 0.0009203569 0.6480342 
0.01613811 0.3581425 0.01267975 0.6130396 
0.001713984 0.2854513 0.01010746 0.7027273 
0.004665942 0.2442067 0.01209601 0.7390314 
