tau2_1 tau2_2 tau2_3 tau2_4 
1907395348 0.0101737 0.06343444 0.002626653 
1140100 0.0146871 0.226833 0.002880263 
29.27819 0.003736403 279.4985 0.002958841 
38558.98 0.01507913 1.450782e+19 0.003465332 
0.9500819 0.01673018 50.45555 0.004220545 
0.02447233 0.01664157 0.566447 0.003616932 
1.083847 0.01329337 9241.715 0.002256677 
8.962455e+22 0.0154169 729790.5 0.002675431 
51.4408 0.0158487 0.05271714 0.002825042 
33434.73 0.01270457 7322950377 0.003137679 
0.6452109 0.01259382 0.03170505 0.003094347 
0.04378384 0.01516953 23.08672 0.00311455 
2.260023 0.003761413 25599.09 0.003099112 
0.7326423 0.01041957 205.091 0.003396873 
0.02974152 0.01979623 1637989 0.003011928 
0.3939061 0.01137174 0.997362 0.003092531 
161.7552 0.01816441 0.8436384 0.002744342 
0.6697149 0.005253888 5137.67 0.003179163 
27972.06 0.01440025 1103.673 0.002285728 
0.1427987 0.008051313 415.4346 0.002653139 
15.20266 0.0138194 0.1094122 0.002759343 
0.0458066 0.01089902 8995.814 0.002914162 
5.618624e+12 0.01186887 1.388655 0.003400774 
118293.9 0.0263364 72.56417 0.002985309 
1.844767 0.006135003 3.214483 0.00262332 
21364.44 0.02253752 509.4796 0.003252973 
1.107693 0.01769632 232.0698 0.003441107 
152.7382 0.01235272 0.2470675 0.002800861 
6.546181 0.005460579 4.822948 0.002337322 
1579.166 0.006879765 244.1007 0.00269337 
0.3007632 0.01672958 0.03701849 0.003995468 
28265242 0.01022671 0.7375077 0.002267942 
1.286051 0.009168496 3.736389 0.002986412 
3.282718 0.005118122 58261934 0.002893231 
524759.2 0.006625292 200.7728 0.003575303 
90.10144 0.006491929 25995419 0.003660043 
25.35443 0.006254574 0.8286061 0.002874983 
1137326104 0.01387761 4.898144e+24 0.003492084 
0.0248716 0.0140544 0.4513101 0.003803453 
437.8493 0.007953596 45348914 0.004557661 
0.6749073 0.01015569 33.17306 0.002861201 
2031143550 0.009514178 111607.5 0.00216022 
10760262 0.01640546 114.979 0.002950205 
1.276578 0.01486648 104341.9 0.003327693 
1976304 0.01123435 162.4283 0.003413034 
0.9255118 0.01384273 63.88829 0.0034145 
0.256237 0.01858396 48104.7 0.004409076 
33.50384 0.01312498 378666 0.002918414 
21.75254 0.01128796 139628.9 0.004326397 
941.7145 0.008887724 1637.279 0.003293725 
50.52125 0.0114464 1217.521 0.003314692 
72168099386 0.009645723 7.498674 0.002784577 
0.03725839 0.009466913 1818698 0.003496086 
273267438 0.01601311 0.06242538 0.003017743 
18.75125 0.01367494 0.2427042 0.002255631 
51927.5 0.01554978 0.2376194 0.003175656 
185599.5 0.01028125 6104.78 0.002975198 
0.7815854 0.01818639 180.1047 0.003229898 
680.011 0.008232782 8710.535 0.002674229 
8.520465 0.01333191 0.9371359 0.00323569 
307.2695 0.01720133 3.889517 0.003003744 
2745.873 0.004583768 22.14717 0.00298747 
6696480749 0.01795971 0.8803898 0.003094344 
639.3809 0.005007835 2.957929e+18 0.003057162 
3149078772 0.02149653 52681.82 0.003609197 
65174111 0.004126032 12.81517 0.002382759 
2.200604 0.003890273 16824.35 0.003016284 
26.4643 0.007957517 868.6707 0.003874215 
681400.3 0.0113838 3342585812 0.002719035 
2355.252 0.01441225 0.4576304 0.003306982 
78.84303 0.01028061 0.1130231 0.002776785 
7979.588 0.00679792 36138299737 0.002962091 
218.1945 0.004698302 0.5044068 0.003095307 
5641642841 0.005684715 0.2378486 0.003131554 
3.697867 0.01200675 19441982 0.003162235 
246204 0.003993944 1.408224 0.003041848 
2241385 0.01162624 0.0829133 0.002883709 
0.4357067 0.01341497 2.93955 0.003469806 
49269.41 0.008126513 15.7355 0.002807805 
0.1171094 0.01043709 4.645719e+18 0.002277912 
0.02998123 0.008375883 0.02320384 0.002718138 
2447.407 0.01182752 7486091 0.003278765 
0.3729688 0.0145828 1570.084 0.002411685 
113117051 0.0289264 12.2195 0.003665066 
760133.5 0.003082896 2.976643 0.002606441 
0.5171392 0.005301704 3261268 0.003722657 
0.1164346 0.01033087 1101.951 0.003000257 
0.04042858 0.02686067 2.504169 0.003154292 
0.04075593 0.007700552 0.5983283 0.002331926 
94171310 0.01896686 0.1158944 0.00303652 
491.0523 0.006352035 0.9336249 0.002997451 
874.1615 0.003402776 0.479501 0.003740162 
9.490143 0.007605674 1755.803 0.002549028 
3.556085 0.01314231 6958.731 0.003684317 
0.6739674 0.009232194 16316.14 0.002362208 
8180.729 0.01582377 0.04166198 0.003420291 
80.02694 0.01045351 0.04833554 0.003048687 
46.0749 0.008883292 2632750 0.003467534 
24.03501 0.01797018 450194480754 0.003512249 
1.06525e+11 0.01329616 84.71284 0.002796022 
331.7676 0.01834219 0.05905667 0.00268823 
2.045959 0.01390687 8.821088 0.003141867 
52.52936 0.01515987 0.5591805 0.002897387 
2.520843 0.01039824 8.844814 0.002600932 
0.06690664 0.01689725 5887.728 0.004852984 
52.54075 0.006106067 5.787293 0.002547235 
53821.28 0.008989076 0.5719241 0.002563808 
18286.17 0.009067057 22874.06 0.002002674 
0.4811731 0.0340843 2996.551 0.002862187 
2.09305e+18 0.008027784 111.2475 0.002929124 
88.72215 0.01115506 0.5720347 0.003059802 
1464545 0.009604513 6.765159 0.003846112 
0.1612627 0.01700159 39.79583 0.005118974 
0.2365259 0.00767368 534.1737 0.003446486 
51818156 0.02117387 0.09075622 0.004641173 
2.521535 0.01097715 6.160185 0.003050389 
9775326 0.009811181 0.183782 0.003298433 
2783167 0.02001324 0.09511887 0.002734538 
3.896319 0.02360946 7.245855 0.003663322 
537.1621 0.01537218 4480.538 0.003304339 
