"nu" "alpha"
3.028084 0.3052836
2.413531 0.4690031
3.163621 0.1407386
3.860857 0.4134724
3.048169 0.3357573
3.196753 0.1779126
3.027139 0.3028459
2.594805 0.190596
2.812863 0.05902106
2.892118 0.1894249
3.405948 0.3680497
2.839173 0.3977783
2.920601 0.3272303
2.788928 0.4274458
2.936733 0.448629
3.040503 0.2158791
3.411803 0.2653753
2.830318 0.343768
3.158285 0.4799696
3.430271 0.4066486
3.30804 0.268952
3.196726 0.3664822
2.868082 0.4991643
4.047264 0.398397
3.113598 0.2951631
2.821829 0.3022658
3.314513 0.3131379
2.941365 0.4554032
3.060035 0.2826339
3.058565 0.4311878
2.997284 0.2632763
3.298042 0.2257186
2.801629 0.365482
3.458637 0.4037706
2.833341 0.09384485
3.520892 0.4551896
3.540838 0.4624863
3.183839 0.3836799
3.031841 0.1897402
3.439103 0.41566
2.814694 0.415726
2.766735 0.3658824
3.136775 0.2044811
3.368692 0.1082385
3.086829 0.4037072
2.772664 0.1859033
3.193639 0.2870993
3.245247 0.3205003
2.817323 0.3590072
3.211736 0.2257917
2.700495 0.4002224
3.223706 0.2353929
2.675778 0.300024
3.195275 0.4883039
3.528661 0.180233
2.981092 0.434811
3.725998 0.2709161
3.488698 0.1576698
2.904281 0.2167293
3.577545 0.1182514
3.717709 0.1463675
3.500788 0.3493773
3.384152 0.1691966
2.844647 0.3664986
3.114795 0.1543399
2.88842 0.3924077
2.956188 0.3978829
3.03428 0.2719135
2.7709 0.4024014
2.985217 0.3787127
3.20685 0.2475761
2.890433 0.1830596
3.210267 0.4236956
3.042844 0.4549306
2.899777 0.3287226
2.52913 0.354937
2.818329 0.453215
2.984302 0.4515044
2.73402 0.1793151
3.160117 0.2449609
3.183273 0.2838168
3.049464 0.28184
3.278823 0.4691211
2.872939 0.3667947
2.951906 0.08764895
3.157626 0.1361052
2.831563 0.3433518
2.861026 0.4605571
2.751054 0.4884499
2.664536 0.3008042
2.693814 0.4433562
2.762114 0.4748323
3.040363 0.4955559
3.347671 0.2700257
3.685906 0.06250228
3.105771 0.2367297
3.174079 0.303326
2.868769 0.4062897
2.843422 0.06019378
2.729185 0.171476
2.657612 0.3547946
3.061053 0.3536781
2.876933 0.2677854
2.725169 0.2860817
3.286933 0.1378634
3.174117 0.362223
3.208894 0.4890614
2.500802 0.2447769
2.403407 0.2965386
3.015548 0.4004136
2.774479 0.3017344
3.154172 0.3992075
3.004394 0.119921
3.240146 0.4844217
3.097103 0.3037818
2.890285 0.3939642
2.841317 0.3379553
3.31055 0.0324933
3.007861 0.3696928
3.459092 0.1798609
3.756429 0.1798791
2.708707 0.3482993
3.359218 0.3828526
2.795333 0.1383268
2.982337 0.2863315
3.010121 0.3380059
2.927188 0.1105446
3.323302 0.4191799
3.56632 0.1002587
2.817086 0.4481889
2.766881 0.4872707
3.668234 0.2241852
3.227604 0.2289974
3.712028 0.4193501
3.751071 0.2588061
2.726923 0.18286
3.328576 0.3938605
2.827984 0.03134538
2.886299 0.3174038
2.828737 0.3595957
3.195656 0.1704625
3.124591 0.3056574
3.359292 0.4869901
2.986525 0.4351274
2.757307 0.1429197
2.602422 0.04093064
3.470127 0.1565713
3.554706 0.1238214
3.262844 0.3846499
3.02537 0.1215693
2.919883 0.05830399
2.719844 0.3428572
2.56926 0.3580219
2.726362 0.4207902
2.364155 0.2658928
2.653441 0.4491067
2.744899 0.4714913
2.994422 0.4561418
2.733713 0.4755009
3.139951 0.4869462
2.733053 0.332829
2.992475 0.02388654
2.406307 0.1643527
3.415835 0.1879016
3.09904 0.281155
2.920465 0.103788
3.320424 0.1179122
2.91593 0.4497519
3.077904 0.2415254
2.723243 0.2226627
2.917446 0.3388579
2.707453 0.2095068
3.349467 0.3983014
3.140361 0.380921
3.003836 0.2689853
3.549102 0.3144459
3.138128 0.3688926
2.568247 0.2241581
2.913508 0.3226397
2.731031 0.3110212
3.285285 0.1742943
3.743825 0.2893379
3.195176 0.4978935
3.320963 0.2337007
3.803615 0.216745
2.903476 0.2488776
2.966487 0.1189637
3.685523 0.146929
3.435201 0.03726836
3.363085 0.06156635
2.78029 0.1956347
3.152396 0.3655155
3.257996 0.267815
3.10304 0.3790551
2.875247 0.3398448
3.51977 0.3532227
3.546202 0.0565343
2.855353 0.3348111
3.559162 0.2901444
3.014731 0.3648559
2.751483 0.3789383
3.177594 0.121655
3.064772 0.3701494
2.96833 0.4602572
2.476712 0.3940288
2.807562 0.3409583
2.797661 0.4520103
3.358463 0.2466092
3.129227 0.2797079
3.080089 0.3834177
3.27543 0.3034191
3.051664 0.4430242
2.468867 0.07686336
2.887889 0.4054362
2.845174 0.3958433
3.284678 0.1484003
2.910198 0.1776792
3.179673 0.3513855
3.584675 0.4921111
3.077309 0.2243149
3.136604 0.03471435
2.615734 0.4018808
2.756424 0.2489422
2.581548 0.1678041
2.795096 0.3443425
3.327006 0.1659304
2.79681 0.4167165
2.878056 0.1711115
3.188609 0.4627873
2.620294 0.2171049
2.953232 0.065922
3.346734 0.3998499
2.741956 0.1686881
3.007315 0.04370977
2.811021 0.09381839
2.694015 0.2257073
2.718707 0.3184257
2.851424 0.2584792
2.659515 0.4628548
3.035781 0.2299132
3.469412 0.2801006
2.734436 0.2347599
3.288083 0.3407965
3.218839 0.4096411
2.606767 0.1024115
3.467324 0.2775716
3.317757 0.2321448
3.13985 0.4567161
3.003042 0.3570436
2.721675 0.3281876
2.713326 0.1592893
2.81183 0.3280909
3.17491 0.2359854
2.78695 0.4198961
3.120358 0.2692622
2.860748 0.3201104
2.722869 0.09457445
3.037499 0.1069089
2.782266 0.157539
3.147678 0.2028022
2.745832 0.3061504
2.766741 0.4493282
3.413238 0.12824
2.839344 0.2463704
3.10192 0.2709718
2.886102 0.2364983
2.843234 0.3520821
3.127809 0.2523212
2.839134 0.1575149
2.884524 0.334214
2.759728 0.3258724
2.998511 0.1775421
3.174319 0.2883509
3.205142 0.301379
2.706079 0.4766349
2.989206 0.2217769
2.485761 0.3123794
2.703076 0.1906275
2.882539 0.1172378
2.813209 0.2863867
2.839252 0.3730142
2.643164 0.4172459
2.941159 0.3537339
2.953801 0.09117181
2.811506 0.2891873
2.911512 0.1478433
3.091082 0.4988881
2.644363 0.2493079
2.362911 0.4001028
2.758963 0.3711814
3.604052 0.4195194
3.615274 0.1491547
3.066815 0.04403704
2.669478 0.03890632
2.954966 0.3835676
3.113476 0.2942031
3.582046 0.08132986
3.160451 0.1408847
2.825742 0.331444
3.036304 0.4026404
3.502674 0.1980616
3.261815 0.2282607
2.974075 0.2795198
2.965172 0.2443512
3.403347 0.3965798
2.738469 0.3762568
3.371747 0.2227169
3.167325 0.3502139
3.581239 0.385755
2.90238 0.4716863
2.940395 0.4877129
3.469688 0.2229846
2.873117 0.2910879
3.078276 0.4386438
3.329514 0.19924
2.914081 0.4562411
2.727143 0.2561705
3.224044 0.4469251
2.958112 0.4721946
2.868698 0.3139514
2.744604 0.4473677
2.828774 0.3403274
2.568397 0.222073
3.03586 0.1909422
2.854344 0.1075722
3.199541 0.178791
3.174683 0.4014363
3.801228 0.4188282
2.662357 0.3430852
3.168619 0.431582
2.861694 0.4457144
2.57854 0.253276
3.526783 0.3615674
3.395149 0.4624449
2.945931 0.3939453
3.221624 0.1982403
2.998538 0.3984674
3.572722 0.3740049
3.77275 0.4374604
3.586199 0.06514973
3.315657 0.4386444
3.283147 0.2276264
3.571353 0.3502004
