"p_1" "p_2" "p_3"
0.3909794 0.3083308 0.3006897
0.3882523 0.3103027 0.301445
0.4002031 0.3071808 0.292616
0.3781626 0.3177637 0.3040737
0.3836139 0.3043939 0.3119923
0.3710466 0.3037027 0.3252507
0.3936348 0.3093479 0.2970173
0.3762562 0.3323628 0.291381
0.367634 0.3114108 0.3209552
0.3995619 0.295632 0.3048061
0.3498931 0.3443297 0.3057772
0.3667065 0.3255092 0.3077843
0.3876689 0.3122453 0.3000859
0.3675068 0.3221409 0.3103523
0.3983203 0.3003051 0.3013746
0.3872375 0.3106386 0.3021239
0.3910788 0.3063086 0.3026126
0.392265 0.2974941 0.3102409
0.3661308 0.334363 0.2995062
0.4117 0.2991734 0.2891266
0.4102304 0.2841393 0.3056303
0.3822072 0.332087 0.2857058
0.409923 0.2957314 0.2943455
0.3824584 0.3147675 0.3027741
0.3809841 0.3179576 0.3010583
0.3878563 0.3079685 0.3041751
0.3841574 0.3060395 0.3098032
0.3852518 0.3020804 0.3126677
0.3939294 0.2998821 0.3061885
0.3852215 0.3106452 0.3041333
0.3911756 0.3277906 0.2810338
0.3930229 0.3021226 0.3048545
0.3915011 0.3113755 0.2971234
0.404316 0.3121973 0.2834867
0.411118 0.2998781 0.2890039
0.407613 0.3183845 0.2740025
0.4232753 0.2997212 0.2770035
0.4303009 0.2850842 0.2846149
0.3751851 0.3101785 0.3146365
0.4069748 0.3099248 0.2831004
0.3750637 0.3299488 0.2949875
0.3653755 0.3309729 0.3036516
0.424335 0.3042037 0.2714613
0.3893449 0.3296784 0.2809767
0.3724658 0.3269055 0.3006287
0.3915537 0.3010817 0.3073647
0.409673 0.3090725 0.2812545
0.3906057 0.3360194 0.2733749
0.3951772 0.2873647 0.3174581
0.4087955 0.324299 0.2669056
0.4038464 0.299505 0.2966486
0.4049161 0.3132276 0.2818563
0.4024052 0.2964758 0.3011189
0.4012583 0.2912733 0.3074684
0.3762817 0.3235693 0.3001491
0.3591361 0.3339306 0.3069333
0.409834 0.2965705 0.2935955
0.400421 0.3205612 0.2790178
0.4000091 0.3009775 0.2990134
0.3761957 0.2867023 0.3371019
0.3968631 0.3216773 0.2814595
0.4129989 0.295987 0.2910142
0.3895659 0.3167359 0.2936983
0.3971673 0.3262347 0.2765981
0.3620568 0.3465052 0.291438
0.3834325 0.3033668 0.3132007
0.3800648 0.3065055 0.3134298
0.4030575 0.3172254 0.2797171
0.4002199 0.2950536 0.3047265
0.3846384 0.2786803 0.3366813
0.3634039 0.3167351 0.3198611
0.4155847 0.3022464 0.2821689
0.3748246 0.3260816 0.2990938
0.386872 0.32215 0.290978
0.4122446 0.3048283 0.282927
0.3874632 0.3311779 0.281359
0.3999123 0.3093615 0.2907263
0.3638194 0.338153 0.2980276
0.412789 0.2773583 0.3098527
0.3783908 0.3237819 0.2978273
0.3904548 0.3236745 0.2858707
0.4028176 0.295686 0.3014964
0.3806034 0.3099715 0.3094251
0.3645299 0.3312166 0.3042535
0.4097627 0.3093967 0.2808407
0.409278 0.3085743 0.2821477
0.3787084 0.3147679 0.3065237
0.4207293 0.2916548 0.2876159
0.4019607 0.3123382 0.2857011
0.4033043 0.2991689 0.2975269
0.4220219 0.3289627 0.2490154
0.3895477 0.3310071 0.2794452
0.38372 0.3001314 0.3161486
