"Delta_1" "Delta_2" "Delta_3"
1.154064 -2.153617 -2.810225
1.170726 -2.156674 -2.37729
1.186863 -2.114681 -2.72297
1.042802 -2.142758 -2.740901
0.995112 -2.177051 -2.67364
1.057232 -2.085681 -2.799683
0.9610502 -2.03677 -2.999313
1.083818 -2.210767 -2.851739
1.137136 -2.207385 -3.150385
1.053801 -2.202169 -3.05532
1.078049 -2.110743 -2.812409
1.186816 -2.146211 -2.640919
1.287658 -2.033802 -3.151444
1.260666 -2.058983 -2.971428
1.138991 -1.98959 -3.502781
1.244752 -2.097638 -3.349038
1.232507 -2.023694 -2.511042
1.204597 -2.17178 -2.508812
1.247692 -2.047526 -2.328564
1.228402 -2.096947 -2.563385
1.2436 -2.122816 -2.678961
1.303547 -2.151027 -2.875536
1.204725 -2.040561 -3.075643
1.121338 -2.174388 -2.782296
1.119908 -2.160697 -2.774625
1.135892 -2.25616 -2.763872
1.162109 -2.207413 -2.975721
1.14402 -2.185549 -2.846644
1.099506 -2.46664 -3.095212
1.11483 -2.39836 -2.800198
1.039573 -2.216823 -3.048647
1.084265 -2.116897 -3.272505
1.117483 -2.159667 -3.077223
1.15214 -2.093554 -2.921638
1.195821 -2.014288 -2.860262
1.219985 -1.97826 -2.367706
1.118362 -1.82561 -2.589396
1.133016 -1.958349 -2.42594
1.116788 -1.967212 -2.740913
1.137067 -1.917152 -2.689273
1.049841 -1.99342 -2.824199
1.09298 -2.084119 -3.09398
1.170391 -2.108844 -2.935801
1.180578 -1.990005 -2.975395
1.148139 -1.780225 -2.998254
1.191665 -2.02564 -2.801278
1.134423 -2.054946 -3.245751
1.256542 -2.217812 -3.257001
1.212095 -2.301191 -3.250263
1.211415 -2.169849 -2.904766
1.200142 -2.275841 -2.819739
1.14691 -2.096817 -2.811654
1.180125 -2.170167 -3.047321
1.22109 -2.1975 -3.086871
1.232283 -2.073811 -2.971093
1.249219 -1.992542 -3.143034
1.128247 -1.884488 -3.009109
1.212271 -1.928558 -2.882472
1.267968 -1.858877 -2.761463
1.19213 -2.051329 -2.945466
1.120075 -2.201296 -3.050358
1.107969 -2.08306 -3.316112
1.18199 -1.986759 -3.409725
1.197495 -2.058265 -2.922615
1.148506 -2.019094 -2.846102
1.057954 -2.030606 -2.801356
1.117208 -1.931893 -2.882005
1.061508 -2.034826 -2.506176
1.024551 -2.02261 -2.467906
1.022234 -2.0083 -2.483894
1.062789 -1.911762 -2.68822
1.09887 -1.922977 -2.613019
1.125212 -1.94813 -2.713843
1.110053 -1.88631 -2.690584
1.12597 -1.934658 -2.862703
1.176642 -1.927292 -2.659129
1.20043 -1.882706 -2.647166
1.237314 -2.30416 -2.927876
1.184658 -2.340023 -2.747353
1.184334 -2.495503 -2.985117
1.272129 -2.286573 -2.871296
1.165892 -2.156185 -2.748195
1.180902 -2.256094 -2.678239
1.12483 -2.146466 -2.839702
1.088597 -2.081906 -3.046753
1.145906 -2.162404 -2.973023
1.188114 -2.046704 -2.943461
1.172866 -2.010756 -2.925169
1.065039 -1.952871 -2.796881
1.125768 -1.954413 -2.634949
1.059797 -2.136744 -2.758542
1.162418 -2.152172 -2.824442
1.115945 -2.118069 -2.860683
1.074127 -2.26809 -2.619575
1.089126 -2.101801 -2.994895
1.221024 -2.135445 -3.027545
1.237469 -2.21063 -3.318292
1.274204 -2.245773 -3.372431
1.256257 -2.099038 -3.478482
1.216226 -2.046234 -3.13593
1.20852 -2.231271 -3.123854
1.227023 -2.096945 -2.865659
1.105783 -2.036195 -2.97129
1.127611 -2.128046 -2.639867
1.082618 -2.085495 -3.091437
1.211537 -2.056974 -2.7994
1.271788 -2.046158 -2.927806
1.323611 -1.907127 -2.89371
1.168645 -2.136663 -2.637444
1.197208 -2.160134 -2.878528
1.174443 -2.147082 -3.19711
1.321318 -2.216538 -3.379268
1.265915 -2.452991 -3.377013
1.32942 -2.572953 -3.188636
1.371364 -2.416862 -3.423112
1.244187 -2.358647 -3.145273
1.345384 -2.374196 -3.415656
1.330804 -2.210324 -3.361014
1.250594 -2.264566 -3.266714
1.240773 -2.253242 -3.190105
1.068911 -2.233506 -3.053799
1.172583 -2.185046 -3.376382
1.153977 -2.183211 -3.151584
1.149963 -2.195346 -3.199969
1.109176 -2.191486 -2.986825
1.115942 -2.128183 -3.07868
1.196414 -2.150326 -3.186954
1.151434 -2.156246 -2.9459
1.225539 -2.388122 -3.286395
1.262936 -2.444679 -2.887141
1.186769 -2.301527 -2.880132
1.129705 -2.325852 -3.026219
1.100382 -2.29489 -3.188465
0.9841024 -2.235424 -2.814277
0.9742371 -2.21998 -2.812415
1.20188 -2.202693 -3.288295
1.050157 -2.224519 -3.180689
1.133837 -2.167536 -3.345642
1.233959 -2.151538 -3.172447
1.14534 -2.173097 -2.864923
1.14335 -2.056731 -3.157162
1.222491 -2.304979 -3.135165
1.262583 -2.312181 -3.065104
1.217321 -2.309358 -3.104334
1.264967 -1.999484 -2.937542
1.279019 -1.921082 -2.877439
1.180721 -2.096698 -2.82216
1.186615 -2.126142 -2.79988
