"u.bar" "t.bar"
1.020329 1.099143
1.014425 1.149255
0.98695 1.133971
0.9696955 1.157271
1.00005 1.171683
1.013878 1.140002
0.9971945 1.165871
1.000321 1.101453
0.9999326 1.071204
0.9956087 1.092244
1.011277 1.089437
0.9943701 1.104756
0.9553728 1.07926
1.049603 1.101889
1.019774 1.060916
1.07474 1.04187
0.983055 1.138527
0.9912998 1.111838
1.020609 1.167266
0.9975613 1.10273
0.9847795 1.095768
1.015341 1.051718
0.9755489 1.047881
0.9764819 1.120651
0.9664102 1.114747
0.9942625 1.11352
0.9884137 1.082668
0.9962313 1.080952
1.018549 1.056092
1.045686 1.053182
1.014342 1.090532
1.043486 1.082121
1.015266 1.092424
0.9830778 1.116086
0.9747383 1.09337
0.9873367 1.237333
0.9761666 1.200544
0.9919391 1.185946
0.9786102 1.110343
0.9471768 1.153514
1.030143 1.150632
1.014621 1.094253
1.010342 1.097436
1.002459 1.107789
1.02809 1.17164
0.9844312 1.101684
0.9725978 1.086389
0.9952103 1.037068
1.037555 1.028001
1.013084 1.081344
0.9805302 1.071575
0.990564 1.110445
1.04416 1.086503
1.048006 1.049206
1.03034 1.054381
1.061551 1.099703
0.9841128 1.13056
0.9906254 1.143482
1.028532 1.135079
0.9944441 1.103758
1.022543 1.052447
1.040634 1.08535
1.02651 1.089992
1.02999 1.085565
1.012347 1.109081
0.9940673 1.133407
1.019852 1.156097
1.038699 1.156145
0.9923319 1.183143
0.9827093 1.203121
1.01328 1.179373
1.021721 1.198004
0.9826355 1.195421
0.9878313 1.175859
0.9778035 1.114047
0.9738468 1.158186
0.9918179 1.144468
1.047243 1.035032
1.003324 1.081095
0.97548 1.053541
1.019221 1.042998
0.9986601 1.089254
1.00746 1.123972
1.015269 1.11236
0.9914347 1.109918
1.005158 1.121632
1.011641 1.106077
0.9953678 1.101112
0.9897721 1.163478
0.9998258 1.154142
1.004629 1.129994
1.03107 1.115872
0.97083 1.121574
0.9961632 1.134266
0.9883006 1.101536
1.026198 1.060264
1.017984 1.038654
1.030313 0.9995329
1.013524 1.029717
0.9837936 1.04365
1.023804 1.041666
1.028817 1.086846
1.002462 1.089438
0.9909745 1.095873
1.010026 1.115671
0.9911493 1.110568
0.9806039 1.100263
1.021105 1.073634
1.021414 1.121148
0.9592492 1.086028
1.011635 1.058538
1.008908 0.9957498
1.029028 0.9722196
1.046517 0.9874401
0.9951588 0.9580777
1.007175 0.9924218
1.047056 0.9695409
1.052089 1.032869
1.020486 1.007146
0.9974124 1.028451
0.9915935 1.08844
1.056799 1.033347
0.9947231 1.053105
0.9653923 1.061041
0.9838642 1.096933
1.006815 1.106611
1.014658 1.07123
0.9937886 1.085691
1.022601 0.9955719
1.024259 1.050153
1.008236 1.037084
1.009346 1.026193
1.020343 1.050429
1.014302 1.090816
1.000449 1.126201
1.036393 1.051615
0.9979396 1.073094
1.015479 1.057067
0.9749375 1.057522
1.02794 1.072698
0.969643 1.112639
0.9968815 1.038432
1.028206 1.024766
0.9869977 1.061298
0.975883 1.094585
1.00831 1.134835
0.9546313 1.13444
1.015222 1.091204
1.011827 1.097913
1.011215 1.089382
1.017231 1.089076
1.010545 1.087863
1.028834 1.101923
1.020055 1.085724
0.9983291 1.076955
1.01846 1.079717
1.005712 1.082004
1.010395 1.087744
1.013707 1.103013
1.039709 1.10408
1.027872 1.145818
0.967743 1.126398
0.9833549 1.114322
0.9919522 1.120392
1.063305 1.09012
0.9783462 1.082484
1.036159 1.108809
0.9883839 1.150235
1.013057 1.126188
1.003842 1.138803
0.979511 1.151601
1.011986 1.13166
1.001027 1.133468
0.9979974 1.194765
1.016622 1.148017
0.9845817 1.151381
1.003588 1.110732
0.9664405 1.189174
1.006275 1.129832
1.025952 1.079501
1.00627 1.103923
1.026523 1.165197
0.9620539 1.141202
0.9717829 1.138365
0.9765062 1.17451
1.03019 1.188031
1.003122 1.15713
1.005138 1.109467
1.005867 1.097001
0.9879137 1.076012
1.022295 1.061019
0.9995183 1.068763
1.006765 1.075444
0.9754272 1.098004
0.9744951 1.104452
0.9962594 1.156789
0.9841474 1.137748
0.9973126 1.110379
1.027646 1.103007
0.9854119 1.111472
0.9841511 1.102184
0.9983951 1.132011
0.9746535 1.120205
0.9638834 1.088686
1.032166 1.083544
1.028343 1.071633
0.9600355 1.085293
0.9933763 1.156864
0.989937 1.157001
0.9720592 1.172303
1.023362 1.17586
1.020927 1.176595
0.9853748 1.183319
0.9858509 1.133051
0.9768295 1.124398
0.9665546 1.165048
0.9621483 1.148511
0.9892902 1.149834
0.9656199 1.09263
1.032252 1.087636
0.9660169 1.032176
0.9762371 1.082182
1.019233 1.027058
1.013122 1.044903
0.9861906 1.05902
1.042198 1.073383
1.027729 1.094076
1.068079 1.118497
0.9881542 1.157841
1.014109 1.143909
1.023115 1.138231
0.9822671 1.123363
0.9571066 1.17122
1.006488 1.203933
0.9946262 1.087176
1.043516 1.121932
0.9776439 1.082518
