"tau2_1" "tau2_2" "tau2_3"
0.3014672 0.01819151 0.02590474
0.2016245 0.01189552 0.07069879
0.2231523 0.01839887 0.05017714
0.215398 0.0133755 0.03852114
0.2411903 0.007969504 0.07716707
0.269637 0.02255165 0.07647611
0.3075425 0.01271063 0.03166192
0.1233629 0.01302813 0.01406664
0.4673353 0.01166623 0.02632413
0.1384361 0.01477871 0.01785466
0.1528033 0.04309291 0.07951804
0.2202401 0.0189138 0.07845926
0.1188551 0.007071986 0.04460584
0.1366247 0.02772915 0.03394186
0.2703268 0.02765307 0.06318554
0.1280546 0.02767695 0.09760114
0.08416574 0.02012555 0.04007228
0.1417586 0.0170834 0.03516763
0.1566596 0.01744178 0.03516401
0.2225663 0.01387176 0.05085106
0.19751 0.009821396 0.06339507
0.06216791 0.009408306 0.04751619
0.1806528 0.01137998 0.06337091
0.09281944 0.01310039 0.03805531
0.2455103 0.005855732 0.04182798
0.1497941 0.01225061 0.03109775
0.2177383 0.01362381 0.02023698
0.2723935 0.02388009 0.03813321
0.1918979 0.01594072 0.03686811
0.1269995 0.01344608 0.02453114
0.1736349 0.01571719 0.01682759
0.09559525 0.01565136 0.02172093
0.1122702 0.01427589 0.01545497
0.1682361 0.02105922 0.03495804
0.2655493 0.01640619 0.02263316
0.2346617 0.04203675 0.04187661
0.154204 0.02130877 0.03045752
0.2053439 0.01247675 0.07437
0.2065636 0.008902572 0.08023585
0.1357879 0.01482442 0.03346808
0.09889778 0.02781093 0.02665648
0.1223971 0.03101838 0.04702225
0.1491397 0.01465482 0.03186987
0.1756778 0.01036333 0.04768465
0.1100832 0.01563915 0.05294369
0.1437336 0.02004781 0.03133609
0.2234106 0.01420693 0.01769676
0.1959838 0.03475464 0.02925994
0.1251197 0.01119593 0.0362222
0.0423481 0.01657694 0.02880728
0.2793482 0.01857284 0.03916394
0.136447 0.01176007 0.05231625
0.1466404 0.01634093 0.02951188
0.2151946 0.01246364 0.06438567
0.1162051 0.02613102 0.07352407
0.3118791 0.02229538 0.06752809
0.2039578 0.03050584 0.02101158
0.1448483 0.01845734 0.03172806
0.1454698 0.007926797 0.0601444
0.153163 0.01582756 0.04359843
0.1266566 0.01247525 0.04987711
0.1261288 0.04447147 0.09056847
0.1692059 0.01229751 0.02869786
0.1921162 0.03923422 0.0313344
