"beta1_1" "beta2_1" "beta1_2" "beta2_2"
-29.77353 -3.872565 22.04289 3.760509
-29.79869 -3.866202 22.66481 3.660972
-29.83733 -3.699264 22.46506 3.473943
-29.70228 -3.965911 22.38569 3.693849
-29.60535 -3.92045 22.53779 3.706952
-29.74278 -3.818678 22.44614 3.72616
-30.0445 -3.892174 23.06008 3.822181
-29.7625 -3.720487 22.44449 4.168152
-29.70946 -3.848954 21.70672 3.842974
-29.76896 -3.879948 22.57113 3.947269
-29.55904 -3.755483 22.15193 3.814736
-29.60299 -3.925999 22.34211 3.667008
-29.631 -3.865693 22.81938 4.076225
-29.84489 -3.782666 22.04412 3.640471
-29.80243 -3.947654 21.64058 4.207667
-29.94639 -3.842526 21.79184 3.844731
-29.65465 -3.746111 22.17184 3.626883
-29.77648 -3.863035 22.62025 4.042929
-29.81157 -3.814307 22.69853 3.713149
-29.80939 -3.790046 22.90223 3.953823
-29.72654 -3.996396 22.09142 3.617097
-29.8924 -3.925739 22.2302 3.623106
-29.8997 -3.901128 22.4022 3.57108
-30.25956 -3.535777 22.29584 3.734166
-30.04365 -3.786165 22.60137 4.132397
-29.96144 -3.702869 21.70813 3.881724
-29.92488 -3.79368 21.77452 3.508938
-29.75481 -3.887006 22.57144 3.480755
-29.66449 -3.916056 21.95606 3.455787
-29.92681 -3.717162 22.43968 3.531141
-29.87413 -4.017273 22.50945 3.853534
-29.7802 -3.781112 22.1424 3.633584
-29.65327 -3.797654 23.16519 3.614803
-29.65769 -3.940574 21.58038 3.719047
-29.66122 -3.877305 22.51928 3.643544
-29.89576 -3.643423 22.14809 3.722359
-30.15657 -3.921548 22.67707 3.772976
-29.8446 -3.994856 22.07851 3.851535
-29.73306 -3.732597 22.28375 3.610356
-29.65971 -3.915559 21.61171 3.920528
-30.21507 -3.962189 22.78153 3.760446
-30.03521 -3.859501 22.01398 3.428102
-29.90603 -3.839868 22.06162 3.599638
-30.04731 -3.747211 22.73066 3.593576
-29.89403 -3.738207 22.04239 3.754646
-30.08171 -3.855199 22.42769 4.009729
-29.85016 -3.798432 22.46826 3.793302
-30.08392 -3.774419 23.14262 3.997118
-30.15452 -3.824496 22.3704 4.333314
-29.97679 -3.82465 23.12778 3.645915
-29.8123 -3.943675 22.40603 3.783748
-30.05517 -3.758804 22.2682 3.394937
-29.97947 -3.935028 22.06886 3.628578
-29.94527 -3.705633 22.68769 3.554078
-29.92481 -4.01924 22.1169 3.80104
-29.89142 -3.911196 22.33375 4.093556
-30.09753 -3.866153 22.50993 3.770115
-30.28557 -3.945049 22.2235 3.764876
-29.94469 -3.843277 22.62901 3.249329
-30.10658 -3.873955 21.7367 4.150529
-29.9056 -3.821702 22.10506 3.673013
-29.84076 -3.985551 21.71139 3.753795
-29.8048 -3.838117 22.23855 3.497222
-29.79023 -3.744815 22.4616 3.696092
-29.6731 -3.830795 22.05397 4.052379
-29.66946 -3.918103 22.26202 3.696812
-29.70294 -3.901419 22.01507 3.786863
-29.71598 -3.812311 22.493 3.510307
-29.94801 -3.837662 22.0399 3.663431
-29.74499 -3.864083 21.75655 3.883794
-29.70126 -3.839746 21.93864 3.610913
