"Delta_1" "Delta_2" "Delta_3" "Delta_4"
-2.89766 -2.163691 1.096907 -9.653914
-3.09825 -2.070022 1.016466 -1.909871
-2.878099 -2.098416 0.9968605 -11.12344
-2.901182 -2.039043 1.094688 -1.283395
-2.692377 -2.191982 1.103875 -15.38394
-2.544888 -2.197138 1.199523 16.65904
-2.919985 -2.26923 1.156123 -1.913042
-2.701143 -2.213872 1.113764 -6.190376
-2.987344 -2.153014 1.11674 3.079365
-2.860634 -2.242676 1.13876 -9.215151
-2.756994 -2.360698 1.109335 2.715477
-3.130567 -2.389534 1.130913 5.683351
-2.930082 -2.412676 1.235178 1.476152
-3.128025 -2.281859 1.313485 11.97972
-2.998159 -2.282491 1.21408 8.408987
-3.133172 -2.443084 1.142496 -11.06462
-3.134447 -2.49182 1.222526 2.413579
-2.978168 -2.361001 1.081923 11.42811
-2.949036 -2.249076 1.099024 18.60875
-2.917962 -2.308158 1.080317 -5.578453
-2.921973 -2.335072 1.21647 7.958312
-3.108945 -2.362438 1.186588 0.1064364
-2.775265 -2.299449 1.213213 7.979979
-2.945012 -2.28481 1.146612 -10.39289
-2.886222 -2.370053 1.139892 -4.333187
-2.899233 -2.355261 1.086379 15.02117
-3.049165 -2.335824 1.132013 7.181586
-2.912056 -2.036205 1.12389 3.749693
-3.182292 -2.059391 1.189317 25.37828
-2.572767 -2.078892 1.02609 0.4360469
-2.898533 -2.155 1.147501 11.23538
-3.364064 -2.215453 1.139721 0.4357957
-3.192219 -2.179411 1.171861 -1.691385
-2.866416 -2.229487 1.161794 0.2400911
-2.72029 -2.213654 1.107924 -0.7183302
-3.07328 -2.052655 1.215665 6.474032
-3.133322 -2.031875 1.174607 23.26769
-2.818751 -2.151515 1.224602 -16.02824
-2.706338 -2.137 1.204731 -2.811666
-3.059488 -2.151573 1.163825 6.63162
-2.967127 -2.224319 1.088546 -5.258677
-2.91744 -2.081915 1.188912 2.316687
-2.910194 -2.018614 1.140976 9.286061
-2.781064 -2.09656 1.186378 -4.124627
-2.149687 -2.114648 1.194386 0.5602967
-2.572222 -2.118855 1.167374 6.542691
-2.888409 -2.030744 1.016543 3.9979
-2.895843 -2.059458 1.008885 18.44133
-2.666576 -2.074042 1.085369 -0.6840313
-2.808832 -2.239785 1.16854 14.29873
-2.833739 -2.092202 1.145962 5.067975
-3.119342 -2.15229 1.176844 10.51028
-2.953011 -2.144657 1.071466 -6.714318
-3.153736 -2.307348 1.079381 -16.89537
-3.29748 -2.203563 1.118644 -18.54102
-3.272922 -2.168293 1.053903 -20.69362
-3.285696 -2.087884 1.117298 -8.701886
-3.229057 -2.167705 1.166747 -16.40816
-3.253244 -2.171739 1.194473 -7.156357
-2.934824 -2.256389 1.244109 6.703703
-2.691765 -2.31273 1.219989 10.62844
-3.214203 -2.183335 1.190253 6.153043
-2.754468 -2.220043 1.246069 -15.9542
-2.66674 -2.280592 1.253108 -9.832286
-3.034413 -2.155205 1.19764 1.597057
-3.029193 -2.096401 1.135431 -1.179165
-3.043231 -2.155311 1.034402 1.809256
-3.09546 -2.159565 1.124464 -0.5719128
-3.213254 -2.161495 1.136792 1.908627
-3.12867 -2.238956 1.234465 -6.070694
-2.979206 -2.022532 1.208 -1.574279
-3.161411 -2.225537 1.178417 1.122916
-2.779295 -2.156295 1.153487 -5.473827
-2.556465 -2.120868 1.168569 -4.800887
-2.871576 -1.978556 1.134732 -10.93597
-3.096111 -2.085069 1.148631 -1.630983
-2.740246 -2.190348 1.183737 0.8633606
-2.875222 -2.064909 1.264127 -2.977206
-2.935281 -2.093199 1.249715 3.163199
-2.801125 -2.064657 1.282562 -0.01648479
-2.71365 -2.081851 1.172429 -9.955999
-2.724866 -2.206618 1.171057 -8.814687
-2.973707 -2.216655 1.234419 -0.3645081
-2.884983 -2.151532 1.184154 -2.720746
-3.128523 -2.120318 1.212742 13.98108
-2.920292 -2.013371 1.244265 -7.956072
-2.925422 -2.091963 1.237006 -6.153916
-2.91289 -2.168941 1.298317 -20.96737
-2.802016 -1.980209 1.24299 -9.273907
-2.748899 -1.940711 1.220909 -2.93814
-3.027782 -2.074095 1.159393 2.810998
-2.910097 -2.04185 1.116862 0.2262634
-2.905925 -1.960629 1.124086 5.211229
-2.892865 -1.784536 1.090712 -2.562651
-3.008671 -2.044001 1.062891 -1.013035
-2.98257 -1.995763 1.133366 10.17281
-3.066181 -1.99495 1.077115 -7.77706
-2.922268 -1.960338 1.132356 -1.444541
-2.984886 -1.966668 1.200492 -18.04411
-2.751651 -2.068944 1.186233 -5.684262
-2.982899 -2.081479 1.13839 0.580193
-2.957728 -2.03379 1.161959 -7.543633
-2.977143 -1.944218 1.10153 10.99722
-3.17411 -1.952751 1.155692 6.732769
-3.266528 -2.094216 1.183044 -1.040714
-3.11643 -2.066982 1.054421 -16.36251
-3.166505 -1.904553 1.085576 0.4645618
-3.024105 -2.067164 1.120009 11.3739
-3.217521 -1.995863 1.071146 8.08585
-2.976377 -2.200674 1.153228 -14.20992
-2.816168 -2.207253 1.191712 -17.03423
-3.179257 -2.18195 1.190776 -1.543866
-3.006204 -2.065191 1.187105 -10.26561
-3.234472 -2.294782 1.207857 2.39291
-3.237129 -2.233167 1.234555 1.607245
-3.048113 -2.157579 1.18158 -2.767881
-3.18922 -2.257943 1.184934 2.426065
-2.988892 -2.274609 1.253482 5.548516
-2.791202 -2.259658 1.206361 13.93776
-2.806188 -1.967622 1.255772 -1.615454
-2.449693 -2.096161 1.243272 -7.742319
-2.80418 -2.033827 1.212069 -9.441704
-2.783823 -2.095949 1.205064 -11.35071
-2.961923 -2.120564 1.17486 1.459644
-3.015473 -2.085256 1.188044 0.7109208
-2.546809 -2.155895 1.092474 0.7510965
-2.488001 -1.96871 1.215606 -13.45504
-2.807059 -1.935531 1.191424 0.6018259
-2.89018 -1.934689 1.282024 16.66178
-3.236463 -1.940752 1.294087 -3.458341
-3.355946 -1.818849 1.216482 4.666052
-3.179314 -2.047136 1.114888 12.75371
-2.907709 -2.060737 1.131428 -7.408461
-2.874732 -2.238269 1.185873 4.70063
-3.103484 -2.282777 1.273315 13.82519
-3.089277 -2.29768 1.208026 -0.5758377
-3.018904 -2.240171 1.134783 -13.24714
-3.005125 -2.174307 1.166243 19.63972
-2.946098 -2.11217 1.185635 5.727932
-2.522143 -2.190829 1.231974 2.100249
-2.843899 -2.171219 1.123993 -13.79958
-2.827727 -2.078569 1.067578 2.439481
-2.999136 -2.161029 1.047323 21.19503
-2.954263 -2.390793 1.152101 -4.792349
-3.131281 -2.234103 1.154407 12.8167
-2.703962 -2.206976 1.248043 6.472585
-2.945356 -2.119215 1.221787 -14.40772
-2.819432 -2.093397 1.218873 -1.333097
-2.758325 -2.048715 1.10277 4.246616
-2.719982 -1.959315 1.145564 -0.7556455
-2.983175 -2.064557 1.091053 -11.41001
-2.76484 -2.138414 1.103671 4.077565
-2.892101 -2.209608 1.084239 9.491597
-3.00397 -2.165361 1.136198 4.630606
-3.002891 -1.985756 1.177406 4.641617
-3.35095 -2.158304 1.237663 12.58917
-3.335733 -2.101018 1.241878 -5.184352
-3.648864 -2.047961 1.281567 -0.3801451
-3.39563 -2.085395 1.24018 12.18142
-3.10074 -2.06781 1.257986 -7.80336
-2.922299 -1.968143 1.193353 8.0876
-3.148466 -1.930255 1.271702 -9.727158
-2.890676 -1.972987 1.177676 -11.38737
-2.744214 -1.920215 1.065513 -1.830102
-2.789217 -1.914297 1.09502 1.398616
-2.827551 -2.149162 1.015675 14.00571
-2.555066 -2.182307 0.9993446 14.04565
-2.676565 -2.058182 1.010181 -0.3023029
-2.436797 -2.015705 1.08718 12.44202
-2.505718 -2.094971 1.098659 -1.430594
-2.481588 -2.033493 1.22524 -21.91251
-2.868041 -2.102612 1.137934 5.594765
-2.87722 -2.122729 1.198537 2.242142
-2.690993 -2.115963 1.174245 -10.52015
-2.679446 -2.121411 1.133378 -5.547562
-2.882081 -2.066308 1.025602 3.489191
-2.617877 -2.152128 1.092096 11.0051
-3.066611 -2.010358 1.090665 0.8360058
-2.614406 -2.08306 1.08673 -11.33014
-2.673625 -2.108855 1.037594 7.82154
-3.049112 -2.191127 1.088234 0.8769233
-2.751088 -2.120483 1.130873 2.282122
-2.839126 -2.308959 1.200402 -7.482894
-3.085269 -2.15847 1.165164 0.6489887
-3.048791 -2.301256 1.197454 10.93951
-2.891362 -2.29739 1.143648 -10.92549
-2.705774 -2.46273 1.188667 -9.528704
-3.065509 -2.31359 1.119572 -16.69689
-3.155524 -2.275584 1.120585 3.583953
-3.191514 -2.185548 1.150012 3.701774
-3.217789 -2.09337 1.139274 -4.162828
-3.483893 -2.215996 1.230403 0.08723294
-3.256922 -2.137993 1.229789 -6.915883
-3.31998 -2.298135 1.187648 -8.704933
-3.334163 -2.25065 1.239017 13.89108
-3.243576 -2.278293 1.162735 -2.47752
-3.327552 -2.361051 1.255856 9.985454
-3.222741 -2.254918 1.277236 1.203371
-3.344574 -2.25199 1.283496 0.6042071
-3.165713 -2.2705 1.297463 -20.66192
-2.840919 -2.16013 1.236611 -2.788396
-3.065505 -2.154285 1.077911 1.90882
-3.004303 -2.084221 0.9559034 10.97601
-2.773428 -2.177895 1.057293 -19.69341
-3.262241 -2.013611 0.9884277 -1.330548
-3.090595 -2.109398 1.062977 -16.66872
-3.342557 -2.096204 1.077041 -5.118436
-3.158585 -2.040387 1.074408 -16.9219
-3.249925 -2.206277 1.062391 -5.148756
-2.948709 -2.161314 1.12515 -0.6062649
-3.009359 -2.146368 1.111749 7.202682
-2.572477 -2.022309 1.156443 -3.839499
-2.745616 -1.979903 1.173668 -0.7329449
-2.95777 -2.0702 1.134283 -1.093514
-2.937915 -2.094736 1.12894 9.337917
-2.881117 -2.065216 1.052227 -0.8941415
-2.848713 -2.12102 1.01101 2.844263
-2.482528 -2.212523 0.9982622 -1.5646
-2.705769 -2.312515 1.037432 -2.01194
-2.902765 -2.229073 0.9776558 16.72481
-2.699358 -2.246439 1.107784 11.68081
-3.140545 -2.288279 1.204993 -7.513786
-2.927721 -2.094943 1.246837 7.049542
-2.582759 -2.083085 1.298146 -1.473292
-2.628526 -2.145567 1.249581 -0.4174797
-3.191862 -2.257139 1.186481 6.934988
-3.093216 -2.207854 1.183753 13.47961
-2.937938 -2.119922 1.210088 -7.835833
-2.994583 -2.142652 1.166818 -14.44309
-2.995877 -2.013656 1.244932 8.932977
-3.104535 -2.021315 1.100585 -2.306211
-3.437978 -2.00276 1.137459 0.3172299
-3.536594 -2.093659 1.103709 -0.7870871
-3.374933 -2.077338 1.00865 -6.677807
-3.236233 -2.027167 1.060651 4.534118
-3.117449 -1.840292 0.9606466 1.268052
-3.26034 -1.821837 1.101644 -10.84828
-3.294366 -1.865357 1.072615 22.83898
-2.90585 -1.942872 1.027715 1.814655
-3.058767 -2.023473 1.054763 -5.79663
-3.095603 -2.079199 1.06883 -3.274043
-2.969689 -2.130574 1.147049 -0.2984894
-3.108928 -2.188431 1.096014 13.72244
-3.337659 -2.022664 1.048466 -14.62969
-3.203713 -2.008695 1.089592 0.1749901
-3.261925 -1.949864 1.081471 -17.70218
-3.200843 -2.022896 1.115294 -12.29711
-3.550558 -2.086564 1.134493 -10.32493
-3.448343 -2.125001 1.168339 2.206171
-3.372575 -2.209967 1.167176 11.36561
-3.066547 -2.316257 1.124053 -11.8668
-3.016271 -2.271761 1.111076 6.48009
-3.024027 -2.122657 1.198374 19.01255
-3.09264 -2.097603 1.25537 -17.0061
-2.82537 -2.215263 1.250032 -4.872485
-2.840726 -2.088103 1.187663 17.9295
-3.031909 -2.250186 1.19259 -0.5986875
-3.3179 -2.306755 1.20259 -4.202435
-3.363804 -2.217035 1.146113 -11.11354
-3.036682 -2.072818 1.213734 -1.651128
-2.943648 -2.162767 1.266361 1.073419
-3.479661 -2.097037 1.194858 -0.08843848
-3.538759 -2.129912 1.04884 -15.20978
-3.38331 -2.088208 1.165011 3.542731
-3.345561 -2.108225 1.114425 19.58085
-3.032677 -2.07473 1.136905 -11.64749
-3.144752 -2.05215 1.265387 -15.18031
-3.049784 -2.08894 1.363711 -3.525112
-3.229405 -2.142521 1.400118 5.36672
-2.983898 -2.008885 1.293915 -16.70559
-2.994133 -2.227946 1.209451 -8.683885
-3.058527 -2.176236 1.316922 -15.04941
-2.901534 -2.192812 1.217555 -3.288977
-2.853779 -2.176019 1.292747 10.63871
-2.967369 -2.120125 1.130624 6.531055
-3.463654 -2.052238 1.138759 1.741989
-2.892305 -1.960767 1.150013 -2.838751
-3.057516 -2.047265 1.247979 -2.310613
-3.195168 -2.019865 1.283702 -3.507764
-3.156437 -2.044114 1.274 -13.02926
-2.986212 -1.915681 1.196228 11.88129
-3.005273 -1.927121 1.162571 -2.696316
-2.967053 -2.017573 1.170303 6.443297
-2.840908 -1.866395 1.18967 -8.533202
-2.947548 -1.87904 1.164841 0.4027523
-3.208141 -1.900161 1.094781 12.21979
-2.980171 -2.026463 1.113504 -19.83163
-3.128395 -2.037494 1.126528 -1.347377
-3.140024 -2.12609 1.128124 11.87257
-3.020209 -2.020496 1.069992 4.110012
-2.844575 -1.998141 1.179992 1.500981
-2.601484 -2.113241 1.135164 3.520249
-2.835745 -2.1082 1.11206 -0.1441697
-2.866551 -2.296396 1.181577 -1.776697
-2.957592 -2.300831 1.159572 0.3437929
-3.163609 -2.180975 1.120407 -2.244773
-3.173528 -2.124984 1.137483 -2.746393
-2.871761 -2.176752 1.123494 -18.78213
-2.755981 -2.200101 1.082829 -4.612614
-3.160193 -2.056221 1.125002 -1.765043
-2.977477 -2.078759 1.113563 7.588518
-2.886768 -1.979562 1.060159 -22.57204
-2.793259 -2.013344 1.005367 22.49328
-3.079158 -2.073204 1.130222 2.40278
-3.179197 -2.188619 1.197885 -19.69634
-3.13029 -2.04452 1.103175 7.771551
-2.977496 -2.122225 1.203196 1.230302
-2.814245 -2.117889 1.048161 -2.227875
-2.753597 -2.064914 1.014283 11.51763
-3.029445 -2.172159 0.9665926 -6.658786
-2.955029 -2.139151 1.008213 7.062885
-2.415611 -2.006991 1.158012 13.35583
-2.540917 -2.085169 1.09685 -4.838074
-2.82292 -2.162256 1.153128 -4.93977
-2.747502 -2.050503 1.181932 5.794958
-2.788571 -2.057291 1.244961 -2.456042
-2.903426 -2.119657 1.193959 -9.519941
-2.655451 -2.027257 1.135891 -23.78221
-2.61127 -2.05547 1.080509 -1.295057
-2.422902 -2.148176 1.12326 0.3327248
-2.704855 -2.083044 1.133125 -9.602158
-2.482502 -2.137358 1.077693 -6.338186
-2.907881 -2.29523 1.213068 -3.730385
-2.864964 -2.368889 1.144194 -14.41092
-2.981331 -2.332253 1.190102 6.303313
-2.698143 -2.221561 1.184684 5.166421
-2.985372 -2.217456 1.068325 -8.241138
-2.826058 -2.170604 1.054921 2.347455
-2.922817 -2.024904 1.091372 7.094626
