"u.bar" "t.bar"
0.9640861 1.040283
1.035205 1.03133
0.9675187 1.071684
0.9778263 1.133772
0.9852584 1.136831
1.010848 1.164812
1.00042 1.107626
0.9739612 1.131818
1.005907 1.138587
1.001023 1.132513
0.9773148 1.108439
1.002052 1.045524
1.020099 1.066022
0.9846107 1.130947
1.018751 1.086447
1.026266 1.064912
1.004374 1.063625
0.9978937 1.082314
1.046768 1.081093
1.035386 1.077266
0.9720521 1.118884
0.9883169 1.079813
0.9976447 1.10171
1.04756 1.114028
0.9874987 1.147025
0.977891 1.188383
1.034146 1.157474
1.007678 1.12984
1.002189 1.175915
1.029101 1.11413
1.016984 1.097914
0.9955466 1.052785
0.999746 1.064309
1.019706 1.058983
0.9629389 1.059914
1.015268 1.077462
0.9879312 1.105229
0.991111 1.078055
1.027598 1.082077
1.010221 1.113808
1.012473 1.055612
1.056004 1.132206
1.005106 1.089027
1.000866 1.058725
0.9980118 1.078881
1.004276 1.03371
0.9828707 1.048712
0.9773135 1.027173
0.9883926 1.006661
1.021289 1.012486
0.9675975 0.9843307
1.029749 1.046258
0.9910319 1.090985
1.008431 1.087647
1.004487 1.083112
1.016656 1.102407
1.003591 1.078584
0.9931314 1.048296
1.052692 1.136132
1.019337 1.077401
1.012424 1.151854
0.9959835 1.057933
0.9866333 1.036721
1.057045 1.021695
1.025247 0.9960898
1.015316 0.9629291
1.03439 1.005295
1.03567 1.01832
1.004915 1.046253
0.9902122 1.108943
1.004824 1.052463
1.02408 1.029818
1.057766 0.9683015
1.041086 0.9844539
1.02662 0.9585754
1.021803 0.9563881
1.026727 0.9811126
1.019694 1.007888
1.024589 1.050303
1.00143 1.076904
1.042212 1.062038
1.027144 1.032477
1.015715 1.089858
0.9773581 1.096231
0.9658694 1.087927
1.002522 1.112188
0.9509256 1.08721
0.9681334 1.096709
1.03626 1.088329
0.9901145 1.10643
0.9714718 1.166343
0.9847062 1.107207
1.019206 1.097425
0.9837529 1.078683
1.024604 1.025154
0.9914278 1.010899
0.9876737 1.042197
0.9967485 1.027655
0.9935819 1.087385
1.016443 1.081233
1.023659 1.107224
0.9903918 1.129625
0.991634 1.034383
0.9948273 1.027643
0.9821512 1.114101
1.032192 1.045622
1.040514 1.052757
1.006506 0.9882406
0.9708987 0.9976468
1.048268 0.9843587
0.9800785 1.021345
1.025593 1.0493
0.9889507 1.04304
0.998612 1.052186
1.007567 1.058917
0.9938852 1.117248
0.9504858 1.120296
0.9707466 1.05844
1.016221 1.058924
1.02045 1.070291
1.013058 1.042169
1.014712 1.033811
1.018837 1.077493
0.9896072 1.087725
1.02474 1.025805
1.001452 1.027992
0.9676455 1.060773
0.9892167 1.05747
1.046247 1.107218
0.9997486 1.091609
1.032441 1.107547
0.9851167 1.070855
0.9904447 1.091461
1.040547 1.049154
1.006773 1.0429
1.019078 1.068456
1.033981 1.1204
1.036834 1.154736
1.002312 1.117327
0.9968869 1.093078
0.9925113 1.052475
1.00046 1.087799
0.9855296 1.092202
1.026553 1.103351
0.9551076 1.080832
1.033878 1.069469
0.9871917 1.118428
1.023889 1.091552
1.029911 1.074847
0.9859362 1.114783
0.9840944 1.111969
0.9769554 1.145023
0.9865417 1.087142
1.009348 1.059619
1.005346 1.093989
1.018879 1.112859
0.9800666 1.11011
1.008954 1.048119
1.008119 1.073652
0.9920641 1.075874
0.9934308 1.058747
0.9907344 1.078913
0.999836 1.121138
0.9915638 1.160121
1.052107 1.096576
0.9790987 1.10377
0.9793984 1.14952
1.002908 1.099947
0.9830745 1.130689
1.016702 1.112802
0.9763992 1.224044
0.9693231 1.260349
0.9648636 1.273787
0.9866073 1.165132
0.984516 1.133562
1.036086 1.129494
1.035462 1.076723
0.9915985 1.111525
1.015726 1.10018
1.009385 1.12989
1.012273 1.153259
0.9992217 1.099139
0.9693697 1.095009
1.014397 1.118519
0.9411694 1.105767
0.9984621 1.084272
0.9718451 1.156619
0.9784337 1.109365
0.9910545 1.137426
0.9686196 1.180853
1.01132 1.152448
0.9606652 1.072801
0.9575078 1.131669
0.9815035 1.137689
0.9805527 1.152108
1.015673 1.052839
1.012213 1.077778
0.9561499 1.085134
0.9849577 1.117274
0.9840989 1.061117
1.026968 1.066678
1.012535 1.110989
1.019776 1.087707
1.010589 1.033104
1.06524 1.083128
0.9959512 1.077751
1.007103 1.06096
0.9836971 1.025102
1.018017 0.9915064
1.009159 0.9974696
0.9876735 1.066338
1.017489 1.079179
1.001549 1.085905
0.9932686 1.091737
0.993328 1.102428
0.9981362 1.10647
1.001004 1.085142
1.034273 1.10263
0.9871455 1.052325
0.9864628 1.110912
1.083421 1.058844
1.026724 1.059365
1.02955 1.048527
1.041981 1.019418
1.016574 1.066809
1.026757 1.076365
0.9986674 0.9925626
1.016959 1.067337
0.9836335 1.088229
1.036112 1.171673
0.9838972 1.185115
0.9904691 1.139934
1.010509 1.109337
0.9838133 1.132023
1.007508 1.117198
0.9953203 1.077166
1.032845 1.051058
1.005074 1.074717
1.008931 1.062033
1.032755 1.049143
0.9973977 0.9827605
1.015292 0.9675932
1.045297 1.007691
1.001213 1.01798
1.047208 1.023835
