"nu" "alpha"
3.114485 0.1681089
2.846849 0.1820492
3.036225 0.3356018
3.860662 0.4755758
3.213296 0.4343107
3.361978 0.04497795
3.419702 0.2731986
3.035647 0.1573431
2.824237 0.4402928
3.536887 0.2281394
2.874588 0.4446106
3.013894 0.3671943
2.836236 0.02283289
3.186836 0.252649
2.814966 0.12111
3.445412 0.05435547
2.820858 0.4076093
3.268745 0.1185396
3.481992 0.4033517
3.400358 0.4195133
3.622437 0.1828578
3.525573 0.2279721
3.123797 0.3489529
3.688048 0.4485143
3.332361 0.09606686
3.17354 0.2782876
3.616207 0.0582523
3.592558 0.2676449
2.890245 0.3325935
2.664151 0.3361028
2.505905 0.4563077
3.715686 0.3720176
3.020297 0.3682064
3.298457 0.3698605
3.723769 0.1137768
3.322877 0.4247015
3.161909 0.1822714
2.431371 0.2963708
2.622664 0.04724329
3.033315 0.3721706
3.256429 0.430828
3.305551 0.4875747
3.341346 0.17068
3.437289 0.3592321
3.240047 0.2934187
2.889706 0.3055425
3.333487 0.4668265
3.090902 0.1805826
3.415548 0.1198208
2.947739 0.3354666
2.895005 0.2129655
3.416723 0.08233513
3.205688 0.4002307
2.765631 0.2161335
2.550577 0.4847166
3.01417 0.2795252
3.032539 0.3371575
3.347964 0.1870685
3.926345 0.3349159
3.039431 0.1056408
3.331375 0.430802
2.863508 0.4780907
3.272771 0.02983193
3.248012 0.3154152
2.825671 0.2422971
2.690926 0.2832226
3.33981 0.1092856
3.014656 0.3681804
3.015183 0.4749058
3.236439 0.309065
2.999701 0.02955719
2.740488 0.3878054
2.510308 0.2488298
3.097188 0.2057031
2.896545 0.272152
2.960652 0.2411507
3.095444 0.3194601
3.204431 0.2860652
2.88095 0.3833655
2.753051 0.209445
2.73927 0.1192666
2.707626 0.4766774
2.817579 0.1277257
3.248883 0.4940859
3.039194 0.1707738
3.03847 0.3336927
2.842517 0.1618517
2.730264 0.4026398
2.861845 0.2753166
3.52523 0.2231671
2.955998 0.3237571
3.98018 0.02210923
3.202994 0.4195063
3.207493 0.332937
3.007634 0.4520675
3.427366 0.1314092
2.812009 0.2446995
2.730242 0.4966739
3.024956 0.1202176
3.288528 0.2478888
3.34706 0.09647182
