"p_1" "p_2" "p_3"
0.1514206 0.8146476 0.03393179
0.1720752 0.7749473 0.05297751
0.1748433 0.7712491 0.05390755
0.1931929 0.7561738 0.05063334
0.1882959 0.7552363 0.05646779
0.1718102 0.7871273 0.04106251
0.1645171 0.7865986 0.0488843
0.163915 0.7940611 0.04202393
0.1822635 0.7619315 0.05580496
0.1715894 0.7873653 0.0410453
0.1795056 0.7568954 0.06359898
0.1575255 0.7855984 0.05687609
0.1386209 0.8187174 0.04266174
0.1492867 0.7929048 0.05780847
0.1686872 0.7748584 0.05645434
0.1689182 0.7720897 0.0589921
0.1631685 0.7911121 0.04571932
0.1755631 0.7626013 0.06183568
0.1569208 0.7893596 0.05371959
0.1552168 0.7863197 0.05846348
0.1570865 0.7972749 0.04563862
0.1835124 0.778563 0.03792459
0.1629442 0.7748633 0.06219254
0.1698684 0.7717726 0.05835906
0.1725247 0.778508 0.04896728
0.1624972 0.7880008 0.04950198
0.1563001 0.8027231 0.0409768
0.1691012 0.7765091 0.05438972
0.1858702 0.7634777 0.05065216
0.1708868 0.7788308 0.05028239
0.1680505 0.7764081 0.05554142
0.1703602 0.7845791 0.04506068
0.1594027 0.7815652 0.05903211
0.1710287 0.7862591 0.04271221
0.1595606 0.7934869 0.04695245
0.1579274 0.7901294 0.05194317
0.1814735 0.7638854 0.05464117
0.1695384 0.7836346 0.04682699
0.1834015 0.7629833 0.0536152
0.1722542 0.7749785 0.05276729
0.1582381 0.7804689 0.06129303
0.1888522 0.7666293 0.04451852
0.1592858 0.7808 0.05991423
0.1841992 0.753083 0.06271779
0.1839523 0.7658229 0.05022473
0.1475294 0.7985993 0.05387126
0.1644047 0.7738246 0.06177074
0.162973 0.786133 0.05089394
0.1681152 0.7713781 0.06050672
0.1550203 0.7937587 0.051221
0.1816112 0.7675824 0.05080636
0.1691605 0.7816831 0.04915649
0.1598515 0.7777678 0.06238068
0.1521397 0.8003769 0.04748335
0.1484073 0.792094 0.05949876
0.1419594 0.8049724 0.05306811
0.1740974 0.7702311 0.05567144
0.1633823 0.7819304 0.05468735
0.1795408 0.7647385 0.05572075
0.1666976 0.7884453 0.04485712
0.1486137 0.7936817 0.05770468
0.165491 0.7842993 0.05020973
0.1695541 0.7712515 0.05919446
0.1678443 0.7782582 0.05389756
0.1895905 0.7604469 0.04996262
0.1665413 0.7848145 0.04864423
0.1598397 0.7855072 0.05465304
0.1557718 0.7788513 0.06537689
0.1600264 0.7885214 0.05145221
0.1970276 0.7394641 0.06350831
0.1616706 0.7844132 0.05391616
0.1453032 0.8019528 0.05274396
0.159178 0.7776464 0.06317559
0.153126 0.7964718 0.05040222
0.1511237 0.7899255 0.05895077
0.1829548 0.7528582 0.06418703
0.1620071 0.7770863 0.06090663
0.1650839 0.7868546 0.04806145
0.1838145 0.7531333 0.06305223
0.1694754 0.7656959 0.06482866
0.1513487 0.7907193 0.05793198
0.15971 0.7927599 0.0475301
0.1807703 0.7646226 0.05460715
0.1484335 0.7926553 0.05891128
0.167506 0.7788849 0.05360907
0.1962221 0.7450432 0.05873476
0.1834879 0.7585817 0.05793035
0.1957703 0.7486469 0.05558281
0.1513481 0.7959782 0.05267365
0.1679071 0.7649376 0.06715536
0.1621641 0.7801042 0.05773165
0.1600356 0.791748 0.04821645
0.1489468 0.7939955 0.05705772
0.1889925 0.7565 0.05450753
0.1878888 0.7673065 0.04480468
0.1801983 0.7534424 0.06635934
0.1582472 0.787938 0.05381473
0.1640905 0.793074 0.04283553
0.1603189 0.7844311 0.05524998
0.1733554 0.7608851 0.06575948
0.1660028 0.7784884 0.05550881
0.1822692 0.7662975 0.0514333
0.2023756 0.7543995 0.04322495
0.17393 0.7766971 0.04937288
0.1710912 0.7786508 0.05025801
0.1474346 0.7917085 0.06085685
0.1621251 0.7751075 0.06276739
0.1681813 0.7954473 0.03637136
0.1749084 0.7745841 0.05050753
0.1674334 0.7743101 0.05825651
0.1689549 0.7752777 0.05576734
0.1771689 0.7586609 0.06417027
0.1614038 0.7827124 0.05588379
0.1568541 0.7932678 0.04987808
0.1814902 0.7711113 0.04739851
0.1514933 0.7954487 0.05305803
0.1615973 0.7908745 0.04752824
0.1458407 0.7945816 0.0595777
0.1780034 0.7844775 0.03751907
0.1796322 0.7683677 0.05200008
0.1571327 0.7815264 0.06134094
0.1569897 0.7916931 0.05131722
0.1508345 0.8065228 0.04264271
0.1669992 0.7792108 0.05378998
0.1525178 0.7829643 0.06451793
0.1762345 0.7625455 0.06122001
0.1674977 0.7774094 0.05509283
0.1991005 0.7359182 0.06498134
0.1661701 0.7846506 0.04917934
0.1718404 0.7694698 0.05868976
0.1681221 0.7702037 0.06167416
0.1527568 0.7924526 0.05479064
0.1302305 0.8106861 0.05908342
0.1451231 0.7869458 0.06793108
0.1636401 0.7730815 0.06327841
0.1639362 0.7829082 0.05315563
0.1628939 0.781729 0.05537706
0.1566758 0.7967727 0.04655147
0.1761129 0.7753415 0.04854558
0.1566465 0.7948687 0.04848479
0.1823805 0.7775571 0.0400624
0.1716871 0.7760193 0.05229354
0.1589233 0.7752654 0.06581131
0.1674698 0.7873139 0.04521621
0.1604233 0.7903948 0.04918192
0.1724763 0.780922 0.04660174
0.1734058 0.7823213 0.0442729
0.1502932 0.7941696 0.05553718
0.1766458 0.7710862 0.05226798
0.1743819 0.7668855 0.05873261
0.1849491 0.7697669 0.04528396
0.1524466 0.7843676 0.06318582
0.1674863 0.7829324 0.0495813
0.1620694 0.7885653 0.04936539
0.1851796 0.766535 0.04828543
0.148083 0.8032867 0.04863036
0.1617411 0.7757855 0.06247336
0.190187 0.7570035 0.0528095
0.1640576 0.7805152 0.05542721
0.176263 0.7835676 0.04016939
0.1509526 0.787639 0.06140841
0.1532373 0.7965011 0.05026159
0.1675708 0.7794048 0.05302449
0.1729256 0.7717394 0.05533504
0.1759604 0.7887142 0.03532537
0.1653451 0.7893064 0.04534844
0.1609544 0.7803706 0.05867504
0.1420682 0.8102951 0.04763671
0.1757213 0.7787624 0.04551629
0.1597401 0.7594495 0.08081037
0.1607833 0.7932964 0.0459203
0.1760579 0.769708 0.05423413
0.153629 0.7951026 0.05126848
0.1453804 0.8079416 0.046678
0.1820289 0.762912 0.05505909
0.1620944 0.7801605 0.05774509
0.1784105 0.7744116 0.04717785
0.1611321 0.794333 0.04453491
0.1542264 0.7984982 0.04727536
0.1572729 0.7823052 0.06042187
0.1803212 0.7725968 0.04708199
0.1571171 0.7896095 0.05327336
0.1478806 0.7967193 0.05540004
0.1719195 0.7563194 0.07176108
0.153533 0.7857114 0.06075566
0.1698953 0.7674306 0.06267409
0.1424365 0.804133 0.05343054
0.1777898 0.7786026 0.04360767
0.1664048 0.7670065 0.0665887
0.16349 0.7851383 0.05137168
0.1611766 0.784598 0.05422541
0.1563495 0.7960484 0.04760214
0.1585385 0.7885609 0.05290057
0.1778261 0.7667779 0.05539605
0.1642929 0.7920983 0.04360877
0.1775914 0.781367 0.04104156
0.1730168 0.7746921 0.05229107
0.1619487 0.7853687 0.05268263
0.170817 0.7791098 0.0500732
0.1443449 0.8074838 0.04817125
0.1636879 0.7625466 0.07376542
0.1614371 0.7928481 0.0457148
0.1587334 0.7867028 0.05456379
0.1685339 0.7838014 0.04766469
0.1609079 0.7873361 0.05175598
0.1511012 0.7989377 0.0499611
0.1466903 0.7902758 0.06303392
0.1508773 0.7913333 0.05778937
0.167606 0.7820025 0.05039145
0.1769774 0.7758462 0.04717645
0.1469971 0.7984884 0.05451447
0.1692511 0.7769673 0.0537816
0.1634253 0.7775756 0.05899913
0.1512709 0.8076394 0.04108969
0.1633721 0.7833227 0.05330521
0.1823244 0.7641132 0.05356246
0.1461286 0.7997601 0.05411128
0.186596 0.7701849 0.04321906
0.1747374 0.7680626 0.05719997
0.1601238 0.790774 0.04910226
0.1588684 0.7866914 0.05444025
0.1550275 0.8017668 0.04320568
0.1719912 0.7668924 0.06111637
0.1496245 0.8058851 0.0444904
0.1878265 0.753985 0.05818851
0.1627438 0.7937659 0.04349032
0.1550817 0.8013225 0.04359585
0.1744922 0.7826847 0.04282317
0.171518 0.7660208 0.06246119
0.1727877 0.7737584 0.05345398
0.1461571 0.7968033 0.05703957
0.1623082 0.7867424 0.05094942
0.1699223 0.7677252 0.06235243
0.1533028 0.7921371 0.0545601
0.1852012 0.7608066 0.05399217
0.1563357 0.7941303 0.04953403
0.1712078 0.7771589 0.05163331
0.1784274 0.7743341 0.04723854
0.1544504 0.7876352 0.05791442
0.1646826 0.7833081 0.05200934
0.1670711 0.7853351 0.04759381
0.1503339 0.7884609 0.06120523
0.1504386 0.8024058 0.04715567
0.157395 0.7894861 0.0531189
0.1708565 0.7860779 0.04306556
0.189483 0.7444075 0.06610951
0.161521 0.780533 0.05794597
0.1648629 0.7860729 0.04906425
0.16171 0.7854908 0.05279924
0.1695367 0.7727613 0.05770197
0.1718592 0.769241 0.05889985
0.1692169 0.7739197 0.05686336
0.1537779 0.7828128 0.06340934
0.1427032 0.8054223 0.05187451
0.1419582 0.8041268 0.053915
0.1680946 0.7865419 0.04536356
0.1523924 0.7898966 0.05771107
0.1891372 0.7497885 0.06107425
0.1577422 0.7836547 0.05860314
0.1604072 0.7760943 0.06349847
0.1630578 0.7866936 0.05024862
0.1587406 0.7827226 0.05853681
0.1746328 0.7694631 0.055904
0.1611103 0.7903927 0.04849703
0.1508926 0.7954544 0.05365298
0.1648913 0.7877008 0.04740791
0.1768419 0.7681873 0.05497077
0.1633506 0.7816492 0.05500024
0.1812597 0.7697561 0.04898426
0.1709792 0.7803559 0.04866488
0.168251 0.7694937 0.06225529
0.1520468 0.7934519 0.05450132
0.1803693 0.762274 0.05735675
0.195597 0.7455992 0.05880376
0.1538451 0.8044071 0.04174776
0.1603632 0.7782277 0.06140918
0.166664 0.787117 0.04621899
0.1745541 0.7773829 0.04806305
0.1557572 0.7909706 0.05327219
0.1884008 0.7620746 0.0495246
0.1633198 0.7845766 0.05210357
0.1589664 0.7756462 0.06538739
0.1548623 0.8009224 0.04421534
0.1895138 0.7692866 0.04119963
0.1600915 0.7987953 0.04111313
0.1842184 0.7594407 0.05634096
0.1654275 0.7835643 0.05100823
0.1666321 0.7807519 0.05261604
0.1587445 0.7817138 0.05954172
0.1735716 0.7712508 0.05517763
0.1724723 0.7823029 0.0452248
0.1536138 0.7968258 0.04956044
0.1641624 0.784555 0.0512826
0.1804338 0.7546711 0.06489502
0.1647088 0.7912686 0.0440226
0.1668167 0.7705292 0.06265412
0.1593812 0.7763046 0.06431415
0.161722 0.7662455 0.0720325
0.1717268 0.7595276 0.06874562
0.1527201 0.7899573 0.05732264
0.1637173 0.7801695 0.05611315
0.1481364 0.7816333 0.07023027
0.1649608 0.7819983 0.05304095
0.1706359 0.7774418 0.05192226
0.1440842 0.8044147 0.05150108
0.1598256 0.7855822 0.05459224
0.1934646 0.7542122 0.05232315
0.1745247 0.7736396 0.05183569
0.1795055 0.7597318 0.0607627
0.1806103 0.7559397 0.06345009
0.1540203 0.8023257 0.04365392
0.1688011 0.7854244 0.04577449
0.1681762 0.7880985 0.04372529
0.1510126 0.8043946 0.04459276
0.1793512 0.7489994 0.07164941
0.165066 0.7928072 0.04212682
0.1632419 0.7890064 0.0477517
0.1529611 0.797746 0.04929288
0.1667825 0.7801648 0.05305272
0.1706842 0.7663391 0.06297671
0.1464149 0.7805268 0.07305833
0.1723759 0.7549237 0.07270032
0.1758666 0.7793915 0.04474194
0.1478871 0.793052 0.05906091
0.1707672 0.7659594 0.06327349
0.185095 0.7548086 0.06009638
0.1748257 0.7703253 0.05484901
0.1779214 0.7731137 0.04896483
0.1964264 0.748126 0.05544762
0.1872665 0.7593873 0.05334617
0.1697319 0.7840784 0.04618968
0.1592695 0.7916738 0.04905666
0.1722945 0.7830534 0.04465204
0.1649809 0.7846197 0.05039945
0.1615127 0.7722568 0.06623052
0.1494491 0.7987815 0.05176944
0.1507252 0.7908649 0.05840986
0.1732462 0.7718391 0.05491477
0.1767035 0.7633847 0.0599118
0.1551133 0.7877822 0.05710451
0.1570452 0.7960754 0.04687945
0.1759866 0.7763004 0.04771302
0.152694 0.7848865 0.06241946
0.1856459 0.7622387 0.05211536
0.1655081 0.7856661 0.04882585
0.1575356 0.7817007 0.06076371
0.1816478 0.7607789 0.05757329
0.1869997 0.7678355 0.04516486
0.1491932 0.8051889 0.04561789
0.1616439 0.7838678 0.05448832
0.175705 0.7630119 0.06128301
0.167937 0.7853573 0.04670576
0.1663474 0.7768735 0.05677913
0.1692976 0.7778121 0.05289035
0.1604026 0.7806048 0.05899255
0.178636 0.7663534 0.05501056
0.1658074 0.7652117 0.06898087
0.173031 0.7807353 0.04623375
0.1623695 0.7903614 0.04726904
0.1776439 0.7646279 0.05772822
0.1504497 0.7955689 0.05398136
0.1743035 0.7723517 0.05334479
0.1631114 0.7713147 0.06557381
0.1599643 0.780941 0.05909467
0.1596691 0.7910961 0.04923481
0.1815785 0.7642957 0.0541258
0.1766732 0.7760056 0.04732116
0.1639734 0.7702395 0.06578708
0.1586419 0.7925931 0.04876503
0.1606035 0.7918667 0.04752977
0.18714 0.7699174 0.04294254
0.1712839 0.7617343 0.06698182
0.15271 0.7975937 0.0496963
0.160529 0.7849252 0.05454589
0.175787 0.767633 0.05658
0.15116 0.7991404 0.04969956
0.1640237 0.793201 0.04277527
0.1748656 0.7711833 0.05395102
0.1552332 0.7878698 0.056897
0.1461217 0.7939109 0.05996739
0.1854621 0.7687981 0.04573989
0.1589124 0.7976953 0.04339237
0.1361653 0.79997 0.06386464
0.1585057 0.7848479 0.05664645
0.1470581 0.8141123 0.03882965
0.1572707 0.7968279 0.04590145
0.1857844 0.7692932 0.0449224
0.1713743 0.785149 0.04347674
0.1670077 0.7742709 0.05872149
0.1522997 0.790122 0.05757836
0.161343 0.7825087 0.05614828
0.1553283 0.7914478 0.05322392
0.1509853 0.7960707 0.05294397
0.1751535 0.7718784 0.05296818
0.1537393 0.7913367 0.05492404
0.1728923 0.7762458 0.0508619
0.1746685 0.7775623 0.04776918
0.1629484 0.7856418 0.05140976
0.1547493 0.8036749 0.04157583
0.1883664 0.7636234 0.04801024
0.1835571 0.7680608 0.04838219
0.1573653 0.7922561 0.05037857
0.1625261 0.7804358 0.05703812
0.1509433 0.7876237 0.06143302
0.2068894 0.7328462 0.06026442
0.15597 0.7730402 0.07098984
0.1537951 0.7942967 0.05190812
0.1434179 0.798621 0.05796107
0.1674889 0.7905819 0.04192916
0.1440625 0.7967031 0.05923434
0.1808917 0.7665294 0.05257886
0.1889137 0.7696301 0.0414562
0.1445243 0.7970364 0.05843929
0.1570331 0.7849969 0.05796995
0.1366606 0.8152686 0.0480708
0.1619486 0.7983375 0.03971399
0.1824959 0.7589379 0.05856617
0.1731779 0.7844409 0.04238123
0.1662589 0.7869607 0.04678039
0.1560131 0.7919671 0.0520198
0.1718251 0.7768344 0.05134047
0.1671622 0.7920876 0.04075022
0.1842866 0.751754 0.06395937
0.1541787 0.7853003 0.06052098
0.1626341 0.7878755 0.04949034
0.1758886 0.7774905 0.04662087
0.1743333 0.7691012 0.05656557
0.170392 0.7791133 0.05049471
0.1793891 0.7751831 0.04542782
0.1534325 0.7962202 0.05034731
0.1692716 0.7734912 0.05723727
0.1696684 0.7712734 0.05905822
0.190701 0.7521173 0.05718165
0.1825424 0.7731106 0.04434702
0.1735872 0.7598582 0.06655462
0.1734875 0.7715724 0.05494009
0.1622002 0.772215 0.06558486
0.1678254 0.7736532 0.05852137
0.1628008 0.7851173 0.05208197
0.1465487 0.7977905 0.05566079
0.1912168 0.7587396 0.05004363
0.1763232 0.766777 0.05689983
0.1696312 0.7702804 0.06008833
0.1639238 0.7846513 0.05142495
0.1574502 0.7967718 0.045778
0.1858595 0.7717281 0.04241234
0.1693047 0.767203 0.0634923
0.1666457 0.7910037 0.04235065
0.1576981 0.7722616 0.07004023
0.1836916 0.757899 0.05840943
0.176736 0.7596691 0.06359494
0.165432 0.7903957 0.04417229
0.1765815 0.7636758 0.05974263
0.1750068 0.7590578 0.06593535
0.1473752 0.7974946 0.05513027
0.1513012 0.7901267 0.05857216
0.1833761 0.7576684 0.05895549
0.1840409 0.7691764 0.04678275
0.1480502 0.7920837 0.05986605
