"beta1_1" "beta2_1" "beta1_2" "beta2_2"
19.32268 3.849284 -29.97641 -3.948043
18.03399 3.949314 -30.18234 -3.942684
19.08489 4.135377 -30.43945 -3.933211
18.5687 4.254109 -30.38178 -3.824927
18.42879 3.850758 -30.53922 -3.938946
18.52442 3.764118 -30.42268 -3.968569
17.64638 4.171125 -30.22597 -3.910889
18.23428 4.004638 -30.20601 -3.963532
18.76491 4.128374 -30.20206 -3.874138
18.78401 3.515478 -30.15618 -3.906792
18.67052 4.013933 -30.56929 -4.024938
18.01418 3.636941 -30.55561 -3.905147
18.34482 3.996878 -30.17899 -3.961654
18.01288 3.841664 -30.10041 -3.904224
18.45655 3.86421 -30.26142 -3.918059
18.21971 3.903017 -30.20756 -3.909163
18.35616 4.279546 -30.51434 -3.927608
18.91288 3.550861 -30.19952 -3.957998
17.7053 3.583421 -30.24521 -3.892293
17.79949 3.925012 -30.12755 -3.915713
18.06366 4.032418 -30.32411 -3.962617
18.14306 3.957659 -30.39099 -3.872262
18.16404 3.731344 -30.17502 -3.887435
18.02482 3.788611 -30.01683 -3.822411
17.43799 3.781615 -30.06616 -3.896209
19.52175 3.627069 -30.09196 -3.924962
19.40415 3.853946 -29.98842 -3.877611
18.89516 3.943763 -30.1454 -4.021395
18.20447 3.886719 -30.24793 -3.888387
18.41619 3.97802 -30.54922 -3.931652
18.55097 3.657213 -30.60607 -3.906267
17.87476 3.851482 -30.30516 -3.829509
18.74645 4.428586 -30.30118 -3.948731
18.77085 3.989288 -30.50291 -3.913071
19.20218 4.087851 -30.28723 -3.922622
18.84271 3.949447 -30.30965 -4.004282
18.05814 4.21043 -30.16139 -3.904197
18.50152 3.994583 -30.55271 -3.883547
17.75355 3.724609 -30.63905 -3.839187
17.63104 3.576055 -30.2135 -3.919933
18.28486 3.802652 -30.06625 -3.914705
19.37253 3.615875 -30.43626 -3.999935
18.82251 4.214316 -30.2989 -3.952037
18.36494 3.712188 -30.30033 -3.979128
19.59949 3.944786 -30.46937 -3.974122
18.80937 4.290609 -30.0365 -3.924613
18.0588 4.038615 -30.20278 -3.882835
18.15634 3.638019 -30.21882 -3.97316
18.48118 3.557567 -30.2348 -3.86333
19.05409 4.037669 -30.50986 -3.911378
17.82037 4.103411 -30.23881 -3.89707
17.5709 3.690947 -30.23223 -3.795106
17.81337 3.777745 -30.60431 -3.934118
17.89421 4.054411 -30.07346 -3.903469
17.24856 3.904504 -30.19876 -3.946259
17.68609 3.975692 -30.12763 -3.943684
18.22981 3.893136 -30.40098 -3.911008
18.84182 3.699408 -30.58815 -3.847337
18.86734 4.164641 -30.17188 -3.934547
17.85865 4.05829 -30.15752 -3.874376
18.53824 4.26502 -30.29198 -3.891602
18.45019 4.174903 -29.94663 -3.86005
18.73542 4.167993 -30.20367 -3.934688
18.62114 3.863179 -30.58109 -4.007129
18.18178 4.053098 -30.51696 -3.916529
19.05573 3.90251 -30.69973 -3.891464
17.60526 3.485056 -30.32004 -3.782421
18.20446 3.913648 -30.20538 -3.8694
18.56387 3.608901 -30.24345 -3.853979
18.9385 3.668359 -30.21659 -3.875645
18.78692 3.956949 -30.22771 -3.945181
19.11851 3.920978 -30.82256 -3.913164
17.85105 3.761144 -30.34512 -3.922139
18.94324 3.668202 -30.53395 -3.959032
18.18862 3.708634 -30.82981 -3.861166
18.3029 3.940579 -30.09559 -3.889226
17.82069 3.790008 -30.14099 -3.838426
18.5188 3.679775 -30.31133 -3.872597
19.05068 4.192356 -30.04322 -3.882817
19.14739 4.044335 -30.10464 -3.951828
18.07836 3.804582 -30.54726 -3.900258
18.35043 3.951094 -29.90501 -3.886007
18.27488 3.780416 -30.35428 -3.888039
17.86258 4.183955 -30.43141 -3.840148
18.3498 3.910392 -30.28119 -3.951387
18.22619 3.997307 -30.00515 -3.875116
18.5496 3.577967 -30.28855 -3.94271
19.02271 4.029352 -30.62656 -3.891937
19.40021 3.808918 -30.35148 -3.900871
19.64654 4.24975 -29.92507 -3.883576
18.11353 4.037549 -30.15159 -3.890652
19.31746 4.213123 -30.57629 -3.960786
18.39602 4.161831 -30.32669 -3.968682
18.8578 3.995774 -30.3848 -3.946789
19.12176 4.020225 -30.55912 -3.933613
18.97227 3.710279 -30.22237 -3.85965
19.19267 3.907993 -30.19173 -3.900661
18.49952 3.796105 -30.21525 -3.942222
18.21602 3.758429 -30.28058 -3.999447
19.11851 4.079119 -30.33651 -3.976512
18.67706 4.06343 -30.38854 -3.978685
18.41473 3.900043 -30.32356 -3.863757
18.3765 4.020921 -30.53149 -3.884829
19.40717 3.907745 -30.48538 -3.904015
17.92036 3.606935 -30.52042 -3.925684
18.45738 3.919923 -30.32405 -3.986712
17.73198 4.441491 -30.1193 -3.91546
18.78097 4.094348 -30.3621 -3.98733
18.75728 3.692431 -30.35217 -3.970038
18.91446 3.808158 -30.29538 -3.842777
18.16129 4.411776 -30.52875 -3.815771
18.41296 3.824762 -30.35664 -3.875981
18.89793 4.004703 -30.50705 -3.943959
18.58214 3.904139 -30.13314 -3.825803
18.26108 4.004728 -30.06543 -3.93425
18.64192 3.775131 -29.9722 -3.968836
18.25236 3.685003 -30.07441 -3.901727
18.66133 3.52182 -30.11278 -3.936284
18.91634 4.058397 -30.40368 -3.884018
17.82124 3.831453 -30.04598 -3.872171
18.58023 3.838477 -30.38754 -3.993578
18.24147 3.929149 -30.22016 -3.865928
18.56831 3.700319 -30.65372 -3.923859
17.60199 3.461463 -30.062 -3.938144
17.90467 3.530781 -30.04677 -3.904771
18.48161 3.716413 -30.34407 -3.938052
17.89149 3.976637 -30.50761 -3.842143
18.05883 3.793444 -30.51104 -3.927568
17.78461 3.986084 -30.28033 -3.845637
18.17384 3.766983 -30.48806 -3.890896
18.58756 4.065673 -30.32004 -3.880117
17.92317 3.674846 -30.28606 -3.915265
20.41006 4.017239 -30.25343 -3.9128
18.90188 3.92699 -29.88006 -3.900073
18.2228 3.711179 -30.37943 -3.883746
