"nu" "alpha"
2.883429 0.2658602
2.785917 0.4476183
2.660557 0.272609
3.193226 0.1828412
3.221207 0.3837048
2.504716 0.3518032
2.467956 0.3633545
2.217326 0.461738
2.555553 0.3897905
2.131946 0.4853593
2.197428 0.2440949
2.118084 0.2811846
2.257495 0.4228993
2.100369 0.1200642
2.378526 0.3305414
2.387312 0.3611553
2.097825 0.4449701
2.052905 0.1414296
2.330125 0.4776087
2.175101 0.4314921
2.344423 0.3278844
2.015578 0.3413403
1.994631 0.4831006
2.579749 0.1770007
2.263588 0.3968716
2.278632 0.05409768
2.54205 0.3420492
2.412882 0.3334209
2.707062 0.1226338
2.431707 0.3090306
2.520086 0.1580699
2.45278 0.4032957
2.236053 0.3114898
2.137435 0.3015978
2.797318 0.2233838
2.386288 0.3043535
2.392697 0.3491245
2.576037 0.444488
2.576128 0.4712749
2.074879 0.2733267
2.51978 0.2304826
2.521555 0.3763641
2.120667 0.4532249
2.219824 0.4357969
2.140361 0.3175017
2.165596 0.306286
2.306403 0.08699439
2.084484 0.4753909
2.118672 0.3056246
2.518381 0.2402772
2.317835 0.4121148
2.724285 0.4238353
2.211297 0.3119519
2.495654 0.4188452
2.319949 0.418015
2.615641 0.2506371
2.783793 0.4035715
2.434497 0.2202939
2.596344 0.2955137
2.60831 0.2933444
2.210857 0.4416625
2.220495 0.4564067
2.389359 0.1270318
2.501664 0.3736667
2.480702 0.3073182
2.486406 0.3197183
2.293767 0.2591934
2.860979 0.1642071
2.580788 0.2555136
2.259311 0.3082163
2.514039 0.1951499
2.009266 0.3502921
2.61343 0.4370921
2.817916 0.1468164
2.421254 0.3607859
2.236298 0.1847414
2.260668 0.229962
2.598274 0.4101792
2.405366 0.3132802
2.385116 0.4414898
2.433542 0.2064204
2.754846 0.1937525
2.566196 0.4600896
3.426608 0.1200761
2.850542 0.3738082
3.024929 0.4828313
2.890451 0.4570158
2.787956 0.3836145
2.284996 0.2867456
3.021393 0.4219305
2.376847 0.4015299
2.422959 0.4200115
2.94225 0.3008253
2.355307 0.3579372
2.566706 0.3624123
2.462495 0.4381976
2.343959 0.127974
2.922392 0.4224554
2.62504 0.4733683
2.267893 0.4382248
2.490501 0.082117
2.257544 0.4426706
2.081277 0.433466
2.1317 0.2318777
2.239978 0.4739356
2.139501 0.4417545
2.553906 0.4210317
2.409275 0.2036271
2.785957 0.05495128
2.407663 0.2543611
2.219376 0.0364612
2.4472 0.2267285
2.299446 0.1170957
2.279249 0.1120571
2.566312 0.465022
2.684719 0.2558757
2.319474 0.2272977
2.273303 0.4711399
