"tau2_1" "tau2_2"
0.1415885 1.831672
0.1633365 2.625267
0.1236164 2.920097
0.108857 4.205285
0.09709974 4.518835
0.1353817 2.152309
0.1744299 2.221945
0.1540791 2.711109
0.0847601 1.998581
0.15394 3.27872
0.107911 2.393562
0.1502645 2.365279
0.1562436 2.585556
0.1918114 2.390537
0.1333496 2.949931
0.1241963 2.234597
0.09860071 2.464305
0.08217811 1.251612
0.2375602 2.674357
0.170065 3.324511
0.2006841 1.687859
0.1372711 2.963683
0.1228415 1.404219
0.180737 2.373879
0.09351427 1.345939
0.1586906 2.478042
0.1606401 2.241453
0.1156056 4.689247
0.131581 2.513654
0.1806249 1.446163
0.126874 2.754174
0.1290628 2.509023
0.1106888 2.452274
0.07899521 2.050921
0.08531493 4.538455
0.1016394 3.12729
0.1891637 3.631413
0.1085047 2.271382
0.0661412 2.09529
0.11484 1.784449
0.1485538 3.080861
0.1104518 3.845106
0.1703096 3.364256
0.1408693 1.977774
0.2140141 2.225328
0.1305761 2.7296
0.1482348 2.594437
0.1407766 1.600478
0.08675128 2.618793
0.1906411 2.342299
0.1221165 2.79706
0.06528072 2.642102
0.07635524 2.797707
0.1392302 2.787738
0.1217099 2.244754
0.137911 3.371435
0.1258047 3.240612
0.05804359 2.990125
0.1255622 2.824512
0.08427648 3.652277
0.1050683 3.625888
0.1094414 2.294748
0.125548 2.933546
0.1332263 1.845102
0.1074432 2.559411
0.1399617 3.993935
0.1201783 3.193112
0.1057522 1.508039
0.05491303 1.744912
0.08842881 2.673442
0.08675424 3.30253
0.07826387 4.080943
0.0690989 3.1342
0.1151699 1.750512
0.149643 3.505501
0.1522566 3.124985
0.2184883 2.059621
0.182761 2.388118
0.1492441 2.657674
0.1579295 1.649022
0.1423436 3.428585
0.123235 4.249572
0.1367402 2.235567
0.1515972 3.279859
0.1860106 2.295953
0.2989461 2.116789
0.1502563 2.10592
0.1939703 2.014735
0.1144382 2.507837
0.1568067 2.566021
0.1465228 1.741491
0.1359514 3.035049
0.08595363 2.98665
0.1309593 3.041687
0.1041689 2.381457
0.06876128 3.722678
0.1078548 3.341726
0.1044734 2.872816
0.1533009 3.580707
0.1046188 1.963889
0.1522231 3.260153
0.1280007 3.464719
0.1297492 2.611819
0.1621043 4.846469
0.2117722 3.306691
0.1139212 3.740373
0.1686361 2.337062
0.0921773 3.10266
0.1213217 2.825243
0.1588696 2.149228
0.1087716 3.225399
0.1358714 3.312129
0.08551027 4.286226
0.1558872 2.784422
0.1161694 2.03368
0.1697936 4.024842
0.1470111 2.29662
0.1065327 4.120042
0.1208164 3.025721
0.1745982 2.346807
0.09923778 3.000167
0.1253169 2.559621
0.1274506 3.165363
0.1371139 3.545458
0.1084188 3.29187
0.08752527 3.87248
0.1909485 3.374697
0.09541278 3.404719
0.1195196 2.548706
0.1348966 2.576592
0.1055669 1.517632
0.1287068 2.223956
0.1609493 3.107378
0.1439256 2.967942
0.09899703 1.720429
0.1335507 1.988118
0.09676505 2.638942
0.1257045 2.182271
0.148602 2.210965
0.105668 1.430738
0.188564 3.124647
0.1559632 3.043912
0.08756581 1.259652
0.1200698 3.541763
0.2262371 1.476317
0.1682855 2.586972
0.1619547 1.150487
0.1537076 2.76763
0.1923689 3.1692
0.133881 3.400473
0.1491504 3.206295
0.09915491 3.165094
0.1144324 3.056489
0.1444682 3.409604
0.08224263 1.751685
0.1022117 2.567997
0.1119985 2.83109
0.1779954 2.208164
0.1408327 5.572092
0.1337906 2.225058
0.1453804 2.133961
0.1003288 1.663213
0.115268 3.503297
0.1506871 3.433952
0.09020974 2.426719
0.1283974 2.621861
0.12235 3.362104
0.147854 3.372343
0.1017721 3.365197
0.06686067 3.967869
0.0884586 1.985011
0.0763829 3.434662
0.1801418 3.488216
0.1324369 2.798344
0.1853722 3.023804
0.1559187 2.330682
0.101819 2.68908
0.0959825 1.722915
0.08580091 1.895572
0.12168 3.106355
0.07365325 3.053672
0.1124042 2.713289
0.1123995 1.702323
0.1496888 1.689319
0.1408301 3.262109
0.1501907 3.035891
0.2199117 2.744237
0.1437811 2.601627
0.0981198 4.659216
0.1229904 2.239703
0.1704884 3.082539
0.08565948 3.826005
0.07554507 2.296681
0.1076958 2.520757
0.1333016 3.768684
0.1331706 1.390416
0.1759514 1.718298
0.1540541 2.197071
0.1922024 2.901262
0.1633549 3.669944
0.1646378 1.396791
0.1183719 2.956194
0.1297421 2.636884
0.1436588 3.479761
0.0867766 1.77979
0.07815404 2.383686
0.2525571 1.598838
0.176035 3.682951
0.1426599 3.627029
0.1455753 3.857396
0.1914245 2.063726
0.0883826 2.077172
0.1045517 1.606401
0.1504682 2.153881
0.2414264 2.989158
0.1905138 2.311728
0.1313383 2.886033
0.1363485 4.365853
0.08418655 2.35582
0.1912301 0.9703648
0.1347614 2.8201
0.149645 3.153693
0.1491226 1.554378
0.1151449 3.487522
0.08409762 4.235272
0.08139434 3.378845
0.05032064 2.963636
0.05685334 2.890106
0.06160736 3.021272
0.1084558 2.649157
0.1418542 1.86268
0.1237606 2.291904
0.1528707 2.485606
0.1420393 2.803531
0.1140406 3.820098
0.1398556 3.869669
0.2049285 3.729503
0.1162739 1.670992
0.1415214 1.845502
0.08619452 2.354959
0.08546317 2.395355
0.09984237 2.375138
0.1236782 2.928624
0.1451938 2.222849
0.0878545 4.085309
0.09910223 2.539835
0.1105155 3.011132
0.1672741 3.448149
0.1577069 3.742785
0.2923355 4.314454
0.1407467 2.688318
0.1250071 1.706807
0.2733386 1.164299
0.1527045 2.564545
0.2117229 1.339428
0.1556674 3.227862
0.09258405 2.495753
0.07975563 1.850848
0.1158443 3.721594
0.1030977 2.387516
0.1342795 1.538606
0.1821838 2.788537
0.1358898 3.2271
0.1373956 2.217752
0.1159715 1.978273
0.06768634 1.236215
0.1470161 2.320708
0.1645409 2.03081
0.1810008 1.776281
0.1228238 3.609026
0.1640447 2.196591
0.1894387 1.540125
0.1008322 3.155203
0.1368158 2.77985
0.1401611 2.864589
0.1064975 1.758212
0.09072313 3.512255
0.1221255 3.513929
0.27111 4.566792
0.1222713 2.216532
0.1169999 2.729262
0.1375819 4.463998
0.0962039 3.422369
0.116823 1.764194
0.121084 2.016997
0.08780418 1.447619
0.12573 1.673108
0.06442449 2.311392
0.04827395 2.260204
0.1169936 2.811294
0.1289882 1.944723
0.1141263 2.343226
0.1383057 2.097899
0.1412399 2.822916
0.1323103 2.326456
0.1201157 2.165455
0.08487094 2.058941
0.1028878 3.678154
0.1652438 2.785933
