"Delta_1" "Delta_2"
-2.646161 4.577888
-2.769737 4.747231
-2.771637 3.886039
-2.790197 4.363464
-2.649019 3.973926
-2.656177 4.183429
-2.703625 4.269115
-2.916445 4.413403
-2.618937 4.281202
-2.674403 4.064891
-2.732749 5.12468
-2.744613 5.350255
-2.620113 5.813206
-2.836986 3.914032
-2.911262 3.416912
-3.027484 3.608684
-3.023566 4.692553
-3.004778 4.680746
-3.075212 4.378996
-2.830552 4.420583
-2.885904 5.706067
-3.040331 6.446736
-2.84531 4.65519
-2.999997 5.027345
-3.01839 5.118613
-3.058894 4.850298
-2.965207 5.679359
-2.920639 5.612139
-2.980258 5.923041
-2.954375 5.288985
-2.902283 4.572453
-2.797601 5.519862
-2.723182 5.394815
-2.757011 4.784281
-2.906449 5.721809
-2.738105 5.084894
-2.783029 3.781083
-2.811901 4.091881
-2.842014 4.326694
-2.741896 4.472532
-2.654099 4.88111
-2.810341 4.478229
-2.73833 4.436409
-2.852408 5.515682
-2.829778 5.331254
-2.805324 5.710802
-2.700295 5.134595
-2.901723 5.837944
-2.937691 4.996994
-2.972908 5.644336
-2.946207 4.624557
-2.917634 4.290395
-3.058589 5.720721
-3.162618 5.438468
-3.030927 5.701162
-3.013939 4.11372
-2.939687 5.66949
-2.932578 4.502562
-3.129802 6.249573
-2.901946 4.756692
-3.0784 5.314872
-3.023513 5.506342
-3.036444 6.020407
-2.98159 5.446458
-2.771596 4.03753
-2.82038 3.037295
-3.009995 4.654999
-2.897262 5.124517
-2.983148 7.105616
-2.96621 5.466559
-2.946628 3.922773
-3.055685 3.829661
-3.076747 5.214474
-2.89257 4.009161
-2.807867 4.222529
-2.766734 3.841448
-2.745676 3.245837
-2.671191 3.830136
-2.813966 4.270592
-2.6445 4.212234
-2.75755 5.135684
-2.905659 6.4923
-2.932833 5.51923
-2.906551 4.775512
-2.890598 4.548681
-2.867504 4.225947
-2.709822 5.418685
-2.549476 5.260054
-2.576059 4.310283
-2.721317 4.384058
-2.650899 3.803929
-2.744635 4.138735
-2.905269 4.882144
-2.70127 5.190044
-2.769989 3.917212
-2.899057 4.283487
-2.852749 4.800782
-2.899388 3.912519
-2.852773 4.95435
-2.96472 3.889075
-2.843678 4.893433
-2.883364 3.897918
-2.895378 3.484421
-2.980467 5.44445
-2.95231 4.497034
-3.106084 4.731817
-3.001508 4.816675
-3.03038 5.14182
-3.092145 5.920012
-3.257648 5.269925
-3.098441 4.962548
-3.168558 5.223983
-3.000437 4.425282
-3.002404 5.533431
-2.930522 4.459138
-2.933944 4.76884
-2.954947 3.758169
-2.853845 4.393057
-2.621458 5.480718
-2.69933 5.68551
-2.834557 5.679043
-2.893699 4.778613
-2.860612 3.848208
-2.78907 5.700139
-2.779919 5.598772
-2.635364 5.289047
-2.81293 6.432618
-2.808784 5.511032
-2.794072 4.985489
-2.845663 5.129776
-2.780801 3.95241
-2.855442 5.755114
-3.006402 4.915354
-2.987777 5.171986
-2.990634 5.16634
-2.882797 6.824263
-2.837751 5.897224
-2.791601 4.577549
-2.722491 4.632083
-2.784481 3.930538
-2.898353 4.942896
-2.939365 4.849668
-2.989396 5.358119
-2.927946 5.506361
-3.041854 4.724238
-3.049275 5.256632
-2.988191 3.65894
-2.872922 5.54994
-2.881646 4.576355
-2.819075 4.455986
-2.594028 5.625891
-2.525442 4.893463
-2.623666 3.420603
-2.735182 4.041693
-2.739617 3.179453
-2.629423 3.892757
-2.715469 5.12437
-2.772619 3.699936
-2.680568 3.23437
-2.834897 3.913144
-2.74171 4.217178
-2.539284 3.953016
-2.614011 4.465275
-2.578476 5.371929
-2.651474 5.384765
-2.563221 3.999041
-2.658482 4.374157
-2.609056 3.828347
-2.530231 3.162935
-2.680243 4.042853
-2.728677 4.95536
-2.823363 3.745259
-2.910001 4.09536
-2.83213 4.506473
-2.755313 4.037814
-2.727853 4.392696
-2.707547 3.507974
-2.724323 3.35493
-2.672994 3.477365
-2.573392 3.93951
-2.471915 4.351674
-2.505343 5.07624
-2.378646 3.078508
-2.508824 3.744074
-2.513693 3.990266
-2.606677 3.601864
-2.868154 4.970112
-3.003442 5.131813
-2.967401 4.546422
-2.993328 5.585321
-2.954025 6.143763
-2.941744 5.291937
-2.84279 4.747467
-2.902261 4.267142
-2.932293 4.385784
-3.007328 5.312051
-3.017582 5.393616
