"p_1" "p_2"
0.2104585 0.7895415
0.2123791 0.7876209
0.2216714 0.7783286
0.210521 0.789479
0.2316236 0.7683764
0.2237416 0.7762584
0.2208297 0.7791703
0.1975956 0.8024044
0.2180591 0.7819409
0.2146383 0.7853617
0.2092404 0.7907596
0.2352793 0.7647207
0.2300761 0.7699239
0.2064235 0.7935765
0.2032191 0.7967809
0.2229515 0.7770485
0.2156683 0.7843317
0.2257846 0.7742154
0.2312389 0.7687611
0.2192147 0.7807853
0.213929 0.786071
0.2315257 0.7684743
0.2243396 0.7756604
0.1913882 0.8086118
0.2085122 0.7914878
0.216385 0.783615
0.203031 0.796969
0.2177586 0.7822414
0.2191701 0.7808299
0.216525 0.783475
0.200505 0.799495
0.2096747 0.7903253
0.2234836 0.7765164
0.2211129 0.7788871
0.210846 0.789154
0.238876 0.761124
0.2013029 0.7986971
0.2007191 0.7992809
0.210683 0.789317
0.231535 0.768465
0.234804 0.765196
0.2181829 0.7818171
0.2316458 0.7683542
0.2105827 0.7894173
0.1916741 0.8083259
0.2150935 0.7849065
0.2239996 0.7760004
0.224505 0.775495
0.2155714 0.7844286
0.201182 0.798818
0.2260997 0.7739003
0.2135155 0.7864845
0.2337997 0.7662003
0.2199847 0.7800153
0.2079283 0.7920717
0.2101766 0.7898234
0.2178326 0.7821674
0.2150521 0.7849479
0.2246593 0.7753407
0.2353595 0.7646405
0.2419773 0.7580227
0.2475517 0.7524483
0.2087535 0.7912465
0.2415371 0.7584629
0.2189482 0.7810518
0.2100558 0.7899442
0.2159477 0.7840523
0.2115945 0.7884055
0.2118859 0.7881141
0.2294215 0.7705785
0.2120784 0.7879216
0.2104431 0.7895569
0.1997165 0.8002835
0.2289203 0.7710797
0.2005714 0.7994286
0.2351762 0.7648238
0.2174219 0.7825781
0.2359666 0.7640334
0.2196819 0.7803181
0.2523428 0.7476572
0.2226543 0.7773457
0.2129925 0.7870075
0.2099081 0.7900919
0.2208196 0.7791804
0.2209516 0.7790484
0.217223 0.782777
0.2192416 0.7807584
0.2272771 0.7727229
0.2124843 0.7875157
0.2005385 0.7994615
0.2132803 0.7867197
0.2213829 0.7786171
0.2534446 0.7465554
0.2283848 0.7716152
0.219519 0.780481
0.2108792 0.7891208
0.2410105 0.7589895
0.2123672 0.7876328
0.2364572 0.7635428
0.2231115 0.7768885
0.2192789 0.7807211
0.2403605 0.7596395
0.2034669 0.7965331
0.2141667 0.7858333
0.2038133 0.7961867
0.2116083 0.7883917
0.2319608 0.7680392
0.2179282 0.7820718
0.2193121 0.7806879
0.196944 0.803056
0.2069831 0.7930169
0.2102367 0.7897633
0.2235144 0.7764856
0.201985 0.798015
0.2236293 0.7763707
0.2429975 0.7570025
0.2114757 0.7885243
0.2213301 0.7786699
0.2234753 0.7765247
0.202828 0.797172
0.2198653 0.7801347
0.2248114 0.7751886
0.2142084 0.7857916
0.2086676 0.7913324
0.2210975 0.7789025
0.2224395 0.7775605
0.2190999 0.7809001
0.2250279 0.7749721
0.2158697 0.7841303
0.2126857 0.7873143
0.2267313 0.7732687
0.2067221 0.7932779
0.2280487 0.7719513
0.2274966 0.7725034
0.2348404 0.7651596
0.2252736 0.7747264
0.2214376 0.7785624
0.2346852 0.7653148
0.2298271 0.7701729
0.2189919 0.7810081
0.2194943 0.7805057
0.2381913 0.7618087
0.2126516 0.7873484
0.2082836 0.7917164
0.2265488 0.7734512
0.2166853 0.7833147
0.2367011 0.7632989
0.2136494 0.7863506
0.1990331 0.8009669
0.2132234 0.7867766
0.2135657 0.7864343
0.2249388 0.7750612
0.207327 0.792673
0.2067939 0.7932061
0.2086417 0.7913583
0.221249 0.778751
0.224038 0.775962
0.2148703 0.7851297
0.2037238 0.7962762
0.2112884 0.7887116
0.2050123 0.7949877
0.2294316 0.7705684
0.2122964 0.7877036
0.2040159 0.7959841
0.2064393 0.7935607
0.192472 0.807528
0.2087969 0.7912031
0.2107362 0.7892638
0.204707 0.795293
0.1926945 0.8073055
0.2140293 0.7859707
0.2041267 0.7958733
0.2109405 0.7890595
0.2139611 0.7860389
0.2061471 0.7938529
0.2152641 0.7847359
0.2167251 0.7832749
0.2147162 0.7852838
0.2338789 0.7661211
0.2314346 0.7685654
0.2155433 0.7844567
0.2016938 0.7983062
0.2239554 0.7760446
0.2065001 0.7934999
0.201721 0.798279
0.2057536 0.7942464
0.2263953 0.7736047
0.2267836 0.7732164
0.2444976 0.7555024
0.219154 0.780846
0.2246635 0.7753365
0.2294535 0.7705465
0.2382627 0.7617373
0.205407 0.794593
0.232788 0.767212
0.2136942 0.7863058
0.2187019 0.7812981
0.2161958 0.7838042
0.1967963 0.8032037
0.2236518 0.7763482
0.2200464 0.7799536
0.2187185 0.7812815
0.2032204 0.7967796
0.2222382 0.7777618
0.197576 0.802424
0.2120384 0.7879616
0.2107376 0.7892624
0.2091458 0.7908542
0.2153846 0.7846154
0.2074389 0.7925611
0.2377089 0.7622911
0.2294962 0.7705038
0.2213086 0.7786914
0.2034073 0.7965927
0.2150601 0.7849399
0.2126727 0.7873273
0.2076261 0.7923739
0.1940248 0.8059752
0.22797 0.77203
0.2286968 0.7713032
0.2331741 0.7668259
0.2203983 0.7796017
0.21819 0.78181
0.212402 0.787598
0.2253635 0.7746365
0.2187032 0.7812968
0.235676 0.764324
0.2298496 0.7701504
0.2147618 0.7852382
0.2135084 0.7864916
0.2203471 0.7796529
0.2318299 0.7681701
0.2714769 0.7285231
0.1985598 0.8014402
0.2456438 0.7543562
0.226983 0.773017
0.2222899 0.7777101
0.2032085 0.7967915
0.2123741 0.7876259
0.2073636 0.7926364
0.2376682 0.7623318
0.208027 0.791973
0.2048103 0.7951897
0.2155692 0.7844308
0.2230617 0.7769383
0.2194318 0.7805682
0.2334934 0.7665066
0.2153284 0.7846716
0.2094668 0.7905332
0.2195288 0.7804712
0.2330857 0.7669143
0.2300929 0.7699071
0.2058431 0.7941569
0.2165868 0.7834132
0.2204215 0.7795785
0.2376685 0.7623315
0.2283072 0.7716928
0.2263367 0.7736633
0.235279 0.764721
0.2171407 0.7828593
0.2489048 0.7510952
0.2085003 0.7914997
0.2228927 0.7771073
0.2129687 0.7870313
0.2120523 0.7879477
0.2338795 0.7661205
0.243208 0.756792
0.2123128 0.7876872
0.2108637 0.7891363
0.2244196 0.7755804
0.2388372 0.7611628
0.2128532 0.7871468
0.2142876 0.7857124
0.1939177 0.8060823
0.1923648 0.8076352
0.2136438 0.7863562
0.2190143 0.7809857
0.2163361 0.7836639
0.2108074 0.7891926
0.2210826 0.7789174
0.2182184 0.7817816
0.2250965 0.7749035
0.2217682 0.7782318
0.2191351 0.7808649
0.1963788 0.8036212
0.2103706 0.7896294
0.2409748 0.7590252
0.2170487 0.7829513
0.203949 0.796051
0.2093986 0.7906014
0.2278128 0.7721872
0.2213631 0.7786369
0.2141219 0.7858781
0.2140542 0.7859458
0.2156356 0.7843644
0.2044245 0.7955755
0.2099126 0.7900874
0.2284014 0.7715986
0.2085159 0.7914841
0.2100054 0.7899946
0.1980475 0.8019525
0.2097662 0.7902338
0.2361293 0.7638707
0.2145869 0.7854131
0.2219968 0.7780032
0.2120321 0.7879679
0.2061903 0.7938097
0.2358038 0.7641962
0.2211446 0.7788554
0.2101996 0.7898004
0.2139137 0.7860863
0.2099927 0.7900073
0.1943257 0.8056743
0.2290975 0.7709025
0.2081399 0.7918601
0.2164568 0.7835432
0.2354648 0.7645352
0.2431319 0.7568681
0.2171591 0.7828409
0.2017825 0.7982175
0.2433517 0.7566483
0.2342291 0.7657709
0.2286558 0.7713442
0.2411133 0.7588867
0.2133682 0.7866318
0.2461698 0.7538302
0.209072 0.790928
0.2105088 0.7894912
0.225197 0.774803
0.2128108 0.7871892
0.2274693 0.7725307
0.2340224 0.7659776
0.209268 0.790732
0.2171118 0.7828882
0.2203697 0.7796303
0.2155145 0.7844855
0.2115525 0.7884475
0.2116991 0.7883009
0.2319393 0.7680607
0.2116166 0.7883834
0.2271803 0.7728197
0.2216747 0.7783253
0.2133286 0.7866714
0.2424566 0.7575434
0.2020687 0.7979313
0.2128978 0.7871022
0.2144301 0.7855699
0.2200675 0.7799325
0.202806 0.797194
0.249573 0.750427
0.2262229 0.7737771
0.1930696 0.8069304
0.2334325 0.7665675
0.2149335 0.7850665
0.2199955 0.7800045
0.2122415 0.7877585
0.2277308 0.7722692
0.2323692 0.7676308
0.2057356 0.7942644
0.2309743 0.7690257
0.1971078 0.8028922
0.2293747 0.7706253
0.2259243 0.7740757
0.2328842 0.7671158
0.2125164 0.7874836
0.2379572 0.7620428
0.2075376 0.7924624
0.2310446 0.7689554
0.2266631 0.7733369
0.2194664 0.7805336
0.2188542 0.7811458
0.2270639 0.7729361
0.2007381 0.7992619
0.2012808 0.7987192
0.2270761 0.7729239
0.2399037 0.7600963
0.230336 0.769664
0.2160905 0.7839095
0.2205062 0.7794938
0.1779128 0.8220872
0.2060152 0.7939848
0.2273409 0.7726591
0.1985436 0.8014564
0.2063797 0.7936203
0.2217525 0.7782475
0.2244289 0.7755711
0.2273938 0.7726062
0.2329801 0.7670199
0.2178192 0.7821808
0.2182346 0.7817654
0.2252795 0.7747205
0.2199433 0.7800567
0.2078078 0.7921922
0.2028338 0.7971662
0.2214527 0.7785473
0.2173071 0.7826929
0.2362848 0.7637152
0.2272319 0.7727681
0.2113765 0.7886235
0.2346447 0.7653553
0.2395034 0.7604966
0.2264933 0.7735067
0.2225203 0.7774797
0.238056 0.761944
0.2359359 0.7640641
0.2293174 0.7706826
0.2368387 0.7631613
0.2160705 0.7839295
0.2395501 0.7604499
0.2304987 0.7695013
0.2264163 0.7735837
0.2226405 0.7773595
0.2190249 0.7809751
0.2361506 0.7638494
0.2271599 0.7728401
0.2066605 0.7933395
0.2262408 0.7737592
0.2123671 0.7876329
0.238766 0.761234
0.2077859 0.7922141
0.2083202 0.7916798
0.2179014 0.7820986
0.2088454 0.7911546
0.2270503 0.7729497
0.2140734 0.7859266
0.1987417 0.8012583
0.2242621 0.7757379
0.2238661 0.7761339
0.2138567 0.7861433
0.2280766 0.7719234
0.2055196 0.7944804
0.2327102 0.7672898
0.2271958 0.7728042
0.2426188 0.7573812
0.2167251 0.7832749
0.2344063 0.7655937
0.2224258 0.7775742
0.2081729 0.7918271
0.2033204 0.7966796
0.2160577 0.7839423
0.1946371 0.8053629
0.2158539 0.7841461
0.2429529 0.7570471
0.2196383 0.7803617
0.2170477 0.7829523
0.2281306 0.7718694
0.2446519 0.7553481
0.2097992 0.7902008
0.2293979 0.7706021
0.2289695 0.7710305
0.2164271 0.7835729
0.2346334 0.7653666
0.2273103 0.7726897
0.2293154 0.7706846
0.2122411 0.7877589
0.2298135 0.7701865
0.2218029 0.7781971
0.2324562 0.7675438
0.2115401 0.7884599
0.1992899 0.8007101
0.2102557 0.7897443
0.2176652 0.7823348
0.2274643 0.7725357
0.2274687 0.7725313
0.2242341 0.7757659
0.2194375 0.7805625
0.2382792 0.7617208
0.2331922 0.7668078
0.2082164 0.7917836
0.2399846 0.7600154
0.2433124 0.7566876
0.2293116 0.7706884
0.223913 0.776087
0.2071139 0.7928861
0.2201652 0.7798348
0.2213192 0.7786808
0.2103259 0.7896741
0.2262411 0.7737589
0.2314897 0.7685103
0.2202664 0.7797336
0.2333753 0.7666247
0.223283 0.776717
0.2073191 0.7926809
0.2171433 0.7828567
0.2046737 0.7953263
0.2074821 0.7925179
0.2333863 0.7666137
0.211879 0.788121
0.2143662 0.7856338
0.2171606 0.7828394
0.2125409 0.7874591
0.2155859 0.7844141
0.2317751 0.7682249
0.2167652 0.7832348
0.2046951 0.7953049
0.2291826 0.7708174
0.2123128 0.7876872
0.2227089 0.7772911
0.2323824 0.7676176
0.214522 0.785478
0.212995 0.787005
0.2291926 0.7708074
0.2182213 0.7817787
0.200331 0.799669
0.2019557 0.7980443
0.2079121 0.7920879
0.2252985 0.7747015
0.2424125 0.7575875
0.2096786 0.7903214
0.2242537 0.7757463
0.2282955 0.7717045
0.23887 0.76113
0.2164136 0.7835864
0.2060492 0.7939508
0.2225182 0.7774818
0.2329478 0.7670522
0.2195635 0.7804365
0.218944 0.781056
0.2153418 0.7846582
0.2136003 0.7863997
0.2131823 0.7868177
0.2135894 0.7864106
0.2038807 0.7961193
0.2168644 0.7831356
0.236669 0.763331
0.2000438 0.7999562
0.1959965 0.8040035
0.2022461 0.7977539
0.2258965 0.7741035
0.2226916 0.7773084
0.2225009 0.7774991
0.2071025 0.7928975
0.2144357 0.7855643
0.2287996 0.7712004
0.2134722 0.7865278
0.2151938 0.7848062
0.2199272 0.7800728
0.2168807 0.7831193
0.2388345 0.7611655
0.1984222 0.8015778
0.2147415 0.7852585
0.2038799 0.7961201
0.2070034 0.7929966
0.220605 0.779395
0.2210028 0.7789972
0.2124794 0.7875206
0.2131335 0.7868665
0.1967669 0.8032331
0.228788 0.771212
0.194886 0.805114
0.2308636 0.7691364
0.2294474 0.7705526
0.21817 0.78183
0.235359 0.764641
0.2215798 0.7784202
0.2136442 0.7863558
0.2106216 0.7893784
0.1953712 0.8046288
0.2198703 0.7801297
0.2380862 0.7619138
0.2135201 0.7864799
0.2121145 0.7878855
0.2305537 0.7694463
0.2322339 0.7677661
0.2287289 0.7712711
0.204355 0.795645
0.2182306 0.7817694
0.2271872 0.7728128
0.2193609 0.7806391
0.2318007 0.7681993
0.2351915 0.7648085
0.2293859 0.7706141
0.243576 0.756424
0.221284 0.778716
0.2326357 0.7673643
0.2090453 0.7909547
0.2062165 0.7937835
0.2355144 0.7644856
0.2001547 0.7998453
0.2206318 0.7793682
0.1993075 0.8006925
0.2260848 0.7739152
0.2113275 0.7886725
0.2119179 0.7880821
0.1946557 0.8053443
0.2146429 0.7853571
0.2317594 0.7682406
0.2299015 0.7700985
0.2469401 0.7530599
0.2110171 0.7889829
0.2026261 0.7973739
0.2169281 0.7830719
0.2196621 0.7803379
0.2090681 0.7909319
0.2312211 0.7687789
0.2099107 0.7900893
0.2291951 0.7708049
0.2172428 0.7827572
0.2187638 0.7812362
0.2273194 0.7726806
0.2104337 0.7895663
0.2183376 0.7816624
0.223509 0.776491
0.2202738 0.7797262
0.219245 0.780755
0.2294003 0.7705997
0.2453081 0.7546919
0.2284 0.7716
0.2138091 0.7861909
0.2358058 0.7641942
0.2114508 0.7885492
0.2125402 0.7874598
0.2355126 0.7644874
0.2067549 0.7932451
0.209623 0.790377
0.2211707 0.7788293
0.2109729 0.7890271
0.2239283 0.7760717
0.224483 0.775517
0.2305022 0.7694978
0.2113569 0.7886431
0.2046269 0.7953731
0.2004636 0.7995364
0.2255359 0.7744641
0.2179125 0.7820875
0.2064001 0.7935999
0.2157644 0.7842356
0.2020324 0.7979676
0.2048298 0.7951702
0.211322 0.788678
0.2111413 0.7888587
0.2202534 0.7797466
0.2149109 0.7850891
0.2224521 0.7775479
0.2192679 0.7807321
0.2323967 0.7676033
0.21668 0.78332
0.2200871 0.7799129
0.2201392 0.7798608
0.2256435 0.7743565
0.1927942 0.8072058
0.2033552 0.7966448
0.2198851 0.7801149
0.2208756 0.7791244
0.2268128 0.7731872
0.2240594 0.7759406
0.2354209 0.7645791
0.2371657 0.7628343
0.2166585 0.7833415
0.2208954 0.7791046
0.2321405 0.7678595
0.2199895 0.7800105
0.2067741 0.7932259
0.214707 0.785293
0.1967874 0.8032126
0.2203544 0.7796456
0.2237445 0.7762555
0.2130297 0.7869703
0.206105 0.793895
0.2169494 0.7830506
0.223265 0.776735
0.2142115 0.7857885
0.2016465 0.7983535
0.2156232 0.7843768
0.1980064 0.8019936
0.2312795 0.7687205
0.222327 0.777673
0.2252213 0.7747787
0.2361338 0.7638662
0.2456669 0.7543331
0.2088693 0.7911307
0.2043788 0.7956212
0.2263786 0.7736214
0.2116892 0.7883108
0.2150474 0.7849526
0.2415744 0.7584256
0.2344442 0.7655558
0.217818 0.782182
0.2435427 0.7564573
0.2103368 0.7896632
0.2049583 0.7950417
0.2119227 0.7880773
0.2303637 0.7696363
0.2134474 0.7865526
0.2508864 0.7491136
0.2262156 0.7737844
0.2207689 0.7792311
0.2258165 0.7741835
0.2151018 0.7848982
0.2132508 0.7867492
0.1866059 0.8133941
0.2060059 0.7939941
0.2331966 0.7668034
0.2203656 0.7796344
0.2267679 0.7732321
0.2289281 0.7710719
0.2283726 0.7716274
0.2124323 0.7875677
0.2071984 0.7928016
0.2166021 0.7833979
0.1970555 0.8029445
0.2315636 0.7684364
0.1958809 0.8041191
0.2061772 0.7938228
0.2150181 0.7849819
0.20571 0.79429
0.211308 0.788692
0.2105872 0.7894128
0.1868644 0.8131356
0.2263469 0.7736531
0.2372719 0.7627281
0.2230138 0.7769862
0.2261251 0.7738749
0.2097214 0.7902786
0.2354277 0.7645723
0.2017763 0.7982237
0.2206135 0.7793865
0.2182709 0.7817291
0.2395306 0.7604694
0.2084911 0.7915089
0.1792899 0.8207101
0.2157162 0.7842838
0.2084446 0.7915554
0.1921006 0.8078994
