"tau2_1" "tau2_2" "tau2_3" "tau2_4"
0.2254142 0.07912645 0.1168714 0.1021397
912.484 0.03508283 0.1751955 0.09834142
1938.59 0.1264792 0.09553454 0.1260631
21.51382 0.01182412 0.0523943 0.09648953
4.460089 0.04880601 0.1819899 0.1341045
67905235 0.185409 0.140469 0.2617485
2.989173 0.1463317 0.1004707 0.1560701
22.39379 0.009389403 0.1971527 0.1127731
0.09406028 0.05465576 0.1553433 0.1680313
1656325 0.106481 0.03839877 0.1609053
0.02251655 0.03431762 0.06705027 0.1486137
5.63378 0.08667441 0.08768806 0.1765828
24438.92 0.123804 0.08847969 0.1197422
2.38307 0.07400309 0.05319273 0.127741
593.5322 0.0265592 0.06639623 0.09238768
0.05662632 0.07946191 0.06799583 0.1218294
81743462 0.070028 0.05283767 0.07205374
2.224605e+12 0.08204931 0.05485386 0.0976944
0.2752105 0.05827263 0.1282074 0.09681706
4.337632 0.08199437 0.07706537 0.09160888
0.1574013 0.0819816 0.2753252 0.08093802
969572.5 0.05408784 0.06985885 0.1428691
40.51399 0.04432886 0.1791965 0.1232002
3.752315 0.03104084 0.2161257 0.1119011
2.554311 0.05492345 0.1083911 0.09286567
0.8883509 0.1119989 0.04966993 0.08042077
4659495 0.03730842 0.1706687 0.1116373
14.6683 0.1134015 0.2533956 0.0886917
10834.16 0.1327838 0.06534475 0.1504825
21702678 0.09597844 0.06564256 0.1540534
2789.164 0.02530266 0.03676272 0.134835
0.02233591 0.1610586 0.02991188 0.1595861
0.1151712 0.05482647 0.04004637 0.09328004
0.1353127 0.03022008 0.1577706 0.153499
2.854768 0.03057402 0.06153999 0.1129922
5.715902 0.05599774 0.05066323 0.251583
4045.869 0.1971942 0.04674608 0.2391046
1.073118 0.1070804 0.08278228 0.1288184
0.5940204 0.06948202 0.1052127 0.1485301
3.797724 0.027887 0.01955389 0.102866
13.79629 0.3228093 0.05204646 0.15186
0.8189609 0.04741767 0.04158252 0.1231864
0.1413931 0.04209967 0.0567756 0.1703818
13.19981 0.103801 0.05815778 0.1239967
3.405157 0.07678929 0.1195493 0.1073693
0.3735984 0.01626213 0.06740462 0.1131285
116.3423 0.006976245 0.04272667 0.1110947
0.1650375 0.102185 0.04277637 0.1393888
33.12071 0.05756969 0.1426672 0.1408269
1.567625 0.04502066 0.06749876 0.09535247
39.82779 0.05346632 0.04531168 0.1513894
2253037 0.02621797 0.07548188 0.1176473
104.3418 0.04762645 0.1077684 0.0732166
4.160943e+20 0.09912704 0.1400087 0.1077179
0.194637 0.03573193 0.2406718 0.07342631
0.6702957 0.171102 0.03174851 0.07343455
5.074159 0.01674903 0.1286297 0.1513079
0.0445836 0.1116495 0.1454422 0.09798063
241483 0.02367274 0.153198 0.1151519
136.4802 0.03376086 0.1420447 0.2351392
0.07516459 0.08579777 0.1189048 0.123164
34.09874 0.1948443 0.1256705 0.07025542
2.47402 0.06713459 0.05588051 0.08135944
106678 0.1237348 0.1265441 0.1290386
1526.905 0.05840465 0.09380573 0.1381696
0.3315827 0.04609087 0.07385649 0.1810471
0.1448072 0.04769547 0.1267172 0.1360812
0.0464279 0.09573812 0.1045431 0.1266069
187.7604 0.2217105 0.1018754 0.09934445
0.08774579 0.1148575 0.08371285 0.1288265
7.357913 0.3336669 0.1808602 0.1630799
77.28184 0.1326631 0.321167 0.1217606
6.460705e+16 0.302932 0.1676047 0.109651
3.125279 0.01032681 0.08646643 0.1248456
85.61297 0.02459208 0.1125776 0.08185908
385251064 0.08221393 0.04481918 0.1249895
2572.036 0.1321847 0.08948001 0.108877
7.540314 0.2884425 0.06936033 0.1200314
0.08020206 0.0271538 0.04040138 0.1272519
10.86261 0.03032351 0.02127525 0.1578023
655.7267 0.09435216 0.1140177 0.1374413
7471437275 0.01212365 0.08525339 0.1283018
73.46388 0.07909078 0.2690838 0.174399
2754260884 0.135402 0.1690894 0.1772839
688.0667 0.05702485 0.06409293 0.2065484
735140100 0.03981324 0.04729705 0.1540884
0.4349216 0.06560776 0.07696998 0.1791294
0.1013479 0.05006078 0.08119002 0.1858064
0.9519749 0.01685046 0.1414572 0.1269911
25351.74 0.09828328 0.2671787 0.1430448
2.213553e+12 0.02861657 0.0600183 0.08921943
3.146854 0.03704243 0.1366306 0.119033
10.54308 0.135661 0.2675346 0.1985964
0.669249 0.07875621 0.07199919 0.09132419
409.9199 0.06350585 0.05147418 0.06330174
19.26426 0.6911301 0.09481534 0.0760634
3.131991 0.03710839 0.06119217 0.1363961
66.26233 0.04253042 0.08950648 0.136845
136.9141 0.03952671 0.1130712 0.1154291
234.7464 0.03046858 0.1745686 0.1432469
2.825809 0.05170706 0.1142021 0.1605856
43721.62 0.09176321 0.03286826 0.1199448
344987853 0.1294302 0.08827937 0.145814
1.650031 0.07280269 0.1715817 0.1001957
0.4150943 0.08928773 0.09693787 0.06977726
1060021 0.05617901 0.05735463 0.08729868
0.2100756 0.04519677 0.117711 0.08736102
2.415578 0.02884274 0.09933507 0.09262558
60.96689 0.0691412 0.05967507 0.0996602
68.65487 0.06995444 0.1546796 0.1250485
45526.43 0.03426533 0.1546946 0.1116166
23953.95 0.1138813 0.04288602 0.1257911
16.27474 0.05931924 0.1081656 0.09482451
0.4394988 0.02660112 0.1160297 0.1137475
0.1459646 0.04306274 0.09239696 0.1110781
6636.535 0.05715984 0.05459823 0.1653081
0.315967 0.03608059 0.08472406 0.1294825
0.1537545 0.04242772 0.0524418 0.08237969
2.57515 0.02450529 0.07123559 0.09539278
5264.805 0.0433488 0.1266014 0.193708
0.03630151 0.1184904 0.04936691 0.1658858
21328221 0.1900864 0.08252358 0.1236649
1.38454 0.06582855 0.1988104 0.1194626
71.50677 0.04143795 0.06007904 0.06053088
0.3675625 0.02998268 0.1253671 0.09414759
0.2586988 0.05426989 0.218852 0.171641
5.208649 0.05937532 0.1853061 0.1128966
0.4702408 0.07118437 0.05606908 0.101021
275681.2 0.08967137 0.0658123 0.2180842
0.4774988 0.3321356 0.1724154 0.1518691
107.1382 0.008324496 0.149778 0.1436763
0.4401105 0.02816082 0.05732659 0.09447564
27.83593 0.08023853 0.1957702 0.1193451
103.9552 0.028731 0.1092127 0.1146769
0.1698126 0.05006745 0.08139152 0.1076304
41.36071 0.07212138 0.06194367 0.1101666
324.4251 0.02057217 0.06271221 0.1127567
0.7589015 0.02578712 0.06856629 0.06092554
9436252 0.0555973 0.1171302 0.08870156
0.8322061 0.03069503 0.05932868 0.09718037
4.760291 0.06989365 0.01509544 0.09121491
1429.217 0.05621786 0.086159 0.07196988
0.6752773 0.08111057 0.03047941 0.1600115
10.95549 0.2994822 0.02155714 0.2170842
1059.042 0.1353615 0.3395459 0.2017158
4.436263 0.07431304 0.1015413 0.1732694
106.9901 0.1179323 0.1763943 0.1134586
486.7976 0.0206647 0.07638203 0.06401273
0.4721551 0.06292568 0.09267189 0.08816013
0.2470916 0.1181698 0.1176892 0.05401517
8813.276 0.08157756 0.08027195 0.05532474
4.468022 0.07487555 0.1076294 0.105014
0.08222362 0.1251171 0.09679127 0.06137155
18769.38 0.04230886 0.09147276 0.09993653
10543.3 0.0150072 0.02546935 0.210992
33209.42 0.08130832 0.04598622 0.07760593
0.1776982 0.06177059 0.161773 0.1557824
22.66137 0.02682356 0.0539392 0.1384147
