"p_1" "p_2" "p_3" "p_4"
0.1671451 0.004607613 0.04914473 0.7791025
0.1586137 0.002287905 0.06228286 0.7768156
0.1610429 0.00140822 0.04456327 0.7929856
0.1642164 0.008236172 0.05491931 0.7726282
0.1450652 0.0007254275 0.04403953 0.8101699
0.1550087 0.006749542 0.05176419 0.7864775
0.1819911 0.0003039111 0.05032192 0.7673831
0.1534338 0.002324945 0.05806715 0.7861741
0.1761745 0.007329541 0.05170756 0.7647884
0.177599 0.0004269448 0.05589079 0.7660833
0.1665963 9.303532e-06 0.05510599 0.7782884
0.162723 0.0002417729 0.06023213 0.7768031
0.1580919 0.0002687869 0.04094261 0.8006967
0.149877 0.0005739626 0.06068087 0.7888682
0.1744982 0.005821616 0.05608216 0.763598
0.1760489 0.002360872 0.05321981 0.7683705
0.1435933 0.0006686118 0.05049379 0.8052443
0.1694984 0.0001481658 0.0545607 0.7757927
0.1763589 0.003764198 0.06869596 0.751181
0.1532607 0.003159143 0.04773425 0.795846
0.1564105 0.0003272009 0.05752125 0.7857411
0.1759189 3.90077e-05 0.06056693 0.7634752
0.1620978 0.004001336 0.04865385 0.785247
0.1548648 0.001701597 0.05204173 0.7913919
0.173436 0.001664909 0.05114448 0.7737546
0.1680864 0.002944412 0.05560691 0.7733623
0.1513655 0.002350582 0.05055558 0.7957283
0.1863956 0.002062559 0.06365494 0.7478869
0.1425346 0.003556359 0.04852196 0.8053871
0.1572077 0.003016168 0.06002615 0.77975
0.191481 0.0009396328 0.05114387 0.7564355
0.1610049 0.001227312 0.04666453 0.7911033
0.1448247 8.717075e-06 0.05698841 0.7981781
0.1744185 0.002454539 0.05112514 0.7720018
0.1530782 0.002044726 0.04979843 0.7950786
0.1680953 0.003368795 0.06301777 0.7655182
0.1718441 0.0002474711 0.04538372 0.7825248
0.1522631 0.005196037 0.06148157 0.7810593
0.1700829 0.003394378 0.06203569 0.7644871
0.175163 0.0009161732 0.05084024 0.7730806
0.1658919 0.003152707 0.06710416 0.7638512
0.1663249 0.000704864 0.05834299 0.7746272
0.1769186 0.0003706389 0.04670771 0.776003
0.1868734 0.0002432637 0.05465647 0.7582269
0.1591203 0.0009826441 0.06252969 0.7773673
0.1594849 0.003917729 0.0676646 0.7689328
0.1691963 0.0009471941 0.05986644 0.7699901
0.1824841 0.0007149104 0.06518713 0.7516139
0.1719181 0.002895475 0.05339694 0.7717895
0.146046 0.0006393308 0.05350425 0.7998104
0.1776761 0.003487387 0.06050822 0.7583283
0.1656942 0.0008778721 0.05971634 0.7737116
0.1559617 0.0008529174 0.05390031 0.789285
0.1544024 0.0006643291 0.04722012 0.7977131
0.1617542 0.00147947 0.05616091 0.7806054
0.1628194 0.0006268996 0.06664684 0.7699068
0.1748087 0.0001045843 0.06118374 0.7639029
0.1709312 0.0007590994 0.0471803 0.7811294
0.1585933 0.01190336 0.0521627 0.7773407
0.1418687 0.01754128 0.06156167 0.7790283
0.1805556 0.00599956 0.06264053 0.7508043
0.1678579 0.001195215 0.04957398 0.7813729
0.1587606 0.001292946 0.05329333 0.7866532
0.163789 0.001531106 0.05133424 0.7833457
0.1464657 0.0008629158 0.05249942 0.800172
0.1958243 0.0005539669 0.04859757 0.7550241
0.1722113 0.0001693951 0.05908018 0.7685391
0.1744466 0.000236109 0.04915888 0.7761584
0.1488342 0.001508462 0.05664824 0.7930091
0.1681838 1.640286e-05 0.0587683 0.7730315
0.1606692 2.870907e-05 0.06056762 0.7787345
0.1348935 0.01748432 0.05634981 0.7912724
0.137669 0.02716847 0.05392529 0.7812373
0.1683229 0.001918951 0.05613612 0.773622
0.1619494 0.0008992826 0.05845789 0.7786934
0.1842544 0.0007027407 0.05968958 0.7553532
0.1618463 0.002514807 0.0535813 0.7820576
0.165479 0.001389807 0.06004953 0.7730817
0.1689623 0.0004408626 0.06024648 0.7703503
0.182111 0.00197535 0.04936606 0.7665476
0.1510895 0.0002618655 0.0657424 0.7829062
0.1548211 0.0002599995 0.05296757 0.7919513
0.1604628 0.001942676 0.05667771 0.7809168
0.1757089 6.015446e-05 0.06241754 0.7618134
0.1696065 0.001612766 0.0425116 0.7862692
0.1675041 0.0005583071 0.05072944 0.7812082
0.1708388 0.0001671467 0.04521227 0.7837818
0.1539741 0.0004784392 0.04570157 0.7998459
0.1669001 0.0009622444 0.04195119 0.7901865
0.1537991 0.001962514 0.05216039 0.792078
0.1539381 0.001281743 0.05548094 0.7892992
0.1543295 0.0002650952 0.06106078 0.7843446
0.1778055 0.003473311 0.05346267 0.7652585
0.1573633 0.0006971475 0.05931559 0.782624
0.1523077 0.002002525 0.04997984 0.7957099
0.1800745 0.0009712046 0.05073057 0.7682238
0.1588459 0.00251822 0.04782813 0.7908078
0.1772918 0.0005138079 0.05112802 0.7710664
0.137946 3.119973e-05 0.04237981 0.819643
0.184964 0.0003345667 0.04591618 0.7687853
0.1692965 0.00963185 0.04949946 0.7715722
0.1720742 0.0009412573 0.05295707 0.7740275
0.1589518 0.001031596 0.04039336 0.7996232
0.153809 0.0002154613 0.05731847 0.788657
0.1506938 0.001803319 0.05149943 0.7960034
0.1682663 0.002529841 0.0526174 0.7765865
0.1671881 0.003853406 0.04628548 0.7826731
0.1444562 0.0008042184 0.05110453 0.8036351
0.1618282 0.0004993475 0.04894154 0.7887309
0.1736015 0.0005581328 0.04752385 0.7783165
0.1565847 0.001385436 0.06068259 0.7813473
0.1616767 0.004397146 0.05929463 0.7746315
0.1772247 0.000902518 0.05180307 0.7700697
0.171605 0.0009664593 0.05198827 0.7754403
0.1488078 0.001953658 0.05919043 0.7900481
0.179009 0.003302101 0.04260912 0.7750798
0.1952486 0.003613899 0.05033756 0.7508
0.1766098 0.003896857 0.04369817 0.7757952
0.1642193 0.0009175173 0.04363234 0.7912309
0.1634908 0.002061782 0.05416465 0.7802828
0.146582 0.001723379 0.04716035 0.8045343
0.1771895 0.0005179889 0.03800278 0.7842897
0.1730673 0.001671161 0.04987666 0.7753849
0.1739539 0.00180532 0.05407611 0.7701647
0.1700433 0.004274565 0.05732221 0.7683599
0.1741807 0.003597841 0.05792637 0.7642951
0.1605246 0.003265178 0.06246414 0.7737461
0.1377891 0.0009259822 0.05876562 0.8025193
0.1657711 0.00591288 0.05793364 0.7703824
0.1842761 0.003413388 0.05640766 0.7559028
0.1809281 0.0003152496 0.0540212 0.7647354
0.1823852 0.0007423902 0.05012381 0.7667486
0.1611114 0.002330947 0.0426635 0.7938942
0.1560399 0.001711094 0.0507654 0.7914836
0.1579896 0.007327927 0.04592413 0.7887583
0.1828643 0.0006978357 0.05585374 0.7605842
0.1585181 0.002246709 0.04411143 0.7951237
0.1445033 0.0009042366 0.05773805 0.7968544
0.1722516 0.001897425 0.05064505 0.7752059
0.1733789 0.001599795 0.05012075 0.7749006
0.1637883 0.001632718 0.05817972 0.7763993
0.1810478 0.0004465884 0.06021509 0.7582905
0.1763841 0.0005232669 0.05002727 0.7730654
0.1805406 0.0006400786 0.05003964 0.7687796
0.1836921 0.003572451 0.04291225 0.7698232
0.1593373 0.00409708 0.04738023 0.7891854
0.1646561 3.955394e-05 0.04926205 0.7860423
0.1472922 0.0007040535 0.05048569 0.801518
0.1478624 0.0006934286 0.05123785 0.8002063
0.1478427 0.001128355 0.04834492 0.802684
0.1678816 0.001036207 0.06824397 0.7628383
0.1471807 0.0118243 0.04900582 0.7919891
0.1272944 0.01562424 0.04665653 0.8104248
0.1628426 0.0287957 0.05685698 0.7515047
0.1443907 0.01804089 0.04776438 0.7898041
0.1641546 0.001581079 0.06125322 0.7730111
0.1682507 0.001486535 0.0507129 0.7795499
0.1676685 0.009667277 0.06254076 0.7601234
0.1699125 5.988842e-05 0.05337795 0.7766497
0.1660834 0.001036161 0.0592859 0.7735945
0.1703454 0.002154308 0.05114212 0.7763582
0.1714746 0.002380501 0.05764345 0.7685015
0.184521 1.074919e-05 0.0419272 0.773541
0.1665059 0.001952887 0.05206978 0.7794714
0.1719488 0.01027102 0.06627018 0.7515099
0.1447553 0.0008631566 0.05572695 0.7986546
0.1347549 0.003577989 0.05679063 0.8048764
0.1604932 0.002296311 0.05392996 0.7832805
0.1717286 0.005840771 0.0442245 0.7782061
0.1708406 0.004130214 0.05223049 0.7727987
0.1732455 0.0001448161 0.04457713 0.7820326
0.1579038 0.002362208 0.06134897 0.7783851
0.163478 0.003126093 0.05558326 0.7778126
0.1571874 0.002276146 0.05767893 0.7828576
0.1590981 0.002054889 0.05369041 0.7851567
0.1505716 0.004052 0.05961677 0.7857596
0.1707695 0.005404416 0.05698959 0.7668365
0.1686185 0.00187632 0.05286847 0.7766368
0.146901 0.001419994 0.05088425 0.8007948
0.1757935 0.004357515 0.04907553 0.7707734
0.1561533 0.005526707 0.05432801 0.783992
0.1611452 0.002037087 0.06223212 0.7745856
0.166604 0.007163616 0.05844613 0.7677862
0.1578168 0.001079927 0.05022092 0.7908823
0.1486307 0.001186106 0.05389962 0.7962836
0.1768732 0.0002125604 0.05642309 0.7664912
0.1642993 0.001599208 0.04916201 0.7849395
0.173347 0.001348693 0.06877709 0.7565272
0.1734789 0.002209645 0.05397907 0.7703324
0.159515 0.002245434 0.05147903 0.7867605
0.1488418 0.01243346 0.06115475 0.77757
0.1656567 0.00258207 0.05263621 0.779125
0.1721289 0.006711763 0.05571957 0.7654398
0.1777848 0.0001359497 0.04082083 0.7812584
0.1670115 0.001303894 0.05375226 0.7779324
0.1477547 0.0008279497 0.06873676 0.7826806
0.149053 0.001000313 0.06195579 0.7879909
0.1655256 0.0003683486 0.05234458 0.7817615
0.1437894 0.01302274 0.04794292 0.795245
0.1586446 0.001571721 0.04719087 0.7925928
0.1744175 0.0005822859 0.04621542 0.7787848
0.1610235 0.0009573497 0.05568742 0.7823317
