"res" "LCI" "UCI"
-3.29313367017669 -3.60363517189895 -2.95944265488821
-3.1990473750987 -3.48949150185968 -2.90102826441522
-2.86313881412946 -3.09195751294751 -2.64627327052107
-2.80084936546534 -3.02095721866439 -2.59320220686538
-2.78052953688896 -2.99717212968621 -2.57557960384423
-2.72458640356127 -2.93201755288151 -2.52674593596563
-2.53819655873765 -2.72030912885335 -2.35956234115649
-2.51921639937433 -2.69896467348944 -2.34416594160932
-2.49661754319107 -2.6724542059274 -2.32352832796104
-2.4793640262328 -2.65289070024949 -2.30748858739481
-2.47122606154147 -2.64455155664991 -2.30062888425361
-2.38494961717892 -2.54788535510156 -2.22442332363391
-2.37895891974418 -2.54160372862158 -2.21883243612727
-2.32542513067371 -2.48267344831509 -2.17085241717722
-2.32069874445119 -2.47685797868337 -2.16577304074511
-2.31408917344983 -2.46804357345456 -2.16130352698213
-2.3004871084707 -2.45332726391157 -2.14887060669444
-2.25183299038802 -2.39968180502069 -2.10429279536677
-2.18282247967893 -2.32467629024772 -2.04160172984837
-2.13579791692064 -2.27212725940433 -1.99886486721924
-2.11961444125506 -2.25396633883684 -1.98475526722692
-2.11697419231756 -2.25102536043654 -1.98235419575072
-2.09488566724328 -2.22702027462446 -1.96236614909968
-2.09042081483616 -2.22276776512441 -1.95755021280254
-2.06862687873355 -2.19834506962399 -1.93908757907415
-2.00846447299006 -2.13269441570614 -1.88385937327663
-2.00689934374142 -2.13135266223542 -1.88248101245978
-1.99000423311544 -2.11332567911384 -1.86761825266868
-1.98718554077854 -2.10905226854698 -1.86512055052098
-1.98113538498668 -2.10175517372613 -1.85982000800255
-1.97615185970708 -2.09679760175821 -1.85495555411361
-1.96162613485697 -2.08067419667873 -1.84098828276643
-1.94425752683848 -2.06265315145252 -1.82530082235511
-1.93231205554073 -2.04852778873454 -1.81373679946977
-1.9186901812571 -2.0341943085642 -1.80180388456847
-1.89672172509908 -2.01068141582705 -1.78080661363932
-1.85082088891412 -1.96145261870225 -1.73796402762297
-1.84513867528437 -1.95414435257298 -1.73336501570289
-1.8409576556457 -1.9512433559164 -1.73031580090243
-1.83682349792818 -1.94857396696046 -1.72655026715034
-1.7916988181667 -1.89861058771213 -1.68457866500821
-1.78095924697542 -1.88655011300864 -1.67488980718342
-1.76688901952979 -1.87123907695829 -1.66050145766735
-1.73887255101182 -1.84172579491854 -1.63651300955297
-1.71322590540123 -1.81407055078589 -1.61233228967116
-1.69287907236612 -1.79305057757713 -1.59244249537365
-1.68877866701947 -1.78813873321437 -1.58804859928791
-1.67638771860911 -1.77439261837211 -1.5770764544438
-1.66864588251555 -1.76665409656521 -1.57048254981903
-1.63962342887345 -1.73606184848345 -1.54240038506374
-1.62591151614871 -1.72190625010887 -1.52917508342657
-1.60254056196364 -1.69724826245879 -1.5076792183356
-1.59653783602555 -1.68946729562495 -1.50219721637653
-1.5911866051837 -1.68518065344841 -1.49682009621376
-1.56078579457783 -1.65246543373242 -1.46840508766048
-1.5548050725554 -1.64618542443616 -1.46194425160448
-1.55138021629947 -1.64326163469247 -1.45833262950153
-1.51422019204081 -1.60390839841736 -1.42309972661118
-1.50370700301235 -1.5927065321067 -1.41357517816252
-1.49148279785835 -1.58062134611967 -1.40159906069582
-1.46672423415628 -1.55811791720436 -1.37634600868962
-1.46198567245353 -1.55264859385444 -1.3722387200853
-1.45905192861148 -1.549129415492 -1.37019318146495
-1.45541425866904 -1.54382922214819 -1.36697014185458
-1.4525799584503 -1.54151888062375 -1.36399811350496
-1.44727235862448 -1.53747032393686 -1.3586537799726
-1.4448755379136 -1.53468377866463 -1.35649547924572
-1.44008395611906 -1.52759413095462 -1.35129515662249
-1.43144884565188 -1.51879259474581 -1.34399059829716
-1.42813143881853 -1.51520531947983 -1.34066794104512
-1.42319188163587 -1.5103337568806 -1.33546456823359
-1.41245586501057 -1.49882450621217 -1.32550859097487
-1.41065918364877 -1.49701422351833 -1.3235654228064
-1.4089007757623 -1.49548135458757 -1.32213323712224
-1.39661252941052 -1.48251341492092 -1.31016202440374
-1.38970526563718 -1.475301945138 -1.30332912662259
-1.37522933544323 -1.46025785261009 -1.29016205255466
-1.3724426884206 -1.45717638382329 -1.28703171261269
-1.36575143588643 -1.45085993573682 -1.2806807503366
-1.35805612986197 -1.44313089095478 -1.27160302730953
-1.34483982320141 -1.42987067907717 -1.2601014632397
-1.33925820629334 -1.42318350572225 -1.25387279527265
-1.33715654318562 -1.42090345381059 -1.25140508777081
-1.32932194433327 -1.41399560002229 -1.24429626981091
-1.32536017648201 -1.40904590462831 -1.24164820420155
-1.32287088587462 -1.40747810634709 -1.23868487160092
-1.31769093834176 -1.40115805618741 -1.23382748879593
-1.31359413236611 -1.39658762701045 -1.22960766966079
-1.31129607196606 -1.39355536967609 -1.22779147902029
-1.30678414379921 -1.38936951012917 -1.22178817735921
-1.3021407808832 -1.38394778591663 -1.21726188165902
-1.2999814578234 -1.38170738156067 -1.21506333577474
-1.29678803901146 -1.37823675240764 -1.21231187570459
-1.29287689483695 -1.37517411549437 -1.20942757120261
-1.29117616240978 -1.3735009283957 -1.20754906681248
-1.28934367051635 -1.3711929387265 -1.20598063677662
-1.28687477794874 -1.36923538792164 -1.20333540367659
-1.28399956359446 -1.36566706868613 -1.20038318450919
-1.27745700400872 -1.35925559321735 -1.19327061607723
-1.27150378839929 -1.35398774872644 -1.18712773488769
-1.26150695115338 -1.34355824111984 -1.17765412016179
-1.25355238542433 -1.33448079275714 -1.16796038169293
-1.24773117775414 -1.32949181818621 -1.16362815128713
