"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
-30.1915 -3.864844 30.38731 4.098477 9.343682 -17.56168 14.67304 4.05415
-30.29662 -3.936795 30.04501 3.758172 18.55788 2.704687 14.70448 4.050319
-30.36669 -3.904398 30.17799 3.979645 13.78652 2.250112 14.31889 4.12599
-30.1019 -3.962236 30.17529 4.008688 -2.31012 -13.66549 14.67016 3.981836
-30.05055 -4.020723 30.14555 4.066822 -13.5951 -15.76307 14.8219 4.027298
-29.90214 -3.899221 30.04452 3.903854 -5.859685 -7.546634 14.92752 4.050606
-30.0615 -3.976972 30.04573 4.023256 17.38755 -11.01608 14.51769 3.895905
-30.1917 -3.939972 30.27743 3.8926 13.79098 15.7251 14.73688 4.039569
-30.19232 -3.890646 30.15195 3.930027 -9.431841 10.10438 14.70254 3.998257
-30.19728 -3.977446 30.16366 3.963784 3.168406 4.587727 14.72105 4.108078
-30.44233 -3.927225 30.09316 3.999511 -5.099079 13.9759 14.25939 4.083697
-30.02304 -4.008818 29.97917 3.952006 9.302056 -4.797418 14.52619 3.930389
-30.30384 -3.973623 30.36239 3.814608 -13.25131 -17.3738 14.45868 4.106106
-30.07952 -3.90635 30.12009 3.822036 1.336585 15.2792 14.59701 4.018375
-30.36236 -3.874506 30.35295 3.991946 -3.41695 9.895893 14.3009 4.085376
-30.08858 -3.916778 30.11354 3.996975 13.7044 10.86208 14.61139 3.953451
-30.32014 -3.900036 29.88758 3.905778 10.17705 -1.087891 14.43338 4.055314
-30.13271 -3.894371 29.76439 3.746836 3.341893 15.33767 14.37121 3.969665
-30.15443 -3.914257 30.16437 4.068023 -8.389547 8.861098 14.48747 4.060213
-29.99585 -3.843545 29.91406 3.853925 -7.219244 7.692898 14.69095 4.054487
-30.2699 -3.902324 30.04418 4.125889 0.2455475 -12.67647 14.74459 4.027302
-30.14963 -3.991511 30.24093 3.838714 -3.920444 12.59321 14.84155 4.045852
-30.04782 -3.927951 29.87925 3.996104 10.75958 -2.628165 14.90932 4.116741
-30.02021 -3.992724 30.1617 3.939184 4.235446 2.2947 15.00754 4.039377
-30.09539 -3.971875 30.23244 4.139816 10.4416 -18.17475 14.65815 4.016876
-30.30503 -3.979336 30.22568 4.083085 -2.80664 -7.930718 14.64638 4.018277
-30.08324 -3.938117 29.87661 3.912881 -4.848108 4.352606 14.372 4.025756
-30.21909 -3.957222 30.10082 4.003664 -3.146301 20.67805 14.51293 3.818533
-30.34721 -3.90471 29.84065 4.1609 3.875622 -1.569742 14.50253 3.968782
-30.15297 -3.927433 30.00751 4.006479 -2.272249 7.724866 14.63081 3.947226
-30.06642 -3.874302 30.0599 3.954805 -0.8278843 3.283462 14.44416 3.917793
-30.20497 -3.846534 30.2715 3.963473 1.362307 11.12316 14.55441 4.049606
-29.89057 -3.884941 30.28157 4.100045 7.807356 11.86324 14.60972 4.072567
-30.08933 -3.910633 30.13763 3.964555 -5.745406 -23.24219 14.45272 4.108048
-30.29232 -3.890839 30.16756 3.817406 -12.55412 5.708418 14.28216 4.0134
-30.2569 -3.799375 30.3484 3.910522 -8.155664 4.456965 14.45352 3.919872
-30.09371 -3.876175 29.92484 4.009504 16.48351 4.525342 14.22526 3.77526
