"res" "LCI" "UCI"
-3.15782064987521 -3.45953169885571 -2.88005905507642
-2.92087792330674 -3.19168172772228 -2.65962652513881
-2.72929834987209 -2.98368928552283 -2.4861698502189
-2.66394441883764 -2.91082636991168 -2.42960224225
-2.58121917277069 -2.81445847458158 -2.35610943845009
-2.52841772348618 -2.76118651650724 -2.30995035280735
-2.49957297150649 -2.72478598547376 -2.28577699248813
-2.4903723818371 -2.71449857723015 -2.27497289007966
-2.46920927583939 -2.69275932015684 -2.25632657246835
-2.43490766471028 -2.65804303574654 -2.22091399758576
-2.40160075755856 -2.62320758867853 -2.19282243424514
-2.36299043343212 -2.58254984084294 -2.15847235443266
-2.31638819554991 -2.52502442095653 -2.11542050175855
-2.27603692414077 -2.49203742064038 -2.07536454274257
-2.2398818824287 -2.44756208658262 -2.04606346347613
-2.20970540896245 -2.40866676136135 -2.02181644088324
-2.18986720024788 -2.39055814618614 -2.00413456168674
-2.16391848203155 -2.35736321319802 -1.98068599533484
-2.12952109254598 -2.3227917872928 -1.94670017379
-2.09739588888438 -2.28813470482715 -1.92108014113955
-2.08232335098227 -2.26886946768668 -1.90832660753485
-2.05792821171595 -2.24173633628654 -1.88707663552114
-2.04141081608766 -2.22361062614257 -1.8718789313545
-2.01716376634366 -2.19131024001156 -1.85238886150237
-2.00499193832626 -2.17813985146422 -1.84109151765769
-1.9894032285286 -2.16413145164529 -1.82404118504039
-1.96082909116242 -2.13408686475754 -1.7998249219682
-1.92232113592862 -2.08982526183873 -1.76556472567845
-1.88126894546857 -2.04109818629432 -1.73293832582797
-1.86447736237863 -2.02294304787027 -1.71621236620108
-1.84231666113075 -1.99659729711914 -1.69898423162988
-1.83251812269781 -1.98595833946669 -1.68878114239345
-1.81348203166052 -1.96224028094211 -1.67340640529188
-1.79640948137682 -1.94565235913224 -1.65724825585132
-1.7822391659418 -1.92959717076126 -1.64482820990377
-1.77004408437451 -1.91105802039682 -1.63596359746177
-1.76315338058031 -1.90414916676458 -1.62888334836188
-1.75359331498297 -1.8928480944358 -1.61977308184929
-1.74666213023259 -1.88396968678341 -1.61183904130799
-1.74144918591519 -1.8785445951973 -1.60765910563098
-1.73579061951369 -1.87230271133104 -1.60376070418786
-1.72542566290476 -1.8598893054634 -1.59401047318043
-1.72047333982794 -1.8544362883186 -1.58839025187424
-1.71644817346333 -1.84963827324737 -1.58472208728462
-1.71156834975636 -1.84711207725478 -1.58066219466326
-1.70729584340668 -1.84188740500898 -1.57611714188312
-1.70351946929286 -1.83783126560728 -1.57390309527093
-1.69787910687162 -1.83091879286481 -1.56623061272606
-1.69355175930925 -1.82641403618316 -1.56017352329001
-1.68502483665779 -1.81781816674796 -1.55359522975402
-1.67306234533225 -1.80508408275736 -1.54331560833032
-1.65282974512101 -1.78430522789801 -1.52311613276086
-1.63760034208578 -1.768318438839 -1.51114111130398
-1.6273385417377 -1.75652025643884 -1.49996643185757
-1.60445418311487 -1.73099565402402 -1.47896111542489
-1.57951101461274 -1.70412671738321 -1.45719464592678
-1.55777379487557 -1.67828482504429 -1.43786750029357
-1.55707655847034 -1.67734513348873 -1.43722751537776
-1.54580554964994 -1.6652359822782 -1.42793162354295
-1.52627708548529 -1.64328090082279 -1.41085783347888
-1.51942283832696 -1.63530374714223 -1.40475220734722
-1.50904569476571 -1.62356358525534 -1.39571920427619
-1.505198400109 -1.61927531778236 -1.39293362089376
-1.4948840789636 -1.61057857520267 -1.38226160828886
-1.48822869133513 -1.60191201575268 -1.37747249226307
-1.48485083293105 -1.59777587986503 -1.37497398113127
-1.48126620507442 -1.59457880776706 -1.37066077536801
-1.47698490953035 -1.58979909316929 -1.36718254187832
-1.47060709123741 -1.58186921428729 -1.36189217252709
-1.46011552761968 -1.5726586356538 -1.35006130751758
-1.44377963143329 -1.5549208565622 -1.33683660199856
-1.43865282114758 -1.5496111935368 -1.33234199822544
-1.4336177980335 -1.54326166527824 -1.32785699617917
-1.43122142969327 -1.5403669111044 -1.32576660749146
-1.42818011450649 -1.53729143348317 -1.32222190701918
-1.42515403012276 -1.53401798879684 -1.31914066404721
-1.42306945457342 -1.53174659417575 -1.31754799817458
-1.4205976734213 -1.52887179508004 -1.3141812781171
-1.41653916831603 -1.52408402787857 -1.31095223155642
-1.41341679905814 -1.52076131747713 -1.30806692811758
-1.4088673320503 -1.51568709021685 -1.30367084861618
-1.40601487075303 -1.51288844519322 -1.30079591683693
-1.40380770682167 -1.51074010647616 -1.29805193511617
-1.40116496099844 -1.50850937598592 -1.29660251058468
-1.39947008029573 -1.5062782279127 -1.29495967080657
-1.3963386106756 -1.50333804407808 -1.29208986956882
-1.39295734985438 -1.49864034778705 -1.28812762987457
-1.38588469677885 -1.49095604306029 -1.28191454369289
-1.38105584594196 -1.48623965904675 -1.27856240159513
-1.36883267867836 -1.47544766496151 -1.26495004498691
-1.36247380298886 -1.46690044047817 -1.26000842104105
-1.34657192181702 -1.44932127883609 -1.24415862417154
-1.34233679551005 -1.44511527069909 -1.24020453956564
-1.33690400709623 -1.43898455592382 -1.23450593282472
-1.33089517103049 -1.43199659929105 -1.23009613715364
-1.32796197238085 -1.42915658970547 -1.22814952747292
-1.32293346349697 -1.42612715884981 -1.22214869928545
-1.31890628756683 -1.42006509453364 -1.21801474946593
-1.313299791366 -1.41320101080112 -1.21240686975557
-1.30753410714214 -1.40750185912955 -1.20762874947287
-1.30118143019162 -1.40108893398732 -1.20257986394888
-1.29413911219839 -1.39240199443038 -1.19721581030787
-1.28773875801949 -1.38488116193042 -1.18890174728227
-1.28163436449188 -1.37976168983343 -1.18282823321805
-1.2751435269713 -1.37337726128345 -1.1765668094769
-1.27068491217125 -1.36768668791753 -1.17245816754372
-1.26680056993934 -1.36333307847151 -1.16894878680007
-1.26223089677409 -1.36002632487591 -1.16321849060295
-1.25830601055349 -1.35523842734413 -1.16083452912138
-1.25409759296595 -1.34983855251655 -1.15621976729836
-1.24986142196216 -1.34598622804419 -1.15250783406931
-1.24369837174004 -1.33978093871051 -1.14812640592507
-1.23891031869033 -1.33384079418604 -1.14387512131742
-1.23236325096974 -1.32730500389327 -1.13803759458008
-1.22753975888842 -1.32171134464447 -1.13300229107747
-1.22285359583179 -1.31672364081034 -1.12842478326771
-1.21800923187261 -1.31340062010964 -1.12291322856841
-1.21215065727242 -1.30741860603944 -1.11616586885822
-1.20785218069554 -1.30305071635376 -1.11069204656303
-1.20251184625859 -1.29588162345131 -1.10644856135624
-1.19715448985493 -1.29111851682356 -1.10130932897286
-1.19252825938274 -1.28736288988712 -1.09740815044825
-1.18770359098101 -1.28122935262678 -1.0939031845828
-1.18271824338341 -1.27555554499966 -1.08913739780386
-1.17654349994741 -1.26836366982704 -1.08259379174566
-1.17076809459435 -1.26359524986776 -1.07653043618571
-1.1648929569657 -1.25613707599139 -1.07164162005478
-1.15908065179363 -1.25075264107327 -1.06630825237934
-1.1529649247824 -1.24609755026991 -1.06250659489104
-1.14703394058767 -1.23840544794653 -1.05573834720465
-1.14093266626446 -1.23156342825732 -1.04902257337104
-1.13423182746672 -1.22390921563662 -1.04296790275105
-1.12839791651011 -1.21701840654935 -1.03818657170764
