"comp1" "comp2" "comp3"
-2.103344 1.113838 -0.9996846
-1.918564 1.061374 1.77706
-1.980115 0.9242656 -0.1789755
-2.397214 1.03386 0.09632301
-2.164609 1.039422 -1.554999
-2.42155 1.01047 1.540422
-2.373497 1.046305 -1.087397
-1.986058 1.074607 0.7267426
-2.326703 0.9609758 -0.3694011
-2.137323 0.9783777 2.371304
-2.245161 1.003677 1.290657
-2.348525 0.9877759 -0.5536929
-2.6011 1.018572 -0.8226312
-2.443348 1.068903 -1.335274
-2.242634 1.103231 -0.4210037
-2.174358 1.06227 0.4335637
-2.281539 0.9800666 -0.4730719
-2.135529 0.9950262 -2.617172
-2.089384 0.9885852 -1.106774
-2.288005 1.036081 -1.526496
-1.62026 1.02172 -1.537926
-2.026223 0.9734302 -1.292568
-1.862574 1.018417 -1.195236
-2.199844 0.9818746 -0.306794
-2.346392 0.9631904 -0.3122783
-1.990846 0.9860776 0.5654676
-1.664093 1.024833 -1.018858
-2.196433 0.9851579 0.5731828
-2.160721 0.9895622 -1.569758
-1.601341 0.9784441 1.094283
-1.994735 0.9882073 -2.434411
-2.405956 0.9981709 -1.9553
-1.989137 0.9966214 -0.3501151
-1.89782 1.007307 -2.105934
-2.212306 1.134567 2.627134
-1.738736 1.046189 0.5193028
-2.113277 1.151142 -0.9410269
-2.195101 1.134283 2.407024
-2.089505 1.124532 -1.969028
-2.092458 1.163317 -1.479863
-2.248123 1.134418 -0.04005688
-2.354263 1.09835 -0.6161948
-2.129144 1.137349 -0.3148076
-2.09008 1.121947 -1.252974
-1.823086 1.038368 -0.56641
-2.084334 0.9902412 -1.970974
-1.987623 1.000842 -0.5191729
-2.316195 1.056792 1.581973
-2.017924 1.05207 1.314053
-2.296403 1.061013 -2.305733
-2.662194 1.040397 0.3055162
-2.309327 1.094244 -0.9202718
-2.169159 1.060132 -0.9922798
-2.346328 1.056067 0.7898853
-1.937128 1.110868 0.1123929
-2.090354 1.129285 1.585696
-2.113797 1.038088 -1.445064
-1.875324 1.061984 5.411068
-1.869217 1.078133 0.1336687
-1.920371 1.105433 -1.615739
-1.917559 1.043436 -0.5544017
-1.810263 1.009957 -2.76831
-1.684049 0.9649165 -2.317405
-2.28825 0.9759261 -0.6311324
-2.398627 1.031282 1.830957
-2.416935 1.099652 -2.711036
-1.758874 1.078161 -0.4098558
-1.984187 1.093958 -2.104125
-1.770383 1.131275 3.609512
-1.833917 1.185352 -1.010592
-1.904029 1.172154 -2.467256
-1.902159 1.131725 -1.378769
-2.096253 1.09264 0.0336343
-1.674139 1.105659 1.144212
-1.782621 1.055347 -1.947184
-2.388292 1.085582 -1.959786
-2.188039 1.102535 -0.6406872
-2.208398 1.074199 -0.5956562
-2.347944 1.090737 -2.224895
-2.546988 1.075838 0.03952185
-2.307342 1.079739 -0.6365667
-2.107918 1.069753 -1.598566
-1.718247 1.012632 -1.181772
-1.735245 1.037986 -3.095625
-1.881831 1.018369 0.1016734
-2.380088 1.069434 1.280861
-2.684845 1.059957 -1.090511
-2.145868 1.053275 -2.493556
-2.35262 1.069596 -1.763995
-2.390032 1.076675 -2.85204
-2.187116 1.071008 -1.555325
-2.291253 1.040978 -1.586636
-2.258171 1.064361 0.3566577
-2.064396 1.010417 -0.2281627
-2.399338 1.027018 -1.299103
-2.006115 1.083253 -0.9326705
-2.181216 1.118943 1.316048
-2.4167 1.092812 -0.3960987
-2.190022 1.050441 -0.554178
-2.263669 1.030342 0.8974201
-1.855631 1.049004 -1.221326
-2.065911 0.968021 0.5002568
-1.755075 0.9952739 0.5851149
-2.216006 0.977399 -1.252674
-2.08598 0.9823028 -1.108966
-1.919856 1.013437 0.1428178
-1.961428 0.9724929 -1.427593
-2.066975 0.9845779 -0.2081612
-2.051406 1.009682 -0.2301816
-1.71278 0.9556629 0.4691638
-1.720371 0.9430037 0.7071714
-1.696213 1.020503 0.3774576
-1.936007 1.02521 -1.577137
-2.043678 1.059779 0.3924992
-1.933476 1.057022 0.4146444
-2.055225 1.037121 0.1164049
-1.760876 1.031036 -1.447169
-2.021597 1.028273 -1.973106
-2.032952 1.034189 -0.5700065
-2.115154 1.015154 -0.9337027
-2.139507 1.015153 0.1477668
-2.178447 1.01572 -2.892524
-1.829231 1.046817 -0.8446646
-2.202307 1.036045 -0.1722244
-2.132655 1.042228 -0.3987889
-2.094649 1.047444 3.497725
-2.073494 0.9766584 -2.087755
-2.143448 0.996296 -1.359723
-2.031793 0.9780365 -0.2689393
-2.605569 0.9770223 0.5760274
-1.721037 0.9860921 -1.483639
-1.94727 0.9205814 -0.9947757
-2.039604 1.015815 -0.3061308
-1.98336 0.9867876 -1.027471
-1.886129 0.996008 -1.716617
-2.309505 1.024895 -1.297062
-2.198095 1.052756 -2.600655
-2.194993 1.00744 -1.359078
-2.331542 1.026301 -1.907617
-2.004736 1.004572 -0.7304402
-1.950514 1.076598 -0.4269456
-1.950087 1.056168 -0.6432891
-2.351355 1.037808 -1.784696
-2.195709 0.9766211 -0.6237781
-2.293304 0.9890793 -1.305301
-2.080237 0.993592 -1.500373
-2.087887 1.007598 -1.492272
-2.105881 0.9847813 -1.099306
-2.01256 0.9948361 1.483194
-1.835394 1.068565 0.0733651
-2.086495 0.9487407 -0.0505813
-1.894633 0.9673258 -2.008759
-1.95501 1.017903 5.00712
-1.946702 1.058505 -1.430974
-1.921365 0.9759774 0.2260865
-2.239151 1.020814 -1.720884
-2.063046 0.9949417 0.7105767
-2.482334 1.045588 1.402832
-2.453918 1.076718 -1.247467
-2.249023 1.053981 -3.091643
-2.165766 0.9853307 -1.479989
-1.958376 1.012179 -2.107991
-2.217243 1.005999 -2.678314
-1.916788 1.059892 -0.4081656
-2.067027 1.082743 -2.342949
-1.799816 1.044646 1.217367
-2.031931 1.037302 0.398827
-2.311269 1.036503 0.9321995
-2.06409 1.053394 -1.583713
-2.64285 1.01626 0.4114369
-2.044764 1.048698 0.1298681
-2.132501 1.064034 1.661026
-1.985626 1.077131 -0.4100725
-1.995116 0.9995304 -0.7630999
-1.881665 0.9947296 -0.9927444
-2.184992 0.9894511 -1.022059
-1.988271 0.9512331 -0.553335
-1.580147 0.9847388 -0.5501139
-1.963457 0.9701163 -0.06802926
-1.907301 0.9991272 -1.881253
-2.035181 1.02112 -1.032029
-2.167332 1.044248 -0.2568384
-1.847978 0.9469654 -0.5895441
-1.611285 0.9708319 -1.755746
-2.283444 0.9797481 -0.2723268
-1.955967 1.031828 -2.266784
-2.213948 1.006949 0.4422759
-2.06627 0.9925235 -1.340676
-2.015873 0.9683325 -1.503244
-2.421177 0.9611559 -0.2500377
-1.94147 0.9928237 -0.9107934
-1.837297 1.070182 -1.529118
-2.043402 1.065727 -0.2064519
-1.956092 1.072619 -2.74492
-2.022893 1.051835 -0.9487031
-1.93462 1.045305 0.09301077
-1.923939 1.002817 -2.389095
-1.948552 1.000367 -1.647136
-2.200381 0.9953473 -2.996417
-2.305408 1.007906 -0.322858
-2.503267 0.984178 -0.8709297
-2.350694 0.9820971 0.5102674
-2.381974 1.045435 -0.6957155
-2.375404 1.002125 -0.05134635
-1.956104 1.035064 1.24761
-1.835119 1.014096 -0.01965743
-2.272343 1.069883 1.665787
-2.319049 1.044152 -0.7553116
-1.716623 1.024387 -2.344646
-1.966098 0.9252585 -1.343923
-2.072743 0.9431997 0.9437479
-2.209904 0.939198 0.8275095
-2.158726 0.9690789 -0.7799681
-2.277233 1.027619 -0.08000064
-2.214041 1.110499 -1.051139
-1.827562 0.9955996 -0.1101788
-2.307049 1.112726 -2.237151
-2.052827 1.035028 -1.345182
-2.454882 0.9906955 -1.778207
-2.417922 1.027792 -0.4979229
-2.081005 1.011281 -1.893908
-1.972627 1.019535 -1.571379
-1.982305 1.017774 -1.614781
-1.524587 1.071217 1.308202
-1.958192 1.066956 -1.285838
-2.077351 1.048768 -0.1453823
-2.452915 1.080213 -2.056651
-2.515938 1.089312 -1.770907
-2.897256 1.056825 0.3068753
-2.242655 1.095681 -1.699865
-1.934702 1.058053 2.307753
-2.504494 1.001492 0.162769
-2.552216 0.9674626 -2.016718
-2.10775 0.9938983 -1.171555
-2.105873 0.9701158 -0.3486249
-2.128364 0.9883684 -1.309311
-2.026884 1.019177 0.8520613
-2.080492 0.9641438 0.3401254
-2.010207 1.032231 -0.9210492
-1.723778 1.00423 -1.522757
-1.951811 0.9802568 -0.4270261
-1.90713 1.003024 -1.577105
-1.913297 0.9560817 -0.5675695
-2.177232 0.99676 0.7367244
-2.11242 1.049634 -2.402885
-2.199601 1.018666 -1.392791
-2.124843 1.033511 -1.404754
-2.03777 1.047586 -2.005577
-2.121118 1.026082 -1.564495
-2.682046 1.01186 -0.01937355
-2.247614 0.9595769 -0.9977193
-1.954641 0.9974691 -0.4459243
-2.497916 1.011328 -2.444617
-1.713556 0.9822885 -2.275003
-2.177785 1.005076 -0.1171204
-2.333638 1.036152 0.02727301
-2.006133 0.9961551 -1.447179
-2.185318 0.9817407 0.2648201
-2.377571 0.9504005 -0.5422948
-1.723121 0.950512 -2.669976
-1.925241 0.9947688 -0.5503701
-1.932991 1.009125 1.768018
-2.067169 0.9762507 -0.1139311
-1.945245 1.006146 -0.4833292
-1.89379 1.068745 0.2489695
-2.085839 1.030343 -1.73985
-2.014819 1.053151 -1.832475
-2.465169 1.096743 -2.396696
-1.973673 1.081799 -0.4947908
-2.11627 1.082065 -2.154558
-2.709348 1.085048 -1.386214
-2.066613 1.090517 0.5140292
-2.208533 1.113598 -1.679095
-1.766417 1.11151 -2.318029
-2.364464 1.122309 -1.866658
-2.324509 1.101116 -2.09338
-2.015933 1.121488 -1.413636
-2.177926 1.10478 -1.759461
-2.059572 1.085256 -2.16559
-2.596044 1.040531 -2.271308
-2.26951 1.039311 -1.434509
-2.456822 1.072197 -0.7905037
-1.9699 1.056221 -1.484484
-2.164024 0.9926266 -0.995318
-2.186244 0.998518 -0.02370354
-2.269695 0.9732857 -2.156334
-1.979362 0.9934863 -1.980674
-1.987099 1.024779 -2.133894
-1.749059 1.021293 -1.29283
-2.128251 0.9992031 -0.6955013
-2.797585 1.008961 0.6686113
-2.628109 0.9752924 -1.770937
-2.457042 0.980639 0.09038963
-1.93829 0.9642975 -1.040488
-2.440771 0.9904856 0.6845549
-2.334712 1.021549 -0.256454
-2.142439 1.053785 1.081674
-2.058565 1.079853 0.08827267
-2.026685 1.085172 -0.1318822
-1.835141 1.086137 0.430138
-2.220035 1.073227 -1.220228
-1.872313 1.112145 0.3335652
-2.062441 1.066216 -1.906055
-2.005894 1.054452 -0.3339887
-1.920953 1.017083 -1.810493
-1.891105 1.045034 -1.721172
-1.673912 1.058376 1.188445
-2.195568 1.041079 -0.3160177
-1.593277 1.045782 -2.182639
-2.061485 1.042813 0.5985663
-1.934251 1.059802 -2.06226
-1.966141 1.004429 -1.394776
-1.655998 0.9959723 -0.8506335
-2.153638 0.9710809 -2.064064
-2.221987 1.007266 -2.986651
-2.323917 0.9968804 -0.9062037
-2.445663 1.058493 -0.03804581
-2.404167 1.015912 -2.230877
-2.082212 1.050395 1.016301
-1.906706 1.035344 -1.228115
-2.243645 1.066174 -0.9389234
-2.135013 1.082602 -0.2768382
-2.119837 1.050079 1.123034
-2.474643 1.022728 0.213944
-2.48144 0.9838922 0.1346217
-2.373205 1.007168 1.551948
-2.112157 0.9911691 0.1888435
-1.873699 1.036607 -0.8913115
-1.944448 1.00618 -0.175673
-2.316103 1.065865 -2.476417
-2.419774 1.028481 -0.6718064
-2.660951 1.063307 0.1672481
-2.424703 1.0949 -0.9886443
-2.256529 1.044544 -1.308872
-2.366815 1.030961 -3.822999
-2.44162 1.027099 -0.9975056
-2.64222 1.081913 -1.844451
-2.44631 1.078844 -1.873937
-2.097349 1.051036 -0.2565863
-1.995021 1.071934 -0.5412994
-2.338468 1.069557 -0.2949339
-1.848764 1.106122 -1.247893
-1.90456 1.138152 1.177554
-2.165159 1.080433 -2.823206
-2.324416 1.029606 -0.4445601
-2.256475 1.015508 -0.3515473
-2.288714 1.003978 -1.628799
-2.095402 0.9922145 -0.5324322
-1.678368 1.057011 -1.113654
-1.588017 1.045018 0.6398761
-2.249295 1.060514 1.540328
-2.016583 1.059822 -1.329368
-2.156368 1.026815 -1.288359
-2.115869 1.052198 -1.544613
-2.508281 0.992604 1.04462
-2.567153 0.9504255 -0.4880321
-2.197137 1.041409 0.08329764
-1.903097 0.9757341 1.81264
-2.225371 1.030432 -0.1802074
-2.345062 1.102234 -1.418587
-2.297726 1.059072 0.456702
-2.245313 1.028294 -1.639735
-2.437577 1.044326 -1.277471
-2.187052 1.029372 -0.4897904
-2.437913 0.9843935 -0.2505683
-1.656837 0.9731605 -0.2682127
-2.012433 0.9361979 -1.512696
-1.988376 0.9517165 0.1999245
-2.172651 1.007072 -1.676245
-2.202844 0.9879953 0.2487703
-2.073288 1.048198 -2.328911
-1.524899 1.073136 -1.001123
-2.263663 1.011345 -0.7105675
-2.291655 0.9873141 -0.2923156
-2.122001 0.9954126 -1.069784
-1.964088 1.054195 -1.697076
-2.063186 1.094798 -1.592897
-2.152326 1.059593 2.677885
-2.425417 1.046993 -2.114209
-2.433871 1.033373 0.2575954
-2.531378 0.9767716 1.770158
-2.157112 0.9859251 -2.14777
-2.165067 0.9937032 -0.4903079
-1.72544 0.9702939 -1.194531
-1.753441 1.001117 0.4848544
-2.073469 0.9934981 -1.183108
-1.953133 0.9768399 -0.9421799
-1.995612 1.040277 0.170768
-1.923808 1.071222 -2.126288
-1.931557 1.048925 -1.767078
-2.215415 1.102474 1.636853
-2.532522 1.065211 -0.5986993
-2.224648 1.029257 -0.5870074
-2.061685 1.056125 1.675113
-1.836458 1.05508 -2.704951
-1.975263 1.002418 -1.346575
-2.368878 0.9199082 -0.2809085
-2.489096 0.9279297 -0.8577615
-2.08548 0.9553827 -2.413079
-2.170987 0.9820869 -2.568221
-2.163325 0.9861362 -0.8745691
-2.154763 0.9328139 -1.582693
-1.940806 0.86842 0.3334515
-1.877155 0.9061318 1.023048
-1.701797 0.8739694 -1.10077
-1.808027 1.036367 -0.05580243
-1.929304 1.023267 0.2145647
-2.041715 1.071733 -0.6186564
-1.882249 1.061432 -0.5392528
-1.975757 1.099473 0.123977
-2.079601 1.022099 -0.4700709
-2.248684 1.003708 -2.409719
-2.016744 1.046063 -0.7521919
-2.053101 1.052816 -0.6028687
-2.221894 1.072791 -1.263233
-1.796035 1.070455 2.691544
-1.877493 1.073484 -1.230709
-2.589407 1.107735 0.1692672
-2.227292 1.063678 0.1091835
-1.867842 1.037464 -1.640532
-1.787853 1.079581 -0.389908
-1.891862 1.067494 -0.7661094
-2.308583 1.057201 -1.290497
-2.180301 0.9992211 -0.7151005
-2.066583 1.022249 -0.09578347
-2.197325 0.9796444 -1.27729
-1.887953 1.030485 -2.353212
-2.149473 0.9382479 3.239958
-1.864106 0.9570167 -1.751475
-1.789555 0.942061 -1.914643
-2.05847 0.9498599 -3.595779
-1.976224 0.8955722 -0.864782
-1.890173 0.920014 -1.602948
-1.80328 0.9817221 -2.08744
-1.62871 0.9722279 -0.02553263
-2.041012 0.972556 -0.2266633
-2.183657 0.9215916 -0.5517085
-1.825199 0.9467849 -2.778041
-2.001626 0.9756687 -2.405901
-2.006777 1.054094 -1.464538
-1.98464 1.024294 1.20178
-1.847786 0.973423 -0.7917806
-1.792655 1.002083 -0.08674894
-1.743208 0.962243 -1.59794
-2.137451 1.045745 -1.437189
-2.132365 1.07869 -0.8625892
-2.541553 1.059699 0.8105538
-2.881588 0.9821048 1.086551
-2.552377 0.9959662 -2.055968
-2.230631 1.039459 0.9860055
-1.857059 1.044802 1.252964
-2.156749 1.033737 1.918661
-2.108289 0.9718532 0.1527548
-1.759415 1.055549 -1.09639
-1.866096 1.017604 -2.042856
-1.814941 1.019716 -0.9129983
-2.361145 0.9799475 -0.2575755
-2.278419 1.005626 1.509353
-1.789566 1.026407 0.03272056
-1.895633 0.9684528 -1.177848
-2.112239 0.9232281 -1.015448
-1.986703 0.9579952 -1.339574
-2.251076 1.076721 -2.48819
-2.382086 1.14121 -1.480795
-2.081311 1.072671 -1.801535
-2.291047 1.002811 -0.878442
-2.2225 1.021017 -1.648062
-2.130139 1.003868 -0.7434372
-2.172673 0.9780292 -1.905398
-2.358591 1.059391 0.1509611
-2.184028 1.034029 0.5408843
-2.248971 1.039528 -0.9740859
-2.075752 1.039634 -1.279871
-2.123594 1.085237 -0.261504
-2.066538 1.063983 -0.8567751
-2.204595 1.075382 -1.328291
-2.263777 1.02233 0.858976
-2.344682 1.034064 -1.797263
-2.59043 1.020222 -0.7934424
-2.15372 0.9786852 1.762547
-1.953966 0.9670712 0.1646562
-1.997262 0.9273284 -1.809009
-1.89949 0.8749191 1.938548
-1.834834 0.9138107 -0.7778648
-2.031904 0.9069299 1.387687
-2.214367 0.8855589 -1.146365
-1.849779 0.9122173 -0.8926447
-1.766942 0.9331178 -1.599497
-1.569431 0.941295 0.8901942
-1.916817 0.9441566 -1.417968
-2.277003 0.996301 0.563005
-2.219715 1.038443 -1.440218
-2.858548 1.076347 -2.432533
-2.606202 1.066195 -0.7194369
-2.362375 1.074832 -0.2357752
-2.585353 1.047827 -1.894288
-2.368659 1.039909 -1.301607
-2.008583 1.029835 -2.235345
-2.195295 1.030166 -0.3021787
-2.620751 1.022475 -4.222564
-1.971103 1.038768 1.157818
-2.185603 1.090621 -0.3436514
-2.048552 0.9659609 -1.379602
-1.981694 0.9823218 -1.750259
-1.894283 0.9621146 -0.005224978
-2.197368 0.9706544 -1.541853
-1.781291 0.9950073 -2.359327
-2.307742 0.9963875 -0.6740975
-2.207804 1.026839 -0.8642521
-2.167635 1.036582 -2.098123
-2.118602 1.067207 0.9931921
-1.699893 1.064242 0.3705469
-2.220242 1.011874 2.929712
-2.439987 1.031875 0.6603751
-1.898984 1.067325 -1.792858
-2.126365 1.04592 -0.7395187
-2.127948 1.086219 2.188497
-2.110011 1.072705 1.781176
-2.157356 1.04474 1.594826
-2.242306 1.057608 -1.765539
-1.955655 0.9878549 -0.2664239
-2.101997 1.029844 -1.55121
-2.328667 1.032949 -1.420746
-2.001843 0.9795651 -0.9455375
-2.102631 0.9717046 -1.773286
-2.334514 1.078068 -0.1656394
-2.572983 1.044764 -1.081556
-2.086318 1.023585 -0.8269354
-2.201387 0.9749243 -1.137009
-2.223458 0.9679693 -1.576079
-2.026308 0.9439681 0.1396897
-2.18083 0.9754667 -2.022576
-1.291019 0.9738414 -1.822576
-2.048468 0.9898794 0.01201162
-2.153648 1.014499 2.468293
-2.535123 0.9996545 -1.483113
-2.401921 1.034284 -0.5191217
-2.369743 1.027014 -0.09628733
-2.426475 1.054236 -1.029076
-2.427872 1.012567 0.07141947
-2.376942 1.024238 -1.716977
-2.107191 0.9536034 -1.40743
-2.123398 1.014939 -1.204888
-1.996771 0.9935371 -1.297626
-2.098791 1.081894 -1.136465
-2.325378 1.142602 -0.9560629
-1.996463 1.122834 -2.031939
-1.994233 1.08216 0.8946536
-1.816337 0.9899738 -2.073531
-1.980533 1.015333 -0.8854113
-2.095066 1.009709 -1.362951
-2.145954 0.999988 -0.2080706
-2.11965 0.9696696 -1.825782
-2.22318 1.024207 -0.3634116
-1.96646 1.004951 -1.418832
-2.184073 0.9534042 0.3271466
-2.129137 1.032061 -1.190821
-1.928491 0.9857046 0.07033984
-1.808938 0.9876271 -0.7966244
-1.984728 1.036852 -0.9646847
-2.00884 1.06313 1.215456
-2.141014 1.073043 -0.5730704
-1.916832 1.033375 -1.026225
-2.183517 1.002765 0.2768037
-2.275229 1.043566 -0.5783031
-2.317288 1.071458 -2.141141
-1.953741 0.9863141 -1.190036
-2.232733 1.046564 -2.221565
-2.31526 1.026172 -1.648762
-2.125325 1.006866 -1.055326
-1.984836 1.032574 -1.555449
-2.196484 1.03631 0.09647675
-1.980512 1.022813 0.06146938
-2.020447 1.055482 -1.029783
-1.932171 1.040637 0.0391588
-1.989687 0.9861414 -2.64971
-1.88334 1.049294 -1.275221
-2.196594 1.014903 1.681425
-2.106926 0.9799256 -0.325236
-2.07358 1.004387 -2.084381
-1.912961 1.028265 -0.6680976
-1.757034 1.016706 2.015174
-2.344236 1.063649 -1.594817
-2.001643 1.058873 -1.536413
-2.646149 1.024973 -2.97919
-2.264189 1.061589 -1.762528
-2.546302 1.016956 0.3267935
-2.671029 1.080244 -0.1064975
-2.200361 1.131061 2.389446
-2.187504 1.126481 -1.394898
-2.319796 1.12692 -0.7430762
-2.423585 1.130564 1.635957
-2.121829 1.03292 -1.043163
-1.900299 1.0406 -0.5719153
-2.075126 1.015751 -0.6116146
-1.690794 1.040772 -1.415834
-2.199917 1.040174 -1.080072
-1.752261 0.9726939 4.949458
-2.259583 0.9563614 -1.549285
-2.192074 0.9212174 -1.129997
-1.461827 0.9198666 -0.2008492
-1.905426 1.015369 -1.251413
-2.250746 1.018393 -1.085228
-2.158751 1.025912 -1.088285
-2.190819 1.005725 -0.3399587
-1.921643 1.037696 -1.245174
-2.295845 1.073296 -2.490941
-2.518636 1.041623 1.769334
-2.830643 1.101777 -1.319036
-1.697767 1.10384 2.086941
-1.660139 1.076754 -0.8731127
-2.068772 1.060262 -0.3465374
-2.20453 1.084686 0.06228083
-2.260606 1.034404 -0.9643829
-2.337115 1.084095 2.455742
-2.126029 1.037267 -2.279752
-1.541885 1.086925 -0.006575239
-1.584399 0.9965524 1.743213
-1.652367 0.973903 -0.4426231
-2.254906 0.9669478 -2.232147
-2.046092 0.925771 -0.1661843
-1.93937 0.9504787 -1.238961
-2.30146 0.9574476 -0.5346134
-2.653788 1.00215 -0.716029
-2.55089 0.989704 -1.768444
-2.651275 0.9867407 0.3880283
-2.1688 0.9459308 -0.5450388
-2.206031 0.8899072 -0.7907454
-2.006575 1.026969 -1.402768
-2.166433 1.02067 -1.484001
-1.990577 0.9413327 0.1707909
-1.992249 0.991367 -0.4852387
-1.865463 1.067642 -1.644725
-2.123466 1.082544 -1.542286
-2.024085 1.081099 -2.719441
-1.887453 1.115205 1.260623
-2.271082 1.085458 -0.8872063
-2.187649 1.083605 -0.298705
-1.997627 1.037307 -0.3197901
-1.938626 1.027409 -2.260046
-2.059793 1.059813 -1.717757
-2.106217 1.074584 -3.400219
-2.328383 1.004889 -1.987686
-2.050015 0.9881813 -2.138497
-1.547915 1.042416 -1.658626
-2.503452 1.060286 1.267406
-2.219305 1.022795 -2.133192
-1.844161 0.9984572 -0.4689239
-2.471203 1.028783 -1.550885
-2.290361 1.043031 -1.854076
-2.159977 1.068448 -2.065171
-2.394454 1.044872 -2.006089
-1.970462 0.9961996 -2.419966
-1.918906 0.9280289 -2.021613
-2.522085 0.9539094 0.4230492
-2.313724 1.05122 -1.108909
-2.414105 0.9197204 0.2909139
-2.021999 0.9687222 1.814461
-1.892877 0.9786803 -1.747574
-1.852109 1.024895 -0.7827141
-2.31119 0.988695 -1.267498
-2.190511 1.010914 1.076219
-2.318673 1.020959 0.6584572
-2.169868 1.052594 -1.68535
-2.1105 1.034556 -2.106105
-1.813179 1.042075 -1.960766
-1.69927 0.9808748 0.545563
-1.959902 1.033397 -1.559833
-2.026525 1.066886 0.7655082
-1.957883 0.9835425 0.3509087
-1.805432 0.9431014 0.03357087
-1.689099 0.9794918 -1.130994
-1.964078 1.055277 -1.603063
-2.154995 1.004157 0.2512351
-1.993519 1.019447 -0.4051546
-2.473026 1.020301 -0.4003727
-2.121127 0.9612706 -0.4100697
-1.782231 1.018411 -1.942973
-2.029698 1.042343 -0.01506448
-2.573917 1.01211 2.342682
-2.365534 1.049296 1.947579
-2.265998 1.038283 -1.943711
-2.032094 1.062495 -1.672011
-2.311 1.069803 -3.043076
-1.857328 1.08483 -0.4566744
-2.577128 1.094779 -1.062261
-2.601199 1.090635 0.930437
-2.624682 1.118409 0.04347053
-1.987716 1.011969 0.7469416
-2.110663 0.9889424 -1.229082
-1.891022 0.988404 0.2710358
-1.913621 1.055728 3.316231
-1.811234 1.113452 0.9971022
-2.187045 1.144327 0.09885858
-2.358887 1.089063 -1.57311
-2.070515 1.14756 -2.005957
-2.151693 1.150304 -2.075764
-1.776544 1.110107 -1.118909
