"u.bar" "t.bar"
1.044634 1.073345
1.050908 1.058649
1.026981 1.146067
1.001048 1.146619
1.003604 1.191209
1.006032 1.168623
1.061545 1.073944
1.022819 1.062962
1.001426 1.062058
1.03236 1.052069
1.030068 1.111584
1.011934 1.127512
1.013213 1.117259
0.9956057 1.048023
1.00087 1.033794
1.016893 1.073211
0.9871054 1.074778
1.004972 1.07177
0.9813821 1.044047
0.9900067 1.136657
1.006154 1.142638
1.004763 1.147454
0.9749159 1.117273
1.004751 1.117666
0.9762737 1.071761
0.9863975 1.058538
1.051823 1.054557
0.9754414 1.034134
0.9852632 1.052096
1.003273 1.137689
1.021548 1.084832
1.039993 1.162596
0.9669768 1.162758
1.004842 1.063984
1.026801 1.149593
0.9978688 1.173147
0.9337809 1.188236
0.9616978 1.171038
0.9875388 1.150546
0.958469 1.173619
0.9900829 1.134992
1.045681 1.153461
0.9710478 1.157631
1.001871 1.136238
0.9597474 1.131915
1.025798 1.132407
1.001462 1.180585
0.9809694 1.142385
1.032512 1.09943
0.9886125 1.146992
0.985871 1.180891
0.9851491 1.139256
1.025713 1.090274
1.005255 1.00147
1.029552 1.009735
1.004382 1.08773
1.019739 1.046411
1.009531 1.020955
1.027745 0.9781967
1.03938 1.019665
0.9832097 1.036468
0.9781903 1.001573
1.003434 1.003304
0.9915595 0.9931215
0.9962537 1.047504
1.036298 1.049655
1.009543 1.03172
1.000633 1.083238
0.9666669 1.169644
1.007468 1.091322
1.047003 1.132199
1.009283 1.05393
1.023135 1.091558
0.981476 1.097858
1.002297 1.078951
0.9833046 1.037698
1.002465 1.077066
0.9983597 1.104656
1.005852 1.05291
1.014078 1.032758
0.9868843 1.05384
0.9966581 1.121521
1.009856 1.03519
0.9852672 1.086549
0.9946086 1.090409
0.9938045 1.071766
1.006383 1.072291
1.036133 1.06957
0.9726041 1.139076
0.9776598 1.14848
1.015956 1.164936
0.9916119 1.182935
1.004949 1.171787
1.002822 1.09669
1.00055 1.06228
1.039968 1.051163
1.014578 1.051649
1.055411 1.11331
0.9728072 1.133377
0.9941953 1.101022
1.044735 1.075311
0.9938825 1.026902
1.0248 1.008616
0.9805442 1.022473
1.082045 1.061285
0.9726723 1.056319
1.050577 1.049409
0.9930788 1.077735
1.004648 1.071122
1.003423 1.088053
0.9714218 1.065906
1.029512 1.077664
1.015955 1.055526
1.007746 1.052937
0.9775623 1.039464
1.027744 1.096836
0.9823147 1.064765
0.9851076 1.028111
1.000904 1.061389
1.00717 1.065655
0.9615463 1.054844
0.9837984 1.067977
1.028708 1.053362
1.0508 1.057769
1.0047 1.112245
0.978057 1.127089
0.964511 1.076496
0.9904255 1.128927
0.999294 1.153784
0.9704766 1.119401
1.009498 1.132829
0.9253886 1.083382
1.007089 1.144283
1.014493 1.109127
1.002037 1.063836
0.9989945 1.062542
0.9526619 1.072846
0.983646 1.048978
1.006663 1.079624
0.9823078 1.072106
1.023825 1.100606
1.027399 1.049749
0.993839 1.037163
1.043297 1.111104
1.007387 1.14604
1.007226 1.121048
1.014717 1.026396
0.9989899 1.058401
0.9844212 1.052281
0.9541232 1.077419
0.9865566 1.112906
1.009188 1.128209
0.9670562 1.104968
1.005177 1.192914
0.9649206 1.127944
0.9793704 1.134148
1.013965 1.110517
1.000386 1.131939
0.9935902 1.171717
1.012094 1.109132
0.9798831 1.193912
1.013187 1.143035
0.9834509 1.094297
1.019848 1.109408
0.9785935 1.247184
0.9742491 1.164203
0.9931551 1.119296
1.002579 1.053556
1.005341 1.087027
1.005576 1.073558
0.9422403 1.098265
0.9717678 1.115562
1.012008 1.083444
1.011374 1.098281
0.9651899 1.111693
1.019607 1.143687
0.9794168 1.17962
1.033914 1.101982
1.015226 1.106477
0.9842839 1.112594
1.001621 1.074099
0.9953473 1.101831
1.012381 1.158824
