"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-24.16192 -4.402597 0.03806777 3.979439 -10.02309 -4.999684
-24.55401 -4.444796 0.07401719 3.976411 -10.43275 -5.229255
-23.48941 -5.01033 -0.01395735 3.983863 -10.22277 -5.187954
-24.73444 -4.056802 0.06242209 3.977714 -10.23597 -5.022784
-24.30458 -4.238327 -0.04195209 3.957249 -10.17478 -4.969734
-24.60171 -4.479468 -0.006961554 3.954785 -10.17467 -5.094616
-23.69947 -4.549489 -0.01136732 3.969941 -9.948322 -4.954081
-23.97385 -4.422054 -0.05014892 3.996329 -10.06496 -4.789072
-24.82599 -3.28621 0.01022951 3.99979 -10.36854 -4.994696
-25.67935 -4.354026 -0.08854868 3.964817 -10.09223 -5.152674
-24.29767 -5.449229 0.0398134 3.959644 -10.33975 -4.924507
-25.18731 -4.431117 -0.0185884 3.963906 -10.09411 -4.93229
-24.98979 -4.380434 -0.1064108 3.988489 -10.06757 -5.171031
-24.20792 -4.915473 -0.006457402 3.977332 -10.5333 -4.92923
-24.5095 -4.123854 0.01666342 3.957569 -10.39355 -4.94115
-24.40858 -4.418493 -0.01724098 3.988749 -10.20571 -4.817088
-24.3523 -5.14096 0.06276378 3.938054 -10.69482 -5.016703
-24.26312 -4.718834 -0.04900026 3.982923 -9.997916 -4.970744
-24.15502 -4.586757 0.05505982 3.982639 -10.02679 -5.220679
-24.29139 -4.697327 -0.05169624 3.997599 -9.904682 -4.951636
-24.98757 -3.654763 0.008921358 3.985135 -10.13021 -5.011912
-24.38394 -4.173621 -0.0005655653 3.98007 -10.13164 -5.264737
-24.8424 -4.90258 -0.03755457 3.978922 -10.0052 -5.094964
-24.58559 -4.308074 0.01411935 3.989386 -10.21485 -5.107789
-25.47604 -4.67896 -0.01294745 3.973303 -10.04149 -5.044649
-24.00258 -4.179905 -0.02051188 3.982361 -9.910817 -5.042608
-25.09101 -5.153476 0.0591552 3.94834 -10.16644 -5.114672
-24.11894 -4.608329 -0.03423796 4.001153 -10.05454 -4.995489
-24.48945 -4.582936 0.05495016 3.975021 -10.23148 -4.896805
-24.25022 -4.190259 0.01833086 3.966981 -10.31431 -5.049494
-24.57986 -4.106595 0.03808816 3.987043 -10.44587 -5.017818
-25.00607 -4.583701 -0.02295662 3.975546 -10.09891 -5.204839
-25.91656 -5.050658 0.01126486 3.967123 -10.00688 -4.852481
-24.25442 -4.549933 0.002883526 3.972308 -10.53213 -5.161913
-24.53997 -5.538368 0.02648522 3.980339 -10.27249 -5.120404
-24.29172 -4.859558 0.09631782 3.973103 -10.21592 -5.148957
-25.2406 -4.386771 0.0548234 3.981043 -10.12505 -5.004241
-23.91207 -4.372104 0.103586 3.992811 -10.60811 -4.933072
-24.19047 -4.286086 -0.04394119 3.96556 -10.5506 -5.009931
-23.96958 -3.94812 -0.008405964 3.968283 -10.68524 -5.080463
-24.21763 -4.850034 0.009369765 3.9493 -10.45352 -4.989097
-25.13351 -3.734376 0.05824813 3.971415 -10.40542 -4.79358
-24.13715 -4.632322 0.0002237413 3.973248 -10.15352 -4.911144
-25.39642 -4.902526 0.00845606 3.962661 -10.06856 -4.930989
-24.9409 -4.818395 0.1750643 3.965753 -10.53492 -4.928042
-24.56328 -4.378407 0.006298214 3.967576 -9.987902 -4.993032
-23.8786 -4.768438 0.02374843 3.989646 -10.14467 -5.052845
-25.34506 -4.419359 0.08721549 3.985042 -10.4816 -5.119311
-24.56073 -4.997275 0.01205378 3.979979 -10.70368 -5.071207
-24.45185 -4.912566 -0.0644817 3.971659 -10.54938 -4.999677
-24.79602 -4.841537 0.0531501 3.979043 -10.75696 -5.068375
-24.75861 -5.126921 0.05164977 3.981938 -10.17656 -4.956863
-24.28015 -4.994525 -0.009999187 3.963636 -10.30494 -4.898831
-24.54633 -3.927863 0.0343066 3.988893 -9.964141 -4.991909
-24.53266 -5.258608 -0.02397061 3.95993 -10.15129 -4.962661
-23.8878 -4.066685 -0.05864513 3.976972 -10.36784 -4.810285
-23.57567 -3.912453 -0.009155058 3.982983 -10.07519 -5.013563
-24.10808 -4.624929 0.09251261 3.956728 -10.19374 -4.864808
