"p_1" "p_2"
0.7922144 0.2077856
0.7848003 0.2151997
0.7862346 0.2137654
0.7922537 0.2077463
0.7873622 0.2126378
0.7909027 0.2090973
0.7775242 0.2224758
0.7927087 0.2072913
0.7882129 0.2117871
0.7982495 0.2017505
0.7899128 0.2100872
0.745253 0.254747
0.8017792 0.1982208
0.7843455 0.2156545
0.8024777 0.1975223
0.7829728 0.2170272
0.7664693 0.2335307
0.7695242 0.2304758
0.8018706 0.1981294
0.800049 0.199951
0.7864089 0.2135911
0.7679436 0.2320564
0.7700216 0.2299784
0.8113735 0.1886265
0.7899642 0.2100358
0.795459 0.204541
0.791566 0.208434
0.7940162 0.2059838
0.7795742 0.2204258
0.7714373 0.2285627
0.7883092 0.2116908
0.7724542 0.2275458
0.7767242 0.2232758
0.79405 0.20595
0.7701316 0.2298684
0.7757848 0.2242152
0.7725739 0.2274261
0.7962671 0.2037329
0.7777882 0.2222118
0.7732272 0.2267728
0.7713509 0.2286491
0.7694647 0.2305353
0.7781406 0.2218594
0.8060484 0.1939516
0.790201 0.209799
0.7859925 0.2140075
0.7801638 0.2198362
0.7752793 0.2247207
0.7782961 0.2217039
0.7649203 0.2350797
0.7769497 0.2230503
0.7990513 0.2009487
0.7884375 0.2115625
0.7916705 0.2083295
0.7765352 0.2234648
0.7951177 0.2048823
0.8005712 0.1994288
0.7833105 0.2166895
0.7593215 0.2406785
0.7569725 0.2430275
0.7614542 0.2385458
0.7839876 0.2160124
0.779454 0.220546
0.7760038 0.2239962
0.784861 0.215139
0.7861134 0.2138866
0.7570365 0.2429635
0.7524126 0.2475874
0.7688692 0.2311308
0.7762037 0.2237963
0.7839905 0.2160095
0.7781999 0.2218001
0.8009095 0.1990905
0.8075324 0.1924676
0.8028694 0.1971306
0.7781053 0.2218947
0.7986358 0.2013642
0.7753372 0.2246628
0.772021 0.227979
0.7603285 0.2396715
0.764841 0.235159
0.7857468 0.2142532
0.7888563 0.2111437
0.7840545 0.2159455
0.7967336 0.2032664
0.7848393 0.2151607
0.798635 0.201365
0.7582391 0.2417609
0.8008915 0.1991085
0.7791505 0.2208495
0.7675342 0.2324658
0.7625508 0.2374492
0.7821451 0.2178549
0.7660236 0.2339764
0.7764661 0.2235339
0.7908973 0.2091027
0.7572589 0.2427411
0.7800534 0.2199466
0.7936028 0.2063972
0.7995318 0.2004682
