"u.bar" "t.bar"
1.016339 4.320503
1.03739 3.1673
0.9884977 3.124468
0.9036044 2.959851
0.9650865 3.139803
0.9414453 2.727615
0.9059415 3.452104
0.9168023 3.238655
0.9198225 3.34811
0.9718829 2.537907
0.9516334 3.258741
1.032702 2.985345
0.9568346 1.613687
0.9350152 1.540362
0.9322304 1.430356
0.9015619 1.403957
0.9746426 1.424799
0.9967716 1.414479
0.9687655 1.389135
0.9573421 1.382132
1.012204 1.318987
0.9443357 1.29319
1.055871 1.328949
0.9507043 1.377504
1.005146 1.358353
1.034573 1.282281
0.9402505 1.284644
0.9921431 1.280859
1.011547 1.262797
0.9979284 1.256329
1.047658 1.235295
1.023409 1.199188
1.04673 1.190642
0.9836146 1.234505
0.978826 1.222859
0.9838517 1.258941
0.9721238 1.287631
0.9307171 1.249109
0.9745275 1.229017
0.9972427 1.286098
1.037417 1.244387
1.007437 1.265245
1.014574 1.275831
1.068526 1.301135
1.061547 1.338964
0.9804222 1.326995
0.9787191 1.389067
0.9615971 1.293858
0.9788259 1.23656
0.9912009 1.284695
0.989642 1.293983
1.009528 1.267302
1.018845 1.287483
0.9918974 1.256495
0.9843432 1.271142
0.9877954 1.293405
0.9746732 1.2651
0.9499392 1.207568
1.005911 1.201114
1.019633 1.163858
1.029479 1.206922
1.02 1.24932
1.009582 1.179638
1.002663 1.179205
0.973821 1.243422
1.006686 1.213058
1.014985 1.176246
0.9760353 1.221198
0.9758378 1.144396
1.037668 1.103698
1.028466 1.160514
0.9911436 1.183428
1.028822 1.20456
1.024332 1.177886
1.021449 1.168487
0.952171 1.188986
0.9738305 1.224736
1.006953 1.18435
0.9555563 1.144513
0.9994664 1.192038
0.9689434 1.203442
1.029937 1.235951
0.9577203 1.240682
0.9877155 1.240747
1.019515 1.22873
1.006886 1.197009
0.9976137 1.267177
0.9504489 1.294622
0.971867 1.252487
1.01353 1.235063
1.013993 1.23403
1.000939 1.194416
0.9763042 1.198952
1.002492 1.173349
1.004933 1.154016
1.054356 1.148246
0.9714768 1.170324
1.041248 1.142319
1.01764 1.154036
0.9944743 1.188153
1.058334 1.158529
1.05651 1.119894
1.003866 1.143074
1.043091 1.130895
0.9899849 1.175419
1.02212 1.192928
0.9676544 1.159332
1.027281 1.186486
0.9828774 1.18427
1.0089 1.16525
0.9957582 1.179102
1.063527 1.138014
1.0387 1.142711
1.017143 1.173904
0.9484314 1.143033
1.011434 1.136535
0.983196 1.17212
1.029092 1.126482
0.9912878 1.11727
1.004878 1.128586
1.010058 1.133103
1.020978 1.147104
1.034414 1.162701
0.9727085 1.171846
1.037218 1.26165
0.9734624 1.226696
0.9584806 1.27936
0.9793315 1.273982
0.9817106 1.235416
0.9700079 1.190055
0.9523749 1.149646
0.9746669 1.166636
1.029556 1.149883
0.9896561 1.133767
1.011156 1.106704
1.027562 1.051244
1.044756 1.086446
0.9900714 1.0573
1.016218 1.072304
0.9983097 1.101408
1.021233 1.094878
1.029596 1.117841
0.9752228 1.162357
1.005593 1.155562
1.009339 1.126529
1.013703 1.116625
1.000153 1.130188
0.9697128 1.131594
1.069804 1.08525
1.02361 1.148321
1.005629 1.102811
0.9768199 1.13906
1.006727 1.181319
1.006973 1.176986
0.9909306 1.166873
1.031164 1.174993
0.9940255 1.181127
0.9958843 1.203567
1.054155 1.149209
0.9492292 1.230558
0.9913953 1.235636
1.023709 1.199022
0.982258 1.182343
1.005699 1.169672
0.9620985 1.195824
0.9780931 1.209141
0.9844404 1.190691
0.9710141 1.220809
1.037421 1.178609
0.9762651 1.134234
0.9795965 1.13373
0.9940563 1.154576
1.00292 1.16792
1.008208 1.142951
0.9939882 1.151882
1.002586 1.119888
1.028046 1.157148
0.9946853 1.174881
0.9838064 1.156766
1.019163 1.217523
0.9791966 1.222217
1.037322 1.210426
0.9659783 1.172447
0.9880322 1.181685
0.99386 1.195978
1.015405 1.216036
1.060836 1.19054
1.021627 1.135416
0.9974509 1.124254
0.9765798 1.136608
0.9881074 1.127383
1.015252 1.140937
1.010105 1.154671
0.9736673 1.078638
1.034795 1.113201
0.994959 1.113732
1.016814 1.119716
1.033903 1.142122
1.00198 1.111446
1.044536 1.107997
