Delta_1 Delta_2 Delta_3 
0.9358603 -2.705423 -2.27991 
0.5146043 -3.461726 -2.273689 
0.4015426 -3.674734 -1.752728 
0.9023024 -4.965942 -1.542327 
0.5510569 -4.532865 -1.306509 
1.270004 -3.797319 -1.767404 
0.5711504 -4.583141 -1.110629 
1.112924 -3.683438 -1.360643 
0.6763123 -3.771511 -0.8676705 
0.5571671 -4.110492 -1.357933 
1.162866 -3.12242 -1.231782 
0.920559 -4.841828 -1.592555 
0.2538564 -4.50338 -0.738792 
0.5509599 -4.838139 -1.317099 
0.6136711 -5.43836 -1.42147 
0.525183 -5.519693 -2.230418 
-0.4190057 -3.771675 -1.641365 
0.4194447 -3.753683 -2.040171 
0.5706025 -5.283941 -1.73963 
0.5502429 -5.367995 -1.355726 
0.4754521 -3.420431 -1.167993 
0.5491358 -3.52931 -1.268732 
0.02773187 -3.305899 -1.103373 
0.4608543 -2.279647 -2.184037 
0.3495447 -2.870491 -0.9757042 
0.7540749 -2.538899 -1.364536 
0.258072 -2.728778 -1.373652 
0.6866635 -2.670106 -1.773971 
0.6112234 -2.522714 -1.863466 
0.5008956 -4.381463 -2.047852 
0.7655963 -6.015366 -1.760756 
0.8514157 -4.425968 -1.929473 
0.6850625 -4.073796 -1.700944 
0.826561 -2.549353 -1.662466 
0.2606678 -1.835108 -0.7547939 
0.5112764 -4.689981 -1.352535 
0.4941007 -3.969234 -1.422047 
0.4193385 -4.05347 -1.779935 
-0.2929939 -4.956797 -1.21663 
0.3134739 -3.719349 -1.628212 
0.8508042 -3.925782 -2.354863 
0.5370124 -4.48476 -1.647641 
0.7749978 -4.736573 -1.242812 
0.6258661 -4.130164 -1.267997 
0.7226438 -3.771564 -1.331919 
0.7158978 -3.753309 -1.65262 
0.5342144 -3.931314 -1.504424 
1.279921 -3.935441 -1.857396 
1.05774 -5.131445 -1.440402 
1.23301 -3.810404 -1.678989 
0.7107725 -4.500703 -1.689746 
0.2137226 -4.755628 -2.29961 
0.5311144 -4.4039 -1.008838 
0.5402722 -4.454437 -1.33536 
0.7081783 -3.458811 -1.426787 
0.4060547 -2.788265 -1.497264 
0.2723973 -3.07572 -1.231326 
0.6407701 -3.376804 -1.264022 
0.7752965 -3.798238 -1.861389 
0.6314806 -3.523427 -1.651394 
0.6064031 -3.503949 -1.993191 
0.6376818 -3.248415 -1.047393 
0.5441583 -3.211198 -1.562832 
0.2875447 -4.464868 -2.071408 
0.883848 -4.288845 -1.140116 
0.8163754 -4.045984 -1.794645 
0.4587329 -4.243052 -1.629978 
0.6776202 -3.836354 -1.803487 
0.5656677 -2.882552 -1.225926 
0.8457154 -3.973866 -0.9612578 
0.7704821 -3.851737 -2.018188 
0.6341633 -2.743484 -2.242941 
0.7056128 -2.088693 -1.840653 
0.7025454 -3.183882 -1.535864 
0.5592384 -2.953931 -1.871746 
