p_1 p_2 p_3 
0.3271971 0.4244239 0.248379 
0.2335734 0.4764391 0.2899875 
0.2613287 0.4732479 0.2654233 
0.2326689 0.3550775 0.4122536 
0.2521819 0.4318178 0.3160003 
0.2606651 0.489156 0.2501788 
0.3254859 0.383768 0.290746 
0.2907612 0.4960236 0.2132152 
0.3367941 0.3909641 0.2722418 
0.3180492 0.408093 0.2738578 
0.3479867 0.3425842 0.3094291 
0.2734752 0.3853629 0.3411619 
0.3027546 0.3983525 0.2988929 
0.3765306 0.3604015 0.2630679 
0.2651457 0.3913571 0.3434972 
0.2217963 0.4747417 0.3034621 
0.3391923 0.2754798 0.3853279 
0.2711665 0.4038805 0.324953 
0.3231219 0.4040029 0.2728752 
0.3064362 0.4101483 0.2834155 
0.3263812 0.454789 0.2188299 
0.3038853 0.3640167 0.332098 
0.3840088 0.3594772 0.256514 
0.3235805 0.3649189 0.3115006 
0.246271 0.4667653 0.2869638 
0.2515865 0.4580754 0.2903381 
0.3898509 0.3323273 0.2778217 
0.3260149 0.3908923 0.2830928 
0.2812283 0.4189298 0.299842 
0.3025628 0.3587861 0.3386512 
0.2919314 0.4059521 0.3021164 
0.3831419 0.4062553 0.2106028 
0.3666785 0.3865477 0.2467738 
0.3321729 0.4423994 0.2254276 
0.3087888 0.4340921 0.2571191 
0.3419294 0.3389559 0.3191148 
0.3340324 0.3924539 0.2735137 
0.2875758 0.3640867 0.3483375 
0.3029601 0.3641597 0.3328801 
0.2324272 0.4778535 0.2897194 
0.2750183 0.3676359 0.3573459 
0.311393 0.380026 0.308581 
0.4121775 0.3734146 0.2144079 
0.3416132 0.3954733 0.2629136 
0.2580381 0.4617587 0.2802032 
0.336377 0.3913118 0.2723112 
0.3167419 0.3523817 0.3308764 
0.3551775 0.4321321 0.2126904 
0.378807 0.4068026 0.2143905 
0.2531 0.4449664 0.3019336 
0.3501591 0.3964337 0.2534072 
0.2897932 0.3984409 0.3117658 
0.2421342 0.4630444 0.2948214 
0.3990247 0.3768049 0.2241704 
0.3099832 0.360892 0.3291248 
0.3259293 0.3912425 0.2828282 
0.3617388 0.3781839 0.2600773 
0.2969742 0.4210351 0.2819907 
0.2702863 0.4168782 0.3128355 
0.3023242 0.443413 0.2542628 
0.3312325 0.3134026 0.3553649 
0.3335048 0.4298032 0.236692 
0.3626777 0.4165751 0.2207473 
0.3077949 0.3635435 0.3286617 
0.3859953 0.3681521 0.2458526 
0.3473396 0.4303229 0.2223374 
0.3098299 0.3816761 0.308494 
0.3423532 0.4326918 0.2249549 
0.3471533 0.4022645 0.2505823 
0.3210706 0.4072472 0.2716822 
0.2993542 0.41195 0.2886958 
0.3677394 0.3846983 0.2475623 
0.2738408 0.5248847 0.2012745 
0.4275951 0.3280417 0.2443632 
0.2394544 0.491576 0.2689697 
0.3353566 0.3598362 0.3048073 
0.3312287 0.3484581 0.3203132 
0.3373655 0.3509274 0.3117071 
0.2457612 0.4597004 0.2945384 
0.2999615 0.4199073 0.2801312 
0.2416109 0.4401568 0.3182323 
0.2960143 0.451815 0.2521707 
0.2618554 0.5372396 0.200905 
0.3074679 0.4804218 0.2121104 
0.2697834 0.3387202 0.3914964 
0.3266378 0.4096957 0.2636665 
0.3628323 0.4856376 0.1515301 
0.2892176 0.4478256 0.2629568 
0.3093326 0.4306737 0.2599937 
0.2478266 0.3316666 0.4205068 
0.3260491 0.4029963 0.2709546 
0.4172776 0.3451547 0.2375677 
0.3268679 0.3828881 0.290244 
0.3139205 0.5089925 0.177087 
0.2480831 0.4772232 0.2746937 
0.3423803 0.3631508 0.2944689 
0.2390671 0.4322879 0.328645 
0.315925 0.4149868 0.2690882 
0.278443 0.3768848 0.3446723 
0.3181836 0.4548932 0.2269232 
0.2763584 0.3690772 0.3545644 
0.2811697 0.4306356 0.2881947 
0.2754135 0.4781644 0.2464222 
0.330706 0.4188426 0.2504514 
0.281874 0.3799199 0.3382061 
0.3415899 0.4155232 0.2428869 
0.3945572 0.402133 0.2033098 
0.3593191 0.3928591 0.2478218 
0.2657927 0.3887029 0.3455044 
0.3331425 0.4140273 0.2528302 
0.3640908 0.3706233 0.2652859 
0.2844722 0.4324042 0.2831236 
0.3493328 0.4368924 0.2137748 
0.300945 0.4786079 0.2204471 
0.2968714 0.4535481 0.2495806 
0.2973905 0.3974926 0.3051169 
0.390878 0.4097884 0.1993335 
0.307285 0.4526761 0.2400389 
0.2879424 0.4550391 0.2570185 
0.2519112 0.3942162 0.3538726 
0.2446831 0.3571016 0.3982153 
0.3169652 0.452014 0.2310208 
0.3051503 0.3537073 0.3411424 
0.2793287 0.463233 0.2574383 
0.2309396 0.512677 0.2563833 
0.2823985 0.4205848 0.2970167 
0.2359805 0.4790652 0.2849543 
0.3388386 0.3983887 0.2627726 
0.335829 0.3867408 0.2774302 
0.313101 0.431061 0.255838 
0.3472336 0.4595852 0.1931812 
0.2250784 0.5216021 0.2533195 
0.3051127 0.418348 0.2765393 
0.3529363 0.4326435 0.2144202 
0.3292949 0.2897017 0.3810033 
0.2774145 0.4092532 0.3133322 
0.2961964 0.4173831 0.2864205 
0.4195341 0.38121 0.1992559 
0.2480374 0.4343379 0.3176247 
0.2949326 0.3737264 0.331341 
0.2973853 0.4577322 0.2448825 
0.3154696 0.4453803 0.2391501 
0.3299135 0.3669489 0.3031376 
0.294028 0.4336366 0.2723354 
0.2888997 0.3908788 0.3202214 
0.2739904 0.4135271 0.3124824 
0.307873 0.3546726 0.3374544 
0.2956668 0.3985663 0.3057669 
0.3387897 0.4121703 0.24904 
0.278099 0.345793 0.376108 
0.3192102 0.4408927 0.2398972 
0.2731529 0.4400306 0.2868165 
0.2706701 0.4887041 0.2406259 
0.2892145 0.4742509 0.2365347 
0.2827083 0.3987439 0.3185477 
0.3914583 0.4387357 0.1698059 
0.2658483 0.4248295 0.3093223 
0.3629971 0.2690055 0.3679974 
0.2452953 0.466352 0.2883527 
0.3445613 0.3614963 0.2939424 
0.3568939 0.4051217 0.2379843 
0.2188719 0.4397817 0.3413463 
0.3229488 0.3849859 0.2920653 
0.2897062 0.4882253 0.2220685 
0.4141361 0.3712288 0.2146351 
0.3523281 0.4419096 0.2057622 
0.3591959 0.4732697 0.1675344 
0.2690016 0.3977519 0.3332465 
0.2308776 0.4725764 0.296546 
0.3459612 0.4309001 0.2231387 
0.3034926 0.471499 0.2250084 
0.1998773 0.4173945 0.3827282 
0.2656151 0.3943645 0.3400204 
0.311812 0.4305624 0.2576255 
0.304527 0.3586955 0.3367775 
0.3312663 0.3446673 0.3240664 
0.329639 0.4229587 0.2474022 
0.2395676 0.4634993 0.2969331 
0.3418285 0.4096635 0.248508 
0.321088 0.4363821 0.2425299 
0.2563031 0.4708965 0.2728004 
0.3864618 0.3953099 0.2182283 
0.3441744 0.3996702 0.2561553 
0.326746 0.4751668 0.1980871 
0.2908246 0.4701103 0.2390651 
0.2997337 0.4443436 0.2559227 
0.2937354 0.4477036 0.258561 
0.3593275 0.4193852 0.2212873 
0.2903721 0.416773 0.2928549 
0.2058301 0.4718281 0.3223418 
0.295377 0.3661221 0.3385009 
0.297362 0.3645881 0.3380499 
0.2596988 0.4788674 0.2614337 
0.2557405 0.3778472 0.3664123 
0.2998875 0.2958264 0.4042861 
0.2834686 0.4193787 0.2971527 
0.2690647 0.4381608 0.2927745 
0.3214255 0.4226753 0.2558993 
0.3200207 0.3800925 0.2998868 
0.3350801 0.3363823 0.3285376 
0.2614658 0.4588355 0.2796987 
0.3289167 0.3740136 0.2970697 
0.3573656 0.3985401 0.2440943 
0.3399598 0.4258528 0.2341874 
0.348617 0.3599391 0.2914439 
0.2242108 0.4060183 0.3697709 
0.2703375 0.3878932 0.3417693 
0.241207 0.4460806 0.3127124 
0.3068432 0.4585283 0.2346286 
0.3257197 0.4563734 0.217907 
0.3685569 0.3341715 0.2972716 
0.2596599 0.4182171 0.322123 
0.3282664 0.3791751 0.2925586 
0.3552738 0.4301433 0.2145829 
0.3319534 0.4107186 0.257328 
0.2683958 0.4799563 0.2516479 
0.4268791 0.3234685 0.2496524 
0.2505854 0.4334328 0.3159818 
0.27867 0.4516076 0.2697224 
0.3108067 0.3804656 0.3087276 
0.28821 0.3347486 0.3770414 
0.2974011 0.4029586 0.2996403 
0.317492 0.4543868 0.2281212 
0.3413178 0.3875149 0.2711672 
0.3528128 0.4474526 0.1997347 
0.2974385 0.4350373 0.2675242 
0.268867 0.4782624 0.2528706 
0.2835097 0.45212 0.2643703 
0.3781343 0.372018 0.2498477 
0.2963561 0.4290483 0.2745955 
0.279136 0.3950283 0.3258357 
0.3412904 0.338954 0.3197556 
0.3199327 0.4038242 0.2762432 
0.2602334 0.4377785 0.3019881 
0.2491625 0.453637 0.2972006 
0.3638485 0.433409 0.2027425 
0.3961937 0.3626183 0.241188 
0.2777612 0.4337808 0.288458 
0.2866395 0.3833205 0.3300399 
0.3578761 0.3888167 0.2533072 
0.2592495 0.4502373 0.2905132 
0.3630755 0.4498492 0.1870752 
0.360589 0.3778892 0.2615218 
0.3901788 0.3271936 0.2826275 
0.2762816 0.393081 0.3306374 
0.300724 0.4205397 0.2787363 
0.3165104 0.4169156 0.2665739 
0.2677004 0.4018014 0.3304982 
0.2341681 0.3989721 0.3668598 
0.3630868 0.3252542 0.311659 
0.3350758 0.4191401 0.2457841 
0.2928459 0.3990951 0.308059 
0.3490085 0.3685904 0.2824011 
0.3145833 0.4117246 0.2736921 
0.1956921 0.4518374 0.3524705 
0.2987697 0.4001498 0.3010805 
0.2520382 0.4431679 0.3047938 
0.1969081 0.5057071 0.2973848 
0.3564923 0.365425 0.2780828 
0.2389324 0.4844587 0.276609 
0.3292521 0.4037737 0.2669742 
0.3086512 0.4278329 0.2635159 
0.3655368 0.4241811 0.2102821 
0.2936501 0.4529735 0.2533764 
0.3490056 0.433261 0.2177334 
0.2872281 0.4706687 0.2421032 
0.3796481 0.3286561 0.2916957 
0.330095 0.4233914 0.2465136 
0.3557256 0.3718125 0.2724619 
0.3872245 0.3499695 0.262806 
0.3293668 0.3536696 0.3169636 
0.336959 0.4173184 0.2457226 
0.2848441 0.4247935 0.2903624 
0.2800454 0.3496437 0.370311 
0.3244563 0.4123253 0.2632184 
0.3311583 0.3874129 0.2814288 
0.4232238 0.3753826 0.2013936 
0.2831793 0.4259589 0.2908618 
0.3371952 0.3434775 0.3193273 
0.3261695 0.3593386 0.3144918 
0.3306401 0.5141541 0.1552058 
0.3089676 0.4348958 0.2561366 
0.247187 0.5078262 0.2449868 
0.3609093 0.4134263 0.2256644 
0.2615415 0.3651036 0.3733549 
0.3002862 0.3956878 0.3040259 
0.4255446 0.3146612 0.2597942 
0.2506359 0.5200337 0.2293303 
0.4229154 0.3612693 0.2158153 
0.3099726 0.429143 0.2608843 
0.2880608 0.4172411 0.2946982 
0.2880848 0.467693 0.2442222 
0.3712874 0.4057191 0.2229935 
0.2155543 0.3823923 0.4020534 
0.3544782 0.3380572 0.3074646 
0.3331925 0.4430534 0.2237541 
0.310126 0.4145174 0.2753566 
0.2584829 0.47351 0.2680071 
0.3337211 0.4095481 0.2567308 
0.2805153 0.3666104 0.3528742 
0.3281753 0.4214273 0.2503974 
0.254134 0.4215009 0.3243651 
0.3995772 0.4197618 0.180661 
0.2673666 0.4298862 0.3027472 
0.3273394 0.4317166 0.240944 
0.2816323 0.4193968 0.2989709 
0.2939576 0.4231955 0.2828469 
0.3286353 0.4017475 0.2696172 
0.3279214 0.3629053 0.3091733 
0.3487192 0.3643087 0.2869721 
0.2618522 0.4063623 0.3317856 
0.3356715 0.3880993 0.2762292 
0.364845 0.3778681 0.2572869 
0.3565557 0.4310403 0.212404 
0.3252504 0.3851535 0.2895961 
0.2531687 0.5097223 0.237109 
0.3664362 0.3195798 0.313984 
0.2680432 0.412873 0.3190837 
0.3575357 0.3829044 0.2595599 
0.2446589 0.5197301 0.235611 
0.323942 0.4034862 0.2725718 
0.4204923 0.3178889 0.2616188 
0.333013 0.3838927 0.2830942 
0.3060692 0.3974456 0.2964852 
0.3263036 0.4055279 0.2681685 
0.342578 0.412967 0.2444549 
0.3706993 0.3187822 0.3105185 
0.2764994 0.4308594 0.2926412 
0.3358578 0.3871444 0.2769978 
0.3318642 0.3477168 0.320419 
0.324367 0.4394834 0.2361496 
0.3125029 0.4588742 0.2286229 
0.3744487 0.3819683 0.243583 
0.3740106 0.3327607 0.2932287 
0.3002639 0.4359095 0.2638265 
0.2989471 0.4056906 0.2953623 
0.3491553 0.3036618 0.3471829 
0.2870988 0.3074669 0.4054343 
0.3705569 0.4066996 0.2227435 
0.3058991 0.4276883 0.2664126 
0.3132367 0.4570836 0.2296797 
0.3456644 0.4443669 0.2099687 
0.3613307 0.4115848 0.2270845 
0.3524618 0.3106352 0.336903 
0.3043419 0.4011047 0.2945534 
0.3103876 0.4416276 0.2479847 
0.2909836 0.4060257 0.3029907 
0.2174972 0.4594161 0.3230867 
0.3421651 0.4136372 0.2441977 
0.3289641 0.385752 0.2852839 
0.3708413 0.3279411 0.3012176 
0.2858167 0.4144687 0.2997146 
0.284199 0.4155703 0.3002307 
0.2925613 0.4447093 0.2627294 
0.2874632 0.3940914 0.3184454 
0.3334892 0.4594254 0.2070854 
0.3911576 0.4037354 0.205107 
