"comp1" "comp2"
1.775761 0.1117393
2.354283 0.1356608
0.4379847 0.02503975
3.255307 0.6231229
0.6394713 0.5012577
1.068079 0.128733
1.293439 0.03139357
2.723377 0.1046772
1.105275 0.1409656
2.405332 0.820967
0.7615868 0.03694075
2.128882 0.05615649
3.470029 0.3012007
1.543606 0.3653707
1.79191 0.264324
10.18575 0.09780721
3.220634 0.06042278
1.270889 0.1570556
1.220735 0.08930682
1.021255 0.1235228
0.0261414 0.4514303
1.980187 0.2615783
0.9356349 0.05050139
1.081928 0.1471995
1.075745 0.08540119
3.34711 0.4362754
0.6142297 0.04637609
0.1487743 0.1104563
3.078098 0.113475
2.053299 0.1967887
0.444962 0.9318993
0.4033594 0.2228506
0.4497423 0.04210686
1.894801 0.480468
2.450376 0.08829287
2.98662 0.09035915
3.362029 0.4122477
0.6954499 0.03728114
2.403629 0.4714433
0.6703275 0.3719805
1.530521 0.1233314
0.7919742 0.1997691
3.413131 0.0653442
4.093512 0.06172918
1.241207 0.02343026
0.8510615 0.07057115
2.519535 0.04211256
1.831058 0.02841448
1.713556 0.08621352
2.613796 0.03668472
2.788239 0.2136321
6.820949 1.586844
0.6056026 0.1036084
2.966162 0.04304636
0.07325438 0.1225934
0.2136512 0.6168389
3.544066 0.07762023
3.485227 0.10982
0.3629028 0.0641105
0.8933649 0.04646958
1.358963 1.273768
0.3629012 0.5673295
0.8503832 0.1027781
1.256473 0.2851653
4.109437 0.03933153
0.9273747 0.3090373
0.6962377 0.05048311
1.39695 0.1974694
1.487981 0.3380239
0.4864352 0.04132002
2.101028 0.3283398
3.94863 0.2111743
3.123228 0.163419
4.023375 0.06011132
0.5185291 0.4123981
0.528533 0.04513389
0.5313299 0.08205334
1.31833 0.3961901
6.102072 0.3003636
3.147558 0.5449254
2.119944 0.1742876
4.405363 0.03358927
0.484189 0.08919963
1.407559 0.0538996
0.5644754 0.06499207
5.820059 1.15753
0.9941619 0.03082674
4.177101 0.02258675
1.321249 0.2020725
4.508696 0.6261477
1.198345 0.2895534
6.264451 0.08008434
1.833293 0.2146593
4.926509 0.3275987
2.906053 0.3842325
3.87416 0.7862283
0.9490457 0.7228681
0.7952267 0.2803613
2.605605 0.1766381
4.240878 0.1954909
0.6452753 0.1793608
0.6285204 0.03312903
1.262327 0.08054526
3.047745 0.4225639
1.821574 0.2949307
1.101966 0.04761201
0.3726966 0.3635028
0.6889087 0.1171815
1.814155 0.5317144
1.562974 0.0915017
0.8514802 0.2252146
5.676761 0.3181926
1.446579 0.1848032
2.563941 0.03622156
3.925877 0.07844208
2.080967 0.1448747
2.620043 0.06974753
1.470244 0.2951021
2.456088 0.1470125
3.011102 0.2131647
0.8399642 0.05877609
1.284681 0.1424036
2.320807 0.4554563
4.731053 0.3745416
2.174441 0.08595798
1.315673 0.2798955
0.6952918 0.1180043
0.8065195 0.06268642
2.303878 0.08225715
2.216958 0.2940181
0.8057314 0.1950994
14.17494 0.2253461
0.5412541 0.03750926
2.365336 0.1372623
0.734657 0.7339571
2.380544 2.29964
1.488483 2.773118
0.8622116 0.04200352
1.000436 0.0221621
2.146221 0.01928253
3.81517 0.04046179
3.893518 0.05325998
2.385078 0.117211
2.573506 0.1612576
1.694192 0.0156809
1.260408 0.03828966
2.776527 0.0678579
0.1238276 0.1572972
1.161259 0.02419003
0.5008933 0.06834507
0.5520492 0.1036125
3.985606 0.01273633
0.3539513 0.09951657
0.749117 0.2089978
2.073755 0.03203996
0.5553444 0.07132546
0.5657518 0.4032221
1.776244 0.09864672
0.5324331 1.41373
1.320873 0.03744938
1.346385 0.1835488
1.075545 0.02687701
1.073961 0.2316723
1.530097 0.1088014
3.395117 0.07017336
2.470644 0.1002809
1.438944 0.05224723
0.6498318 0.6249789
1.627497 15.42796
1.427837 2.143379
1.837443 0.0372339
0.3665666 3.140508
0.8437817 0.3255418
1.847282 0.0957919
0.728266 0.1952398
0.03837409 1.867006
2.254694 0.05098923
0.7257699 0.07039264
1.984918 0.08403512
3.16089 0.3122699
1.196456 0.4071656
0.5753156 0.0370961
0.6741577 0.9328684
1.043799 0.07182851
1.982158 0.1090371
0.3454502 0.08973107
0.7962724 0.04753933
1.358098 0.1214688
1.175176 0.0282733
0.6736125 0.6174416
0.9210732 0.2908648
1.07086 0.1765048
1.292953 0.06195913
1.524561 0.04728847
0.5745565 0.06409858
0.2829437 0.2323424
1.262732 0.2066483
3.352916 0.04930681
1.066021 0.1651231
1.108874 0.04012997
6.407152 0.05867781
3.103587 0.1224061
5.857845 0.1611469
4.005336 0.03609695
4.587923 0.07569018
2.556746 0.1141157
0.9120346 0.2552703
1.200293 0.04283542
1.87768 0.1321342
3.644989 0.2980971
0.4385919 0.0316747
0.8574455 0.03758331
3.657541 0.1982402
1.216448 0.5744213
0.140609 0.2978345
2.885147 0.3243739
0.738493 0.2203763
3.441482 0.05458376
0.952519 0.07021875
1.713846 0.1216546
5.746281 0.1895075
0.4145415 0.04928272
0.4420247 0.5898848
2.499351 0.163808
1.486121 0.07104392
0.1842748 0.02132068
0.5540531 0.4815506
1.144623 0.0506002
1.318781 0.06800635
1.834927 0.132236
3.281456 0.1855626
5.935266 0.09064991
3.485064 0.1736053
9.898465 0.04613965
2.012607 0.02398251
1.35387 0.03785307
0.3732139 0.2325836
2.113681 0.04384164
1.583077 0.07803416
2.863538 0.09595154
2.818389 7.060054
0.6193734 0.04066881
1.888366 0.227303
0.8601165 0.1751686
0.7564675 0.212438
2.959479 0.0416698
1.664481 0.4133583
3.459662 0.03784031
0.5461134 0.07552587
3.250393 0.2953543
1.187687 0.7904672
1.356581 0.1779845
0.9828687 0.2900307
1.774156 0.4383782
3.83922 0.1150412
1.282628 0.1495835
4.322156 0.501867
1.324868 0.07658083
2.952554 0.06602446
2.449577 0.4029562
0.4123242 0.05268557
3.982148 0.05167801
1.232485 0.1135169
1.106862 1.316464
0.8242304 0.03282724
0.1914901 0.1423302
1.507196 0.04039311
3.070997 0.08604702
1.500924 0.1741321
0.6309769 0.4657511
0.4475415 0.07831403
1.334788 0.02760391
2.41138 0.2014084
2.810801 0.1007643
0.8951267 0.3846423
0.3454166 0.2080843
2.345188 0.1707051
2.981174 0.1319821
1.905817 0.4289325
3.631733 0.3315859
0.9882795 0.1129656
5.732795 0.05191646
2.63471 0.2571548
5.240141 0.9440375
2.160834 0.2782563
3.093664 0.8733474
0.8878219 0.09329243
2.100278 0.1383924
0.9158882 0.09258975
4.996287 0.5590024
2.350381 0.04428826
2.010894 0.07562223
0.3530573 0.1127637
1.0404 0.03786301
0.4645073 0.09633469
6.938829 0.07364775
2.461749 0.05962053
1.471129 0.08569077
3.291364 0.05184893
3.472997 0.1200855
0.6945978 0.3056274
0.6841338 0.05310928
2.650881 0.4358103
0.9815155 0.2016233
2.167874 0.150942
5.302384 1.954801
1.698902 0.5925069
1.989145 0.2526329
4.991142 0.03310987
1.580816 1.467319
2.52713 0.6988845
2.906641 0.3379409
7.765277 0.3793214
1.34006 0.06787144
4.693993 0.05325618
2.157505 0.04568343
2.315187 0.1917311
2.754738 0.06300172
3.530713 1.770285
2.060757 0.2019823
3.487865 0.01491671
2.148019 0.1003557
0.7518408 0.2103661
0.7692306 0.2994952
1.192987 0.6614403
1.393393 0.1184023
1.228899 0.07865688
1.012972 0.1897519
0.4751301 0.1224574
1.308415 0.1675165
2.464889 0.154094
3.16649 0.1590855
2.940915 0.02675579
3.720351 0.8498787
3.122722 0.4676015
2.178666 0.05900664
1.030538 0.1681651
0.9997242 0.115555
2.377137 0.2197949
0.9637759 0.08461391
0.6590526 0.1058681
3.721473 0.06300187
3.236725 0.02241208
2.330488 0.4878254
1.129108 0.2058678
3.123004 0.07178914
1.387444 0.053426
1.37142 0.4582998
2.757425 0.3866887
1.227523 0.1828627
1.668714 0.07757272
1.196561 0.3461406
0.9590735 0.03149805
3.396383 0.09089899
1.685434 0.1168664
3.291852 0.1592699
0.2656264 0.09975595
0.4970943 0.1629105
0.3700348 0.3689967
3.216851 0.2425558
0.2518643 0.1560782
0.5974513 0.05429486
0.817593 0.01804207
1.883773 0.3236027
1.573791 0.04114728
1.743248 0.2262601
3.121287 0.2026415
1.704417 0.01961322
2.499164 0.03416159
1.014347 3.205687
1.727474 0.2674219
1.868475 0.1093443
1.491288 0.1539709
0.349549 0.1110251
1.085462 0.2151493
1.505619 0.05269982
2.139547 0.01785636
0.8468125 0.3519829
0.5801504 4.023236
0.916807 0.4416196
0.581229 0.3567316
0.8029876 0.2279535
0.5324158 0.07048082
0.5902298 0.01412
0.7473073 0.2181341
0.7310357 0.04941168
0.3984687 0.3394856
0.06672832 0.0184212
0.08432755 0.2480701
1.080846 0.03698394
1.814428 0.1611831
0.3078979 1.89922
1.035475 0.539688
3.614793 0.0523058
1.752482 0.05031727
5.290243 0.06640807
2.036196 0.4429056
7.295153 0.0493099
5.083554 0.02504809
3.229204 0.1554847
0.3495606 0.05632084
0.3106019 0.1453498
0.7448757 0.06143491
1.433284 0.236636
0.5720486 0.01649136
0.7825475 0.03874575
3.069517 0.01265666
1.387402 0.2221465
2.809458 0.8981591
0.9072554 0.438037
1.655071 1.451578
1.04935 0.04285589
1.89664 5.188411
3.270011 0.1181838
1.048981 0.2879616
3.41943 0.06488957
1.030969 0.1553604
8.773707 0.02265912
2.066232 0.0460454
0.808618 0.0603157
0.8348369 1.04592
1.346383 0.7398844
0.4109445 0.3548939
0.2976688 0.07291846
0.7907537 0.04365129
0.4556617 0.07761613
0.172014 0.16184
0.04268757 0.07391513
0.1204966 0.1099786
1.897192 0.8416069
2.067577 0.02667777
0.7529467 0.1094955
2.770364 0.01379987
0.5870943 0.07662646
2.235368 0.1499182
1.387815 0.04142283
1.935215 0.04564705
3.633725 0.07053641
2.817998 0.0468474
1.953026 0.1923551
1.416987 0.2178991
1.481705 0.03328328
1.630564 0.3454046
1.178903 0.06104461
0.3411659 0.151775
2.045483 0.2681834
5.449105 0.04579949
0.760865 0.2939246
3.685682 0.07333087
5.341526 0.08114516
1.38874 0.05976696
0.7830317 0.1864894
0.9776971 0.1028317
1.530104 0.02620357
0.3132625 0.09406685
1.279225 0.3614222
3.769559 0.08996453
0.2329815 0.9699508
0.8332938 0.3909161
1.081058 0.1926965
1.501708 0.5704941
1.986823 0.1720362
1.250458 0.2066739
