u.bar t.bar 
1.051244 0.9323706 
0.9439129 1.135398 
0.9419977 1.396483 
1.000133 1.183575 
1.115109 1.031009 
1.133278 1.007158 
1.021975 1.058248 
1.002975 1.170778 
0.9214778 1.216641 
1.065081 1.149054 
0.9685005 1.147872 
1.070786 1.151793 
0.9530181 1.463563 
0.9625507 1.156715 
1.121601 1.304164 
1.039939 1.239866 
1.090874 1.216764 
1.02901 1.119362 
1.015731 0.9941909 
0.9991803 1.082996 
0.9362147 1.28418 
1.014975 1.278454 
0.9368441 1.206645 
1.034319 1.131428 
1.00943 1.202549 
0.9110113 1.265263 
1.10518 1.236529 
1.0805 1.254258 
0.958545 1.306596 
1.038775 1.353163 
0.9872701 1.275987 
0.9665744 1.129057 
0.8902498 1.415196 
0.8290351 1.55021 
1.257118 1.581749 
1.060172 1.196966 
0.9116444 1.283221 
0.9840624 1.419162 
1.061728 1.179691 
1.118884 1.124285 
1.018858 1.377266 
0.9097851 1.353767 
0.9920524 1.268518 
0.9996781 1.223801 
0.9984925 1.243625 
1.152792 1.200647 
1.026718 1.185254 
1.136295 1.618342 
1.039719 1.389836 
1.053327 1.268661 
1.095001 1.077509 
1.16543 1.045588 
0.9651744 1.220063 
1.070346 1.225444 
1.014984 1.152225 
0.9738368 1.013535 
0.9347353 1.223189 
0.9894605 1.379878 
0.9714946 1.38247 
1.100978 1.682192 
0.965458 1.449724 
0.9592632 1.148647 
0.9429883 1.137278 
1.079353 0.9280842 
0.985419 1.098517 
1.037981 1.221907 
0.9778374 1.062823 
1.008192 1.020743 
1.068338 0.9285782 
1.09804 0.9098529 
1.008934 1.015081 
1.187448 1.014691 
1.117668 1.087805 
1.103417 1.016102 
1.15635 1.356874 
1.167655 1.513987 
1.027534 1.635648 
0.8789471 1.409662 
0.9607197 1.345215 
1.00495 1.398423 
0.9259116 1.584732 
1.008192 1.407927 
0.8770209 1.267307 
0.8839631 1.445671 
1.002457 1.27458 
0.9030355 1.148695 
0.9195791 1.273123 
0.9012833 1.327206 
1.115089 1.147407 
1.066265 1.018979 
1.114534 0.9283622 
1.092315 1.058235 
0.9353293 1.000103 
0.957426 1.056082 
0.9373745 1.142873 
0.9329161 1.405448 
0.9138807 1.250278 
0.8805007 1.156961 
0.9385353 0.9849711 
0.920222 1.066356 
0.9350769 0.9932701 
1.076921 0.8960549 
1.112344 1.134792 
1.094654 0.9566218 
1.102203 1.161097 
1.072629 1.557583 
1.054876 1.311199 
0.9890169 1.215318 
1.021314 1.08562 
1.050631 1.154234 
1.008615 1.287063 
0.8674984 1.086288 
1.018396 1.236464 
0.8240781 1.558639 
1.007221 1.305756 
1.112567 1.203558 
1.038719 1.101829 
0.940373 1.162509 
1.075047 0.9107748 
0.958966 0.9821891 
1.053814 1.044108 
0.854454 1.149447 
1.041415 1.041265 
1.018145 1.035443 
1.0002 0.8552461 
0.9916182 1.441304 
0.8993798 1.29433 
1.149854 1.443814 
1.07144 1.259307 
0.9718593 1.32844 
0.9973367 1.105757 
1.069285 1.142332 
1.200452 1.789101 
0.8535407 1.564455 
0.8455639 1.412437 
1.172712 1.196723 
1.135157 1.091122 
1.029455 0.9539011 
0.9467511 0.9579801 
0.9118285 0.9968007 
0.9259984 1.01365 
1.016224 1.018656 
1.081297 1.069756 
1.104279 1.06165 
1.030952 0.8532993 
1.106112 0.9970512 
1.178773 0.8979092 
1.10114 0.9810352 
1.131115 1.118613 
0.8752003 1.201509 
0.8937864 1.472748 
1.026749 1.184117 
0.9319384 1.011266 
1.007193 1.219773 
1.0242 0.9790784 
0.9192571 1.056862 
0.9919675 1.24615 
1.00608 1.190448 
1.313038 1.288665 
1.056722 1.092819 
1.034454 1.290919 
0.9823088 1.088717 
0.9273776 0.9536266 
1.032218 1.009629 
0.9778182 1.223193 
0.9511914 1.230761 
0.9305988 1.149981 
0.8334134 1.706202 
1.058372 1.184496 
1.057095 1.09419 
1.044118 0.9610493 
1.057515 0.9412637 
1.04729 0.9187694 
0.9987966 1.0669 
1.066104 0.9597354 
1.253855 1.078529 
0.9539238 1.060257 
1.054327 1.237432 
1.043626 1.230864 
0.9671361 1.326651 
1.034525 1.243324 
1.145982 1.3379 
0.8083099 1.498163 
1.068051 1.247603 
1.023415 1.044586 
0.8921335 0.9572128 
1.070058 0.8184348 
1.05123 0.9080615 
1.125146 0.9608133 
0.955255 0.9078364 
1.050718 0.8715665 
1.087532 0.8382748 
1.085911 0.9368361 
