tau2_1 tau2_2 tau2_3 
0.02539156 0.5341137 0.2301903 
0.07214248 0.7413191 0.2513446 
2.236597 0.5498107 0.1974063 
0.3466503 1.631165 0.249607 
0.04590901 1.215048 1.431391 
0.4906263 0.5088968 0.7394878 
0.06431722 0.3298644 0.1933847 
0.255642 0.2533746 0.2020848 
0.2889565 0.1383963 0.2119271 
0.5525252 5.468194 0.1160009 
0.04489016 0.924432 0.1891611 
0.02916725 1.236243 0.475633 
0.3409413 1.554635 0.183718 
0.1278313 0.32633 0.1407444 
0.2123488 0.8682826 0.1312157 
0.05408657 1.86811 0.6108186 
0.06210892 1.239748 0.6287053 
1.20084 0.6335517 0.08560514 
0.2310805 0.4144409 0.06285376 
0.5291378 0.0369816 0.2869959 
0.100081 0.8448464 0.3043253 
0.1436906 0.143118 0.4143613 
0.01914799 0.7627438 0.06072035 
0.0557044 1.508206 0.09425619 
41.86453 1.337707 0.2936261 
0.1021264 0.8958085 0.2490496 
0.2003368 0.350262 0.9170542 
0.2033932 0.8806258 0.1949669 
0.8482893 0.1388585 0.1121472 
4.70224 1.038337 0.3142193 
0.1059419 0.3756402 0.167881 
0.2098393 0.3762436 0.07574662 
0.08502082 0.3446055 0.2738071 
0.06174787 0.03412783 0.1715184 
0.3177073 2.5738 0.08053729 
0.189808 0.01428372 0.06862526 
0.1804166 2.084537 0.06834424 
0.07827685 0.3327523 0.248816 
0.2331016 0.3368315 0.1196866 
0.2436951 0.1476975 0.1768976 
0.08457256 0.585226 0.09380667 
0.1390886 0.8973399 0.2048495 
2.062083 0.9022433 0.1851701 
17.93016 0.2310745 0.6257066 
0.08585799 1.13673 0.1580585 
118.7721 1.072712 0.4789707 
34.94132 0.06827848 0.1467502 
786.4468 1.248074 0.2152632 
6.699499 0.1933207 0.3699584 
919.0022 0.09348752 0.9086357 
0.07615779 0.7755986 0.2053332 
0.140377 0.05313388 0.2299859 
0.2421643 0.3614693 0.1191478 
73.97835 0.7771088 0.1020193 
2.854297 0.3843621 0.3147188 
0.05984339 0.1679009 0.1124077 
641.8033 0.321453 0.2824203 
2036.967 0.9603858 0.1518962 
6.955449e+15 1.393275 0.05758165 
87.12702 0.6257228 0.1562022 
4.31954 0.0513964 0.1532028 
340.7677 1.358868 0.3454067 
0.3473235 0.3914362 0.6724733 
1.835231 0.2281836 2.435981 
149.8359 1.06973 0.2457872 
0.4687239 0.3943948 0.08270974 
14.97621 0.2940295 0.3327157 
0.2129444 1.871882 0.6188334 
0.1609209 0.04006502 0.07683958 
1.356284 0.2836701 0.2814075 
0.5855165 1.12725 0.3404424 
0.01713203 0.04696888 0.7854024 
0.02673584 0.6359421 0.1814123 
0.1113029 0.09711916 0.8788483 
0.0784764 0.7123382 0.1737511 
0.1286036 0.4314471 0.3699217 
0.1531182 0.8421125 0.09865831 
0.2233383 0.1065352 0.5011984 
0.03073671 1.148551 0.5170358 
0.3448053 0.5265382 0.261489 
0.03797723 0.5949439 0.05192622 
0.06080331 0.4114113 0.2702273 
0.09237018 0.2905416 0.1393587 
0.3609013 0.4366917 0.2209029 
0.2151729 0.8184143 0.131683 
0.02814768 0.2739308 0.1089011 
0.2372353 1.895989 0.05090117 
0.07313363 0.07384357 0.8087191 
0.1213656 0.2163568 0.1874442 
0.3870796 0.0297584 1.035376 
0.1085196 1.052667 0.2091506 
0.05635643 1.884788 0.299018 
0.09367271 0.2421017 0.3024259 
0.02215835 1.264387 0.2744838 
0.1399426 0.4983563 0.6911009 
0.08331838 0.3565667 0.1969116 
0.03213568 0.663061 0.132736 
0.1311889 0.2889726 0.3857045 
0.6807137 0.2688275 0.06039395 
1.367208 0.1086411 0.1931974 
0.2439048 0.3049304 0.07024107 
1.732495 0.5100479 0.1494619 
0.06163051 0.2415322 0.07959668 
0.2239588 0.8575158 0.2837558 
3.06231 0.3385323 0.1940738 
0.04171018 0.1961463 0.2882457 
0.06648677 0.0672161 0.4410276 
0.1787936 0.1815327 0.4066242 
