tau2_1 tau2_2 
1.452957 0.3554847 
0.672829 0.2535689 
0.4685173 0.5697303 
0.6955453 0.4459696 
0.640363 0.5504727 
17.289 0.3968686 
0.4667693 0.7089643 
0.03129063 1.227118 
0.3010974 0.67476 
0.2070876 0.1492425 
2.185057 0.08592356 
0.1026002 0.4256044 
0.1263436 0.2039063 
0.3987544 0.2295599 
0.2343565 0.3367499 
0.4108653 0.6230095 
0.4259773 0.2098302 
0.05798886 0.1226441 
2.121953 0.5267622 
0.02794356 0.2262416 
0.09098284 0.2159378 
0.1675533 0.3894259 
0.7183992 0.4625208 
0.6092015 0.1835304 
0.129247 0.2126974 
0.5123715 0.07692475 
0.5899581 0.3427076 
0.1649735 0.2425329 
1.232204 1.079643 
2.085213 0.1268021 
2.560458 0.2251295 
0.2390382 0.02935496 
0.3308001 0.3661886 
0.6563013 0.3710204 
1.658287 0.1983083 
8.228304 0.1078937 
0.4200209 0.03090874 
1.521099 0.1242125 
0.8944684 0.1517448 
0.6057384 0.2198968 
1.808162 0.4381807 
6.161895 0.08454867 
1.723933 0.1258566 
1.706522 0.2059941 
0.08925469 0.1346962 
0.01697654 0.3368082 
1.040879 0.168448 
2.566188 0.1746484 
0.2152067 0.0818157 
0.09816003 0.2264422 
0.1525767 0.1331937 
2.167643 0.05792964 
0.6339098 0.1651257 
0.1103735 0.08866074 
0.05075679 0.1267647 
0.5334076 0.1450996 
1.930989 0.179372 
0.02237799 0.2891101 
0.2544466 0.1046429 
0.2156197 0.1831461 
0.09350675 0.1849952 
0.03050327 0.2169115 
0.09186115 0.2504116 
0.5127375 0.1431005 
1.368987 0.592005 
0.544385 0.1921926 
5.614111 0.2028065 
2.213532 0.1138098 
1.034701 0.193013 
4.731058 0.03741035 
0.2549167 0.1101032 
0.06197749 0.1674308 
0.1926921 0.108544 
0.2370941 0.3985694 
0.1415538 0.2116097 
0.4143873 0.9134025 
4.721611 0.3594711 
3.604325 0.2957189 
0.02223252 0.09982489 
0.2822651 0.2340115 
0.5623956 0.1852298 
0.491441 0.3010553 
0.2129908 0.2803178 
0.1006004 0.8554382 
0.1763101 0.3714325 
0.06193926 0.1303346 
0.6811222 0.07930641 
0.6971103 0.6335667 
0.4444508 0.04770001 
0.2043182 0.2345655 
0.8607283 0.249484 
0.1696934 0.3470331 
0.1476932 0.1445666 
0.2476582 0.1479652 
0.03114588 0.1993718 
0.4658246 0.3285958 
0.7508054 0.3187679 
0.2708475 0.1804877 
1.531903 0.05056257 
0.3192432 0.2719094 
0.9587301 0.1592432 
0.1565375 0.5078735 
1.212162 0.09192042 
1.159964 0.06376845 
0.09251955 0.07590604 
0.1327246 0.2145195 
0.6661881 0.1162371 
1.013439 0.3360659 
4.386833 0.2106483 
0.2956183 0.1103666 
0.2489164 0.3885864 
1.095195 0.1009068 
1.489458 0.3015678 
0.07172047 0.1437824 
0.2814989 0.1832746 
0.5885446 0.1708776 
3.3713 0.1250165 
0.0532987 0.2684813 
0.08349554 0.3273254 
1.671113 0.1048286 
0.6223833 0.1302226 
0.103282 0.1426144 
0.1118038 0.2061878 
0.2936861 0.2606311 
0.1189475 0.1724675 
0.6280283 0.04331375 
0.7134983 0.2133499 
0.3287768 0.5222772 
0.6360492 0.204065 
0.3842719 0.1696818 
1.286424 0.1280055 
4.47114 0.09257985 
1.268854 0.1400439 
0.1711535 0.1736987 
4.281347 0.1313541 
0.2306147 0.3611786 
9.785731 0.05734514 
1.482179 0.4273536 
0.04800304 0.5658816 
6.679875 0.1139864 
0.0676479 0.05693299 
0.1028561 0.1321901 
0.112112 0.3805969 
0.1288596 0.1779064 
1.881456 0.1103179 
0.1480122 0.8697586 
2.905775 0.03593866 
0.1768632 0.282156 
0.4916043 0.2242078 
0.2816586 0.08804349 
6.306401 0.3777928 
1.193384 0.04568164 
2.014134 0.07844464 
0.2797714 0.313914 
0.2918984 0.2759866 
0.5875062 0.3169006 
0.1139892 0.2133143 
0.7091728 0.1541841 
0.2828409 0.8387161 
4.962566 0.1799649 
0.05565231 0.5265702 
2.275842 0.5497337 
0.04038871 0.3414607 
5.698613 0.1713443 
0.04606674 0.2442064 
0.04282468 0.3537419 
1.755569 0.3363644 
0.1665535 0.09680703 
1.050275 0.04551379 
0.08392038 0.1375482 
0.1454059 0.404233 
0.6503104 0.3104556 
0.3926521 0.1808086 
0.5948474 0.1724195 
2.861626 0.13978 
1.440863 0.1134009 
0.07494574 0.1555385 
0.07053992 0.4686214 
0.565453 0.1781253 
1.098569 0.1867382 
0.8220632 0.04913551 
0.5945874 0.1892718 
0.05153273 0.2297296 
0.5638254 0.3419017 
1.359362 0.4054998 
0.2383679 0.3493815 
0.2742772 0.1208573 
0.1063496 0.1135656 
1.375715 0.1191288 
0.07208046 0.04982106 
0.3041327 0.2414931 
0.4506759 0.142519 
0.6476454 0.520343 
0.2866046 0.07273849 
0.2256704 0.3116561 
0.2455167 0.4796524 
0.296893 0.2586717 
0.2780993 0.1400631 
0.1999818 0.1486591 
0.1886276 0.09367357 
0.5139338 0.8393706 
1.041042 0.2279402 
0.1754099 0.1863276 
0.2376274 0.4011635 
0.3741166 0.05052689 
0.3759552 0.0407084 
0.389098 0.09526094 
2.082905 0.04110242 
0.1917903 0.2125672 
0.1893381 0.45629 
1.340367 0.1040809 
0.3810427 0.164375 
0.1307391 0.2041424 
0.04721131 0.3068682 
1.018584 0.4896559 
0.3203739 0.4958107 
0.1138869 0.1233798 
0.06346355 0.1486981 
0.3900827 0.5075444 
0.4721883 0.05157403 
0.8072337 0.2886608 
0.3651359 0.2791086 
0.03828741 0.1628273 
0.1599005 0.5026406 
0.1488595 0.1114362 
0.1428738 0.2190441 
0.5991564 0.2014502 
0.245714 0.2508955 
0.5697526 0.2359079 
0.1562996 0.1613835 
3.879919 0.1599811 
1.456582 0.1002352 
6.402186 0.299114 
0.4475848 1.11411 
0.1090985 0.4758072 
0.04374782 0.1964579 
12.30045 0.2568717 
0.5081316 0.1634567 
0.4485243 0.5128291 
0.4595422 0.2119051 
1.666692 0.09559205 
0.2052266 0.1035536 
1.697776 0.4626757 
0.6311845 0.2278415 
0.5774565 0.3499782 
3.482674 0.05802333 
0.2713958 0.1937878 
0.2492766 0.1660243 
1.258126 0.1857897 
0.03837747 0.02815247 
0.09787748 0.2069597 
1.684625 0.02660586 
0.6221225 0.07639424 
1.081043 0.1018232 
0.6874898 0.1417086 
0.5528015 0.1939247 
0.3632842 0.1187827 
0.06343088 0.1378409 
0.1085517 0.07353061 
0.5463628 0.1237769 
0.6075637 0.2092276 
0.03432504 0.1658804 
0.1508493 0.2059382 
1.057704 0.2152025 
0.2455572 0.4573116 
0.6104554 0.3251463 
0.2914516 0.7058034 
0.09667836 0.1186704 
0.02603224 0.2393822 
0.2221907 0.03598125 
0.06590805 0.24518 
0.3000586 0.438618 
0.05030854 0.3546833 
0.2125804 0.5975433 
0.2231174 0.4539218 
0.9082365 0.06050006 
0.09500895 0.253887 
0.2174819 0.06969174 
1.488329 0.08362426 
0.321327 0.03915291 
0.5777891 0.06845563 
0.6858027 0.7874531 
1.527516 0.2274173 
1.822405 0.2475834 
1.24306 0.6749788 
0.1339636 0.265575 
0.8434801 0.2746371 
0.1213051 0.266361 
0.7089398 0.2641481 
0.6780578 0.1342128 
2.14372 0.09625549 
0.2085731 0.2075964 
1.474226 0.3844652 
0.5805467 0.03173917 
3.016617 0.3157012 
0.1065186 0.06416547 
2.586015 0.06924735 
3.083136 0.4294764 
2.19352 0.3261942 
0.2425592 0.0472524 
2.136126 0.1974685 
0.6445457 0.2509949 
0.1299977 0.09957833 
1.507555 0.2460907 
3.542655 0.07934626 
2.122477 0.1730748 
0.2622575 0.4503083 
0.04159599 0.3414314 
1.251866 0.4125746 
0.08404051 0.06533226 
0.3798924 0.151193 
0.405222 0.1027979 
0.1459978 0.1561618 
0.07581333 0.3058403 
0.2182429 0.1278842 
0.06835337 0.4145921 
0.0850441 0.04638618 
0.1295358 0.3777118 
4.684915 0.2053586 
2.335905 0.1277053 
2.174403 0.2921771 
0.5396385 0.06682479 
1.559519 0.1086014 
0.07968368 0.222611 
0.3184122 0.1538016 
0.1046345 0.2142586 
0.08879355 0.6140848 
0.1081849 0.04052766 
6.554119 0.07996601 
19.54725 0.09891991 
0.1987739 0.8021154 
0.3229455 0.1517208 
0.6343167 0.07179165 
0.1375146 0.07503359 
1.123925 0.07466447 
0.2895018 0.09121827 
0.6405112 0.2912665 
2.931979 0.09892735 
0.4252133 0.249723 
0.08049529 0.1916515 
0.263238 0.2677669 
6.715415 0.0660677 
21.99588 0.143418 
0.5916993 0.3295902 
6.862378 0.3024854 
0.4905352 0.2810158 
0.632695 0.1467935 
0.5599609 0.3966789 
0.03350614 0.4404092 
0.09257617 0.05462026 
1.390599 0.4737778 
0.5079383 0.183193 
0.1818276 0.2204709 
1.337824 0.2166515 
0.6988818 0.4554926 
0.8240733 0.3806929 
0.2651366 0.6681086 
0.06399387 0.2586209 
0.09548635 0.9629185 
0.2659591 0.1642477 
0.4543173 0.3342807 
0.6251047 0.06492423 
0.07550475 0.4349296 
0.04644513 0.3999386 
0.1552067 0.2897054 
0.1628396 0.3408257 
0.08227353 0.1853793 
0.1007204 0.4943581 
0.03326739 0.1081033 
0.4901033 0.3241468 
0.0302647 0.0770363 
0.09590228 0.3809693 
0.1632623 0.2319858 
3.158864 0.1117773 
0.5741097 0.1724017 
0.08596912 0.300705 
0.2548861 0.1477825 
0.1240192 0.2011275 
0.03384567 0.2056356 
1.100364 0.2090775 
2.349216 0.2302398 
0.8731004 0.1982141 
0.1384744 0.8712778 
0.3989699 0.1801856 
0.4833406 0.2029221 
0.6060748 0.06243583 
1.792523 0.2200171 
0.8662401 0.1403651 
0.1354181 0.1266813 
0.1994181 0.08726938 
0.1726083 0.1528516 
0.1182719 0.2433048 
0.2380392 0.3991599 
0.3313132 0.3659181 
2.004199 0.8178343 
1.398454 0.2096522 
0.6182838 0.2286694 
0.1880674 0.1821959 
0.6738351 0.1818043 
1.027 1.051284 
0.6254097 0.1652475 
1.525212 0.239067 
0.1654358 0.4665227 
0.7091889 0.6351035 
1.491618 0.2483528 
0.1786322 0.2088528 
0.08503028 0.1551214 
0.1194015 0.0464507 
0.02622285 0.3415931 
1.027393 0.03761803 
0.1608097 0.1004358 
3.338555 0.12582 
0.03951988 0.1222674 
1.543012 0.1169196 
3.210941 0.3157802 
1.340395 0.1899697 
0.8224055 0.3519708 
1.88275 0.3544151 
0.144945 0.06190718 
0.6191105 0.1338252 
0.2827875 0.2288817 
0.9322652 0.2541764 
2.618157 0.1684286 
0.6649926 0.04448615 
0.2734982 0.1311188 
0.7639694 0.3489311 
6.907537 0.121446 
8.462345 0.326274 
0.4856225 0.02303851 
0.6411401 0.1047805 
0.02037134 0.07187373 
3.204533 0.2173076 
0.6758735 0.1795891 
6.790738 0.7434766 
0.4268097 0.08719969 
0.1357676 0.0900534 
0.7191865 0.298557 
0.6252879 0.1845945 
0.1666298 0.2993334 
2.453075 0.3060635 
2.207523 0.2869947 
1.180618 0.7553302 
0.2234777 0.176325 
2.388094 0.1223515 
3.019804 0.2884047 
0.763913 0.05041199 
0.8382427 0.2301524 
0.6087654 0.2144469 
2.119032 0.3501419 
0.2233776 0.3789479 
0.7566478 0.1297674 
0.2107867 0.2328991 
0.9308279 0.2484153 
17.90667 0.9124076 
0.5545051 0.6082932 
0.7289852 0.08778188 
0.5675742 0.04667622 
1.768649 0.06488782 
2.524266 0.10104 
