p_1 p_2 
0.7727565 0.2272435 
0.8484038 0.1515962 
0.8207076 0.1792924 
0.7894283 0.2105717 
0.8241764 0.1758236 
0.7682834 0.2317166 
0.8427709 0.1572291 
0.8698258 0.1301742 
0.8272313 0.1727687 
0.79768 0.20232 
0.8182298 0.1817702 
0.8561304 0.1438696 
0.8470621 0.1529379 
0.8157113 0.1842887 
0.8522459 0.1477541 
0.8417277 0.1582723 
0.7336459 0.2663541 
0.7885388 0.2114612 
0.8195867 0.1804133 
0.7905596 0.2094404 
0.8631622 0.1368378 
0.7502281 0.2497719 
0.8389355 0.1610645 
0.76551 0.23449 
0.8432502 0.1567498 
0.7996288 0.2003712 
0.7160715 0.2839285 
0.8071246 0.1928754 
0.8313336 0.1686664 
0.798389 0.201611 
0.7919391 0.2080609 
0.8976154 0.1023846 
0.8887863 0.1112137 
0.8186475 0.1813525 
0.8013333 0.1986667 
0.8578856 0.1421144 
0.7855718 0.2144282 
0.8016676 0.1983324 
0.8701306 0.1298694 
0.8131608 0.1868392 
0.8248123 0.1751877 
0.7728645 0.2271355 
0.8317076 0.1682924 
0.8033148 0.1966852 
0.8416503 0.1583497 
0.8575761 0.1424239 
0.830997 0.169003 
0.820482 0.179518 
0.813168 0.186832 
0.8164602 0.1835398 
0.7880204 0.2119796 
0.7154287 0.2845713 
0.8396735 0.1603265 
0.8120536 0.1879464 
0.8587469 0.1412531 
0.7621109 0.2378891 
0.8449432 0.1550568 
0.8715377 0.1284623 
0.769929 0.230071 
0.7977287 0.2022713 
0.8402758 0.1597242 
0.8081701 0.1918299 
0.770363 0.229637 
0.7858107 0.2141893 
0.7856357 0.2143643 
0.8129759 0.1870241 
0.7999979 0.2000021 
0.8474237 0.1525763 
0.824014 0.175986 
0.861275 0.138725 
0.8270295 0.1729705 
0.8479249 0.1520751 
0.8231951 0.1768049 
0.7929144 0.2070856 
0.872496 0.127504 
0.868127 0.131873 
0.8226993 0.1773007 
0.8897761 0.1102239 
0.7962566 0.2037434 
0.7935886 0.2064114 
0.8557341 0.1442659 
0.7924937 0.2075063 
0.836194 0.163806 
0.7286534 0.2713466 
0.7652727 0.2347273 
0.8094403 0.1905597 
0.7653897 0.2346103 
0.7755358 0.2244642 
0.7904515 0.2095485 
0.7724628 0.2275372 
0.8249896 0.1750104 
0.8209348 0.1790652 
0.8743622 0.1256378 
0.8751163 0.1248837 
0.7993121 0.2006879 
0.8290868 0.1709132 
0.8316647 0.1683353 
0.7801632 0.2198368 
0.7338107 0.2661893 
0.8386175 0.1613825 
0.799576 0.200424 
0.7410328 0.2589672 
0.8123011 0.1876989 
0.7466959 0.2533041 
0.6714725 0.3285275 
0.8069587 0.1930413 
0.8081678 0.1918322 
0.8534264 0.1465736 
0.8265372 0.1734628 
0.7602432 0.2397568 
0.8869596 0.1130404 
0.7976804 0.2023196 
0.8328551 0.1671449 
0.7121611 0.2878389 
0.6877394 0.3122606 
0.8501579 0.1498421 
0.8588113 0.1411887 
0.7517815 0.2482185 
0.8651304 0.1348696 
0.8343368 0.1656632 
0.8452806 0.1547194 
0.7750006 0.2249994 
0.8513546 0.1486454 
0.8830412 0.1169588 
0.8374643 0.1625357 
0.7223262 0.2776738 
0.8179943 0.1820057 
0.8438313 0.1561687 
0.8109863 0.1890137 
0.8147822 0.1852178 
0.8136408 0.1863592 
0.8123108 0.1876892 
0.8497977 0.1502023 
0.8469068 0.1530932 
0.7980721 0.2019279 
0.8426741 0.1573259 
0.7643566 0.2356434 
0.8122075 0.1877925 
0.7889251 0.2110749 
0.7465072 0.2534928 
0.7834703 0.2165297 
0.7989567 0.2010433 
0.8509759 0.1490241 
0.7955284 0.2044716 
0.779081 0.220919 
0.8355682 0.1644318 
0.7219492 0.2780508 
0.8435205 0.1564795 
0.8621607 0.1378393 
0.8362569 0.1637431 
0.8026747 0.1973253 
0.8308823 0.1691177 
0.8353331 0.1646669 
0.7982846 0.2017154 
0.8286672 0.1713328 
0.7891868 0.2108132 
0.7953483 0.2046517 
0.84829 0.15171 
0.7581429 0.2418571 
0.8303818 0.1696182 
0.7833364 0.2166636 
0.8095926 0.1904074 
0.8055422 0.1944578 
0.7509463 0.2490537 
