u.bar t.bar 
1.088398 1.118729 
1.0709 0.9863353 
1.10115 1.105726 
1.024614 1.249529 
1.102603 1.242109 
1.129605 1.821819 
1.006597 2.124037 
0.9811401 1.748371 
1.097457 1.644379 
1.093323 1.897202 
0.8928272 1.413389 
1.072997 1.321796 
1.090642 1.080263 
1.085181 1.356557 
1.021082 1.317954 
0.9831587 1.095013 
0.8402112 1.264835 
0.9980039 1.352883 
0.9701503 1.380182 
0.988859 1.43326 
1.005631 1.385616 
0.8438348 1.295583 
1.005002 1.06537 
0.9026429 1.204154 
1.040139 1.002734 
1.07572 1.106955 
1.061481 1.035207 
0.9376466 1.002736 
1.061894 1.009142 
1.086669 1.152195 
1.067575 1.182359 
1.00406 1.199756 
0.9365008 1.147122 
0.9725408 1.193368 
1.084084 1.071973 
0.9772276 1.243427 
0.9129973 1.171332 
1.257907 1.225263 
0.9605483 1.506106 
0.9194161 1.298544 
0.9687908 1.177639 
1.033556 1.165769 
0.9542518 1.289509 
1.081013 1.338496 
1.069156 1.279235 
0.9040869 1.627478 
0.9668179 1.623018 
0.8233754 1.375241 
1.03041 1.260648 
0.9689951 1.16544 
1.005326 1.198657 
1.006071 1.107228 
1.008728 0.9167202 
0.9842558 1.17798 
0.960167 1.106654 
1.068969 1.302645 
1.098586 1.755237 
0.9374613 1.514143 
1.056692 1.321233 
1.106157 1.116138 
1.003146 1.102899 
0.9987424 1.420735 
0.9234583 1.502987 
1.053439 1.170673 
0.9819066 1.12558 
1.064045 1.040765 
1.075433 1.193131 
0.845185 0.9873335 
0.9121904 1.103437 
0.9356338 1.157408 
0.887454 1.168073 
1.103535 1.093862 
1.003407 1.138917 
1.028454 1.180603 
1.101514 1.153487 
1.025264 1.130896 
0.9605804 1.405068 
1.002375 1.301423 
0.9070226 1.219973 
0.9891095 1.30723 
1.005638 1.150023 
1.009826 1.015153 
0.9968749 0.9874246 
1.065251 1.050163 
0.9768643 1.029119 
1.015785 1.101788 
0.917424 1.223609 
0.954913 1.345077 
1.16291 1.211882 
0.9372757 1.234268 
0.9494437 1.139043 
1.101746 1.130887 
0.9124508 1.378273 
1.161103 1.140965 
0.9543028 1.259609 
1.029216 1.243793 
1.051774 1.283313 
0.9920093 1.039983 
1.057364 1.284152 
0.9556567 1.365045 
0.9764827 1.356754 
0.9557046 1.083342 
0.9432619 1.358048 
1.051376 1.049823 
1.07281 0.9184234 
1.07892 0.8960977 
0.9776616 0.7977501 
1.067281 1.067786 
1.14894 0.9431952 
1.03281 1.074696 
1.001822 0.9588839 
1.139578 0.8807319 
0.9296925 0.9740414 
0.8785744 1.233781 
0.9932001 1.259772 
0.8741509 1.609973 
0.9290849 2.052903 
0.8073818 1.943794 
0.816238 1.867724 
0.8353058 1.878911 
0.7482701 1.595504 
0.9639223 1.25627 
0.9981605 1.580707 
0.8983471 1.548303 
1.058594 1.714136 
1.016475 1.565983 
0.9870514 1.416993 
1.047501 1.127674 
0.9605489 1.206164 
0.9036436 1.198049 
1.016008 1.108016 
1.215988 1.019175 
1.091929 0.9421859 
0.9347609 1.011978 
1.042775 0.980797 
0.9758103 0.9424358 
0.9354144 1.001107 
1.014451 0.958902 
0.9143517 0.9045358 
1.082968 0.7633946 
0.9575957 0.8697828 
1.064744 0.9494593 
1.032599 0.7664931 
1.043702 0.8259683 
1.036959 0.7455564 
1.007957 0.7109025 
0.8815865 1.036794 
1.103058 1.056217 
0.9754264 0.9563896 
1.080416 1.012809 
0.9084305 1.082674 
0.9865827 1.196892 
1.08845 1.291604 
1.000903 1.351536 
0.9046847 1.431956 
1.156572 1.278401 
1.025458 1.46027 
1.050151 1.408225 
1.149843 1.179828 
1.136986 1.040515 
1.033588 1.212692 
0.9550292 1.228911 
1.129225 1.13098 
1.019604 1.267149 
0.9630255 1.0477 
0.8504609 1.359879 
0.9531978 1.276875 
1.018386 0.9906769 
1.11031 0.9807225 
1.011153 0.9425831 
1.16201 0.9313948 
1.057267 0.9026643 
0.9945313 0.7671396 
1.107472 0.853999 
1.083851 0.7883318 
1.072416 0.8011638 
0.9999043 0.7631534 
1.056889 0.7664614 
0.9510438 0.952896 
0.9948188 0.8930741 
0.9466947 0.9294817 
1.139853 0.9479323 
1.013004 1.124235 
0.978765 0.9170321 
1.008797 0.7264009 
1.021972 0.7852359 
1.063903 0.7588196 
1.126733 0.8367505 
0.874112 0.9524895 
0.8986927 0.996383 
1.023001 0.8004961 
1.06463 0.855218 
0.9241933 0.9520277 
1.090199 1.115991 
1.054873 1.130876 
0.9755231 1.194433 
1.112579 1.045062 
