"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-22.05887 -6.343489 -8.889692 -5.256228 0.0005007893 3.972828
-22.36071 -5.069166 -9.335688 -3.500066 0.1753865 3.956704
-22.20869 -3.516793 -8.84717 -4.971676 0.2522241 3.900017
-22.79491 -4.570606 -8.745531 -5.380611 0.9513132 4.039785
-21.2032 -6.272752 -10.20915 -5.169023 -0.07320001 4.051267
-23.42069 -4.427608 -8.265886 -5.362521 -0.2280808 3.999341
-23.00033 -4.188309 -8.974011 -6.072383 -0.05869145 3.949296
-23.74864 -4.124827 -7.700083 -5.790085 -0.1848116 3.946378
-20.34903 -5.606092 -9.537927 -5.988444 -0.1915179 4.003111
-22.84761 -3.931673 -10.29024 -3.63443 -0.05975985 3.931731
-22.80616 -4.824722 -9.814541 -4.206829 -0.08639861 3.987915
-23.34214 -4.948947 -8.634013 -4.1612 -0.08469902 3.96486
-17.61857 -3.412826 -8.829354 -6.714609 0.3421714 3.883129
-23.25082 -4.570231 -10.21327 -4.848402 -0.2553355 3.936528
-22.42772 -5.120176 -9.409715 -5.085211 -0.06773422 3.971313
-24.05605 -3.471831 -9.919413 -4.296892 -0.005340842 3.986524
-18.97479 -4.205271 -9.061982 -7.147854 0.2677173 3.936475
-22.73033 -4.57227 -7.330792 -6.377352 -0.03793822 3.937669
-17.85807 -10.69235 -8.47122 -5.658073 -0.1576919 3.967859
-20.08299 -2.85749 -8.773479 -5.694511 -0.1332529 4.005662
-45.22007 -8.747192 -8.28414 -5.762133 -3.850167 3.960729
-26.30466 -5.465889 -11.83164 -5.08595 0.8142447 3.934588
-21.93747 -6.054913 -8.978164 -6.413191 -0.09977733 3.989304
-22.50887 -3.776237 -9.102425 -4.5245 0.2289703 3.932499
-10.45204 -4.7706 -8.57049 -5.129551 -0.1550299 3.986016
-13.40267 -5.094932 -8.89363 -3.657766 -0.03159244 3.976893
-22.41473 -3.517521 -8.291067 -5.332827 -0.2852761 3.963793
-23.7777 -3.744424 -4.603777 -4.175846 -0.1324423 3.978769
-21.82923 -4.442941 -7.984819 -4.651056 -0.1227899 3.96256
-24.28643 -3.551909 -9.865965 -5.083653 0.1619687 3.984164
-17.69108 -5.281504 -8.982565 -5.770242 -0.1139331 3.948257
-22.44656 -4.484618 -9.913199 -2.308866 -0.01604149 3.929395
-6.780039 -5.498305 -9.59619 -5.0771 0.2170541 3.915725
-24.34669 -3.990086 -8.597267 -5.506487 0.05143359 3.881841
-22.67655 -5.011647 -9.789363 -4.303788 -0.001494142 4.021393
-20.94812 -5.06473 -9.497429 -5.220847 0.07037669 3.947283
-20.93439 -4.615135 -9.250637 -6.28921 0.3255885 3.934754
-20.95308 -7.720485 -9.235708 -5.713587 -0.06584397 3.95812
