"comp1" "comp2" "comp3"
20.50092 0.01524355 1.059059
2.202635 0.03161602 0.1755845
14.69346 0.01814398 0.5393908
0.1475601 0.01912506 0.2098363
0.2221844 0.08588949 0.1504765
22.54447 0.0451309 3.106171
0.7038614 0.03141109 0.3346626
1.087382 0.0187317 0.1207618
5.7552 0.01566313 0.9088738
26.88434 0.03743986 0.2734836
2.410583 0.008703828 1.212796
0.3003119 0.02099361 0.08712877
3.749192 0.01625964 0.4798344
11.43093 0.0323473 0.2506197
15.48126 0.01623059 0.5692598
11.03709 0.02099162 0.09489252
1.109676 0.01937497 0.1681351
281.7299 0.01346713 0.4865469
0.03844101 0.009507257 0.2345764
5.88415 0.01371634 1.579245
1.291865 0.02544612 0.5444793
0.1814266 0.03697237 2.192899
0.997476 0.01567734 1.094359
0.08733598 0.01123475 0.3662326
0.2255555 0.01919288 0.9373256
2.429138 0.01947441 0.06702934
22.09686 0.02328929 0.316226
0.6972032 0.02247247 0.13905
0.6122476 0.0223163 0.1733154
0.3744134 0.01406872 0.2779065
1.794861 0.03980133 0.3292438
0.1236861 0.05102539 1.138219
0.01994253 0.02428503 1.529494
7.566728 0.01614721 0.1324728
11.26437 0.01584682 3.550346
0.2379903 0.0273695 0.08392167
3.028698 0.09971414 0.01251992
44.04543 0.03130696 0.1283432
9.972416 0.02741184 0.941188
2.417317 0.01261785 0.2636121
5.612157 0.03294467 0.9776366
30.16975 0.01974843 0.209188
54.52082 0.01403971 1.588859
0.2626306 0.01489011 1.573258
2.40438 0.09088156 0.09668289
0.02556645 0.02657406 0.2425975
0.01789297 0.02348508 0.06636785
0.08654888 0.01459681 0.1115719
90.89119 0.03224128 0.08538569
101.7259 0.01846377 5.446091
10.23559 0.01290697 1.195065
11.05485 0.01285048 0.739789
2.120889 0.04633751 0.1528833
16.78823 0.04155077 0.4514498
20.43599 0.01208021 1.378089
22.35055 0.03208963 0.1951649
0.0748893 0.03754915 0.1205766
0.1903834 0.03383497 0.09805333
6.985049 0.03102269 1.076976
0.3891294 0.01528644 0.202726
1.036171 0.02763361 0.03209313
1.284416 0.02408972 0.2015852
0.4326055 0.007548419 0.1043232
0.3788426 0.02435829 0.7459711
0.5926075 0.02411299 0.1728733
1.32605 0.01674789 0.2138314
0.05396355 0.01889875 0.1600111
27.20795 0.06061367 1.026465
17.59914 0.04177055 0.1808137
6.835951 0.008961651 0.5825271
0.1180832 0.02071487 2.279955
1.065494 0.04130302 0.3095737
1.379803 0.01671841 3.28936
0.03377309 0.01212771 5.575789
0.1375118 0.01729742 1.671404
2.018457 0.02899483 0.1625239
2.648527 0.02354691 0.04364439
4.2337 0.04727746 3.555027
85.03684 0.02903843 0.6287986
0.3233025 0.01880861 0.6448494
29.13431 0.04136702 0.654084
0.3196058 0.0232554 2.079576
0.1462814 0.02252696 1.377969
8.709682 0.04424264 0.3680103
4.199393 0.01022195 0.9149682
0.8330627 0.01675845 0.1283962
21.27708 0.02247641 1.602364
5.050732 0.04804788 7.397502
0.08874812 0.0182347 0.3595513
0.05534406 0.02310077 0.1247195
36.88008 0.02621689 0.02721089
0.5066953 0.02641381 0.1825504
3.897423 0.01460507 2.537924
1.619105 0.0484462 1.826725
0.04357118 0.01450101 0.02008618
0.05234089 0.0129397 0.7550487
0.01561127 0.01550344 0.3021402
11.88164 0.01771485 0.02165675
1.368301 0.02663999 2.976632
2.785045 0.03682529 0.05334527
0.1384933 0.02577975 0.2953816
41.85421 0.02447613 0.09567209
17.75754 0.007695543 0.04886715
1.010173 0.04485618 0.7974311
2.676489 0.0237308 0.6243001
0.02017232 0.02170026 153.3887
18.8175 0.04367847 0.9259182
0.4100175 0.02848768 0.05746099
1.17985 0.01983695 0.1807113
13.19062 0.01338594 0.261347
0.4233854 0.02456428 0.04181191
64.71976 0.02629523 0.9179821
0.6621319 0.009724731 0.08478393
165.7073 0.04410155 0.8439126
0.9184591 0.03525786 0.4650431
1.477238 0.008920174 0.04403261
0.1004087 0.03110543 0.6780085
0.2833605 0.02461267 0.2386467
0.5112715 0.02479101 1.496016
43.70938 0.01001772 0.1019383
2.445117 0.01807339 0.2869036
0.06602838 0.02060105 0.3742847
20.27805 0.0373774 0.04521309
4.8475 0.0151816 0.499864
0.3575375 0.01986352 0.6328203
8.975879 0.02224263 0.09142789
0.1709805 0.03057727 0.7465564
2.359433 0.04752063 0.1985073
2.031553 0.01408875 0.8911823
5.94201 0.0097926 0.3923547
197.8522 0.02054857 0.4738306
11.13859 0.03191148 1.067175
0.1978402 0.05198 0.1205938
6.500765 0.009888904 0.05571868
22.42243 0.01485845 1.102857
17.63449 0.01839769 1.08622
