beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
0.06141409 3.992045 -8.718497 -4.602462 -16.53176 -10.12776 
-0.1675016 4.011349 -8.947833 -4.557376 -22.30238 -1.958902 
-0.1358372 3.953295 -10.01927 -4.99842 -22.70333 -4.771961 
-0.1539732 3.892669 -9.30836 -5.916099 -17.68739 -10.19734 
0.06902048 3.970304 -8.193661 -6.145416 -24.51691 -2.768878 
-0.003901309 4.006094 -9.843746 -3.859798 -21.71105 -8.445626 
-0.08711046 3.991974 -9.449268 -3.988407 -23.47198 -4.338793 
-0.001911951 3.960675 -9.452774 -5.568123 -22.57775 -5.208258 
-0.2191573 4.045371 -8.422211 -3.99514 -9.555271 -4.609717 
-0.01791015 3.96525 -9.76634 -3.664437 -22.69591 -4.848345 
0.1458393 3.963843 -9.080955 -4.922029 -27.52154 -7.272745 
0.1573858 4.01785 -11.00702 -5.95056 -22.3365 -5.703706 
-0.1206468 4.002341 -8.511299 -6.439087 -23.62696 -2.239373 
0.07823027 4.041697 -9.885428 -4.716376 -24.53988 -5.360291 
-0.258047 3.937748 -9.491683 -5.867729 -24.82432 3.080488 
-0.1848171 3.943253 -9.410693 -5.14869 -22.47745 -5.920387 
-0.03430801 3.876312 -9.233737 -6.124817 -15.93892 -6.032078 
0.06303038 3.992562 -9.366116 -5.934947 -14.26002 -9.350208 
0.05047437 3.957196 -9.557713 -3.62616 -22.41891 -5.761042 
0.08005928 4.005702 -9.407365 -6.265366 -21.29721 -6.08724 
0.06882585 3.996597 -8.130469 -5.340647 -22.49411 -6.46947 
0.265243 3.930473 -9.171439 -5.96575 -26.19032 -4.307263 
-0.1177653 3.957066 -9.178463 -5.605162 -22.081 -4.188975 
0.1370148 3.961675 -8.836289 -4.038513 -23.20277 -6.08875 
-0.2989513 4.014118 -9.784877 -4.893641 -23.1736 -4.00932 
0.05806009 3.916083 -9.326946 -5.364308 -26.21682 -3.427345 
0.03341912 3.930799 -6.355621 -5.230042 -23.76014 -3.84513 
