nu alpha 
3.40528 0.4064295 
10.13589 0.4499344 
2.809057 0.4089317 
1.76295 0.4571474 
1.904616 0.2513837 
3.562336 0.06907434 
3.573882 0.1378433 
3.169059 0.1377207 
3.760388 0.2054924 
3.195178 0.4845779 
4.436773 0.2267126 
2.979026 0.4214566 
7.285319 0.2836737 
2.43888 0.4821692 
2.477752 0.05754755 
2.663071 0.1371566 
24.94798 0.09966894 
5.269967 0.1543431 
4.94219 0.1050775 
2.876921 0.0508165 
1.996707 0.3839381 
1.496824 0.456996 
1.510934 0.2366415 
1.514963 0.3643009 
3.1197 0.2344159 
3.083569 0.4102025 
1.750682 0.3310998 
2.154272 0.4443416 
1.884367 0.3706555 
2.129945 0.1413157 
1.558729 0.3415701 
3.05603 0.48355 
2.668257 0.2014817 
2.186505 0.3284178 
3.70161 0.2018558 
2.92102 0.4361021 
2.889955 0.06076237 
2.543328 0.2601475 
1.63553 0.410716 
2.307909 0.3231533 
1.760024 0.3504537 
2.788615 0.257362 
2.461428 0.3412014 
1.634596 0.4846931 
1.613131 0.3548619 
1.988294 0.370156 
1.759789 0.4009754 
1.465418 0.1373502 
2.758512 0.3372467 
1.729226 0.2319774 
3.048486 0.461976 
2.034818 0.4972924 
1.990869 0.4284086 
2.085672 0.3619205 
2.959622 0.4808468 
5.886997 0.4248941 
2.898912 0.4294452 
4.746548 0.245194 
4.94253 0.3598833 
4.192975 0.255949 
3.356823 0.4707552 
2.782622 0.1691595 
2.484695 0.3976788 
1.325071 0.2590867 
2.78238 0.317175 
1.502 0.2889436 
2.611879 0.104221 
2.923682 0.4517219 
3.016545 0.3556979 
2.385863 0.2423558 
1.322382 0.2483647 
2.714712 0.2638809 
2.741104 0.2301835 
1.192156 0.3266867 
1.586948 0.4013294 
1.799771 0.4518149 
1.67817 0.4638124 
1.719909 0.4433135 
1.831603 0.3501693 
1.761545 0.4129504 
2.468866 0.4996988 
3.390361 0.3204203 
2.538494 0.4824501 
1.980103 0.4656432 
1.909286 0.4948791 
1.725863 0.4195579 
2.713162 0.2603402 
1.632226 0.2731408 
2.093096 0.1180303 
1.561916 0.4642041 
2.447266 0.4870817 
1.496118 0.4203188 
2.3711 0.4876187 
3.252237 0.1750327 
3.006434 0.4091449 
3.401771 0.3484109 
2.698904 0.3813132 
2.341828 0.06930066 
3.049015 0.2507587 
3.956391 0.3920538 
2.664727 0.2826028 
1.496485 0.3156117 
2.220722 0.3054295 
3.028489 0.243253 
1.71203 0.2297972 
4.456614 0.02904592 
2.01016 0.3544853 
2.0948 0.1531684 
4.642619 0.3627875 
2.073251 0.2952857 
3.473013 0.2787802 
4.573577 0.1982997 
1.922672 0.2704545 
2.117633 0.3602536 
2.490271 0.2825884 
3.249246 0.2293752 
3.341956 0.3394829 
2.031742 0.283299 
1.812103 0.3099465 
1.70671 0.4720525 
1.405563 0.4749744 
2.688921 0.2521704 
2.402661 0.3460283 
2.58304 0.2005972 
2.922589 0.4849262 
3.407303 0.3853494 
2.795961 0.4387316 
4.813797 0.2667594 
2.275317 0.358631 
2.741327 0.2221177 
2.663636 0.2652758 
11.75372 0.134719 
3.299909 0.1255049 
2.053517 0.1366536 
2.774017 0.1490043 
2.672727 0.267972 
2.518694 0.1201687 
1.766774 0.310412 
2.916093 0.2656354 
4.201203 0.3956048 
3.61665 0.2815984 
3.19556 0.4984395 
6.089818 0.1305522 
7.810689 0.03798163 
7.076018 0.3264925 
72.25132 0.02517762 
20.81435 0.09687416 
13.26698 0.4450402 
7.475772 0.3700038 
3.466188 0.368018 
2.110907 0.1645607 
1.825468 0.4906077 
3.644327 0.3213617 
2.892589 0.4697005 
3.32073 0.4577933 
5.047145 0.2778944 
6.14817 0.05149327 
3.284356 0.4662654 
1.977734 0.1868165 
3.710216 0.3967396 
6.694836 0.08561235 
4.052697 0.1592122 
2.863134 0.2037421 
3.561328 0.2325097 
2.445731 0.349677 
2.482296 0.1592123 
2.915742 0.2290192 
3.013541 0.2507557 
2.83599 0.106088 
1.827203 0.2803102 
2.780403 0.2654032 
1.589169 0.3106119 
2.563308 0.4538096 
1.732303 0.1218388 
2.112116 0.4054444 
2.523946 0.2576892 
3.871342 0.4197928 
2.970339 0.4219738 
2.256874 0.1490328 
3.309353 0.3206591 
3.378066 0.1649075 
3.717124 0.1293525 
3.31737 0.3714565 
3.371683 0.2765093 
6.577097 0.2127344 
4.029017 0.2217545 
3.152522 0.3233101 
3.490525 0.3168947 
2.971857 0.1717267 
3.111783 0.19747 
2.365298 0.2088296 
2.014178 0.0900507 
2.22406 0.3016711 
3.122168 0.382786 
2.333287 0.354442 
2.143446 0.3538939 
4.178106 0.2230041 
3.775603 0.1738886 
4.023424 0.4374971 
3.727766 0.2340056 
6.132861 0.1288228 
4.963053 0.1986635 
3.803026 0.4786726 
2.297742 0.2070288 
3.019648 0.2432102 
5.148277 0.3117837 
4.631064 0.2531815 
4.554753 0.4927156 
3.692792 0.3596637 
2.947418 0.4196693 
2.723317 0.2831034 
2.260747 0.3756115 
1.750046 0.3498708 
3.371395 0.2341665 
1.399833 0.3527391 
4.922968 0.4310351 
2.038715 0.3834281 
2.147137 0.224468 
2.149962 0.4205951 
1.727611 0.3208066 
1.579558 0.2818372 
2.100302 0.462343 
1.813705 0.1179194 
2.132283 0.1435495 
2.710555 0.4411001 
2.063093 0.3360825 
1.372937 0.0849779 
1.527573 0.2517396 
1.489561 0.3261398 
2.712797 0.1181951 
2.974879 0.3734571 
2.224774 0.3670187 
2.800953 0.1370507 
1.787504 0.4796568 
2.519467 0.1567647 
1.183847 0.3285905 
1.414115 0.1562888 
2.650245 0.1198074 
2.161684 0.1019047 
3.439877 0.2364767 
3.919196 0.248625 
5.146933 0.03161633 
5.956991 0.08795489 
2.971151 0.3750676 
4.976249 0.1168279 
4.207888 0.4679721 
10.93467 0.06277486 
30.54162 0.1110993 
3.533379 0.07537351 
6.587439 0.3791681 
3.840867 0.166832 
3.72949 0.3213905 
3.526672 0.464142 
2.825549 0.3099965 
2.907013 0.3972318 
2.347519 0.2320354 
1.412358 0.2328201 
1.849391 0.3626768 
2.880111 0.358938 
2.154048 0.1496686 
2.251947 0.4625469 
3.407356 0.1587114 
2.082644 0.1389492 
1.56549 0.127401 
3.849208 0.3376224 
2.128943 0.1674042 
2.250518 0.2687761 
1.548659 0.3122968 
2.946208 0.4701656 
2.29796 0.4734136 
2.868505 0.1697845 
5.195946 0.1774163 
5.282712 0.2247929 
4.845748 0.1195568 
3.613726 0.2561788 
2.77237 0.3931967 
1.956725 0.1481298 
1.361834 0.2028456 
2.552192 0.2525923 
2.635029 0.2057393 
4.242828 0.07889412 
4.184662 0.06474212 
3.95174 0.1097994 
3.492084 0.1546502 
2.014011 0.1963116 
1.97401 0.06722622 
1.574632 0.2834934 
2.045637 0.2628033 
1.84303 0.4968891 
3.038673 0.0818205 
9.730883 0.07401225 
3.33689 0.3366245 
2.544418 0.2870567 
1.865977 0.4939875 
2.53198 0.3817515 
2.131136 0.3050049 
3.088007 0.2258784 
3.824132 0.3942618 
2.039779 0.3060284 
2.437165 0.3080785 
1.146098 0.3630896 
2.911212 0.1884151 
2.525319 0.152461 
2.250983 0.4638351 
2.175319 0.360579 
1.659982 0.4547162 
1.2628 0.2389435 
2.518887 0.4397166 
3.564602 0.3469155 
2.321584 0.3389239 
1.935071 0.1825784 
2.87339 0.3517436 
1.809219 0.3255778 
2.183537 0.3481108 
2.050508 0.1955668 
3.461665 0.420331 
3.743493 0.2697468 
2.890271 0.4425606 
2.436385 0.4786942 
3.119846 0.3717342 
1.37644 0.4144323 
2.083919 0.2482483 
2.208934 0.4794941 
3.205549 0.4133212 
2.581785 0.3590673 
2.80878 0.3899159 
2.076477 0.4610688 
2.072687 0.444266 
1.648961 0.3782655 
1.846338 0.182809 
1.558344 0.4206713 
1.595378 0.4232591 
2.603176 0.4177433 
1.880172 0.2589779 
2.71268 0.08382014 
2.335561 0.3171255 
2.450776 0.0290195 
2.678308 0.1647445 
3.099796 0.4358398 
2.79125 0.3928985 
2.005106 0.3118641 
2.360801 0.3606773 
5.924465 0.3163443 
4.074674 0.2555634 
3.861997 0.4779068 
4.453038 0.3618821 
3.360395 0.300256 
2.497674 0.4779474 
4.512468 0.2955942 
1.907353 0.41223 
3.934063 0.1612942 
3.221481 0.2786172 
1.746855 0.2592489 
1.907102 0.4917844 
3.879707 0.1179853 
1.8536 0.1302937 
2.310457 0.4547461 
2.693421 0.19339 
3.116664 0.2163928 
3.689186 0.3402779 
3.012406 0.2523778 
2.810481 0.2611807 
2.662501 0.3083993 
5.802671 0.2591139 
1.932488 0.3943751 
2.026893 0.4336188 
2.694344 0.3534474 
3.248314 0.2913029 
2.936891 0.296448 
3.033611 0.2305129 
1.649033 0.4413057 
1.82574 0.2742542 
1.440616 0.461887 
2.445598 0.2165591 
2.373022 0.4873524 
2.493946 0.09799668 
1.936333 0.4816846 
1.633029 0.3935945 
1.498353 0.2386484 
2.484049 0.3856515 
1.985223 0.2054937 
2.605271 0.3815279 
1.916655 0.3067478 
2.278984 0.1309523 
1.343517 0.08914258 
1.100169 0.3696008 
1.462215 0.4454016 
1.525702 0.2015531 
2.160308 0.2068243 
1.561217 0.3364365 
1.33464 0.1276656 
1.782989 0.4548195 
2.1123 0.1930959 
2.929691 0.3132649 
2.770426 0.468792 
1.740121 0.4958597 
3.226719 0.4995371 
1.59366 0.02395278 
2.868383 0.1984016 
8.15291 0.1624036 
2.641115 0.2554986 
2.254551 0.4778464 
2.107544 0.1439391 
2.307632 0.02598565 
3.322641 0.1724062 
2.829207 0.1453363 
5.863337 0.3982502 
2.13398 0.33665 
2.078633 0.4852278 
4.527991 0.3580074 
3.155781 0.02810007 
3.296405 0.4306807 
1.57894 0.3244693 
2.970186 0.07527976 
1.648161 0.4948828 
2.442902 0.4172146 
2.827005 0.2952918 
1.153039 0.3412923 
1.481889 0.1628891 
2.922789 0.1458252 
2.183084 0.2875668 
6.093074 0.2756892 
2.249031 0.392258 
3.529362 0.2491392 
3.427104 0.2967553 
2.929521 0.4222911 
1.971945 0.2362738 
2.444772 0.2036175 
1.724961 0.3540466 
3.697631 0.1626066 
8.28021 0.3802164 
6.02467 0.3452859 
3.879325 0.4102155 
3.425783 0.1553831 
5.365419 0.2028977 
4.380818 0.3717044 
2.593618 0.2092995 
6.126711 0.2428322 
3.952143 0.3069683 
2.288843 0.2533036 
4.117168 0.3856198 
2.332356 0.247066 
5.493479 0.2338985 
2.721752 0.2798575 
3.535735 0.3460205 
2.513648 0.1164859 
2.7589 0.184516 
2.663273 0.2322207 
2.680617 0.3323878 
2.015822 0.3618875 
1.993935 0.3539409 
2.621569 0.2576636 
1.592814 0.1822629 
1.574858 0.3847283 
2.060367 0.08737613 
1.812609 0.4023433 
2.39908 0.1456383 
1.8619 0.3382905 
1.793348 0.2496138 
1.79527 0.1600121 
1.846701 0.3312408 
2.983792 0.2222821 
2.585603 0.1229791 
1.977563 0.3322478 
2.131671 0.1538226 
2.88525 0.2437532 
3.787743 0.1653794 
1.958148 0.1835494 
2.67299 0.2850066 
1.807848 0.1716441 
2.583358 0.09680165 
3.398512 0.4328675 
2.704838 0.1495583 
2.509766 0.3765072 
2.215228 0.4356808 
1.165392 0.3493756 
1.741291 0.344581 
2.486547 0.1617678 
2.270166 0.2764239 
2.68454 0.4392992 
2.229166 0.1535347 
3.20158 0.4253066 
2.632836 0.2368326 
1.780423 0.3868182 
1.845581 0.3952855 
4.125509 0.3134928 
2.523579 0.2974061 
1.693939 0.1224295 
1.946147 0.2909595 
1.170844 0.1941655 
2.371728 0.228616 
5.043767 0.4337465 
5.639788 0.2351765 
17.71823 0.03674763 
56.46148 0.02437106 
36.76477 0.06635292 
