"nu" "alpha"
6.583174 0.09854794
4.205471 0.03588407
5.219178 0.3804105
4.038899 0.3732781
7.8194 0.1546213
4.395306 0.3119665
2.254826 0.3101578
2.38511 0.2160669
2.335305 0.4661738
4.718139 0.1580174
4.72448 0.1650865
3.854203 0.1589425
6.202467 0.1534029
2.501941 0.1332784
5.109984 0.1113401
2.476786 0.2618134
4.057669 0.1988353
10.41191 0.1430753
4.138607 0.2712118
2.483715 0.2358535
2.660643 0.2877595
3.65586 0.2739124
5.506856 0.1753849
2.55731 0.3135286
1.556168 0.333813
1.771802 0.3388444
2.218455 0.4526526
2.918679 0.1229383
3.346344 0.09922996
1.692274 0.3513172
7.409589 0.1772084
2.014276 0.3821843
4.501394 0.2049706
3.137858 0.05369374
5.546026 0.200495
6.260817 0.3419568
2.883779 0.2494964
4.387422 0.09150349
2.138087 0.4708216
2.885137 0.3861062
1.879047 0.237364
11.34248 0.3195596
1.595212 0.2583136
2.092478 0.4349544
1.920567 0.3337785
3.106642 0.373474
6.167032 0.4141947
3.889028 0.1532735
5.530299 0.3080439
1.953529 0.2120561
2.542477 0.3684323
1.591337 0.4957754
2.975536 0.3183985
9.430828 0.3846886
5.101535 0.281296
3.645617 0.2790234
3.515085 0.02929606
8.370207 0.04516876
4.133945 0.4085086
3.652998 0.2463669
3.483435 0.04046222
5.424891 0.1724325
7.988933 0.2043676
1.961656 0.1466303
2.806484 0.2375516
2.825665 0.2343589
11.5185 0.1550385
8.993349 0.07724389
8.497616 0.3507888
16.3244 0.08031389
20.68547 0.05831489
3.569164 0.2368674
2.644871 0.3938753
4.562989 0.03734296
5.672512 0.1005388
6.589104 0.4097222
4.079855 0.3513013
1.931128 0.1399854
1.918105 0.4442804
1.190471 0.3140521
2.030224 0.231514
3.333763 0.3496613
3.208098 0.4043514
2.813171 0.3873714
1.990997 0.2945514
1.693725 0.4437474
2.017059 0.2694323
10.82764 0.1520874
1.56202 0.4781724
1.776074 0.05823937
10.79884 0.3040441
3.990139 0.1188169
3.574386 0.4299577
3.079165 0.1215456
1.987527 0.4269353
2.852744 0.3527229
1.864376 0.480772
4.918392 0.108016
4.066045 0.3110938
5.09195 0.1263974
4.487521 0.4851021
4.321957 0.1223798
3.877039 0.4336873
2.014783 0.4937234
2.766077 0.3487743
2.815785 0.2359337
2.673003 0.3377851
2.292481 0.4314469
1.953973 0.467304
1.945209 0.410247
1.485341 0.3110504
5.310096 0.4116928
2.633807 0.34242
1.63988 0.435998
2.614959 0.05815246
5.367273 0.1280374
2.955959 0.1730839
2.706976 0.08490786
2.116559 0.3724716
2.429611 0.438905
2.750616 0.3455677
2.351225 0.3282886
3.309414 0.3115095
2.643508 0.3103952
1.929714 0.1271444
3.055809 0.2026064
3.609453 0.1967443
5.797145 0.3058143
6.168841 0.2658018
3.803615 0.2073345
2.043127 0.4718191
1.517767 0.3688627
1.720123 0.04312116
3.032966 0.4706079
3.743056 0.3278793
1.616663 0.4574814
4.489967 0.1374365
12.365 0.1163026
3.605837 0.4882955
2.813367 0.2123752
2.488229 0.4370269
3.450025 0.302004
2.232676 0.469531
6.555393 0.3940178
6.777801 0.446764
12.68451 0.1276685
13.52244 0.07312431
3.232994 0.3621579
4.08723 0.2906247
2.302427 0.3472264
6.585691 0.1638859
3.642627 0.06511076
1.887362 0.2370993
5.150713 0.3464954
7.966823 0.0786327
5.788402 0.02692633
3.255898 0.05655063
3.85566 0.4480652
2.627182 0.1218405
6.933115 0.1133946
5.173565 0.4651319
3.47907 0.2647167
2.141808 0.4944818
2.422467 0.1573086
2.34444 0.2987784
1.780216 0.2709566
3.522086 0.3146447
5.437963 0.07487702
2.812017 0.2736738
1.95231 0.06203749
3.310103 0.4493131
3.547209 0.4582676
4.255714 0.0448694
3.409685 0.4137654
2.485956 0.3185986
2.195006 0.395885
2.339981 0.3815645
6.325036 0.3833554
3.7343 0.3502458
2.874819 0.3111927
2.17108 0.1001263
2.211574 0.1848034
3.078625 0.445514
3.22293 0.2558898
3.53379 0.1218542
3.893668 0.3344949
3.740908 0.09354811
18.89056 0.1190093
4.43774 0.08944689
3.213732 0.4316731
3.997596 0.2188475
5.367072 0.3317901
11.46192 0.1858537
4.971688 0.2943024
2.763324 0.1311804
3.934468 0.07751211
3.144538 0.153269
1.420066 0.2757815
3.062308 0.3356895
1.618946 0.3008492
3.248772 0.2536669
4.105474 0.4779493
2.278487 0.1660879
1.657141 0.1357876
1.672302 0.2716302
1.686847 0.111146
3.313838 0.4853724
4.385837 0.2835807
2.740011 0.4809646
2.509823 0.1772591
2.063187 0.4192412
1.838647 0.1074963
3.516653 0.1801973
1.842208 0.2592071
4.501987 0.09557491
3.24737 0.2186229
2.447707 0.2901529
1.488798 0.3630827
2.409947 0.2915245
2.802974 0.3868061
2.753346 0.4640739
1.986558 0.3591573
3.283682 0.2057115
2.903354 0.4123924
2.066809 0.3304193
3.582974 0.1377582
2.824504 0.06991006
1.861255 0.4244121
2.217772 0.452023
4.843226 0.08028723
5.345411 0.1409767
3.142627 0.4011552
3.250379 0.2259693
2.995646 0.2980743
6.047616 0.3172542
19.04621 0.07971096
9.807373 0.2105093
17.33457 0.06768323
4.191253 0.3341618
6.558288 0.3323529
2.121954 0.2282866
6.43483 0.09847851
2.25235 0.3928592
26.167 0.09127708
4.911231 0.258481
3.16795 0.3227428
5.932446 0.1190293
2.186611 0.3723744
6.73717 0.03973718
3.410227 0.1917679
5.76789 0.3881154
10.94104 0.2201749
9.317004 0.3517401
4.831459 0.20812
23.44112 0.1569864
4.135602 0.3418861
1.407212 0.3217168
2.157844 0.3953587
2.920147 0.4843028
7.00849 0.2010504
4.153307 0.1386112
