Delta_1 Delta_2 
-4.729071 0.5912064 
-3.889925 0.4931864 
-4.461709 0.5944125 
-4.757838 0.6530271 
-3.001223 0.674834 
-0.556613 0.7665337 
-4.378594 0.6370249 
-1.900604 0.5890644 
-2.456438 0.5596331 
-1.565046 0.58405 
-2.925442 0.5583324 
-2.061919 0.6243684 
-2.685268 0.5787545 
-3.364957 0.5969158 
-2.829814 0.5585631 
-1.096686 0.5246895 
-2.854888 0.5011292 
-3.193564 0.5011184 
-0.7890434 0.4668464 
-2.648162 0.5386981 
-1.625815 0.4918049 
-1.580407 0.4880449 
-1.358569 0.4954513 
-0.9864671 0.5898983 
-4.775575 0.7085833 
-2.250797 0.805349 
-4.579033 0.8184983 
-1.329369 0.7044441 
-2.474185 0.7276703 
-3.081254 0.6921191 
-2.159112 0.6514093 
-6.964732 0.8504216 
-4.354355 0.8058562 
-5.687802 0.6977411 
-4.735046 0.4902065 
-3.974827 0.5924153 
-3.628499 0.7046451 
-3.321866 0.7261725 
-5.797862 0.710237 
-6.22436 0.8713749 
-8.501 0.8886251 
-5.75382 0.7864231 
-5.73065 0.8828176 
-8.110765 0.7957971 
-5.303236 0.7310917 
-2.724982 0.7354615 
-2.99981 0.5386652 
-2.327365 0.6178727 
-3.948082 0.5281027 
-4.263054 0.5758654 
-7.555343 0.4588637 
-6.490067 0.4634969 
-5.138973 0.5370778 
-2.22585 0.5699198 
-2.684919 0.5137343 
-3.755307 0.6562073 
-2.507132 0.5979252 
-5.153848 0.5275076 
-5.189356 0.4934079 
-2.478055 0.5054164 
-2.836469 0.4916531 
-1.691355 0.4896991 
-1.796805 0.5670469 
-2.670282 0.5968031 
-2.622936 0.5572117 
-1.027337 0.5471027 
-3.814753 0.6301069 
-3.576922 0.6805287 
1.524183 0.7350406 
5.600381 0.8103708 
1.903829 0.9467503 
5.179413 0.8562662 
-2.596798 0.7949628 
-4.633963 0.8696003 
-5.245987 0.7161137 
-6.393175 0.7113392 
-6.583469 0.8804057 
-6.831268 0.629753 
-5.158011 0.6287815 
-4.28185 0.4697977 
-3.894216 0.355559 
-4.420134 0.4044726 
-4.734885 0.5955723 
-4.841543 0.4625657 
-5.838263 0.5304903 
-6.267969 0.4839356 
-5.021824 0.541885 
-5.882964 0.5246744 
-6.651078 0.5644704 
-5.761639 0.6199521 
4.687104 0.6278471 
-3.178387 0.8800781 
-4.240964 0.886542 
-3.806205 0.8279077 
-3.216291 1.027579 
-4.781009 0.9916823 
-3.31002 0.8750605 
-3.699552 0.7601512 
-3.20775 0.8784271 
-4.205618 0.7121856 
-4.563037 0.6359734 
-4.793455 0.9670557 
-5.805935 0.8055897 
-6.696772 0.7767254 
-5.586924 0.5720327 
-5.271974 0.6173043 
-4.379756 0.6050701 
-5.102822 0.6499569 
-4.015457 0.5346285 
-4.014855 0.657354 
-5.220199 0.6215024 
-4.860996 0.6471008 
-4.364688 0.6651012 
-0.8803957 0.743993 
-3.970142 0.7843473 
-4.74689 0.6737673 
-3.213991 0.7321125 
-4.045785 0.8034491 
-5.253981 0.6295242 
-3.933372 0.7677235 
-4.718479 0.7727062 
-1.456488 0.6462138 
-1.768687 0.602296 
-2.741914 0.5622703 
-2.231484 0.6083149 
-5.037498 0.6858842 
-2.260054 0.7219154 
-5.992308 0.6134211 
-5.006987 0.6421762 
-4.173569 0.6940796 
-3.934517 0.7834282 
-4.388358 0.643422 
-4.931537 0.5727179 
-3.752881 0.7007262 
-3.512864 0.6374345 
-2.22099 0.6355765 
-2.751288 0.7677403 
-3.397565 0.6984095 
-3.289923 0.8273116 
-5.079072 0.7196392 
-3.29159 0.6241461 
-4.9254 0.8417197 
-5.246588 0.8698707 
-3.664025 1.057834 
-5.5918 0.9270544 
-1.522899 0.7562631 
-4.40945 0.8759491 
-3.378033 0.8064539 
-4.656878 0.8811485 
-4.685169 0.8665814 
-4.520927 0.8330325 
-5.56501 0.627812 
-3.556347 0.6383764 
-3.682995 0.59908 
-3.051942 0.6268632 
-5.110137 0.6531366 
-3.314572 0.6423746 
8.967753 1.035302 
-3.885703 0.9566227 
-6.618228 1.003019 
-4.139501 0.7992827 
-4.122043 0.8436318 
