Delta_1 Delta_2 Delta_3 Delta_4 
-0.2622674 0.8512965 2.128342 -5.192937 
-3.264702 0.9320298 -2.067505 9.14187 
-1.954353 0.7408746 -0.08733743 -0.003245283 
-0.8445572 0.782917 0.5082594 0.1295139 
-0.0298136 0.6557724 -5.189645 13.36674 
0.1715843 0.6559622 -6.074669 1.911609 
1.109234 0.9038415 5.289799 18.7955 
0.870942 0.800163 0.02447283 -12.3103 
0.5373743 0.7280821 -1.520007 1.907874 
-2.55907 0.6518307 5.693822 -3.114166 
-1.037822 0.9182872 0.4738316 -8.897718 
0.8853457 0.8774659 -4.990697 8.681358 
1.113333 0.9085862 0.8313102 -16.71063 
-0.05752714 0.9522986 0.6606054 0.7403722 
-0.6033802 0.9820761 1.115316 -12.63247 
-0.7414938 0.6794275 -1.124397 2.122793 
-9.187345 0.7664318 -0.8903531 -1.117143 
1.615511 0.9612761 -6.986707 4.210555 
-1.152338 1.291626 0.2394717 0.6848102 
23.2475 1.376691 -0.6524816 -0.2370137 
4.592566 1.168734 -3.500353 -2.47189 
-0.6617308 1.024976 3.180598 -1.163271 
-9.586811 1.059604 -7.142213 1.211244 
-5.444576 1.061113 -0.3115856 1.183903 
-6.514806 0.8642993 2.481104 1.14457 
-3.315939 1.042339 0.6246976 4.394854 
0.05140713 1.024584 -4.067801 -2.46249 
-1.625512 1.202318 0.9826989 -0.127522 
-1.193684 1.150829 -13.68608 3.110283 
-0.4622139 1.014673 4.315243 -0.1053093 
-1.451496 1.066248 -0.3169373 -17.51313 
1.151822 1.200225 1.226231 7.083661 
1.244471 0.9972787 0.01738098 -10.79189 
0.1094468 0.7450453 1.144997 -2.288708 
0.4438016 0.8001491 0.5666036 -10.55732 
1.398284 0.7003561 -1.625174 2.721015 
0.9712413 0.8643957 0.3798805 -8.923264 
2.008016 0.7585845 1.097409 1.408741 
4.600361 0.8116624 1.109949 -21.03045 
-0.1547348 0.7000325 0.0763839 -0.1478982 
-4.604259 0.8736146 1.328138 -12.08768 
0.06721091 0.9565535 2.126476 -3.511579 
0.547515 0.8251847 -1.78506 -1.483348 
-1.960888 0.8837634 -1.77836 -0.1114904 
-1.983516 1.109606 -1.749372 10.44871 
1.211997 1.181958 -0.2340473 -11.35746 
-1.014238 1.0261 1.142232 -2.16259 
4.0055 0.8923414 1.036814 1.301271 
0.4280434 0.9228981 0.4572094 10.66261 
-5.118317 0.9450208 3.325538 -0.2234125 
0.04778167 0.9142018 10.11108 0.5164706 
2.287754 1.129256 -5.17643 -0.04491892 
-1.570597 0.9649009 7.253999 2.840401 
1.161617 0.8594074 0.5415267 1.019161 
0.8802586 0.9818618 -10.4363 1.644332 
8.931413 0.8768946 -13.45434 -4.228457 
-1.048518 0.8002199 -1.651329 0.9564029 
-2.528135 0.9738408 6.231684 0.433022 
1.239171 0.7126125 8.642376 1.008769 
0.1394516 0.7376259 -9.333881 0.9981449 
-2.340532 0.7446435 -2.562092 1.30831 
1.055885 0.6888385 1.354555 -0.8195805 
-2.113017 0.844893 -4.239831 -1.443726 
-0.1239654 1.163566 0.9179267 -1.393218 
-5.654567 0.9893177 -8.744803 3.337338 
1.911371 0.8946255 -12.80676 -1.650886 
1.421254 0.8334404 6.253859 -3.323484 
-0.2178443 0.7645635 4.697885 -2.612133 
3.535035 0.8512815 9.504129 -1.324192 
0.7019068 0.8811368 -6.272692 -0.7537694 
-0.9021224 0.7449708 -14.88859 -0.2301903 
0.1345896 0.5721215 -11.89253 1.326253 
-9.858627 0.7515729 11.64544 1.173751 
-2.381822 0.8631439 13.55988 -1.902501 
-12.09794 0.9590268 1.598125 8.938798 
-3.720187 1.06168 -0.407698 -2.202248 
13.46393 1.156663 -0.565883 0.9943719 
-2.083657 1.222188 -0.8128497 -6.911033 
-6.312584 1.168786 3.333283 1.08058 
-16.33356 1.18879 4.631363 7.632037 
2.977351 0.8770263 12.18261 -0.7000114 
6.230261 1.039939 3.823451 1.069794 
3.954262 0.7564798 -6.408426 1.031348 
2.159931 0.6260292 -1.696431 1.22919 
-1.557205 0.6819683 -14.79727 1.524842 
-1.830713 0.7329825 -10.41657 -1.017986 
-2.904423 0.8144121 2.454867 0.6045924 
0.05942571 0.9121453 -2.055507 -4.521297 
2.127416 0.8732802 1.597081 -12.30308 
0.8197087 0.9264009 -2.85496 -8.840176 
-0.4970248 0.9803858 1.731548 11.66271 
