nu alpha 
3.844427 0.1043763 
2.827902 0.4530193 
3.406591 0.2826152 
1.68938 0.3276359 
2.566758 0.395975 
2.471037 0.4004089 
3.490129 0.3562845 
2.382364 0.328374 
2.241571 0.4286555 
2.485847 0.3220368 
4.609135 0.4581419 
3.597519 0.2364679 
1.842228 0.3486392 
2.322246 0.4500585 
5.152758 0.1198845 
2.275858 0.4389486 
3.445128 0.4185919 
6.676743 0.1227595 
3.950706 0.4866916 
11.08788 0.04072217 
16.3141 0.2693217 
8.572528 0.1737146 
9.16165 0.2073655 
3.55157 0.1215025 
4.068783 0.4618192 
4.131687 0.1444781 
3.557309 0.2790402 
5.195792 0.235542 
13.81646 0.1457122 
6.205968 0.02276443 
33.8163 0.02674393 
24.20997 0.05340864 
3.602927 0.181496 
2.053849 0.2661331 
1.724178 0.4347473 
1.756742 0.3718819 
2.478487 0.3429381 
2.139096 0.181134 
3.098528 0.2906412 
1.965745 0.3520139 
3.1406 0.3893062 
5.121826 0.3660824 
3.064304 0.2002663 
4.393191 0.1888551 
3.461837 0.4798979 
10.35771 0.08049779 
4.264439 0.1184106 
2.572006 0.3459292 
3.948745 0.2169065 
7.169391 0.216865 
8.867337 0.0713458 
7.488724 0.1209655 
2.790812 0.2267359 
4.768255 0.4719115 
2.852034 0.05521129 
1.711295 0.4015132 
2.687686 0.2316158 
4.246094 0.2581405 
1.929599 0.2961539 
2.21844 0.3317907 
3.717229 0.4770605 
2.438421 0.4333664 
3.564272 0.4019961 
15.22787 0.114351 
4.294951 0.3457068 
2.189761 0.4197208 
2.799425 0.3367707 
2.90415 0.2731462 
3.296411 0.2542107 
3.819057 0.2004428 
2.901988 0.3460194 
1.75039 0.4675079 
2.051591 0.3987048 
3.858435 0.1746632 
4.440234 0.4043638 
13.36874 0.1498859 
44.50925 0.04001372 
16.07553 0.0513924 
9.152928 0.1615364 
3.137714 0.3303736 
2.656992 0.2697614 
8.891708 0.1465615 
3.064658 0.2509025 
2.242947 0.248222 
2.128493 0.2807683 
2.285039 0.1240116 
4.352713 0.2138474 
4.408598 0.3654628 
3.674258 0.4266497 
4.462725 0.2229041 
3.127528 0.4356007 
6.714984 0.07705152 
2.714564 0.3622406 
3.52779 0.07560662 
17.22164 0.1163441 
45.00203 0.04760647 
20.761 0.1364855 
8.663543 0.2547688 
5.848892 0.1057086 
17.43832 0.1988438 
14.41624 0.143999 
78.9318 0.02293877 
24.13454 0.1169903 
2.131953 0.3711671 
3.771695 0.3653608 
2.348527 0.4635928 
3.434267 0.2913303 
3.105993 0.128909 
5.820273 0.2050394 
2.213269 0.3722616 
1.838611 0.1016084 
4.459321 0.1717628 
7.477329 0.4157546 
6.546744 0.1790403 
8.612461 0.3300368 
2.895913 0.4699197 
14.87671 0.06455225 
8.74292 0.1173668 
5.527433 0.1467498 
11.81628 0.3913627 
8.29516 0.1623931 
12.8223 0.07694091 
28.35982 0.05601325 
15.40123 0.2376051 
2.746589 0.4110413 
4.517907 0.3481459 
12.33481 0.2257204 
19.96424 0.1777049 
3.99014 0.1092216 
8.286895 0.2665555 
2.417566 0.4454603 
4.065972 0.08438126 
5.303122 0.2279098 
3.02367 0.2857131 
2.98174 0.336621 
4.711391 0.2528948 
4.308463 0.3266855 
22.38904 0.09659172 
5.019035 0.2838108 
3.774762 0.3004026 
9.935112 0.1516284 
6.174904 0.3664238 
3.058936 0.432417 
1.948699 0.1566817 
3.523236 0.1756387 
2.583263 0.4847834 
6.117275 0.271161 
3.422041 0.2247267 
2.92267 0.3390066 
1.680653 0.2992399 
1.968747 0.3501966 
1.584309 0.3347881 
1.581735 0.1509938 
1.771665 0.1040954 
1.326638 0.3177962 
1.264068 0.4497159 
2.477884 0.4709496 
1.814608 0.461434 
2.204136 0.3385193 
2.844549 0.2587811 
1.685175 0.2623028 
2.260735 0.4574451 
2.416453 0.1348477 
2.008856 0.2409694 
2.882848 0.411473 
2.370298 0.3408004 
4.019728 0.4551663 
2.293258 0.05267155 
6.157065 0.4363583 
2.887377 0.3648843 
4.00383 0.3651752 
3.775866 0.4319704 
2.263611 0.2214348 
2.919384 0.3443241 
3.316137 0.4861119 
26.87481 0.03539134 
3.234248 0.2888159 
7.30538 0.2104192 
25.61963 0.08647599 
5.982936 0.2449144 
2.797571 0.411888 
6.560957 0.1875649 
7.430328 0.09534567 
5.343359 0.2933225 
4.840119 0.1631635 
4.926934 0.1877124 
3.619174 0.2891853 
49.49989 0.02904719 
8.043522 0.2618839 
13.80503 0.0249444 
32.04787 0.334008 
8.648676 0.4639488 
6.259835 0.3253843 
5.238939 0.3821682 
6.19258 0.3643759 
12.59315 0.1011214 
5.683979 0.1989003 
8.149448 0.1947852 
12.67998 0.06825696 
8.339393 0.1856748 
2.331545 0.4264051 
2.650257 0.3073557 
4.377611 0.302761 
1.925215 0.4592531 
1.731232 0.2369561 
2.904294 0.3085682 
3.023851 0.2307113 
4.427162 0.2657638 
4.075292 0.1256984 
8.329291 0.4924693 
5.24325 0.2770561 
3.567062 0.1032465 
2.031426 0.08482796 
4.794636 0.4197151 
9.378489 0.3352567 
14.74728 0.08746652 
5.406418 0.3429087 
3.146454 0.4491096 
1.892233 0.3368955 
2.690646 0.3482295 
2.805535 0.4118544 
2.566165 0.1787547 
1.56903 0.4864133 
3.92875 0.4954319 
2.641783 0.2178282 
2.047361 0.4768273 
2.36019 0.4157128 
1.265195 0.2168035 
1.903805 0.3243317 
1.913142 0.3496882 
2.633368 0.07728029 
12.22029 0.02408482 
7.517525 0.1686988 
6.769843 0.1354157 
16.48693 0.03451909 
6.883487 0.1638181 
8.676024 0.2837631 
14.26076 0.09062053 
4.887197 0.2603934 
1.222602 0.4087841 
3.742246 0.3567896 
2.385608 0.3948242 
1.912782 0.08609073 
1.69625 0.4854544 
2.386113 0.1781043 
1.863885 0.367408 
2.998689 0.2061167 
2.643653 0.1641788 
2.035388 0.4679384 
4.930341 0.04978984 
2.056712 0.04382291 
2.351133 0.4426013 
2.140296 0.477946 
2.406449 0.3785132 
2.522099 0.3823911 
2.42336 0.3097137 
2.49986 0.3876916 
5.341527 0.1926062 
4.200868 0.3452644 
1.834056 0.2458888 
2.346917 0.1467034 
3.564898 0.2333046 
4.665699 0.1338449 
3.090297 0.3075703 
2.485549 0.1265879 
1.613352 0.4810033 
1.884025 0.2458298 
3.227396 0.4465895 
1.4912 0.2939163 
2.757652 0.3472965 
2.123316 0.03478052 
1.979509 0.4791388 
3.082807 0.2704633 
2.49322 0.4420601 
1.699777 0.3878577 
2.683383 0.0406896 
5.103423 0.06184209 
2.329163 0.4785842 
5.22851 0.1526717 
31.85764 0.03650843 
6.268253 0.1683386 
9.468762 0.2933556 
9.552006 0.04375766 
5.759986 0.2746921 
18.30214 0.05936383 
10.03738 0.1460731 
3.309995 0.2576445 
3.787875 0.382842 
43.46217 0.08190228 
13.13801 0.4102135 
5.422875 0.248569 
4.627515 0.4422886 
3.344521 0.1669565 
8.970064 0.1588895 
4.697686 0.4277398 
5.658089 0.2151616 
3.175167 0.07439189 
2.408367 0.1405133 
3.23096 0.1582837 
1.946102 0.2803437 
2.536429 0.2158489 
7.03183 0.3777044 
7.43983 0.1229679 
9.842009 0.2549606 
2.431001 0.2987911 
6.043894 0.3335659 
4.041056 0.1883269 
1.666549 0.443643 
6.474597 0.159139 
2.794676 0.08971487 
3.360915 0.3593379 
4.6572 0.3942856 
4.452737 0.1650518 
8.12266 0.08780283 
14.02652 0.1314592 
27.38266 0.04458972 
16.1342 0.06661183 
8.379066 0.07071331 
4.153692 0.256278 
2.15534 0.2130719 
22.08079 0.05346206 
39.25643 0.06198315 
3.807084 0.2824101 
3.793963 0.3330293 
4.694222 0.2387834 
2.253474 0.2411787 
3.777425 0.2736563 
2.826863 0.3976545 
6.605991 0.488038 
27.1907 0.09548284 
6.18718 0.242742 
1.941448 0.1949022 
2.302375 0.07976224 
2.919308 0.377621 
3.747088 0.05362724 
9.916681 0.1633566 
3.378223 0.1908994 
3.410218 0.3017947 
3.956496 0.2801046 
4.977551 0.3341852 
1.967059 0.2314866 
2.405495 0.1573485 
2.676944 0.3454182 
4.160287 0.3029196 
10.16515 0.3486915 
3.050962 0.3563934 
2.656324 0.2100709 
3.795695 0.3232439 
3.244543 0.4243074 
4.684252 0.3761131 
3.548688 0.390853 
2.92761 0.4018546 
3.887418 0.3841499 
2.379629 0.4206525 
3.525587 0.04228593 
3.606618 0.02354291 
2.777238 0.1998464 
2.789033 0.4764801 
1.978476 0.2690793 
2.507695 0.2141493 
2.356767 0.2147143 
2.831777 0.4563227 
2.529586 0.3214132 
3.391559 0.1848336 
3.085217 0.2330701 
2.500835 0.09331822 
2.654561 0.03917798 
3.338668 0.1174064 
1.727835 0.2161193 
1.935808 0.06867129 
2.245524 0.3564525 
2.514199 0.2259697 
1.702405 0.1000783 
1.735289 0.2398023 
5.768187 0.2503911 
7.638118 0.2790465 
2.665028 0.4891595 
3.633386 0.4008245 
3.772726 0.2191402 
3.121386 0.2915236 
5.624571 0.06477428 
5.610691 0.1913531 
6.019611 0.4994924 
101.5762 0.02029233 
5.489365 0.2427143 
2.539494 0.4759283 
6.05539 0.3242632 
4.426284 0.4303164 
12.53855 0.1022825 
1.945252 0.4324221 
15.28904 0.07407727 
3.14318 0.2591366 
19.22601 0.03679709 
4.62353 0.03880545 
1.644832 0.4450276 
