p_1 p_2 p_3 p_4 
0.0524522 0.7651128 0.04666273 0.1357723 
0.0697628 0.8071479 0.01676813 0.1063212 
0.07468042 0.733422 0.006056834 0.1858407 
0.06955232 0.6582575 0.02320026 0.2489899 
0.03736294 0.7940217 0.00581487 0.1628005 
0.0361129 0.7762196 0.004196394 0.1834711 
0.09832148 0.741564 0.01302419 0.1470903 
0.02414296 0.881531 0.01547923 0.07884682 
0.1136844 0.7805907 0.001433808 0.1042912 
0.06239942 0.7634851 0.01888722 0.1552283 
0.04594987 0.7685469 0.01213285 0.1733703 
0.04343142 0.8444145 0.01071239 0.1014417 
0.09062438 0.8444114 0.002038885 0.06292539 
0.08064255 0.7724087 0.009258881 0.1376899 
0.0523052 0.6925066 0.09763405 0.1575541 
0.01947132 0.8401536 0.05199704 0.088378 
0.02334106 0.754292 0.08188399 0.140483 
0.004886774 0.7799498 0.0523952 0.1627682 
0.01547912 0.7936612 0.0684573 0.1224023 
0.007147652 0.8343369 0.05405285 0.1044626 
0.03498161 0.7411196 0.06163624 0.1622625 
0.004726265 0.8282867 0.09883864 0.06814839 
0.01477702 0.8253162 0.02051886 0.139388 
0.0378557 0.7052141 0.07600238 0.1809279 
0.01682242 0.7421158 0.0455153 0.1955465 
0.04082102 0.765546 0.07843821 0.1151947 
0.003563903 0.8003614 0.0489235 0.1471512 
0.00804641 0.785562 0.05131031 0.1550813 
0.04418389 0.7337418 0.05823352 0.1638408 
0.05575657 0.7895991 0.02137973 0.1332646 
0.03453494 0.7391653 0.07749087 0.1488089 
0.08378236 0.7994291 0.05142432 0.06536419 
0.1921372 0.7592459 0.04393504 0.004681807 
0.1501532 0.7559835 0.05972642 0.03413686 
0.1806582 0.733722 0.02619341 0.05942643 
0.1941614 0.7487249 0.0554212 0.001692585 
0.1142758 0.8047501 0.07060221 0.01037195 
0.1705708 0.7284416 0.06436853 0.03661908 
0.1016878 0.790137 0.06568979 0.04248548 
0.1697846 0.7802345 0.02971413 0.02026681 
0.2213692 0.7297612 0.02446503 0.0244045 
0.1465279 0.7976829 0.05440246 0.001386722 
0.1420609 0.7480179 0.09714501 0.01277618 
0.1572231 0.757526 0.08369976 0.001551159 
0.1707149 0.7695133 0.03243428 0.02733753 
0.1209694 0.8304905 0.02740176 0.02113841 
0.1112929 0.7920965 0.09202245 0.004588113 
0.1667747 0.7332831 0.08093474 0.01900748 
0.1077269 0.8155313 0.06887512 0.007866625 
0.1528552 0.7671987 0.01101956 0.06892656 
0.1390187 0.8229388 0.03725185 0.0007906237 
0.1131883 0.8045415 0.07309102 0.009179122 
0.1641606 0.7734975 0.02386867 0.03847326 
0.1568007 0.7849489 0.05770504 0.0005454059 
0.009270475 0.7108342 0.06257997 0.2173154 
0.001067536 0.8538648 0.03239071 0.112677 
0.006863712 0.8415223 0.03746928 0.1141447 
0.01773651 0.7820722 0.05658929 0.143602 
0.01094857 0.7485126 0.08996719 0.1505717 
0.04295325 0.7422679 0.02990102 0.1848779 
0.1026572 0.7484351 0.0122752 0.1366325 
0.04019851 0.7694205 0.02866076 0.1617202 
0.04829864 0.7970664 0.01942616 0.1352088 
0.06437871 0.7304237 0.05139795 0.1537996 
0.04993911 0.7939177 0.04137842 0.1147648 
0.1421878 0.7383781 0.0157127 0.1037214 
0.1250233 0.7252697 0.01907782 0.1306291 
0.06579103 0.6805721 0.025269 0.2283678 
0.06958116 0.7562672 0.05134201 0.1228097 
0.01122173 0.7878574 0.07928216 0.1216387 
0.06658965 0.8017775 0.01774841 0.1138844 
0.04270689 0.8121297 0.04052157 0.1046418 
0.03395889 0.8421877 0.01544881 0.1084046 
0.06150276 0.6775606 0.05962991 0.2013067 
0.04054181 0.8012259 0.008502945 0.1497294 
0.10065 0.7516375 0.0009708 0.1467417 
0.05677769 0.7962132 0.03382126 0.1131878 
0.05257203 0.7341378 0.01918768 0.1941025 
0.03750003 0.8207394 0.0100604 0.1317002 
0.07749956 0.717199 0.038393 0.1669084 
0.05706761 0.8064539 0.0141755 0.122303 
0.03202877 0.8437884 0.007485675 0.1166972 
0.03404343 0.8042977 0.01126452 0.1503943 
0.0988844 0.7994263 0.004291851 0.09739749 
0.02093556 0.727397 0.06654041 0.1851271 
0.01761533 0.7792817 0.06822673 0.1348762 
