tau2_1 tau2_2 tau2_3 tau2_4 
0.2629807 0.01439684 27.54648 0.2080691 
0.1257185 0.03426694 28.09722 0.02057839 
0.3845075 0.01817406 2807.093 0.07553839 
0.2733132 0.02891546 0.505221 2.722229 
0.1052632 0.02117847 15.82446 0.3731628 
1.600916 0.009967523 520.2764 0.2934092 
0.07605638 0.02218611 0.4044552 1.151125 
0.06226096 0.02424033 0.6829517 1.01392 
0.4354897 0.01630728 59.60247 2.549203 
6.698877 0.0132581 0.5094407 0.3489552 
1.664846 0.03655098 0.01990234 0.1932171 
71.81464 0.0110625 0.1069173 0.1311932 
0.1642859 0.01303563 0.2063825 1.104907 
1.410675 0.02640024 0.350842 0.1908838 
866.6737 0.01521804 0.446073 0.263119 
116.6576 0.01108467 66442.36 0.3969091 
0.7077348 0.01286624 0.7892221 2.121097 
0.3160002 0.03392166 0.1747912 228.6199 
0.14946 0.0198668 0.08475333 44.96524 
1.376417 0.01655278 0.03996333 9218318651 
0.5953975 0.01268637 0.212649 0.2380528 
25.24252 0.01308186 0.8833364 0.07300822 
2.458454e+16 0.03488408 1.477734 5.402358 
0.363184 0.02993691 0.04209 0.4634761 
0.177088 0.0155104 0.7581662 0.02327053 
0.03905332 0.01892313 25.27218 1.116548 
0.019699 0.04340237 135422.9 0.07271127 
0.1640332 0.02328584 33904.17 0.3468709 
2.001667 0.02393277 7.446319 0.4045499 
0.5327728 0.008374317 6.442834 0.8014666 
0.6297823 0.01487352 76.85015 0.05511299 
0.7268505 0.01348385 31.45851 63.84865 
0.02433214 0.06170456 66.80259 4.148859 
4.358716 0.01360059 15.06429 0.04454098 
0.5929878 0.03634864 13.83702 0.3247305 
1.867476 0.01181487 1.347753 0.4636091 
3.308962 0.03512196 7.904289 0.1007146 
0.2941509 0.0408324 0.05074789 0.8441825 
0.1445659 0.01948065 2.893836 1.845941 
2.648561 0.02374496 0.1704473 1.14267e+11 
0.6094709 0.0197903 0.3669456 0.8922803 
0.6686341 0.03878337 0.38609 0.5833584 
0.458603 0.02574832 0.2069065 0.1145211 
2.941824 0.01879556 0.1131926 0.7280064 
2.684228 0.02962365 0.5264862 261.2929 
0.1454603 0.0289819 0.02425931 0.01864117 
0.7930053 0.02985538 1.658353 156203074 
2.889554 0.01816933 0.6061145 3630966 
0.4285767 0.02296524 0.9346639 0.04940203 
0.05293493 0.02862235 0.04137338 6.872884 
3.171749 0.02717382 0.2812132 5693.617 
0.3954613 0.02371484 0.4522206 28.06632 
0.1200847 0.02064757 0.2395589 0.05123346 
0.03278117 0.02361575 1.326037 969.8234 
6.761938 0.05288603 0.07884737 0.3802847 
0.659891 0.02254197 1.215223 245.6347 
5.648851 0.008458506 0.0311188 0.8689649 
0.1478828 0.03609835 4.080282 156.2349 
1.009671 0.01280104 0.3510471 0.3728987 
0.2199459 0.01849686 0.03890881 29.12522 
0.09082315 0.04126527 1.23178 5.176296 
0.4272419 0.01338109 0.1313632 116.2606 
0.2078601 0.04281035 0.3111749 0.1039768 
0.3741773 0.04009934 1.226975 0.0393706 
0.4612562 0.00721919 1.395026 91.75784 
180.8008 0.01942614 1.25017 22197.26 
17.43492 0.03053101 0.3427916 25.96678 
1.263887 0.01948124 23485.5 0.04663823 
0.9802296 0.01528056 3.274072 0.04487639 
