beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
9.31081 2.575837 -9.123243 -3.814937 -0.159292 3.966682 -24.51423 -3.608441 
-14.63299 -1.900564 -9.350084 -7.640767 -0.1012284 4.004931 -22.15303 -1.714388 
-14.70197 2.041102 -9.596696 -4.562437 0.0009310011 3.971044 -13.87061 -7.191304 
3.224121 13.10327 -8.978961 -7.002678 -0.1396813 4.03923 -17.64251 -5.280068 
-2.34444 -9.215133 -8.588183 -4.755708 -0.1894642 3.968332 -2.864237 -18.11151 
-5.539251 -6.53872 -9.134505 -3.592242 -0.151594 3.947139 5.818541 6.82708 
-13.72775 -2.914373 -9.476756 -3.167924 -0.03285358 3.908369 -14.41828 -9.987582 
-22.63315 -4.270419 -8.722555 -6.495669 -0.1551085 3.912974 -14.41644 -1.65313 
-24.68519 -3.389121 -11.21302 -5.446766 0.04792457 3.96018 15.24624 19.84621 
-24.07794 -3.579376 -8.974905 -5.23182 -0.1602509 3.977157 22.61086 -8.556531 
-17.29908 -8.22701 -8.934853 -4.945902 -0.085529 3.965935 4.522202 -0.5551407 
-22.82823 -4.451755 -9.630696 -4.595124 0.1025989 3.922275 9.62675 5.059427 
-19.7126 -3.551161 -10.07129 -2.846577 -0.3261245 4.071237 -0.5732219 -19.20492 
6.659933 -19.92115 -9.025089 -4.720057 -0.09292597 4.034169 -24.27561 -3.480449 
2.480946 -15.79223 -9.492419 -4.884688 -0.1480908 3.915014 -17.52441 -3.269417 
1.073718 -14.89244 -9.28375 -5.981462 -0.1318504 3.889026 -22.74574 -4.956644 
12.18934 17.85227 -8.851266 -5.293393 0.2235603 3.930857 -13.08712 0.8365671 
-1.782029 10.31624 -9.627865 -5.875365 0.3870088 4.046071 -23.65107 -4.837061 
-1.719376 2.022934 -9.075982 -4.84729 -0.09486685 4.007369 -23.1691 -6.137701 
-3.59227 -14.11487 -9.670906 -5.915378 -0.1136705 4.004441 -23.49643 -4.597082 
14.27072 -5.666611 -7.920925 -6.725704 -0.1767683 4.072992 -24.36665 -0.06344631 
-22.7735 -2.966136 -8.652018 -4.529617 -0.1094611 3.959823 -0.6614126 9.253321 
-23.55474 -5.455423 -9.880061 -5.588676 0.0132816 4.026809 -6.141606 -11.70671 
-24.43267 -2.680368 -10.25694 -5.120708 -0.1281679 3.917982 1.416922 -13.89284 
-14.12711 -7.182329 -11.27494 -4.101851 -0.03949691 3.945939 9.419836 -9.204182 
-13.89044 -4.545422 -10.21329 -4.711298 0.01305752 3.860315 -5.781049 10.90242 
-20.09374 -6.203542 -9.450762 -3.841076 -0.2226308 4.057623 11.11051 -7.398495 
-24.02508 -3.75886 -7.10302 -3.144407 0.1260943 3.895221 10.19937 -12.17641 
-22.29037 -5.555677 -8.673741 -4.742446 0.06220244 3.936772 6.251291 -18.38646 
-22.82313 -4.70924 -9.350994 -5.604329 -0.1021857 3.908763 6.581975 17.47547 
-23.20564 -5.042119 -9.147211 -5.136907 -0.1102576 3.891753 -0.5372384 -1.771465 
6.060149 -5.107028 -9.183592 -6.09161 -0.07706544 3.990361 -11.66878 -9.9958 
-0.5890656 -7.936825 -8.139956 -5.98922 -0.3223868 3.987758 -8.361567 -24.32728 
-2.547515 1.340182 -9.455422 -6.965031 -0.2858702 3.854953 -14.0059 -6.197948 
-13.38851 -7.265595 -8.259511 -6.615697 -0.1529022 4.007704 -11.33191 -17.61478 
-1.376254 3.036476 -10.25576 -4.455682 0.3010587 4.033101 -14.66011 -9.2561 
14.24455 -0.1599718 -9.225771 -4.845113 -0.05813386 3.963843 -15.55569 -4.323878 
6.56385 2.446356 -9.314758 -4.916406 -0.09248283 3.946563 -21.53232 -1.386883 
14.56987 -4.789742 -9.589119 -4.604389 -0.1230967 3.964827 -22.4219 -3.801833 
-2.343111 -17.47515 -9.46272 -6.32076 0.1330821 3.997689 -11.68064 -12.86051 
12.95952 5.869553 -8.253152 -4.164133 0.103578 3.968296 -23.6177 -4.21688 
-12.21016 5.201805 -10.17716 -3.091507 -0.06359419 3.916257 -22.32604 -5.133665 
-1.574609 -3.550872 -9.812989 -5.166354 -0.1748918 3.988746 -22.68592 -5.215555 
3.215643 -12.41519 -9.390727 -4.539628 0.06183323 3.93666 -22.45458 -5.421832 
9.69256 20.08036 -10.106 -4.514624 -0.05788946 3.942925 -22.06154 -5.0445 
6.423731 -2.298319 -9.363654 -5.212235 -0.1351237 3.96725 -22.62899 -5.640273 
1.996522 -9.534358 -10.03673 -6.743365 -0.09072008 3.935991 -22.64925 -4.062975 
-11.00715 1.365527 -9.44945 -4.601868 -0.09650259 4.038015 -22.03887 -5.187318 
